node1,node2,similarity
53123-88-9,159351-69-6,0.838
53123-88-9,762-21-0,0.052
53123-88-9,20485-43-2,0.037
53123-88-9,159351-72-1,0.822
53123-88-9,159351-77-6,0.807
53123-88-9,79060-23-4,0.048
53123-88-9,118992-89-5,0.048
53123-88-9,159351-88-9,0.894
53123-88-9,159351-98-1,0.844
53123-88-9,153786-35-7,0.832
53123-88-9,159351-99-2,0.807
53123-88-9,159351-95-8,0.798
53123-88-9,159351-93-6,0.757
53123-88-9,159351-83-4,0.736
53123-88-9,159351-82-3,0.766
53123-88-9,159351-79-8,0.817
53123-88-9,159351-74-3,0.802
53123-88-9,159351-92-5,0.784
53123-88-9,159351-84-5,0.757
53123-88-9,159351-67-4,0.788
53123-88-9,159351-60-7,0.798
53123-88-9,159351-94-7,0.72
53123-88-9,159351-90-3,0.744
53123-88-9,159351-87-8,0.674
53123-88-9,159351-85-6,0.807
53123-88-9,159351-80-1,0.753
53123-88-9,159351-65-2,0.793
53123-88-9,159351-63-0,0.775
53123-88-9,159351-68-5,0.793
53123-88-9,157582-80-4,0.827
53123-88-9,143030-02-8,0.838
53123-88-9,156925-79-0,0.052
53123-88-9,159351-70-9,0.041
53123-88-9,108438-03-5,0.046
53123-88-9,150481-78-0,0.781
53123-88-9,159351-97-0,0.843
53123-88-9,159351-91-4,0.74
53123-88-9,159351-89-0,0.798
53123-88-9,159351-81-2,0.793
53123-88-9,144006-35-9,0.804
53123-88-9,159351-96-9,0.034
53123-88-9,159351-71-0,0.779
53123-88-9,159351-78-7,0.793
53123-88-9,159351-64-1,0.757
53123-88-9,159407-14-4,0.623
53123-88-9,159351-86-7,0.641
53123-88-9,159351-76-5,0.77
53123-88-9,159351-73-2,0.77
53123-88-9,159351-66-3,0.744
53123-88-9,159351-62-9,0.74
53123-88-9,159351-59-4,0.761
159351-69-6,762-21-0,0.049
159351-69-6,20485-43-2,0.036
159351-69-6,159351-72-1,0.93
159351-69-6,159351-77-6,0.925
159351-69-6,79060-23-4,0.052
159351-69-6,118992-89-5,0.051
159351-69-6,159351-88-9,0.76
159351-69-6,159351-98-1,0.918
159351-69-6,153786-35-7,0.882
159351-69-6,159351-99-2,0.89
159351-69-6,159351-95-8,0.856
159351-69-6,159351-93-6,0.833
159351-69-6,159351-83-4,0.81
159351-69-6,159351-82-3,0.843
159351-69-6,159351-79-8,0.901
159351-69-6,159351-74-3,0.907
159351-69-6,159351-92-5,0.863
159351-69-6,159351-84-5,0.833
159351-69-6,159351-67-4,0.88
159351-69-6,159351-60-7,0.856
159351-69-6,159351-94-7,0.792
159351-69-6,159351-90-3,0.819
159351-69-6,159351-87-8,0.813
159351-69-6,159351-85-6,0.769
159351-69-6,159351-80-1,0.829
159351-69-6,159351-65-2,0.851
159351-69-6,159351-63-0,0.831
159351-69-6,159351-68-5,0.873
159351-69-6,157582-80-4,0.888
159351-69-6,143030-02-8,0.841
159351-69-6,156925-79-0,0.05
159351-69-6,159351-70-9,0.045
159351-69-6,108438-03-5,0.05
159351-69-6,150481-78-0,0.655
159351-69-6,159351-97-0,0.929
159351-69-6,159351-91-4,0.815
159351-69-6,159351-89-0,0.879
159351-69-6,159351-81-2,0.873
159351-69-6,144006-35-9,0.674
159351-69-6,159351-96-9,0.044
159351-69-6,159351-71-0,0.858
159351-69-6,159351-78-7,0.84
159351-69-6,159351-64-1,0.802
159351-69-6,159407-14-4,0.521
159351-69-6,159351-86-7,0.713
159351-69-6,159351-76-5,0.848
159351-69-6,159351-73-2,0.848
159351-69-6,159351-66-3,0.799
159351-69-6,159351-62-9,0.794
159351-69-6,159351-59-4,0.817
762-21-0,20485-43-2,0.103
762-21-0,159351-72-1,0.048
762-21-0,159351-77-6,0.048
762-21-0,79060-23-4,0.064
762-21-0,118992-89-5,0.083
762-21-0,159351-88-9,0.052
762-21-0,159351-98-1,0.049
762-21-0,153786-35-7,0.056
762-21-0,159351-99-2,0.054
762-21-0,159351-95-8,0.047
