node1,node2,similarity
50-28-2,50-23-7,0.15
50-28-2,23214-92-8,0.086
50-28-2,107-15-3,0.0
50-28-2,50-02-2,0.135
50-28-2,75-07-0,0.016
50-28-2,50-18-0,0.023
50-28-2,51-21-8,0.026
50-28-2,59-05-2,0.039
50-28-2,33069-62-4,0.067
50-28-2,110-91-8,0.015
50-28-2,100-39-0,0.058
50-28-2,24424-99-5,0.042
50-28-2,53-03-2,0.139
50-28-2,76-05-1,0.015
50-28-2,59-67-6,0.053
50-28-2,50-24-8,0.148
50-28-2,302-79-4,0.092
50-28-2,57-22-7,0.073
50-28-2,18162-48-6,0.015
50-28-2,53123-88-9,0.076
50-28-2,33419-42-0,0.087
50-28-2,10540-29-1,0.071
50-28-2,147-94-4,0.085
50-28-2,50-76-0,0.077
50-28-2,32222-06-3,0.117
50-28-2,58-96-8,0.087
50-28-2,446-86-6,0.037
50-28-2,114977-28-5,0.074
50-28-2,50-07-7,0.052
50-28-2,865-21-4,0.073
50-28-2,95058-81-4,0.071
50-28-2,20830-81-3,0.088
50-28-2,18883-66-4,0.032
50-28-2,86386-73-4,0.052
50-28-2,57-63-6,0.506
50-28-2,58-05-9,0.076
50-28-2,59-14-3,0.071
50-28-2,56-53-1,0.129
50-28-2,127-07-1,0.015
50-28-2,148-82-3,0.055
50-28-2,1972-08-3,0.143
50-28-2,10118-90-8,0.083
50-28-2,2809-21-4,0.03
50-28-2,50-44-2,0.037
50-28-2,179324-69-7,0.043
50-28-2,284461-73-0,0.059
50-28-2,56420-45-2,0.086
50-28-2,184475-35-2,0.061
50-28-2,97682-44-5,0.079
50-28-2,169590-42-5,0.049
50-28-2,65271-80-9,0.053
50-28-2,315-30-0,0.048
50-28-2,154361-50-9,0.069
50-28-2,4342-03-4,0.068
50-28-2,320-67-2,0.074
50-28-2,85622-93-1,0.043
50-28-2,506-68-3,0.033
50-28-2,3778-73-2,0.011
50-28-2,83150-76-9,0.043
50-28-2,55-98-1,0.028
50-28-2,305-03-3,0.067
50-28-2,154-93-8,0.036
50-28-2,21679-14-1,0.067
50-28-2,71-58-9,0.118
50-28-2,71486-22-1,0.067
50-28-2,123948-87-8,0.094
50-28-2,2353-33-5,0.061
50-28-2,191732-72-6,0.091
50-28-2,14769-73-4,0.066
50-28-2,118072-93-8,0.035
50-28-2,154-42-7,0.034
50-28-2,52-24-4,0.015
50-28-2,50-91-9,0.061
50-28-2,4759-48-2,0.092
50-28-2,1003-03-8,0.047
50-28-2,671-16-9,0.057
50-28-2,58957-92-9,0.088
50-28-2,57-85-2,0.173
50-28-2,13311-84-7,0.074
50-28-2,99614-02-5,0.071
50-28-2,112809-51-5,0.045
50-28-2,24991-23-9,0.013
50-28-2,53-19-0,0.059
50-28-2,129453-61-8,0.336
50-28-2,13010-47-4,0.056
50-28-2,53714-56-0,0.075
50-28-2,66376-36-1,0.039
50-28-2,58-18-4,0.146
50-28-2,109-70-6,0.031
50-28-2,4291-63-8,0.066
50-28-2,120511-73-1,0.042
50-28-2,29767-20-2,0.087
50-28-2,98319-26-7,0.147
50-28-2,84449-90-1,0.083
50-28-2,427-51-0,0.124
50-28-2,90357-06-5,0.061
50-28-2,53643-48-4,0.08
50-28-2,162635-04-3,0.071
50-28-2,56-03-1,0.015
50-28-2,65807-02-5,0.07
50-28-2,70052-12-9,0.025
50-28-2,10596-23-3,0.015
50-28-2,54-62-6,0.031
50-28-2,107868-30-4,0.131
50-28-2,53910-25-1,0.086
50-28-2,18378-89-7,0.091
50-28-2,51264-14-3,0.075
50-28-2,125-84-8,0.102
50-28-2,5300-03-8,0.092
50-28-2,20537-88-6,0.024
50-28-2,106133-20-4,0.043
50-28-2,595-33-5,0.119
50-28-2,109511-58-2,0.046
50-28-2,645-05-6,0.03
50-28-2,72496-41-4,0.086
50-28-2,89778-26-7,0.078
50-28-2,114084-78-5,0.059
50-28-2,14998-63-1,0.0
50-28-2,58066-85-6,0.022
50-28-2,75747-14-7,0.082
50-28-2,58970-76-6,0.061
50-28-2,3094-09-5,0.075
50-28-2,112887-68-0,0.045
50-28-2,153559-49-0,0.12
50-28-2,170729-80-3,0.087
50-28-2,979-32-8,0.548
50-28-2,65646-68-6,0.125
50-28-2,164656-23-9,0.143
50-28-2,13967-65-2,0.0
50-28-2,76-43-7,0.17
50-28-2,53-36-1,0.118
50-28-2,13909-09-6,0.066
50-28-2,219989-84-1,0.091
50-28-2,56124-62-0,0.08
50-28-2,63612-50-0,0.071
50-28-2,108736-35-2,0.061
50-28-2,24584-09-6,0.059
50-28-2,141256-04-4,0.071
50-28-2,566-48-3,0.151
50-28-2,52128-35-5,0.045
50-28-2,968-93-4,0.127
50-28-2,299-75-2,0.027
50-28-2,27314-97-2,0.061
50-28-2,92118-27-9,0.031
50-28-2,50264-69-2,0.058
50-28-2,212141-54-3,0.047
50-28-2,121584-18-7,0.052
50-28-2,192185-72-1,0.056
50-28-2,102676-47-1,0.071
50-28-2,51321-79-0,0.024
50-28-2,134-46-3,0.056
50-28-2,57773-65-6,0.075
50-28-2,6940-76-7,0.015
50-28-2,76932-56-4,0.074
50-28-2,881-68-5,0.07
50-28-2,117091-64-2,0.076
50-28-2,173937-91-2,0.121
50-28-2,89987-06-4,0.075
50-28-2,193275-84-2,0.094
50-28-2,60084-10-8,0.065
50-28-2,3438-46-8,0.056
50-28-2,13647-35-3,0.263
50-28-2,162652-95-1,0.066
50-28-2,110267-81-7,0.092
50-28-2,180064-38-4,0.052
50-28-2,29069-24-7,0.132
50-28-2,76712-82-8,0.066
50-28-2,180916-16-9,0.224
50-28-2,103222-11-3,0.063
50-28-2,51350-19-7,0.047
50-28-2,2398-81-4,0.051
50-28-2,134404-52-7,0.102
50-28-2,4105-38-8,0.056
50-28-2,81840-15-5,0.087
50-28-2,4595-61-3,0.041
50-28-2,99519-84-3,0.056
50-28-2,1032568-63-0,0.05
50-28-2,31462-59-6,0.053
50-28-2,36735-22-5,0.053
50-28-2,182133-25-1,0.107
50-28-2,171335-80-1,0.09
50-28-2,83461-56-7,0.023
50-28-2,987-24-6,0.127
50-28-2,403-45-2,0.052
50-28-2,91987-74-5,0.027
50-28-2,53137-27-2,0.039
50-28-2,78113-36-7,0.032
50-28-2,108852-90-0,0.075
50-28-2,98631-95-9,0.043
50-28-2,182167-02-8,0.107
50-28-2,147149-76-6,0.038
50-28-2,96301-34-7,0.133
50-28-2,84692-91-1,0.133
50-28-2,13362-28-2,0.064
50-28-2,174402-32-5,0.088
50-28-2,2827-46-5,0.03
50-28-2,199396-76-4,0.11
50-28-2,2450-26-2,0.069
50-28-2,195533-53-0,0.053
50-28-2,135065-69-9,0.066
50-28-2,6425-32-7,0.024
