node1,node2,similarity
62-53-3,100-46-9,0.364
62-53-3,109-01-3,0.0
62-53-3,530-62-1,0.029
62-53-3,108-77-0,0.045
62-53-3,61-54-1,0.146
62-53-3,768-94-5,0.036
62-53-3,1826-67-1,0.0
62-53-3,762-04-9,0.0
62-53-3,92-54-6,0.206
62-53-3,2038-03-1,0.029
62-53-3,615-43-0,0.292
62-53-3,76513-69-4,0.0
62-53-3,108-69-0,0.217
62-53-3,27757-85-3,0.179
62-53-3,87120-72-7,0.047
62-53-3,3934-20-1,0.1
62-53-3,1193-21-1,0.077
62-53-3,4319-49-7,0.037
62-53-3,367-24-8,0.161
62-53-3,676-97-1,0.0
62-53-3,35303-76-5,0.111
62-53-3,5750-76-5,0.062
62-53-3,6928-85-4,0.036
62-53-3,583-75-5,0.167
62-53-3,17768-41-1,0.065
62-53-3,1635-61-6,0.135
62-53-3,1197953-54-0,0.061
62-53-3,1780-31-0,0.059
62-53-3,321-23-3,0.077
62-53-3,2831-66-5,0.077
62-53-3,3932-97-6,0.053
62-53-3,1780-26-3,0.069
62-53-3,7211-39-4,0.0
62-53-3,448-19-1,0.071
62-53-3,53617-36-0,0.0
62-53-3,90213-66-4,0.071
62-53-3,761439-42-3,0.069
62-53-3,59557-91-4,0.143
62-53-3,42016-93-3,0.161
62-53-3,869363-13-3,0.069
62-53-3,7215-33-0,0.0
62-53-3,6627-53-8,0.07
62-53-3,1837-55-4,0.065
62-53-3,6358-77-6,0.143
62-53-3,761440-16-8,0.102
62-53-3,45762-41-2,0.143
62-53-3,28020-37-3,0.139
62-53-3,76697-50-2,0.235
62-53-3,761440-75-9,0.102
62-53-3,717907-75-0,0.04
62-53-3,216144-45-5,0.095
62-53-3,5900-13-0,0.108
62-53-3,1197953-47-1,0.233
62-53-3,89466-18-2,0.139
62-53-3,1197953-49-3,0.089
62-53-3,873-41-6,0.033
62-53-3,442847-52-1,0.051
62-53-3,505084-55-9,0.05
62-53-3,27443-18-1,0.0
62-53-3,761440-65-7,0.061
62-53-3,280581-45-5,0.186
62-53-3,737751-54-1,0.25
62-53-3,1197958-12-5,0.065
62-53-3,945460-43-5,0.0
62-53-3,1197958-75-0,0.06
62-53-3,1197956-09-4,0.094
62-53-3,1032903-48-2,0.1
62-53-3,1197956-03-8,0.125
62-53-3,1116234-37-7,0.069
62-53-3,917246-23-2,0.056
62-53-3,1197958-90-9,0.067
62-53-3,700810-97-5,0.159
62-53-3,1197957-18-8,0.056
62-53-3,1197956-18-5,0.105
62-53-3,945459-79-0,0.167
62-53-3,1197962-16-5,0.061
62-53-3,1197961-10-6,0.062
62-53-3,1197961-02-6,0.059
62-53-3,1197960-89-6,0.049
62-53-3,1197960-58-9,0.065
62-53-3,1197960-25-0,0.049
62-53-3,1197960-18-1,0.058
62-53-3,1197960-09-0,0.062
62-53-3,1197960-05-6,0.063
62-53-3,1197959-94-6,0.073
62-53-3,1197959-59-3,0.065
62-53-3,1197959-50-4,0.061
62-53-3,1197959-45-7,0.06
62-53-3,1197959-40-2,0.057
62-53-3,1197959-00-4,0.06
62-53-3,1197958-87-4,0.047
62-53-3,1197958-61-4,0.061
62-53-3,1197958-53-4,0.068
62-53-3,1197958-43-2,0.067
62-53-3,1197958-36-3,0.051
62-53-3,1197958-29-4,0.063
62-53-3,1197958-20-5,0.059
62-53-3,1197957-39-3,0.091
62-53-3,1197956-07-2,0.059
62-53-3,945460-42-4,0.0
62-53-3,83403-50-3,0.19
62-53-3,33124-06-0,0.129
62-53-3,1197961-79-7,0.081
62-53-3,1197960-66-9,0.062
62-53-3,1197960-56-7,0.058
62-53-3,1197959-30-0,0.067
62-53-3,1197956-37-8,0.064
62-53-3,1197956-02-7,0.065
62-53-3,1197953-83-5,0.07
62-53-3,1197953-81-3,0.113
62-53-3,941867-27-2,0.078
62-53-3,1197962-58-5,0.059
62-53-3,1197961-69-5,0.06
62-53-3,1197961-62-8,0.066
62-53-3,1197961-33-3,0.064
62-53-3,1197960-91-0,0.065
62-53-3,1197960-85-2,0.067
62-53-3,1197960-61-4,0.07
62-53-3,1197960-40-9,0.061
62-53-3,1197959-34-4,0.065
62-53-3,1197957-14-4,0.105
62-53-3,1197956-93-6,0.058
62-53-3,1197956-35-6,0.135
62-53-3,1197956-24-3,0.139
62-53-3,1197953-85-7,0.071
62-53-3,412923-52-5,0.091
62-53-3,1197958-79-4,0.074
62-53-3,1197957-76-8,0.111
62-53-3,1197957-70-2,0.039
62-53-3,1197957-59-7,0.075
62-53-3,1197957-57-5,0.034
62-53-3,1197957-55-3,0.102
62-53-3,1197957-50-8,0.062
62-53-3,1197957-48-4,0.057
62-53-3,1197957-34-8,0.061
62-53-3,1197957-29-1,0.064
62-53-3,1197957-20-2,0.095
62-53-3,1197957-09-7,0.035
