node1,node2,similarity
56-65-5,108-24-7,0.038
56-65-5,98-88-4,0.046
56-65-5,74-89-5,0.014
56-65-5,98-59-9,0.044
56-65-5,75-36-5,0.026
56-65-5,124-63-0,0.013
56-65-5,10025-87-3,0.04
56-65-5,3282-30-2,0.025
56-65-5,79-03-8,0.037
56-65-5,765-30-0,0.026
56-65-5,122-04-3,0.043
56-65-5,100-07-2,0.054
56-65-5,122-01-0,0.057
56-65-5,103-80-0,0.055
56-65-5,79-30-1,0.025
56-65-5,874-60-2,0.044
56-65-5,141-75-3,0.036
56-65-5,106-31-0,0.047
56-65-5,638-29-9,0.035
56-65-5,624-78-2,0.013
56-65-5,97-72-3,0.036
56-65-5,38870-89-2,0.048
56-65-5,118-48-9,0.051
56-65-5,87-42-3,0.086
56-65-5,701-99-5,0.087
56-65-5,10310-21-1,0.093
56-65-5,1538-75-6,0.036
56-65-5,20535-83-5,0.09
56-65-5,2082-59-9,0.045
56-65-5,3083-77-0,0.196
56-65-5,69304-37-6,0.036
56-65-5,938-55-6,0.071
56-65-5,121032-29-9,0.313
56-65-5,1074-89-1,0.082
56-65-5,2545-26-8,0.074
56-65-5,19690-23-4,0.071
56-65-5,892-49-9,0.238
56-65-5,17861-06-2,0.09
56-65-5,91969-06-1,0.38
56-65-5,1928-89-8,0.077
56-65-5,117761-02-1,0.087
56-65-5,5417-86-7,0.087
56-65-5,60209-41-8,0.366
56-65-5,7770-17-4,0.366
56-65-5,25050-40-2,0.203
56-65-5,121032-22-2,0.259
56-65-5,121057-95-2,0.099
56-65-5,121032-46-0,0.261
56-65-5,121032-28-8,0.368
56-65-5,121032-23-3,0.372
56-65-5,121032-57-3,0.528
56-65-5,121032-30-2,0.361
56-65-5,91275-67-1,0.365
56-65-5,121032-61-9,0.195
56-65-5,121032-58-4,0.698
56-65-5,121032-55-1,0.264
56-65-5,121032-53-9,0.261
56-65-5,121032-52-8,0.252
56-65-5,121032-51-7,0.252
56-65-5,121032-48-2,0.284
56-65-5,121032-47-1,0.265
56-65-5,121032-45-9,0.27
56-65-5,121032-44-8,0.404
56-65-5,121032-43-7,0.417
56-65-5,121032-42-6,0.4
56-65-5,121032-41-5,0.392
56-65-5,121032-40-4,0.423
56-65-5,121032-39-1,0.354
56-65-5,121032-38-0,0.396
