node1,node2,similarity
64-17-5,7440-09-7,0.0
64-17-5,7440-23-5,0.0
64-17-5,75-05-8,0.091
64-17-5,71-36-3,0.417
64-17-5,100-51-6,0.15
64-17-5,109-73-9,0.214
64-17-5,10025-87-3,0.0
64-17-5,109-01-3,0.05
64-17-5,109-86-4,0.286
64-17-5,75-08-1,0.333
64-17-5,7646-69-7,0.0
64-17-5,109-55-7,0.105
64-17-5,100-53-8,0.048
64-17-5,109-85-3,0.125
64-17-5,111-77-3,0.182
64-17-5,1003-03-8,0.0
64-17-5,95-68-1,0.038
64-17-5,6482-24-2,0.125
64-17-5,554-00-7,0.0
64-17-5,87-13-8,0.143
64-17-5,622-40-2,0.115
64-17-5,636-72-6,0.13
64-17-5,7693-26-7,0.0
64-17-5,24313-88-0,0.037
64-17-5,139-59-3,0.0
64-17-5,626-64-2,0.05
64-17-5,3179-63-3,0.235
64-17-5,380843-75-4,0.022
64-17-5,6457-49-4,0.143
64-17-5,764-01-2,0.286
64-17-5,94-05-3,0.121
64-17-5,1188-33-6,0.15
64-17-5,7789-59-5,0.0
64-17-5,4543-96-8,0.087
64-17-5,446-32-2,0.065
64-17-5,100-72-1,0.12
64-17-5,366-99-4,0.031
64-17-5,13349-82-1,0.086
64-17-5,50868-72-9,0.032
64-17-5,20691-89-8,0.167
64-17-5,2401-24-3,0.031
64-17-5,7583-53-1,0.148
64-17-5,5317-33-9,0.148
64-17-5,20845-34-5,0.148
64-17-5,19059-68-8,0.211
64-17-5,98446-49-2,0.031
64-17-5,22510-08-3,0.029
64-17-5,80650-45-9,0.0
64-17-5,21156-84-3,0.148
64-17-5,205194-33-8,0.097
64-17-5,168268-00-6,0.022
64-17-5,221199-26-4,0.05
64-17-5,90226-87-2,0.2
64-17-5,7037-30-1,0.133
64-17-5,622369-83-9,0.062
64-17-5,622369-46-4,0.014
64-17-5,622369-40-8,0.02
64-17-5,622368-91-6,0.023
64-17-5,622369-21-5,0.022
64-17-5,622368-88-1,0.022
64-17-5,622369-16-8,0.023
64-17-5,622368-93-8,0.025
64-17-5,622369-20-4,0.023
64-17-5,622369-19-1,0.022
