node1,node2,similarity
7631-86-9,124-38-9,0.143
7631-86-9,25322-68-3,0.0
7631-86-9,56-81-5,0.0
7631-86-9,57-11-4,0.038
7631-86-9,100-52-7,0.05
7631-86-9,9003-39-8,0.04
7631-86-9,68-12-2,0.083
7631-86-9,74-88-4,0.0
7631-86-9,69-65-8,0.0
7631-86-9,50-70-4,0.0
7631-86-9,74-89-5,0.0
7631-86-9,24424-99-5,0.048
7631-86-9,75-65-0,0.0
7631-86-9,124-63-0,0.091
7631-86-9,75-03-6,0.0
7631-86-9,73183-34-3,0.0
7631-86-9,75-16-1,0.0
7631-86-9,501-53-1,0.032
7631-86-9,79-22-1,0.071
7631-86-9,110-87-2,0.0
7631-86-9,4637-24-5,0.0
7631-86-9,108-00-9,0.0
7631-86-9,75-30-9,0.0
7631-86-9,60-34-4,0.0
7631-86-9,111-62-6,0.024
7631-86-9,106-33-2,0.031
7631-86-9,151-18-8,0.0
7631-86-9,1013-88-3,0.0
7631-86-9,95-82-9,0.0
7631-86-9,2749-11-3,0.0
7631-86-9,606143-52-6,0.012
7631-86-9,10147-36-1,0.059
7631-86-9,35320-23-1,0.0
7631-86-9,391210-10-9,0.014
7631-86-9,123-06-8,0.0
7631-86-9,934660-93-2,0.013
7631-86-9,957054-30-7,0.011
7631-86-9,1116-98-9,0.037
7631-86-9,606143-89-9,0.013
7631-86-9,348-57-2,0.0
7631-86-9,1269440-17-6,0.011
7631-86-9,79069-13-9,0.032
7631-86-9,49844-90-8,0.0
7631-86-9,923032-37-5,0.026
7631-86-9,1236699-92-5,0.015
7631-86-9,39620-04-7,0.0
7631-86-9,21717-95-3,0.0
7631-86-9,1035555-63-5,0.013
7631-86-9,1996-30-1,0.0
7631-86-9,1186-70-5,0.0
7631-86-9,452-62-0,0.0
7631-86-9,13466-29-0,0.0
7631-86-9,146552-71-8,0.031
7631-86-9,1074-91-5,0.0
7631-86-9,1152617-24-7,0.0
7631-86-9,103977-79-3,0.0
7631-86-9,81067-41-6,0.0
7631-86-9,21230-50-2,0.0
7631-86-9,202925-05-1,0.0
7631-86-9,146610-69-7,0.025
7631-86-9,28314-81-0,0.032
7631-86-9,128259-68-7,0.0
7631-86-9,1231892-80-0,0.0
7631-86-9,1269440-67-6,0.0
7631-86-9,1269232-99-6,0.0
7631-86-9,72518-16-2,0.029
7631-86-9,1269232-95-2,0.0
7631-86-9,1189042-70-3,0.022
7631-86-9,27761-65-5,0.0
7631-86-9,1269233-11-5,0.0
7631-86-9,1229025-89-1,0.037
7631-86-9,885519-07-3,0.056
7631-86-9,187929-81-3,0.0
7631-86-9,90872-54-1,0.0
7631-86-9,21230-49-9,0.024
7631-86-9,1082040-45-6,0.031
7631-86-9,122799-95-5,0.0
7631-86-9,89897-29-0,0.0
7631-86-9,1269233-00-2,0.0
7631-86-9,1269232-96-3,0.0
7631-86-9,1244039-95-9,0.0
7631-86-9,22162-26-1,0.0
7631-86-9,1269440-69-8,0.018
7631-86-9,1269440-66-5,0.023
7631-86-9,1269440-58-5,0.0
7631-86-9,1269232-93-0,0.029
7631-86-9,1244039-65-3,0.0
7631-86-9,1111638-74-4,0.0
7631-86-9,721446-29-3,0.022
7631-86-9,219963-63-0,0.0
7631-86-9,14568-46-8,0.038
7631-86-9,1269440-73-4,0.0
7631-86-9,1269440-31-4,0.022
7631-86-9,1269440-29-0,0.011
7631-86-9,1269440-24-5,0.011
7631-86-9,1269440-22-3,0.011
7631-86-9,1269440-21-2,0.011
7631-86-9,1269440-19-8,0.011
7631-86-9,1269440-18-7,0.011
7631-86-9,1269233-14-8,0.0
7631-86-9,1269232-94-1,0.022
7631-86-9,1263377-15-6,0.0
