node1,node2,similarity
124-38-9,79-10-7,0.077
124-38-9,79-41-4,0.071
124-38-9,73183-34-3,0.0
124-38-9,814-68-6,0.071
124-38-9,504-29-0,0.0
124-38-9,140-10-3,0.036
124-38-9,586-75-4,0.04
124-38-9,109-12-6,0.0
124-38-9,1138-80-3,0.026
124-38-9,695-34-1,0.0
124-38-9,1142-20-7,0.024
124-38-9,107-93-7,0.062
124-38-9,1148-11-4,0.02
124-38-9,627-41-8,0.062
124-38-9,590-93-2,0.133
124-38-9,7223-38-3,0.062
124-38-9,591-54-8,0.0
124-38-9,108-52-1,0.0
124-38-9,1420477-60-6,0.021
124-38-9,76931-93-6,0.026
124-38-9,1750-42-1,0.0
124-38-9,112704-79-7,0.032
124-38-9,5469-70-5,0.0
124-38-9,106447-97-6,0.0
124-38-9,180516-87-4,0.028
124-38-9,7697-28-1,0.033
124-38-9,6608-47-5,0.071
124-38-9,42182-27-4,0.034
124-38-9,2933-29-1,0.0
124-38-9,149586-32-3,0.04
124-38-9,33252-32-3,0.0
124-38-9,764-33-0,0.087
124-38-9,5963-77-9,0.105
124-38-9,55557-52-3,0.04
124-38-9,944401-77-8,0.0
124-38-9,20629-35-0,0.05
124-38-9,72135-36-5,0.029
124-38-9,21691-41-8,0.023
124-38-9,149849-92-3,0.034
124-38-9,7358-93-2,0.091
124-38-9,28697-11-2,0.019
124-38-9,39136-60-2,0.0
124-38-9,63968-74-1,0.04
124-38-9,850568-25-1,0.022
124-38-9,118764-05-9,0.083
124-38-9,380499-68-3,0.027
124-38-9,1418307-30-8,0.016
124-38-9,24303-64-8,0.083
124-38-9,61702-15-6,0.0
124-38-9,37131-91-2,0.034
124-38-9,1420478-88-1,0.013
124-38-9,50624-25-4,0.1
124-38-9,1420478-90-5,0.012
124-38-9,1418307-17-1,0.013
124-38-9,867256-77-7,0.023
124-38-9,1420477-55-9,0.011
124-38-9,1420477-89-9,0.02
124-38-9,1420477-57-1,0.01
124-38-9,1418307-18-2,0.013
124-38-9,1420478-87-0,0.013
124-38-9,1420478-89-2,0.01
124-38-9,1420477-90-2,0.02
124-38-9,864754-46-1,0.017
124-38-9,1418307-35-3,0.033
124-38-9,850568-26-2,0.045
124-38-9,1420478-53-0,0.019
124-38-9,1419221-30-9,0.017
124-38-9,1419221-32-1,0.016
124-38-9,1419221-33-2,0.016
124-38-9,1418307-36-4,0.016
124-38-9,1420477-61-7,0.009
124-38-9,1418307-27-3,0.015
124-38-9,819078-65-4,0.019
124-38-9,1420478-32-5,0.009
124-38-9,1420477-92-4,0.02
124-38-9,1420478-86-9,0.01
124-38-9,1420478-82-5,0.009
124-38-9,1420478-81-4,0.009
124-38-9,1420478-80-3,0.01
124-38-9,1420478-79-0,0.01
124-38-9,1420478-78-9,0.01
124-38-9,1420478-76-7,0.02
124-38-9,1420478-75-6,0.009
124-38-9,1420478-72-3,0.018
124-38-9,1420478-71-2,0.02
124-38-9,1420478-69-8,0.009
124-38-9,1420478-65-4,0.008
124-38-9,1420478-64-3,0.017
124-38-9,1420478-63-2,0.01
124-38-9,1420478-62-1,0.009
124-38-9,1420478-61-0,0.009
124-38-9,1420478-55-2,0.022
124-38-9,1420478-33-6,0.009
124-38-9,1420478-31-4,0.009
124-38-9,1420478-19-8,0.009
124-38-9,1420478-16-5,0.01
124-38-9,1420478-15-4,0.009
124-38-9,1420478-03-0,0.009
124-38-9,1420478-01-8,0.019
124-38-9,1420478-00-7,0.011
124-38-9,1420477-97-9,0.01
124-38-9,1420477-96-8,0.01
124-38-9,1420477-91-3,0.01
124-38-9,1420477-88-8,0.02
124-38-9,1420477-87-7,0.01
124-38-9,1420477-86-6,0.02
124-38-9,1420477-85-5,0.01
124-38-9,1420477-83-3,0.012
124-38-9,1420477-82-2,0.019
124-38-9,1420477-81-1,0.008
124-38-9,1420477-80-0,0.009
124-38-9,1420477-79-7,0.018
124-38-9,1420477-77-5,0.02
124-38-9,1420477-76-4,0.02
124-38-9,1420477-75-3,0.01
124-38-9,1420477-74-2,0.011
124-38-9,1420477-73-1,0.01
124-38-9,1420477-72-0,0.02
124-38-9,1420477-71-9,0.01
124-38-9,1420477-69-5,0.019
124-38-9,1420477-68-4,0.01
124-38-9,1420477-67-3,0.01
124-38-9,1420477-66-2,0.029
124-38-9,1420477-63-9,0.009
124-38-9,1419221-42-3,0.016
124-38-9,1420479-23-7,0.014
124-38-9,1420479-20-4,0.014
124-38-9,1420479-18-0,0.012
124-38-9,1420478-98-3,0.011
124-38-9,1420478-85-8,0.019
124-38-9,1420478-84-7,0.019
