node1,node2,similarity
50-00-0,24424-99-5,0.05
50-00-0,98-59-9,0.042
50-00-0,443913-73-3,0.0
50-00-0,1126-09-6,0.031
50-00-0,18997-19-8,0.048
50-00-0,367-24-8,0.0
50-00-0,123855-51-6,0.028
50-00-0,57946-56-2,0.0
50-00-0,617-05-0,0.025
50-00-0,142851-03-4,0.024
50-00-0,452-80-2,0.0
50-00-0,67567-26-4,0.0
50-00-0,20691-89-8,0.0
50-00-0,166815-96-9,0.018
50-00-0,162364-72-9,0.0
50-00-0,179688-01-8,0.017
50-00-0,193002-25-4,0.017
50-00-0,69411-06-9,0.0
50-00-0,196603-96-0,0.0
50-00-0,264208-72-2,0.0
50-00-0,264208-69-7,0.016
50-00-0,193002-24-3,0.014
50-00-0,338992-12-4,0.0
50-00-0,264208-60-8,0.017
50-00-0,264208-66-4,0.016
50-00-0,264208-63-1,0.015
50-00-0,264208-58-4,0.015
50-00-0,338992-20-4,0.011
50-00-0,193001-59-1,0.0
50-00-0,264208-86-8,0.012
50-00-0,288385-87-5,0.013
50-00-0,338991-92-7,0.0
50-00-0,338992-29-3,0.013
50-00-0,338992-16-8,0.0
50-00-0,338992-08-8,0.0
50-00-0,338992-05-5,0.0
50-00-0,338991-97-2,0.0
50-00-0,338992-14-6,0.0
50-00-0,338992-10-2,0.0
50-00-0,338992-03-3,0.0
50-00-0,257938-40-2,0.0
50-00-0,338992-46-4,0.011
50-00-0,338992-44-2,0.0
50-00-0,338992-42-0,0.0
50-00-0,338992-40-8,0.011
50-00-0,338992-35-1,0.011
50-00-0,338992-33-9,0.0
50-00-0,338992-37-3,0.0
50-00-0,3473-63-0,0.067
50-00-0,193001-44-4,0.0
50-00-0,193001-61-5,0.0
50-00-0,338992-53-3,0.011
50-00-0,196194-60-2,0.0
50-00-0,338992-19-1,0.0
50-00-0,338992-65-7,0.0
50-00-0,338992-62-4,0.0
50-00-0,338992-48-6,0.0
50-00-0,338992-31-7,0.0
24424-99-5,98-59-9,0.053
24424-99-5,443913-73-3,0.032
24424-99-5,1126-09-6,0.143
24424-99-5,18997-19-8,0.233
24424-99-5,367-24-8,0.0
24424-99-5,123855-51-6,0.3
24424-99-5,57946-56-2,0.0
24424-99-5,617-05-0,0.098
24424-99-5,142851-03-4,0.261
24424-99-5,452-80-2,0.025
24424-99-5,67567-26-4,0.0
