node1,node2,similarity
1374636-02-8,1374635-34-3,0.117
1374636-02-8,1374635-87-6,0.115
1374636-02-8,1374635-84-3,0.1
1374636-02-8,1374635-83-2,0.115
1374636-02-8,1374635-42-3,0.375
1374636-02-8,1217317-66-2,0.189
1374636-02-8,1217317-65-1,0.528
1374636-02-8,1117693-61-4,0.133
1374636-02-8,865453-20-9,0.329
1374636-02-8,400652-53-1,0.408
1374636-02-8,131915-09-8,0.408
1374636-02-8,105628-30-6,0.477
1374636-02-8,1628716-88-0,0.042
1374636-02-8,1628716-84-6,0.034
1374636-02-8,1462261-44-4,0.042
1374636-02-8,1462261-42-2,0.042
1374636-02-8,1462261-41-1,0.029
1374636-02-8,1462261-40-0,0.1
1374636-02-8,1462261-39-7,0.114
1374636-02-8,1462261-38-6,0.102
1374636-02-8,1462261-37-5,0.117
1374636-02-8,1462261-36-4,0.061
1374636-02-8,1462261-35-3,0.059
1374636-02-8,1462261-34-2,0.351
1374636-02-8,1462261-33-1,0.337
1374636-02-8,1462261-32-0,0.34
1374636-02-8,1462261-31-9,0.062
1374636-02-8,1462261-30-8,0.407
1374636-02-8,1462261-29-5,0.143
1374636-02-8,1462261-28-4,0.055
1374636-02-8,1462261-27-3,0.099
1374636-02-8,1462261-26-2,0.085
1374636-02-8,1462261-24-0,0.149
1374636-02-8,1462261-22-8,0.162
1374636-02-8,1462261-21-7,0.138
1374636-02-8,1391936-85-8,0.551
1374636-02-8,1374636-12-0,0.089
1374636-02-8,1374636-09-5,0.188
1374636-02-8,1374636-07-3,0.127
1374636-02-8,1374635-99-0,0.039
1374636-02-8,1374635-98-9,0.099
1374636-02-8,1374635-97-8,0.093
1374636-02-8,1374635-96-7,0.097
1374636-02-8,1374635-95-6,0.153
1374636-02-8,1374635-80-9,0.116
1374636-02-8,1374635-79-6,0.144
1374636-02-8,1374635-76-3,0.137
1374636-02-8,1374635-75-2,0.167
1374636-02-8,1374635-74-1,0.05
1374636-02-8,1374635-71-8,0.097
1374636-02-8,1374635-70-7,0.122
1374636-02-8,1374635-69-4,0.09
1374636-02-8,1374635-66-1,0.104
1374636-02-8,1374635-65-0,0.139
1374636-02-8,1374635-64-9,0.089
1374636-02-8,1374635-61-6,0.153
1374636-02-8,1374635-60-5,0.188
1374636-02-8,1374635-59-2,0.082
1374636-02-8,1374635-56-9,0.138
1374636-02-8,1374635-55-8,0.144
1374636-02-8,1374635-46-7,0.325
1374636-02-8,1374635-45-6,0.318
1374636-02-8,1374635-44-5,0.395
1374636-02-8,1374635-43-4,0.392
1374636-02-8,1374635-41-2,0.528
1374636-02-8,1374635-40-1,0.633
1374636-02-8,1374635-39-8,0.425
1374636-02-8,1374635-38-7,0.052
1374636-02-8,1374635-36-5,0.105
1374636-02-8,1374634-86-2,0.082
1374636-02-8,1374634-84-0,0.078
1374636-02-8,1374634-82-8,0.078
1374636-02-8,1628717-27-0,0.051
1374636-02-8,1628717-26-9,0.079
1374636-02-8,1628717-25-8,0.079
1374636-02-8,1628717-24-7,0.07
1374636-02-8,1628717-23-6,0.053
1374636-02-8,1628717-22-5,0.069
1374636-02-8,1628717-21-4,0.058
1374636-02-8,1628717-20-3,0.065
1374636-02-8,1628717-19-0,0.05
1374636-02-8,1628717-18-9,0.058
1374636-02-8,1628717-17-8,0.052
1374636-02-8,1628717-16-7,0.051
1374636-02-8,1628717-15-6,0.072
1374636-02-8,1628717-14-5,0.059
1374636-02-8,1628717-13-4,0.059
1374636-02-8,1628717-12-3,0.055
1374636-02-8,1628717-11-2,0.058
1374636-02-8,1628717-10-1,0.061
1374636-02-8,1628717-09-8,0.067
1374636-02-8,1628717-06-5,0.051
1374636-02-8,1628717-05-4,0.068
1374636-02-8,1628717-04-3,0.051
1374636-02-8,1628717-03-2,0.047
1374636-02-8,1628717-02-1,0.05
1374636-02-8,1628717-01-0,0.058
1374636-02-8,1628717-00-9,0.065
1374636-02-8,1628716-99-3,0.044
1374636-02-8,67-56-1,0.037
1374636-02-8,74-88-4,0.018
1374636-02-8,24424-99-5,0.076
1374636-02-8,124-63-0,0.089
1374636-02-8,109-01-3,0.015
1374636-02-8,16419-60-6,0.104
1374636-02-8,57260-73-8,0.127
1374636-02-8,2524-67-6,0.038
1374636-02-8,27489-62-9,0.015
1374636-02-8,4897-50-1,0.013
1374636-02-8,10160-87-9,0.06
1374636-02-8,36082-50-5,0.041
1374636-02-8,39856-50-3,0.053
1374636-02-8,571188-59-5,0.086
1374636-02-8,79069-14-0,0.153
1374636-02-8,571189-49-6,0.048
1374636-02-8,571189-78-1,0.035
