node1,node2,similarity
50-00-0,100-52-7,0.053
50-00-0,75-07-0,0.125
50-00-0,110-91-8,0.0
50-00-0,76-05-1,0.083
50-00-0,124-63-0,0.1
50-00-0,95-54-5,0.0
50-00-0,123-38-6,0.091
50-00-0,78-84-2,0.091
50-00-0,103-71-9,0.042
50-00-0,103-82-2,0.042
50-00-0,122-78-1,0.043
50-00-0,530-62-1,0.042
50-00-0,590-86-3,0.067
50-00-0,504-24-5,0.0
50-00-0,100-09-4,0.038
50-00-0,104-12-1,0.038
50-00-0,1489-69-6,0.077
50-00-0,3173-56-6,0.036
50-00-0,496-72-0,0.0
50-00-0,586-38-9,0.031
50-00-0,5416-93-3,0.034
50-00-0,619-65-8,0.038
50-00-0,95-83-0,0.0
50-00-0,3171-45-7,0.0
50-00-0,1548-13-6,0.034
50-00-0,6628-77-9,0.0
50-00-0,367-31-7,0.0
50-00-0,102-51-2,0.0
50-00-0,17739-45-6,0.0
50-00-0,6427-66-3,0.033
50-00-0,27374-25-0,0.0
50-00-0,327-78-6,0.027
50-00-0,331-25-9,0.031
50-00-0,451-82-1,0.033
50-00-0,35037-73-1,0.03
50-00-0,4747-71-1,0.045
50-00-0,368-71-8,0.0
50-00-0,40465-45-0,0.036
50-00-0,34893-92-0,0.038
50-00-0,74784-70-6,0.0
50-00-0,16136-58-6,0.028
50-00-0,76179-40-3,0.0
50-00-0,3430-14-6,0.0
50-00-0,17626-40-3,0.0
50-00-0,4214-73-7,0.0
50-00-0,16413-26-6,0.029
50-00-0,31027-31-3,0.034
50-00-0,106877-33-2,0.0
50-00-0,15268-31-2,0.033
50-00-0,4442-54-0,0.029
50-00-0,16315-59-6,0.034
50-00-0,3724-10-5,0.034
50-00-0,1827-27-6,0.0
50-00-0,403-20-3,0.03
50-00-0,3430-19-1,0.0
50-00-0,1095173-27-5,0.013
50-00-0,76429-73-7,0.027
50-00-0,3430-33-9,0.0
50-00-0,64436-92-6,0.0
50-00-0,360-03-2,0.038
50-00-0,82846-18-2,0.029
50-00-0,16205-46-2,0.026
50-00-0,69999-16-2,0.024
50-00-0,100275-94-3,0.026
50-00-0,19155-88-5,0.029
50-00-0,261635-93-2,0.029
50-00-0,250161-45-6,0.028
50-00-0,58808-59-6,0.037
50-00-0,62119-70-4,0.026
50-00-0,2386-28-9,0.036
50-00-0,4144-68-7,0.032
50-00-0,70639-77-9,0.025
50-00-0,32829-25-7,0.026
50-00-0,13669-19-7,0.034
50-00-0,70918-54-6,0.027
50-00-0,175277-09-5,0.031
50-00-0,134997-87-8,0.048
50-00-0,85545-58-0,0.0
50-00-0,186593-48-6,0.0
50-00-0,103203-84-5,0.026
50-00-0,66093-07-0,0.0
50-00-0,58037-05-1,0.026
50-00-0,197775-45-4,0.026
50-00-0,78756-98-6,0.026
50-00-0,321744-26-7,0.022
50-00-0,1256818-31-1,0.026
50-00-0,125117-98-8,0.03
50-00-0,524005-41-2,0.025
50-00-0,816448-94-9,0.024
50-00-0,405229-64-3,0.019
50-00-0,254882-17-2,0.022
50-00-0,1095173-08-2,0.019
50-00-0,778646-95-0,0.022
50-00-0,1095176-13-8,0.013
50-00-0,1095176-08-1,0.013
50-00-0,1095173-26-4,0.012
50-00-0,1095173-20-8,0.015
50-00-0,1095173-19-5,0.014
50-00-0,1095173-10-6,0.014
50-00-0,1095173-09-3,0.014
50-00-0,524005-40-1,0.025
50-00-0,1095176-15-0,0.012
50-00-0,1095176-14-9,0.011
50-00-0,1095176-12-7,0.011
50-00-0,1095176-11-6,0.012
50-00-0,1095176-10-5,0.011
50-00-0,1095176-09-2,0.012
50-00-0,1095175-02-2,0.011
50-00-0,1095174-91-6,0.011
50-00-0,1095174-73-4,0.011
50-00-0,1095174-48-3,0.013
50-00-0,1095174-44-9,0.012
50-00-0,1095174-40-5,0.013
50-00-0,1095174-26-7,0.011
50-00-0,1095174-24-5,0.011
50-00-0,1095174-20-1,0.012
50-00-0,1095174-18-7,0.011
50-00-0,1095173-94-6,0.012
50-00-0,1095173-80-0,0.012
50-00-0,1095173-52-6,0.011
50-00-0,1095173-50-4,0.011
50-00-0,1095173-48-0,0.011
50-00-0,1095173-46-8,0.011
50-00-0,1095173-44-6,0.012
50-00-0,1095173-42-4,0.011
50-00-0,1095173-38-8,0.011
50-00-0,1095173-35-5,0.011
50-00-0,1095173-34-4,0.012
50-00-0,1095173-32-2,0.01
50-00-0,1095173-31-1,0.013
50-00-0,1095173-30-0,0.011
50-00-0,1095173-25-3,0.009
50-00-0,1095173-24-2,0.01
50-00-0,1095173-22-0,0.009
50-00-0,1095173-21-9,0.011
50-00-0,1095173-18-4,0.012
50-00-0,1095173-17-3,0.011
50-00-0,1095173-16-2,0.014
50-00-0,1095173-15-1,0.014
50-00-0,1095173-14-0,0.012
50-00-0,1095173-12-8,0.012
50-00-0,1095173-11-7,0.011
50-00-0,1095173-07-1,0.012
50-00-0,1095176-07-0,0.011
50-00-0,1095176-05-8,0.011
50-00-0,1095176-03-6,0.011
50-00-0,1095176-01-4,0.011
50-00-0,1095175-99-7,0.01
50-00-0,1095175-97-5,0.011
50-00-0,1095175-95-3,0.011
50-00-0,1095175-93-1,0.01
50-00-0,1095175-91-9,0.01
50-00-0,1095175-89-5,0.011
50-00-0,1095175-87-3,0.01
50-00-0,1095175-85-1,0.01
50-00-0,1095175-83-9,0.011
50-00-0,1095175-81-7,0.0
50-00-0,1095175-80-6,0.011
50-00-0,1095175-79-3,0.012
50-00-0,1095175-78-2,0.011
50-00-0,1095175-77-1,0.011
50-00-0,1095175-76-0,0.011
50-00-0,1095175-75-9,0.011
50-00-0,1095175-74-8,0.011
50-00-0,1095175-73-7,0.012
50-00-0,1095175-72-6,0.012
50-00-0,1095175-71-5,0.012
50-00-0,1095175-70-4,0.011
50-00-0,1095175-69-1,0.011
50-00-0,1095175-68-0,0.011
50-00-0,1095175-67-9,0.012
50-00-0,1095175-66-8,0.012
50-00-0,1095175-65-7,0.012
50-00-0,1095175-63-5,0.011
50-00-0,1095175-61-3,0.013
50-00-0,1095175-59-9,0.012
50-00-0,1095175-57-7,0.012
50-00-0,1095175-55-5,0.011
50-00-0,1095175-53-3,0.011
50-00-0,1095175-51-1,0.012
50-00-0,1095175-49-7,0.01
50-00-0,1095175-47-5,0.011
50-00-0,1095175-45-3,0.011
50-00-0,1095175-43-1,0.011
50-00-0,1095175-41-9,0.012
50-00-0,1095175-38-4,0.012
50-00-0,1095175-35-1,0.013
50-00-0,1095175-32-8,0.011
50-00-0,1095175-29-3,0.011
50-00-0,1095175-26-0,0.012
50-00-0,1095175-23-7,0.013
50-00-0,1095175-20-4,0.011
50-00-0,1095175-17-9,0.011
50-00-0,1095175-14-6,0.011
50-00-0,1095175-11-3,0.011
50-00-0,1095175-08-8,0.012
50-00-0,1095175-06-6,0.022
50-00-0,1095175-04-4,0.011
50-00-0,1095175-00-0,0.011
50-00-0,1095174-98-3,0.012
50-00-0,1095174-96-1,0.014
50-00-0,1095174-94-9,0.012
50-00-0,1095174-89-2,0.012
50-00-0,1095174-87-0,0.012
50-00-0,1095174-85-8,0.011
50-00-0,1095174-83-6,0.011
50-00-0,1095174-81-4,0.012
50-00-0,1095174-79-0,0.011
50-00-0,1095174-77-8,0.012
50-00-0,1095174-75-6,0.014
50-00-0,1095174-71-2,0.012
50-00-0,1095174-68-7,0.011
50-00-0,1095174-66-5,0.012
50-00-0,1095174-64-3,0.013
50-00-0,1095174-62-1,0.011
50-00-0,1095174-60-9,0.013
50-00-0,1095174-58-5,0.012
50-00-0,1095174-56-3,0.013
50-00-0,1095174-54-1,0.014
50-00-0,1095174-52-9,0.011
50-00-0,1095174-50-7,0.011
50-00-0,1095174-46-1,0.012
50-00-0,1095174-42-7,0.012
50-00-0,1095174-38-1,0.011
50-00-0,1095174-36-9,0.012
50-00-0,1095174-34-7,0.011
50-00-0,1095174-32-5,0.012
50-00-0,1095174-30-3,0.011
50-00-0,1095174-28-9,0.011
50-00-0,1095174-22-3,0.012
50-00-0,1095174-16-5,0.011
50-00-0,1095174-14-3,0.013
50-00-0,1095174-12-1,0.011
50-00-0,1095174-10-9,0.012
50-00-0,1095174-08-5,0.013
50-00-0,1095174-06-3,0.012
50-00-0,1095174-04-1,0.012
50-00-0,1095174-02-9,0.013
50-00-0,1095174-00-7,0.012
50-00-0,1095173-98-0,0.012
50-00-0,1095173-96-8,0.011
50-00-0,1095173-92-4,0.011
50-00-0,1095173-90-2,0.011
50-00-0,1095173-88-8,0.012
50-00-0,1095173-86-6,0.012
50-00-0,1095173-84-4,0.01
50-00-0,1095173-82-2,0.012
50-00-0,1095173-78-6,0.011
50-00-0,1095173-76-4,0.013
50-00-0,1095173-74-2,0.012
50-00-0,1095173-72-0,0.011
50-00-0,1095173-70-8,0.011
50-00-0,1095173-68-4,0.011
50-00-0,1095173-66-2,0.012
50-00-0,1095173-64-0,0.012
50-00-0,1095173-62-8,0.013
50-00-0,1095173-60-6,0.011
50-00-0,1095173-58-2,0.013
50-00-0,1095173-56-0,0.011
