node1,node2,similarity
134330-49-7,133866-72-5,0.447
134330-49-7,41165-34-8,0.068
134330-49-7,20121-77-1,0.065
134330-49-7,446311-24-6,0.075
134330-49-7,404949-27-5,0.043
134330-49-7,80336-89-6,0.07
134330-49-7,65768-80-1,0.055
134330-49-7,404953-24-8,0.012
134330-49-7,404951-40-2,0.02
134330-49-7,404951-38-8,0.044
134330-49-7,404951-35-5,0.011
134330-49-7,404951-34-4,0.02
134330-49-7,404951-32-2,0.011
134330-49-7,404951-31-1,0.045
134330-49-7,404951-18-4,0.036
134330-49-7,404951-14-0,0.045
134330-49-7,404951-06-0,0.022
134330-49-7,404951-04-8,0.011
134330-49-7,404951-01-5,0.036
134330-49-7,404950-89-6,0.021
134330-49-7,404950-64-7,0.02
134330-49-7,404950-36-3,0.012
134330-49-7,404950-34-1,0.022
134330-49-7,404950-33-0,0.045
134330-49-7,404949-40-2,0.022
134330-49-7,404949-36-6,0.01
134330-49-7,404948-77-2,0.021
134330-49-7,404948-68-1,0.034
134330-49-7,404948-66-9,0.022
134330-49-7,404948-61-4,0.019
134330-49-7,404948-58-9,0.011
134330-49-7,404948-39-6,0.012
134330-49-7,165751-29-1,0.032
134330-49-7,1433852-39-1,0.0
134330-49-7,404951-51-5,0.044
134330-49-7,404951-50-4,0.021
134330-49-7,404951-49-1,0.044
134330-49-7,404951-48-0,0.02
134330-49-7,404951-47-9,0.021
134330-49-7,404951-46-8,0.022
134330-49-7,404951-45-7,0.029
134330-49-7,404951-44-6,0.01
134330-49-7,404951-43-5,0.01
134330-49-7,404951-42-4,0.042
134330-49-7,404951-41-3,0.01
134330-49-7,404951-39-9,0.01
134330-49-7,404951-37-7,0.01
134330-49-7,404951-36-6,0.022
134330-49-7,404951-33-3,0.02
134330-49-7,404951-29-7,0.02
134330-49-7,404951-27-5,0.021
134330-49-7,404951-25-3,0.043
134330-49-7,404951-23-1,0.022
134330-49-7,404951-22-0,0.022
134330-49-7,404951-20-8,0.02
134330-49-7,404951-17-3,0.02
134330-49-7,404951-16-2,0.043
134330-49-7,404951-13-9,0.03
134330-49-7,404951-12-8,0.021
134330-49-7,404951-11-7,0.013
134330-49-7,404951-10-6,0.012
134330-49-7,404951-09-3,0.022
134330-49-7,404951-08-2,0.022
134330-49-7,404951-07-1,0.01
134330-49-7,404951-05-9,0.022
134330-49-7,404951-02-6,0.043
134330-49-7,404950-99-8,0.042
134330-49-7,404950-98-7,0.037
134330-49-7,404950-97-6,0.043
134330-49-7,404950-96-5,0.012
134330-49-7,404950-95-4,0.013
134330-49-7,404950-94-3,0.035
134330-49-7,404950-93-2,0.042
134330-49-7,404950-92-1,0.011
134330-49-7,404950-90-9,0.022
134330-49-7,404950-88-5,0.02
134330-49-7,404950-87-4,0.022
134330-49-7,404950-86-3,0.06
134330-49-7,404950-85-2,0.022
134330-49-7,404950-83-0,0.01
134330-49-7,404950-82-9,0.019
134330-49-7,404950-81-8,0.019
134330-49-7,404950-79-4,0.02
134330-49-7,404950-78-3,0.028
134330-49-7,404950-77-2,0.028
134330-49-7,404950-76-1,0.042
134330-49-7,404950-75-0,0.01
134330-49-7,404950-74-9,0.028
134330-49-7,404950-73-8,0.011
134330-49-7,404950-72-7,0.01
134330-49-7,404950-71-6,0.011
134330-49-7,404950-70-5,0.019
134330-49-7,404950-69-2,0.01
134330-49-7,404950-68-1,0.011
134330-49-7,404950-67-0,0.03
134330-49-7,404950-65-8,0.041
134330-49-7,404950-63-6,0.021
134330-49-7,404950-62-5,0.01
134330-49-7,404950-61-4,0.024
134330-49-7,404949-26-4,0.02
134330-49-7,404949-25-3,0.049
134330-49-7,404949-24-2,0.011
134330-49-7,404949-23-1,0.019
134330-49-7,404949-22-0,0.027
134330-49-7,404949-21-9,0.028
134330-49-7,404949-20-8,0.011
134330-49-7,404949-19-5,0.022
134330-49-7,404949-18-4,0.028
134330-49-7,404949-17-3,0.011
134330-49-7,404949-16-2,0.043
134330-49-7,404949-15-1,0.017
134330-49-7,404949-14-0,0.018
134330-49-7,404949-13-9,0.018
134330-49-7,404949-12-8,0.011
134330-49-7,404949-11-7,0.02
134330-49-7,404949-10-6,0.01
134330-49-7,404949-08-2,0.035
134330-49-7,404949-06-0,0.019
134330-49-7,404949-04-8,0.015
134330-49-7,404949-02-6,0.016
