node1,node2,similarity
32315-10-9,96-50-4,0.0
32315-10-9,1820-80-0,0.032
32315-10-9,1603-91-4,0.0
32315-10-9,7305-71-7,0.0
32315-10-9,108-33-8,0.0
32315-10-9,1750-42-1,0.0
32315-10-9,475108-18-0,0.057
32315-10-9,14068-53-2,0.0
32315-10-9,14678-02-5,0.0
32315-10-9,53266-94-7,0.083
32315-10-9,10444-89-0,0.029
32315-10-9,24340-76-9,0.0
32315-10-9,39222-73-6,0.029
32315-10-9,25660-70-2,0.0
32315-10-9,41663-73-4,0.03
32315-10-9,74370-93-7,0.027
32315-10-9,30748-47-1,0.081
32315-10-9,57235-50-4,0.0
32315-10-9,347161-74-4,0.015
32315-10-9,286371-44-6,0.03
32315-10-9,228559-74-8,0.014
32315-10-9,286371-71-9,0.016
32315-10-9,347161-75-5,0.03
32315-10-9,228559-82-8,0.015
32315-10-9,347161-76-6,0.015
32315-10-9,286371-45-7,0.03
32315-10-9,286371-63-9,0.029
32315-10-9,286371-46-8,0.015
32315-10-9,475108-91-9,0.03
32315-10-9,475108-90-8,0.054
32315-10-9,475108-89-5,0.054
32315-10-9,475108-88-4,0.065
32315-10-9,475108-87-3,0.065
32315-10-9,475108-86-2,0.041
32315-10-9,475108-85-1,0.041
32315-10-9,475108-84-0,0.042
32315-10-9,475108-83-9,0.052
32315-10-9,475108-82-8,0.052
32315-10-9,475108-81-7,0.054
32315-10-9,475108-80-6,0.054
32315-10-9,475108-79-3,0.043
32315-10-9,475108-78-2,0.043
32315-10-9,475108-77-1,0.043
32315-10-9,475108-76-0,0.043
32315-10-9,475108-75-9,0.043
32315-10-9,475108-74-8,0.045
32315-10-9,475108-73-7,0.045
32315-10-9,475108-72-6,0.046
32315-10-9,475108-71-5,0.046
32315-10-9,475108-70-4,0.046
32315-10-9,475108-69-1,0.048
32315-10-9,475108-68-0,0.054
32315-10-9,475108-67-9,0.055
32315-10-9,475108-66-8,0.054
32315-10-9,475108-65-7,0.057
32315-10-9,475108-64-6,0.056
32315-10-9,475108-63-5,0.056
32315-10-9,475108-62-4,0.057
32315-10-9,475108-61-3,0.058
32315-10-9,475108-60-2,0.047
32315-10-9,475108-59-9,0.047
32315-10-9,475108-58-8,0.047
32315-10-9,475108-57-7,0.048
32315-10-9,475108-56-6,0.056
32315-10-9,475108-55-5,0.055
32315-10-9,475108-54-4,0.056
32315-10-9,475108-53-3,0.057
32315-10-9,475108-52-2,0.056
32315-10-9,475108-51-1,0.043
32315-10-9,475108-50-0,0.044
32315-10-9,475108-49-7,0.057
32315-10-9,475108-48-6,0.065
32315-10-9,475108-47-5,0.056
32315-10-9,475108-46-4,0.048
32315-10-9,475108-45-3,0.054
32315-10-9,475108-44-2,0.038
32315-10-9,475108-41-9,0.053
32315-10-9,475108-40-8,0.056
32315-10-9,475108-39-5,0.056
32315-10-9,475108-38-4,0.044
32315-10-9,475108-37-3,0.056
32315-10-9,475108-36-2,0.045
32315-10-9,475108-35-1,0.059
32315-10-9,475108-34-0,0.071
32315-10-9,475108-33-9,0.057
32315-10-9,475108-32-8,0.056
32315-10-9,475108-31-7,0.048
32315-10-9,475108-29-3,0.057
32315-10-9,475108-28-2,0.057
32315-10-9,475108-27-1,0.056
32315-10-9,475108-26-0,0.056
32315-10-9,475108-25-9,0.047
32315-10-9,475108-24-8,0.048
32315-10-9,475108-23-7,0.045
32315-10-9,475108-21-5,0.045
32315-10-9,475108-20-4,0.045
32315-10-9,475108-19-1,0.056
32315-10-9,475108-17-9,0.047
32315-10-9,475108-16-8,0.057
32315-10-9,475108-15-7,0.06
32315-10-9,52547-00-9,0.0
32315-10-9,71574-33-9,0.0
32315-10-9,475108-43-1,0.044
32315-10-9,475108-42-0,0.045
32315-10-9,475108-22-6,0.045
96-50-4,1820-80-0,0.179
96-50-4,1603-91-4,0.296
96-50-4,7305-71-7,0.296
96-50-4,108-33-8,0.222
96-50-4,1750-42-1,0.179
96-50-4,475108-18-0,0.056
96-50-4,14068-53-2,0.194
96-50-4,14678-02-5,0.167
96-50-4,53266-94-7,0.178
96-50-4,10444-89-0,0.194
96-50-4,24340-76-9,0.207
96-50-4,39222-73-6,0.194
96-50-4,25660-70-2,0.167
96-50-4,41663-73-4,0.296
96-50-4,74370-93-7,0.258
96-50-4,30748-47-1,0.171
96-50-4,57235-50-4,0.176
96-50-4,347161-74-4,0.111
96-50-4,286371-44-6,0.111
96-50-4,228559-74-8,0.109
96-50-4,286371-71-9,0.119
96-50-4,347161-75-5,0.111
96-50-4,228559-82-8,0.113
96-50-4,347161-76-6,0.113
96-50-4,286371-45-7,0.113
96-50-4,286371-63-9,0.109
96-50-4,286371-46-8,0.111
96-50-4,475108-91-9,0.111
96-50-4,475108-90-8,0.065
96-50-4,475108-89-5,0.065
96-50-4,475108-88-4,0.065
96-50-4,475108-87-3,0.064
96-50-4,475108-86-2,0.062
96-50-4,475108-85-1,0.062
96-50-4,475108-84-0,0.063
96-50-4,475108-83-9,0.062
96-50-4,475108-82-8,0.062
96-50-4,475108-81-7,0.065
96-50-4,475108-80-6,0.065
96-50-4,475108-79-3,0.065
96-50-4,475108-78-2,0.065
96-50-4,475108-77-1,0.065
96-50-4,475108-76-0,0.066
96-50-4,475108-75-9,0.066
96-50-4,475108-74-8,0.069
96-50-4,475108-73-7,0.08
96-50-4,475108-72-6,0.082
96-50-4,475108-71-5,0.082
96-50-4,475108-70-4,0.082
96-50-4,475108-69-1,0.085
96-50-4,475108-68-0,0.065
96-50-4,475108-67-9,0.066
96-50-4,475108-66-8,0.065
96-50-4,475108-65-7,0.068
96-50-4,475108-64-6,0.08
96-50-4,475108-63-5,0.08
96-50-4,475108-62-4,0.068
96-50-4,475108-61-3,0.122
96-50-4,475108-60-2,0.083
96-50-4,475108-59-9,0.083
96-50-4,475108-58-8,0.071
96-50-4,475108-57-7,0.128
96-50-4,475108-56-6,0.079
96-50-4,475108-55-5,0.078
96-50-4,475108-54-4,0.067
96-50-4,475108-53-3,0.119
96-50-4,475108-52-2,0.067
96-50-4,475108-51-1,0.065
96-50-4,475108-50-0,0.067
96-50-4,475108-49-7,0.068
96-50-4,475108-48-6,0.075
96-50-4,475108-47-5,0.067
96-50-4,475108-46-4,0.068
96-50-4,475108-45-3,0.076
96-50-4,475108-44-2,0.069
96-50-4,475108-41-9,0.075
96-50-4,475108-40-8,0.08
96-50-4,475108-39-5,0.079
96-50-4,475108-38-4,0.08
96-50-4,475108-37-3,0.08
96-50-4,475108-36-2,0.068
96-50-4,475108-35-1,0.058
96-50-4,475108-34-0,0.058
96-50-4,475108-33-9,0.068
96-50-4,475108-32-8,0.067
96-50-4,475108-31-7,0.072
96-50-4,475108-29-3,0.068
96-50-4,475108-28-2,0.057
96-50-4,475108-27-1,0.067
96-50-4,475108-26-0,0.056
96-50-4,475108-25-9,0.071
96-50-4,475108-24-8,0.06
96-50-4,475108-23-7,0.057
96-50-4,475108-21-5,0.068
96-50-4,475108-20-4,0.068
96-50-4,475108-19-1,0.067
96-50-4,475108-17-9,0.059
96-50-4,475108-16-8,0.068
96-50-4,475108-15-7,0.059
96-50-4,52547-00-9,0.2
96-50-4,71574-33-9,0.207
96-50-4,475108-43-1,0.079
96-50-4,475108-42-0,0.12
96-50-4,475108-22-6,0.056
1820-80-0,1603-91-4,0.2
1820-80-0,7305-71-7,0.161
1820-80-0,108-33-8,0.133
1820-80-0,1750-42-1,0.259
1820-80-0,475108-18-0,0.056
1820-80-0,14068-53-2,0.118
1820-80-0,14678-02-5,0.161
1820-80-0,53266-94-7,0.125
1820-80-0,10444-89-0,0.118
1820-80-0,24340-76-9,0.161
1820-80-0,39222-73-6,0.118
1820-80-0,25660-70-2,0.103
1820-80-0,41663-73-4,0.161
1820-80-0,74370-93-7,0.143
1820-80-0,30748-47-1,0.105
1820-80-0,57235-50-4,0.108
1820-80-0,347161-74-4,0.109
1820-80-0,286371-44-6,0.109
1820-80-0,228559-74-8,0.108
1820-80-0,286371-71-9,0.117
1820-80-0,347161-75-5,0.109
1820-80-0,228559-82-8,0.111
1820-80-0,347161-76-6,0.111
1820-80-0,286371-45-7,0.111
1820-80-0,286371-63-9,0.108
1820-80-0,286371-46-8,0.109
1820-80-0,475108-91-9,0.109
1820-80-0,475108-90-8,0.053
1820-80-0,475108-89-5,0.053
1820-80-0,475108-88-4,0.053
1820-80-0,475108-87-3,0.052
1820-80-0,475108-86-2,0.051
1820-80-0,475108-85-1,0.051
1820-80-0,475108-84-0,0.062
1820-80-0,475108-83-9,0.062
1820-80-0,475108-82-8,0.061
1820-80-0,475108-81-7,0.053
1820-80-0,475108-80-6,0.053
1820-80-0,475108-79-3,0.053
1820-80-0,475108-78-2,0.053
1820-80-0,475108-77-1,0.053
1820-80-0,475108-76-0,0.054
1820-80-0,475108-75-9,0.054
1820-80-0,475108-74-8,0.056
1820-80-0,475108-73-7,0.067
1820-80-0,475108-72-6,0.069
1820-80-0,475108-71-5,0.069
1820-80-0,475108-70-4,0.069
1820-80-0,475108-69-1,0.071
1820-80-0,475108-68-0,0.053
1820-80-0,475108-67-9,0.054
1820-80-0,475108-66-8,0.053
1820-80-0,475108-65-7,0.056
1820-80-0,475108-64-6,0.067
1820-80-0,475108-63-5,0.067
1820-80-0,475108-62-4,0.056
1820-80-0,475108-61-3,0.057
1820-80-0,475108-60-2,0.07
1820-80-0,475108-59-9,0.07
1820-80-0,475108-58-8,0.058
1820-80-0,475108-57-7,0.06
1820-80-0,475108-56-6,0.066
1820-80-0,475108-55-5,0.065
1820-80-0,475108-54-4,0.054
1820-80-0,475108-53-3,0.056
1820-80-0,475108-52-2,0.055
1820-80-0,475108-51-1,0.053
1820-80-0,475108-50-0,0.055
1820-80-0,475108-49-7,0.056
1820-80-0,475108-48-6,0.052
1820-80-0,475108-47-5,0.054
1820-80-0,475108-46-4,0.047
1820-80-0,475108-45-3,0.053
1820-80-0,475108-44-2,0.048
1820-80-0,475108-41-9,0.063
1820-80-0,475108-40-8,0.067
1820-80-0,475108-39-5,0.066
1820-80-0,475108-38-4,0.067
1820-80-0,475108-37-3,0.067
1820-80-0,475108-36-2,0.056
1820-80-0,475108-35-1,0.122
1820-80-0,475108-34-0,0.122
1820-80-0,475108-33-9,0.056
1820-80-0,475108-32-8,0.055
1820-80-0,475108-31-7,0.059
1820-80-0,475108-29-3,0.056
1820-80-0,475108-28-2,0.056
1820-80-0,475108-27-1,0.054
1820-80-0,475108-26-0,0.055
1820-80-0,475108-25-9,0.058
1820-80-0,475108-24-8,0.059
1820-80-0,475108-23-7,0.056
1820-80-0,475108-21-5,0.056
1820-80-0,475108-20-4,0.056
1820-80-0,475108-19-1,0.055
