node1,node2,similarity
64-17-5,67-56-1,0.286
64-17-5,56-65-5,0.026
64-17-5,80-62-6,0.105
64-17-5,24424-99-5,0.091
64-17-5,107-02-8,0.0
64-17-5,75-16-1,0.091
64-17-5,358-23-6,0.0
64-17-5,75-25-2,0.0
64-17-5,67-51-6,0.045
64-17-5,61676-62-8,0.037
64-17-5,4746-97-8,0.0
64-17-5,196929-78-9,0.062
64-17-5,343338-28-3,0.062
64-17-5,31230-17-8,0.042
64-17-5,17159-79-4,0.121
64-17-5,33252-28-7,0.0
64-17-5,5424-21-5,0.037
64-17-5,15878-00-9,0.0
64-17-5,487-51-4,0.103
64-17-5,35277-02-2,0.0
64-17-5,139042-59-4,0.065
64-17-5,4472-45-1,0.037
64-17-5,36070-75-4,0.0
64-17-5,2097132-94-8,0.02
64-17-5,1049004-32-1,0.08
64-17-5,73112-16-0,0.043
64-17-5,578008-32-9,0.051
64-17-5,851435-28-4,0.023
64-17-5,160252-31-3,0.067
64-17-5,1980023-96-8,0.022
64-17-5,1980023-94-6,0.045
64-17-5,62617-91-8,0.103
64-17-5,89466-59-1,0.031
64-17-5,1980023-95-7,0.018
64-17-5,58293-76-8,0.056
64-17-5,1622928-67-9,0.061
64-17-5,2097133-36-1,0.054
64-17-5,2097133-49-6,0.018
64-17-5,2097133-47-4,0.047
64-17-5,1052564-18-7,0.047
64-17-5,2054318-22-6,0.023
64-17-5,1980024-10-9,0.024
64-17-5,1980024-09-6,0.0
64-17-5,2097133-51-0,0.052
64-17-5,2097133-50-9,0.051
64-17-5,2097133-30-5,0.036
64-17-5,2097133-18-9,0.059
64-17-5,1179963-32-6,0.0
64-17-5,1178845-71-0,0.024
64-17-5,1134898-77-3,0.023
64-17-5,29835-52-7,0.103
64-17-5,2097133-52-1,0.018
64-17-5,2097133-32-7,0.03
64-17-5,2097132-93-7,0.02
64-17-5,1536394-10-1,0.078
64-17-5,58996-69-3,0.059
64-17-5,2097133-42-9,0.061
64-17-5,2097133-31-6,0.037
64-17-5,2097147-61-8,0.02
64-17-5,2097133-45-2,0.105
64-17-5,2097133-44-1,0.108
64-17-5,2097133-43-0,0.108
64-17-5,2097133-41-8,0.054
64-17-5,2097133-40-7,0.077
64-17-5,2097133-39-4,0.078
64-17-5,2097133-38-3,0.075
64-17-5,2097133-37-2,0.098
64-17-5,2097133-35-0,0.029
64-17-5,2097133-34-9,0.025
64-17-5,2097133-33-8,0.037
64-17-5,2097133-29-2,0.034
64-17-5,2097133-28-1,0.035
64-17-5,2097133-27-0,0.035
64-17-5,2097133-26-9,0.031
64-17-5,2097133-25-8,0.058
64-17-5,2097133-24-7,0.074
64-17-5,2097133-23-6,0.074
64-17-5,2097133-22-5,0.033
64-17-5,2097133-21-4,0.062
64-17-5,2097133-20-3,0.062
64-17-5,2097133-19-0,0.057
