node1,node2,similarity
98-88-4,85-44-9,0.188
98-88-4,99-09-2,0.125
98-88-4,152459-95-5,0.1
98-88-4,122-01-0,0.429
98-88-4,874-60-2,0.414
98-88-4,403-43-0,0.414
98-88-4,5271-67-0,0.323
98-88-4,350-03-8,0.257
98-88-4,2243-83-6,0.351
98-88-4,21615-34-9,0.306
98-88-4,10400-19-8,0.419
98-88-4,6068-72-0,0.375
98-88-4,14254-57-0,0.429
98-88-4,99-55-8,0.116
98-88-4,2051-49-2,0.077
98-88-4,2251-50-5,0.226
98-88-4,29745-44-6,0.344
98-88-4,1535-73-5,0.091
98-88-4,152460-10-1,0.083
98-88-4,55314-16-4,0.217
98-88-4,152460-09-8,0.079
98-88-4,66521-54-8,0.196
98-88-4,831-75-4,0.083
98-88-4,148077-69-4,0.273
98-88-4,66521-53-7,0.156
98-88-4,401-94-5,0.085
98-88-4,618-61-1,0.068
98-88-4,152459-94-4,0.177
98-88-4,152460-06-5,0.075
98-88-4,152459-75-1,0.068
98-88-4,152459-96-6,0.106
98-88-4,152459-93-3,0.093
98-88-4,152459-98-8,0.116
98-88-4,152459-97-7,0.109
98-88-4,152459-86-4,0.091
98-88-4,152459-79-5,0.118
98-88-4,152459-99-9,0.098
98-88-4,152459-91-1,0.098
98-88-4,152459-90-0,0.084
98-88-4,152459-88-6,0.094
98-88-4,152459-85-3,0.069
98-88-4,152459-77-3,0.176
98-88-4,152459-87-5,0.098
98-88-4,152459-84-2,0.1
98-88-4,152459-82-0,0.11
98-88-4,152459-78-4,0.114
98-88-4,113094-81-8,0.06
98-88-4,152459-89-7,0.084
98-88-4,152459-83-1,0.083
98-88-4,152459-80-8,0.101
98-88-4,152459-76-2,0.113
98-88-4,152460-01-0,0.063
98-88-4,152460-00-9,0.067
98-88-4,152459-92-2,0.114
98-88-4,152460-04-3,0.064
98-88-4,152460-03-2,0.077
98-88-4,152460-02-1,0.066
98-88-4,152459-81-9,0.085
98-88-4,152460-05-4,0.155
98-88-4,152460-08-7,0.111
98-88-4,142992-99-2,0.115
98-88-4,152460-14-5,0.097
98-88-4,152460-12-3,0.103
98-88-4,152460-18-9,0.088
98-88-4,152460-16-7,0.073
85-44-9,99-09-2,0.125
85-44-9,152459-95-5,0.048
85-44-9,122-01-0,0.111
85-44-9,874-60-2,0.108
85-44-9,403-43-0,0.108
85-44-9,5271-67-0,0.139
85-44-9,350-03-8,0.128
85-44-9,2243-83-6,0.136
85-44-9,21615-34-9,0.146
85-44-9,10400-19-8,0.128
85-44-9,6068-72-0,0.1
85-44-9,14254-57-0,0.111
85-44-9,99-55-8,0.091
85-44-9,2051-49-2,0.024
85-44-9,2251-50-5,0.056
85-44-9,29745-44-6,0.162
85-44-9,1535-73-5,0.091
85-44-9,152460-10-1,0.068
85-44-9,55314-16-4,0.098
85-44-9,152460-09-8,0.065
85-44-9,66521-54-8,0.122
85-44-9,831-75-4,0.083
85-44-9,148077-69-4,0.077
85-44-9,66521-53-7,0.083
85-44-9,401-94-5,0.085
