node1,node2,similarity
108-24-7,74-88-4,0.083
108-24-7,141-43-5,0.059
108-24-7,110-89-4,0.0
108-24-7,110-91-8,0.0
108-24-7,100-39-0,0.0
108-24-7,74-89-5,0.083
108-24-7,100-46-9,0.0
108-24-7,98-59-9,0.067
108-24-7,124-40-3,0.077
108-24-7,109-89-7,0.059
108-24-7,288-32-4,0.0
108-24-7,124-63-0,0.125
108-24-7,111-42-2,0.048
108-24-7,18162-48-6,0.053
108-24-7,123-75-1,0.0
108-24-7,75-04-7,0.067
108-24-7,110-85-0,0.0
108-24-7,108-98-5,0.0
108-24-7,75-31-0,0.067
108-24-7,151-50-8,0.0
108-24-7,103-71-9,0.032
108-24-7,103-82-2,0.103
108-24-7,64-04-0,0.0
108-24-7,100-58-3,0.0
108-24-7,358-23-6,0.087
108-24-7,75-64-9,0.067
108-24-7,3282-30-2,0.235
108-24-7,58479-61-1,0.03
108-24-7,74-11-3,0.107
108-24-7,2393-23-9,0.065
108-24-7,69739-34-0,0.097
108-24-7,5328-37-0,0.069
108-24-7,1099-45-2,0.122
108-24-7,111-49-9,0.0
108-24-7,762-72-1,0.045
108-24-7,106-54-7,0.0
108-24-7,104-86-9,0.0
108-24-7,459-46-1,0.0
108-24-7,104-12-1,0.03
108-24-7,696-63-9,0.071
108-24-7,81290-20-2,0.056
108-24-7,611-73-4,0.107
108-24-7,24850-33-7,0.031
108-24-7,5416-93-3,0.088
108-24-7,118-41-2,0.161
108-24-7,352-13-6,0.0
108-24-7,534-03-2,0.053
108-24-7,23356-96-9,0.034
108-24-7,15186-48-8,0.1
108-24-7,7143-01-3,0.176
108-24-7,2799-21-5,0.04
108-24-7,253128-41-5,0.031
108-24-7,14470-28-1,0.051
108-24-7,872-35-5,0.0
108-24-7,68832-13-3,0.034
108-24-7,89238-99-3,0.07
108-24-7,1477-49-2,0.07
108-24-7,420-90-6,0.0
108-24-7,88755-16-2,0.147
108-24-7,33935-64-7,0.192
108-24-7,253128-15-3,0.032
108-24-7,157322-83-3,0.065
108-24-7,252905-91-2,0.053
108-24-7,253128-10-8,0.032
108-24-7,253128-14-2,0.028
108-24-7,141120-28-7,0.062
108-24-7,253128-06-2,0.033
108-24-7,253128-13-1,0.028
108-24-7,253128-09-5,0.038
108-24-7,156721-86-7,0.075
108-24-7,253128-11-9,0.029
108-24-7,253128-17-5,0.027
108-24-7,253128-40-4,0.029
108-24-7,253128-27-7,0.025
108-24-7,253128-19-7,0.03
108-24-7,253128-67-5,0.031
108-24-7,253128-12-0,0.029
108-24-7,253128-82-4,0.029
108-24-7,253128-28-8,0.033
108-24-7,253128-08-4,0.039
108-24-7,253128-02-8,0.02
108-24-7,252904-77-1,0.117
108-24-7,253128-74-4,0.029
108-24-7,253128-65-3,0.031
108-24-7,253128-47-1,0.034
108-24-7,253128-45-9,0.035
108-24-7,253128-42-6,0.034
108-24-7,253128-39-1,0.041
108-24-7,253128-38-0,0.028
108-24-7,253128-37-9,0.028
108-24-7,253128-35-7,0.028
108-24-7,253128-34-6,0.028
108-24-7,253128-32-4,0.03
108-24-7,253128-24-4,0.034
108-24-7,253128-23-3,0.034
108-24-7,253128-22-2,0.034
108-24-7,253128-18-6,0.02
108-24-7,253128-16-4,0.032
108-24-7,253128-07-3,0.041
108-24-7,253127-99-0,0.043
108-24-7,252905-00-3,0.035
108-24-7,252904-99-7,0.035
108-24-7,252904-83-9,0.028
108-24-7,252904-80-6,0.049
108-24-7,252904-79-3,0.049
108-24-7,253128-86-8,0.028
108-24-7,253128-85-7,0.03
108-24-7,253128-84-6,0.028
108-24-7,253128-83-5,0.03
108-24-7,253128-81-3,0.028
108-24-7,253128-80-2,0.028
108-24-7,253128-79-9,0.027
108-24-7,253128-78-8,0.027
108-24-7,253128-77-7,0.029
108-24-7,253128-76-6,0.029
108-24-7,253128-75-5,0.029
108-24-7,253128-73-3,0.028
108-24-7,253128-72-2,0.03
108-24-7,253128-71-1,0.029
108-24-7,253128-70-0,0.028
108-24-7,253128-69-7,0.029
108-24-7,253128-68-6,0.03
108-24-7,253128-66-4,0.03
108-24-7,253128-64-2,0.031
108-24-7,253128-63-1,0.03
108-24-7,253128-62-0,0.03
108-24-7,253128-60-8,0.04
108-24-7,253128-58-4,0.031
108-24-7,253128-57-3,0.031
108-24-7,253128-56-2,0.031
108-24-7,253128-55-1,0.03
108-24-7,253128-54-0,0.03
108-24-7,253128-53-9,0.076
108-24-7,253128-52-8,0.029
108-24-7,253128-51-7,0.029
108-24-7,253128-50-6,0.024
108-24-7,253128-49-3,0.025
108-24-7,253128-48-2,0.035
108-24-7,253128-46-0,0.034
108-24-7,253128-44-8,0.032
108-24-7,253128-43-7,0.033
108-24-7,253128-36-8,0.027
108-24-7,253128-33-5,0.031
108-24-7,253128-31-3,0.037
108-24-7,253128-30-2,0.038
108-24-7,253128-29-9,0.031
108-24-7,253128-26-6,0.024
108-24-7,253128-25-5,0.024
108-24-7,253128-21-1,0.028
108-24-7,253128-20-0,0.027
108-24-7,253128-05-1,0.026
108-24-7,253128-04-0,0.022
108-24-7,253128-03-9,0.015
108-24-7,253128-01-7,0.032
108-24-7,253128-00-6,0.037
108-24-7,253127-98-9,0.037
108-24-7,252906-04-0,0.035
108-24-7,252906-02-8,0.022
108-24-7,252906-01-7,0.065
108-24-7,252906-00-6,0.038
108-24-7,252905-98-9,0.034
108-24-7,252905-97-8,0.034
108-24-7,252905-96-7,0.027
108-24-7,252905-90-1,0.067
108-24-7,252905-89-8,0.033
108-24-7,252905-88-7,0.033
108-24-7,252905-87-6,0.064
108-24-7,252905-86-5,0.064
108-24-7,252905-85-4,0.064
108-24-7,252905-84-3,0.066
108-24-7,252905-83-2,0.053
108-24-7,252905-82-1,0.023
108-24-7,252905-81-0,0.035
108-24-7,252905-80-9,0.036
108-24-7,252905-79-6,0.055
108-24-7,252905-78-5,0.064
108-24-7,252905-77-4,0.062
108-24-7,252905-76-3,0.035
108-24-7,252905-75-2,0.036
108-24-7,252905-74-1,0.055
108-24-7,252905-73-0,0.07
108-24-7,252905-72-9,0.07
108-24-7,252905-71-8,0.07
108-24-7,252905-70-7,0.071
108-24-7,252905-69-4,0.075
108-24-7,252905-68-3,0.058
108-24-7,252905-67-2,0.038
108-24-7,252905-66-1,0.025
108-24-7,252905-65-0,0.039
108-24-7,252905-64-9,0.059
108-24-7,252905-63-8,0.067
108-24-7,252905-62-7,0.069
108-24-7,252905-61-6,0.07
108-24-7,252905-60-5,0.033
108-24-7,252905-59-2,0.033
108-24-7,252905-58-1,0.051
108-24-7,252905-57-0,0.053
108-24-7,252905-56-9,0.053
108-24-7,252905-55-8,0.054
108-24-7,252905-54-7,0.059
108-24-7,252905-53-6,0.059
108-24-7,252905-52-5,0.068
108-24-7,252905-51-4,0.062
108-24-7,252905-50-3,0.026
108-24-7,252905-49-0,0.042
108-24-7,252905-48-9,0.062
108-24-7,252905-46-7,0.082
108-24-7,252905-45-6,0.082
108-24-7,252905-43-4,0.085
108-24-7,252905-40-1,0.067
108-24-7,252905-38-7,0.028
108-24-7,252905-34-3,0.028
108-24-7,252905-32-1,0.029
108-24-7,252905-29-6,0.02
108-24-7,252905-26-3,0.031
108-24-7,252905-24-1,0.044
108-24-7,252905-20-7,0.038
108-24-7,252905-18-3,0.043
108-24-7,252905-17-2,0.041
108-24-7,252905-15-0,0.036
108-24-7,252905-14-9,0.07
108-24-7,252905-13-8,0.082
108-24-7,252905-11-6,0.075
108-24-7,252905-10-5,0.102
108-24-7,252905-09-2,0.086
108-24-7,252905-08-1,0.078
108-24-7,252905-07-0,0.079
108-24-7,252905-06-9,0.062
108-24-7,252905-05-8,0.046
108-24-7,252905-02-5,0.046
108-24-7,252905-01-4,0.067
108-24-7,252904-98-6,0.023
108-24-7,252904-97-5,0.037
108-24-7,252904-96-4,0.056
108-24-7,252904-95-3,0.071
108-24-7,252904-94-2,0.071
108-24-7,252904-92-0,0.07
108-24-7,252904-91-9,0.074
108-24-7,252904-89-5,0.06
108-24-7,252904-88-4,0.07
108-24-7,252904-87-3,0.074
108-24-7,252904-86-2,0.096
108-24-7,252904-85-1,0.071
108-24-7,252904-82-8,0.043
108-24-7,252904-78-2,0.109
108-24-7,1779-49-3,0.036
108-24-7,6419-36-9,0.083
74-88-4,141-43-5,0.0
74-88-4,110-89-4,0.0
74-88-4,110-91-8,0.0
74-88-4,100-39-0,0.0
74-88-4,74-89-5,0.2
74-88-4,100-46-9,0.0
74-88-4,98-59-9,0.042
74-88-4,124-40-3,0.167
74-88-4,109-89-7,0.1
74-88-4,288-32-4,0.0
74-88-4,124-63-0,0.1
74-88-4,111-42-2,0.0
74-88-4,18162-48-6,0.083
74-88-4,123-75-1,0.0
74-88-4,75-04-7,0.125
74-88-4,110-85-0,0.0
74-88-4,108-98-5,0.0
74-88-4,75-31-0,0.125
74-88-4,151-50-8,0.0
74-88-4,103-71-9,0.0
74-88-4,103-82-2,0.0
74-88-4,64-04-0,0.0
74-88-4,100-58-3,0.0
74-88-4,358-23-6,0.0
74-88-4,75-64-9,0.125
74-88-4,3282-30-2,0.077
74-88-4,58479-61-1,0.038
74-88-4,74-11-3,0.0
74-88-4,2393-23-9,0.04
74-88-4,69739-34-0,0.038
74-88-4,5328-37-0,0.0
74-88-4,1099-45-2,0.026
74-88-4,111-49-9,0.0
74-88-4,762-72-1,0.067
74-88-4,106-54-7,0.0
74-88-4,104-86-9,0.0
74-88-4,459-46-1,0.0
74-88-4,104-12-1,0.0
74-88-4,696-63-9,0.045
74-88-4,81290-20-2,0.091
74-88-4,611-73-4,0.0
74-88-4,24850-33-7,0.04
74-88-4,5416-93-3,0.034
74-88-4,118-41-2,0.036
74-88-4,352-13-6,0.0
74-88-4,534-03-2,0.0
74-88-4,23356-96-9,0.0
74-88-4,15186-48-8,0.04
74-88-4,7143-01-3,0.083
74-88-4,2799-21-5,0.0
74-88-4,253128-41-5,0.008
74-88-4,14470-28-1,0.03
74-88-4,872-35-5,0.0
74-88-4,68832-13-3,0.0
74-88-4,89238-99-3,0.026
74-88-4,1477-49-2,0.0
74-88-4,420-90-6,0.0
74-88-4,88755-16-2,0.032
74-88-4,33935-64-7,0.043
74-88-4,253128-15-3,0.008
74-88-4,157322-83-3,0.027
74-88-4,252905-91-2,0.029
74-88-4,253128-10-8,0.008
74-88-4,253128-14-2,0.007
74-88-4,141120-28-7,0.026
