node1,node2,similarity
64-17-5,630-08-0,0.0
64-17-5,110-89-4,0.0
64-17-5,110-91-8,0.0
64-17-5,24424-99-5,0.091
64-17-5,75-65-0,0.2
64-17-5,78-83-1,0.364
64-17-5,110-85-0,0.0
64-17-5,109-86-4,0.286
64-17-5,504-29-0,0.0
64-17-5,110-80-5,0.312
64-17-5,2393-23-9,0.074
64-17-5,109-04-6,0.0
64-17-5,141-86-6,0.0
64-17-5,571190-30-2,0.023
64-17-5,97674-02-7,0.138
64-17-5,763-69-9,0.148
64-17-5,141-91-3,0.048
64-17-5,3852-09-3,0.13
64-17-5,108-49-6,0.05
64-17-5,39856-50-3,0.0
64-17-5,571188-59-5,0.038
64-17-5,84477-72-5,0.045
64-17-5,571189-49-6,0.025
64-17-5,571189-78-1,0.0
64-17-5,571189-16-7,0.036
64-17-5,571188-82-4,0.021
64-17-5,491855-89-1,0.0
64-17-5,94924-94-4,0.0
64-17-5,211245-64-6,0.02
64-17-5,211245-62-4,0.071
64-17-5,26448-91-9,0.133
64-17-5,444146-17-2,0.0
64-17-5,30315-34-5,0.024
64-17-5,571189-27-0,0.024
64-17-5,571188-81-3,0.017
64-17-5,362656-23-3,0.017
64-17-5,571190-22-2,0.012
64-17-5,571189-23-6,0.037
64-17-5,211245-66-8,0.018
64-17-5,161617-96-5,0.083
64-17-5,571189-10-1,0.039
64-17-5,571189-65-6,0.021
64-17-5,362656-25-5,0.017
64-17-5,571191-15-6,0.048
64-17-5,571189-68-9,0.034
64-17-5,571189-64-5,0.033
64-17-5,571189-51-0,0.023
64-17-5,571189-21-4,0.017
64-17-5,571190-02-8,0.023
64-17-5,571189-73-6,0.036
64-17-5,211245-67-9,0.018
64-17-5,571189-81-6,0.023
64-17-5,571189-79-2,0.012
64-17-5,571189-57-6,0.023
64-17-5,571189-34-9,0.034
64-17-5,571189-32-7,0.023
64-17-5,571188-70-0,0.034
64-17-5,352363-26-9,0.022
64-17-5,571190-20-0,0.022
64-17-5,571190-01-7,0.021
64-17-5,571189-97-4,0.033
64-17-5,571189-63-4,0.026
64-17-5,571189-55-4,0.024
64-17-5,571189-48-5,0.012
64-17-5,571189-24-7,0.012
64-17-5,571189-22-5,0.021
64-17-5,571189-14-5,0.0
64-17-5,571189-03-2,0.04
64-17-5,571188-56-2,0.0
64-17-5,362656-36-8,0.017
64-17-5,211245-82-8,0.02
64-17-5,211245-81-7,0.02
64-17-5,211245-80-6,0.018
64-17-5,851067-55-5,0.0
64-17-5,571190-29-9,0.024
64-17-5,571190-27-7,0.022
64-17-5,571190-26-6,0.021
64-17-5,571190-25-5,0.032
64-17-5,571190-18-6,0.021
64-17-5,571190-17-5,0.023
64-17-5,571190-11-9,0.023
64-17-5,571190-10-8,0.043
64-17-5,571190-03-9,0.012
64-17-5,571189-94-1,0.046
64-17-5,571189-86-1,0.039
64-17-5,571189-84-9,0.024
64-17-5,571189-83-8,0.044
64-17-5,571189-82-7,0.012
64-17-5,571189-80-5,0.043
64-17-5,571189-76-9,0.038
64-17-5,571189-74-7,0.021
64-17-5,571189-71-4,0.037
64-17-5,571189-69-0,0.02
64-17-5,571189-61-2,0.037
64-17-5,571189-54-3,0.023
64-17-5,571189-52-1,0.037
64-17-5,571189-50-9,0.043
64-17-5,571189-41-8,0.023
64-17-5,571189-39-4,0.022
64-17-5,571189-37-2,0.022
64-17-5,571189-28-1,0.039
64-17-5,571189-20-3,0.017
64-17-5,571189-18-9,0.017
64-17-5,571189-12-3,0.014
64-17-5,571188-97-1,0.018
64-17-5,571188-72-2,0.028
64-17-5,571188-69-7,0.028
64-17-5,571188-58-4,0.017
64-17-5,355141-49-0,0.029
64-17-5,211245-79-3,0.018
64-17-5,850919-17-4,0.045
64-17-5,571192-52-4,0.036
64-17-5,571192-51-3,0.025
64-17-5,571192-48-8,0.035
64-17-5,571192-47-7,0.021
64-17-5,571192-46-6,0.051
64-17-5,571192-45-5,0.045
64-17-5,571192-43-3,0.045
64-17-5,571192-42-2,0.045
64-17-5,571192-41-1,0.024
64-17-5,571192-40-0,0.025
64-17-5,571192-39-7,0.022
64-17-5,571192-38-6,0.047
64-17-5,571192-37-5,0.022
