node1,node2,similarity
124-40-3,288-32-4,0.0
124-40-3,1066-54-2,0.083
124-40-3,109-01-3,0.056
124-40-3,407-25-0,0.0
124-40-3,107-20-0,0.0
124-40-3,411235-57-9,0.0
124-40-3,822-36-6,0.105
124-40-3,5049-61-6,0.0
124-40-3,943319-70-8,0.019
124-40-3,10111-08-7,0.0
124-40-3,5470-49-5,0.04
124-40-3,132958-72-6,0.043
124-40-3,121-86-8,0.031
124-40-3,82998-57-0,0.032
124-40-3,54962-75-3,0.0
124-40-3,24016-03-3,0.0
124-40-3,641571-11-1,0.022
124-40-3,694499-26-8,0.021
124-40-3,35944-64-0,0.038
124-40-3,4926-47-0,0.0
124-40-3,274-79-3,0.0
124-40-3,18087-73-5,0.0
124-40-3,89976-12-5,0.028
124-40-3,943320-61-4,0.0
124-40-3,52107-98-9,0.031
124-40-3,57948-41-1,0.0
124-40-3,859282-11-4,0.019
124-40-3,943320-50-1,0.028
124-40-3,54534-78-0,0.034
124-40-3,694499-24-6,0.019
124-40-3,943320-60-3,0.022
124-40-3,943320-53-4,0.0
124-40-3,926922-18-1,0.029
124-40-3,96428-16-9,0.0
124-40-3,943319-87-7,0.019
124-40-3,943320-67-0,0.023
124-40-3,943320-63-6,0.019
124-40-3,943320-70-5,0.028
124-40-3,943320-48-7,0.0
124-40-3,943320-65-8,0.028
124-40-3,943320-47-6,0.0
124-40-3,943320-68-1,0.019
124-40-3,943320-49-8,0.029
124-40-3,926922-23-8,0.055
124-40-3,943320-69-2,0.043
124-40-3,943320-66-9,0.02
124-40-3,943319-73-1,0.02
124-40-3,926923-09-3,0.038
124-40-3,943320-72-7,0.025
124-40-3,943320-71-6,0.027
124-40-3,943320-62-5,0.017
124-40-3,1229622-64-3,0.027
124-40-3,1229622-59-6,0.029
124-40-3,943320-52-3,0.026
124-40-3,943319-69-5,0.019
124-40-3,109388-59-2,0.0
124-40-3,943320-64-7,0.026
124-40-3,943320-51-2,0.019
124-40-3,943320-46-5,0.024
124-40-3,943320-39-6,0.019
124-40-3,943320-27-2,0.019
124-40-3,943320-18-1,0.02
124-40-3,943320-14-7,0.018
124-40-3,943320-13-6,0.019
124-40-3,943320-10-3,0.018
124-40-3,943320-07-8,0.018
124-40-3,943320-03-4,0.019
124-40-3,943320-01-2,0.02
124-40-3,943319-90-2,0.019
124-40-3,943319-89-9,0.019
124-40-3,943319-86-6,0.019
124-40-3,943319-79-7,0.019
124-40-3,943319-74-2,0.019
124-40-3,943319-72-0,0.019
124-40-3,943319-71-9,0.02
124-40-3,943319-65-1,0.019
124-40-3,943319-63-9,0.019
124-40-3,943319-62-8,0.019
124-40-3,943319-58-2,0.02
124-40-3,943319-55-9,0.019
124-40-3,1229620-12-5,0.044
124-40-3,1229615-44-4,0.016
124-40-3,943320-54-5,0.042
124-40-3,943320-36-3,0.02
124-40-3,943320-29-4,0.022
124-40-3,943319-98-0,0.02
124-40-3,943319-94-6,0.02
124-40-3,943319-61-7,0.024
124-40-3,943320-59-0,0.034
124-40-3,943320-58-9,0.032
124-40-3,943320-57-8,0.022
124-40-3,943320-56-7,0.017
124-40-3,943320-55-6,0.017
124-40-3,943320-45-4,0.031
124-40-3,943320-44-3,0.034
124-40-3,943320-42-1,0.017
124-40-3,943320-41-0,0.022
124-40-3,943320-40-9,0.019
124-40-3,943320-38-5,0.02
124-40-3,943320-37-4,0.035
124-40-3,943320-35-2,0.02
124-40-3,943320-34-1,0.019
124-40-3,943320-33-0,0.02
124-40-3,943320-32-9,0.034
124-40-3,943320-31-8,0.019
124-40-3,943320-30-7,0.037
124-40-3,943320-26-1,0.019
124-40-3,943320-25-0,0.018
124-40-3,943320-24-9,0.019
124-40-3,943320-23-8,0.018
124-40-3,943320-22-7,0.02
124-40-3,943320-21-6,0.02
124-40-3,943320-20-5,0.02
124-40-3,943320-19-2,0.019
124-40-3,943320-16-9,0.019
124-40-3,943320-15-8,0.017
124-40-3,943320-11-4,0.019
124-40-3,943320-09-0,0.02
124-40-3,943320-08-9,0.02
124-40-3,943320-06-7,0.021
124-40-3,943320-05-6,0.02
124-40-3,943320-04-5,0.02
124-40-3,943320-02-3,0.019
124-40-3,943319-99-1,0.018
124-40-3,943319-97-9,0.032
124-40-3,943319-96-8,0.019
124-40-3,943319-95-7,0.031
124-40-3,943319-91-3,0.043
124-40-3,943319-88-8,0.019
124-40-3,943319-85-5,0.019
124-40-3,943319-83-3,0.033
124-40-3,943319-82-2,0.019
124-40-3,943319-81-1,0.019
124-40-3,943319-80-0,0.019
124-40-3,943319-78-6,0.019
124-40-3,943319-77-5,0.033
124-40-3,943319-76-4,0.019
124-40-3,943319-68-4,0.018
124-40-3,943319-67-3,0.029
124-40-3,943319-66-2,0.029
124-40-3,943319-64-0,0.033
124-40-3,943319-59-3,0.035
124-40-3,943319-57-1,0.02
124-40-3,943319-56-0,0.019
124-40-3,943319-54-8,0.021
124-40-3,943320-17-0,0.019
124-40-3,943319-75-3,0.019
288-32-4,1066-54-2,0.045
