node1,node2,similarity
74-88-4,110-91-8,0.0
74-88-4,74-89-5,0.2
74-88-4,24424-99-5,0.05
74-88-4,76-05-1,0.0
74-88-4,75-36-5,0.1
74-88-4,100-02-7,0.0
74-88-4,123-75-1,0.0
74-88-4,104-94-9,0.045
74-88-4,108-86-1,0.0
74-88-4,75-31-0,0.125
74-88-4,99-61-6,0.0
74-88-4,103-71-9,0.0
74-88-4,75-64-9,0.125
74-88-4,60-35-5,0.1
74-88-4,106-38-7,0.056
74-88-4,7790-94-5,0.0
74-88-4,540-51-2,0.0
74-88-4,536-90-3,0.038
74-88-4,107-08-4,0.222
74-88-4,90-11-9,0.0
74-88-4,626-55-1,0.0
74-88-4,350-46-9,0.0
74-88-4,591-19-5,0.0
74-88-4,106-39-8,0.0
74-88-4,402-43-7,0.0
74-88-4,2398-37-0,0.038
74-88-4,98-58-8,0.0
74-88-4,822-36-6,0.053
74-88-4,87120-72-7,0.029
74-88-4,7154-73-6,0.0
74-88-4,3934-20-1,0.0
74-88-4,585-79-5,0.0
74-88-4,401-78-5,0.0
74-88-4,108-37-2,0.0
74-88-4,2524-67-6,0.0
74-88-4,556-96-7,0.056
74-88-4,1711-09-7,0.0
74-88-4,2635-13-4,0.0
74-88-4,329-01-1,0.0
74-88-4,20469-65-2,0.045
74-88-4,52488-36-5,0.0
74-88-4,16153-81-4,0.031
74-88-4,7342-82-7,0.0
74-88-4,19493-44-8,0.0
74-88-4,2905-24-0,0.0
74-88-4,5050-41-9,0.0
74-88-4,6320-01-0,0.0
74-88-4,4923-87-9,0.0
74-88-4,936091-26-8,0.011
74-88-4,16518-62-0,0.038
74-88-4,24398-88-7,0.028
74-88-4,18282-59-2,0.0
74-88-4,2359-60-6,0.0
74-88-4,3993-78-0,0.0
74-88-4,55289-36-6,0.04
74-88-4,16687-60-8,0.028
74-88-4,2221-00-3,0.0
74-88-4,576-23-8,0.043
74-88-4,170911-92-9,0.022
74-88-4,51013-67-3,0.0
74-88-4,182344-70-3,0.021
74-88-4,2252-44-0,0.0
74-88-4,34896-80-5,0.036
74-88-4,621-38-5,0.031
74-88-4,60811-18-9,0.0
74-88-4,70261-82-4,0.029
74-88-4,3972-64-3,0.038
74-88-4,51207-86-4,0.0
74-88-4,89599-01-9,0.0
74-88-4,42753-75-3,0.029
74-88-4,186407-74-9,0.0
74-88-4,19500-02-8,0.036
74-88-4,16365-27-8,0.0
74-88-4,16817-43-9,0.034
74-88-4,73732-51-1,0.027
74-88-4,154607-01-9,0.0
74-88-4,46047-18-1,0.031
74-88-4,6421-88-1,0.0
74-88-4,17635-45-9,0.0
74-88-4,54932-72-8,0.04
74-88-4,92394-00-8,0.027
74-88-4,445-01-2,0.0
74-88-4,170011-57-1,0.021
74-88-4,6523-49-5,0.0
74-88-4,27692-74-6,0.0
74-88-4,119192-10-8,0.0
74-88-4,50609-01-3,0.0
74-88-4,123207-48-7,0.0
74-88-4,1081-73-8,0.0
74-88-4,103291-07-2,0.034
74-88-4,936091-14-4,0.012
74-88-4,56643-85-7,0.0
74-88-4,119285-07-3,0.02
74-88-4,56302-41-1,0.0
74-88-4,304897-49-2,0.021
74-88-4,130307-08-3,0.031
74-88-4,49834-22-2,0.03
74-88-4,6698-13-1,0.0
74-88-4,138227-63-1,0.02
74-88-4,936092-95-4,0.015
74-88-4,936092-94-3,0.027
74-88-4,936092-92-1,0.014
74-88-4,936092-89-6,0.02
74-88-4,936092-86-3,0.018
74-88-4,936092-85-2,0.022
74-88-4,936092-76-1,0.022
74-88-4,936092-75-0,0.018
74-88-4,936092-73-8,0.019
74-88-4,936092-57-8,0.019
74-88-4,936092-52-3,0.018
74-88-4,936092-38-5,0.016
74-88-4,936092-32-9,0.012
74-88-4,936092-31-8,0.012
74-88-4,936092-30-7,0.014
74-88-4,936092-28-3,0.024
74-88-4,936092-27-2,0.011
74-88-4,936092-26-1,0.012
74-88-4,936092-25-0,0.012
74-88-4,936092-24-9,0.012
74-88-4,936092-23-8,0.011
74-88-4,936092-22-7,0.025
74-88-4,936092-21-6,0.011
74-88-4,936092-20-5,0.012
74-88-4,936092-19-2,0.024
74-88-4,936092-17-0,0.014
74-88-4,936092-16-9,0.024
74-88-4,936092-15-8,0.013
74-88-4,936092-14-7,0.012
74-88-4,936092-12-5,0.013
74-88-4,936092-11-4,0.011
74-88-4,936092-10-3,0.011
74-88-4,936092-09-0,0.012
74-88-4,936092-08-9,0.013
74-88-4,936092-07-8,0.012
74-88-4,936092-05-6,0.013
74-88-4,936092-02-3,0.024
74-88-4,936092-01-2,0.014
74-88-4,936091-99-5,0.012
74-88-4,936091-86-0,0.011
74-88-4,936091-85-9,0.011
74-88-4,936091-84-8,0.024
74-88-4,936091-83-7,0.024
74-88-4,936091-82-6,0.012
74-88-4,936091-81-5,0.012
74-88-4,936091-80-4,0.011
74-88-4,936091-78-0,0.012
74-88-4,936091-77-9,0.011
74-88-4,936091-76-8,0.012
74-88-4,936091-75-7,0.026
74-88-4,936091-73-5,0.011
74-88-4,936091-72-4,0.012
74-88-4,936091-71-3,0.022
74-88-4,936091-70-2,0.025
74-88-4,936091-69-9,0.011
74-88-4,936091-68-8,0.02
74-88-4,936091-67-7,0.023
74-88-4,936091-66-6,0.026
74-88-4,936091-64-4,0.013
74-88-4,936091-60-0,0.013
74-88-4,936091-58-6,0.014
74-88-4,936091-56-4,0.011
74-88-4,936091-55-3,0.012
74-88-4,936091-54-2,0.013
74-88-4,936091-52-0,0.011
74-88-4,936091-51-9,0.011
74-88-4,936091-41-7,0.024
74-88-4,936091-40-6,0.024
74-88-4,936091-39-3,0.012
74-88-4,936091-38-2,0.026
74-88-4,936091-37-1,0.026
74-88-4,936091-36-0,0.024
74-88-4,936091-35-9,0.013
74-88-4,936091-34-8,0.011
74-88-4,936091-33-7,0.012
74-88-4,936091-32-6,0.011
74-88-4,936091-31-5,0.014
74-88-4,936091-29-1,0.012
74-88-4,936091-28-0,0.013
74-88-4,936091-27-9,0.013
74-88-4,936091-25-7,0.011
74-88-4,936091-24-6,0.012
74-88-4,936091-23-5,0.01
74-88-4,936091-22-4,0.011
74-88-4,936091-19-9,0.011
74-88-4,936091-18-8,0.011
74-88-4,936091-17-7,0.012
74-88-4,936091-16-6,0.011
74-88-4,936091-12-2,0.026
74-88-4,936091-11-1,0.027
74-88-4,936091-09-7,0.027
74-88-4,936091-07-5,0.027
74-88-4,936091-03-1,0.026
74-88-4,936091-01-9,0.025
74-88-4,936090-99-2,0.024
74-88-4,936090-95-8,0.012
74-88-4,936090-94-7,0.012
74-88-4,936090-93-6,0.024
74-88-4,936090-91-4,0.023
74-88-4,936090-89-0,0.0
74-88-4,936090-87-8,0.013
74-88-4,936090-85-6,0.014
74-88-4,936090-83-4,0.012
74-88-4,936090-81-2,0.012
74-88-4,936090-79-8,0.013
74-88-4,936090-77-6,0.013
74-88-4,936090-73-2,0.011
74-88-4,936090-71-0,0.012
74-88-4,936090-69-6,0.024
74-88-4,936090-67-4,0.013
74-88-4,936090-64-1,0.012
74-88-4,936090-58-3,0.012
74-88-4,936090-56-1,0.013
74-88-4,936090-54-9,0.024
74-88-4,936090-52-7,0.012
74-88-4,936090-49-2,0.026
74-88-4,936090-47-0,0.026
74-88-4,936090-45-8,0.014
74-88-4,936090-44-7,0.028
74-88-4,936090-42-5,0.014
74-88-4,936090-40-3,0.012
74-88-4,936090-38-9,0.012
74-88-4,936090-36-7,0.0
74-88-4,936090-34-5,0.012
74-88-4,936090-33-4,0.0
74-88-4,936090-31-2,0.013
74-88-4,936090-29-8,0.015
74-88-4,864659-92-7,0.018
74-88-4,280581-57-9,0.021
74-88-4,1210813-05-0,0.019
74-88-4,936092-84-1,0.021
74-88-4,936092-83-0,0.009
74-88-4,936092-82-9,0.015
74-88-4,936092-81-8,0.019
74-88-4,936092-78-3,0.018
74-88-4,936092-77-2,0.019
74-88-4,936092-74-9,0.021
74-88-4,936092-72-7,0.011
74-88-4,936092-70-5,0.018
74-88-4,936092-69-2,0.01
74-88-4,936092-68-1,0.022
74-88-4,936092-67-0,0.024
74-88-4,936092-66-9,0.016
74-88-4,936092-65-8,0.01
74-88-4,936092-64-7,0.016
74-88-4,936092-63-6,0.0
74-88-4,936092-62-5,0.022
74-88-4,936092-61-4,0.014
74-88-4,936092-59-0,0.014
74-88-4,936092-58-9,0.017
74-88-4,936092-56-7,0.012
74-88-4,936092-55-6,0.015
74-88-4,936092-54-5,0.015
74-88-4,936092-51-2,0.018
74-88-4,936092-50-1,0.021
74-88-4,936092-47-6,0.0
74-88-4,936092-46-5,0.0
74-88-4,936092-44-3,0.022
74-88-4,936092-43-2,0.019
74-88-4,936092-42-1,0.018
74-88-4,936092-41-0,0.018
74-88-4,936092-40-9,0.018
74-88-4,936092-39-6,0.042
74-88-4,936092-36-3,0.019
74-88-4,936092-33-0,0.0
74-88-4,936091-53-1,0.014
74-88-4,936090-75-4,0.023
74-88-4,500863-19-4,0.023
74-88-4,1210809-36-1,0.021
74-88-4,1210807-30-9,0.019
74-88-4,1210806-72-6,0.019
74-88-4,1210787-51-1,0.02
74-88-4,936092-18-1,0.013
74-88-4,936091-62-2,0.013
74-88-4,1210807-85-4,0.019
74-88-4,7250-67-1,0.0
74-88-4,100200-99-5,0.028
74-88-4,936092-06-7,0.012
74-88-4,936091-57-5,0.014
74-88-4,936091-43-9,0.024
74-88-4,1210839-52-3,0.024
74-88-4,936092-45-4,0.02
74-88-4,936092-29-4,0.022
74-88-4,936092-13-6,0.012
74-88-4,936092-04-5,0.013
74-88-4,936092-03-4,0.013
74-88-4,936092-00-1,0.011
74-88-4,936091-98-4,0.011
74-88-4,936091-96-2,0.011
74-88-4,936091-95-1,0.012
74-88-4,936091-94-0,0.011
74-88-4,936091-93-9,0.011
74-88-4,936091-92-8,0.011
74-88-4,936091-91-7,0.012
74-88-4,936091-90-6,0.012
