node1,node2,similarity
108-24-7,110-91-8,0.0
108-24-7,288-32-4,0.0
108-24-7,109-01-3,0.042
108-24-7,106-93-4,0.0
108-24-7,184475-35-2,0.022
108-24-7,109-64-8,0.0
108-24-7,109-70-6,0.0
108-24-7,3132-64-7,0.0
108-24-7,367-21-5,0.0
108-24-7,367-25-9,0.0
108-24-7,3863-11-4,0.0
108-24-7,111-95-5,0.083
108-24-7,7357-67-7,0.0
108-24-7,13794-72-4,0.068
108-24-7,179688-53-0,0.14
108-24-7,184475-71-6,0.044
108-24-7,179688-52-9,0.083
108-24-7,92952-84-6,0.0
108-24-7,53710-78-4,0.0
108-24-7,184475-72-7,0.026
108-24-7,184475-47-6,0.023
108-24-7,184475-76-1,0.026
108-24-7,184475-54-5,0.022
108-24-7,184475-52-3,0.022
108-24-7,184475-50-1,0.023
108-24-7,184475-45-4,0.023
108-24-7,184475-37-4,0.022
108-24-7,184475-74-9,0.045
108-24-7,184475-48-7,0.025
108-24-7,184475-44-3,0.024
108-24-7,184475-43-2,0.032
108-24-7,184475-75-0,0.025
108-24-7,184475-53-4,0.023
108-24-7,184475-46-5,0.022
108-24-7,184475-41-0,0.024
108-24-7,184475-40-9,0.025
108-24-7,184475-39-6,0.024
108-24-7,184475-38-5,0.023
108-24-7,184475-36-3,0.023
108-24-7,184475-78-3,0.047
108-24-7,184475-51-2,0.025
108-24-7,184475-49-8,0.026
108-24-7,184475-42-1,0.025
108-24-7,4584-46-7,0.045
108-24-7,3647-69-6,0.0
108-24-7,869-24-9,0.04
108-24-7,2008-75-5,0.0
108-24-7,5407-04-5,0.04
108-24-7,7250-67-1,0.0
108-24-7,5472-49-1,0.0
108-24-7,57616-74-7,0.0
108-24-7,4535-85-7,0.034
108-24-7,57616-69-0,0.0
108-24-7,184475-70-5,0.099
108-24-7,179688-54-1,0.14
108-24-7,184475-55-6,0.022
108-24-7,184475-56-7,0.022
108-24-7,184475-59-0,0.048
108-24-7,184475-77-2,0.104
108-24-7,184475-73-8,0.101
108-24-7,184475-69-2,0.022
108-24-7,184475-68-1,0.022
108-24-7,184475-67-0,0.024
108-24-7,184475-66-9,0.022
108-24-7,184475-65-8,0.024
108-24-7,184475-64-7,0.022
