node1,node2,similarity
110-91-8,24424-99-5,0.0
110-91-8,78-84-2,0.0
110-91-8,75-16-1,0.0
110-91-8,79-03-8,0.0
110-91-8,58479-61-1,0.0
110-91-8,69739-34-0,0.029
110-91-8,1730-25-2,0.0
110-91-8,1119-51-3,0.0
110-91-8,1117-97-1,0.0
110-91-8,152044-54-7,0.021
110-91-8,219989-84-1,0.031
110-91-8,152044-53-6,0.021
110-91-8,16338-48-0,0.0
110-91-8,2403-55-6,0.161
110-91-8,186692-73-9,0.022
110-91-8,90600-20-7,0.0
110-91-8,192060-67-6,0.0
110-91-8,208518-52-9,0.02
110-91-8,106921-60-2,0.0
110-91-8,219990-27-9,0.02
110-91-8,184917-63-3,0.0
110-91-8,184246-51-3,0.0
110-91-8,219989-87-4,0.032
110-91-8,193071-52-2,0.0
110-91-8,208521-14-6,0.0
110-91-8,219990-25-7,0.02
110-91-8,219990-23-5,0.019
110-91-8,187283-47-2,0.015
110-91-8,219989-88-5,0.032
110-91-8,219989-92-1,0.022
110-91-8,219989-85-2,0.032
110-91-8,219989-77-2,0.021
110-91-8,219989-74-9,0.033
110-91-8,219990-05-3,0.031
110-91-8,219990-14-4,0.0
110-91-8,219990-12-2,0.0
110-91-8,219990-13-3,0.0
110-91-8,302897-15-0,0.01
110-91-8,302897-14-9,0.01
110-91-8,219990-29-1,0.018
110-91-8,219990-16-6,0.029
110-91-8,219990-15-5,0.01
110-91-8,219990-11-1,0.0
110-91-8,219990-08-6,0.02
110-91-8,219990-07-5,0.03
110-91-8,219990-06-4,0.032
110-91-8,219990-35-9,0.024
110-91-8,219990-32-6,0.019
110-91-8,219990-21-3,0.03
110-91-8,219990-18-8,0.029
110-91-8,219990-10-0,0.021
110-91-8,219990-09-7,0.02
24424-99-5,78-84-2,0.08
24424-99-5,75-16-1,0.043
24424-99-5,79-03-8,0.208
24424-99-5,58479-61-1,0.077
24424-99-5,69739-34-0,0.135
24424-99-5,1730-25-2,0.0
24424-99-5,1119-51-3,0.0
24424-99-5,1117-97-1,0.083
24424-99-5,152044-54-7,0.061
24424-99-5,219989-84-1,0.06
24424-99-5,152044-53-6,0.062
24424-99-5,16338-48-0,0.086
24424-99-5,2403-55-6,0.05
24424-99-5,186692-73-9,0.063
24424-99-5,90600-20-7,0.233
24424-99-5,192060-67-6,0.098
24424-99-5,208518-52-9,0.059
24424-99-5,106921-60-2,0.233
24424-99-5,219990-27-9,0.06
24424-99-5,184917-63-3,0.049
24424-99-5,184246-51-3,0.055
24424-99-5,219989-87-4,0.062
24424-99-5,193071-52-2,0.049
24424-99-5,208521-14-6,0.196
24424-99-5,219990-25-7,0.08
24424-99-5,219990-23-5,0.066
24424-99-5,187283-47-2,0.103
24424-99-5,219989-88-5,0.062
24424-99-5,219989-92-1,0.064
24424-99-5,219989-85-2,0.061
24424-99-5,219989-77-2,0.061
24424-99-5,219989-74-9,0.064
24424-99-5,219990-05-3,0.059
24424-99-5,219990-14-4,0.034
24424-99-5,219990-12-2,0.233
24424-99-5,219990-13-3,0.154
24424-99-5,302897-15-0,0.083
24424-99-5,302897-14-9,0.078
24424-99-5,219990-29-1,0.064
24424-99-5,219990-16-6,0.086
24424-99-5,219990-15-5,0.068
24424-99-5,219990-11-1,0.061
24424-99-5,219990-08-6,0.188
24424-99-5,219990-07-5,0.058
24424-99-5,219990-06-4,0.062
24424-99-5,219990-35-9,0.073
24424-99-5,219990-32-6,0.078
24424-99-5,219990-21-3,0.08
24424-99-5,219990-18-8,0.066
24424-99-5,219990-10-0,0.17
24424-99-5,219990-09-7,0.191
78-84-2,75-16-1,0.071
78-84-2,79-03-8,0.111
78-84-2,58479-61-1,0.031
78-84-2,69739-34-0,0.065
78-84-2,1730-25-2,0.048
78-84-2,1119-51-3,0.043
78-84-2,1117-97-1,0.062
78-84-2,152044-54-7,0.033
78-84-2,219989-84-1,0.032
78-84-2,152044-53-6,0.033
78-84-2,16338-48-0,0.115
78-84-2,2403-55-6,0.065
78-84-2,186692-73-9,0.034
78-84-2,90600-20-7,0.1
78-84-2,192060-67-6,0.093
78-84-2,208518-52-9,0.031
78-84-2,106921-60-2,0.167
78-84-2,219990-27-9,0.043
78-84-2,184917-63-3,0.259
78-84-2,184246-51-3,0.043
78-84-2,219989-87-4,0.033
78-84-2,193071-52-2,0.133
78-84-2,208521-14-6,0.083
78-84-2,219990-25-7,0.053
78-84-2,219990-23-5,0.051
78-84-2,187283-47-2,0.082
78-84-2,219989-88-5,0.033
78-84-2,219989-92-1,0.034
78-84-2,219989-85-2,0.033
78-84-2,219989-77-2,0.032
78-84-2,219989-74-9,0.034
78-84-2,219990-05-3,0.032
78-84-2,219990-14-4,0.062
78-84-2,219990-12-2,0.1
78-84-2,219990-13-3,0.065
78-84-2,302897-15-0,0.056
78-84-2,302897-14-9,0.052
78-84-2,219990-29-1,0.049
78-84-2,219990-16-6,0.029
78-84-2,219990-15-5,0.052
78-84-2,219990-11-1,0.089
78-84-2,219990-08-6,0.091
78-84-2,219990-07-5,0.031
78-84-2,219990-06-4,0.033
78-84-2,219990-35-9,0.025
78-84-2,219990-32-6,0.052
78-84-2,219990-21-3,0.053
78-84-2,219990-18-8,0.051
78-84-2,219990-10-0,0.07
78-84-2,219990-09-7,0.119
75-16-1,79-03-8,0.062
75-16-1,58479-61-1,0.034
75-16-1,69739-34-0,0.034
75-16-1,1730-25-2,0.188
75-16-1,1119-51-3,0.05
75-16-1,1117-97-1,0.077
75-16-1,152044-54-7,0.011
75-16-1,219989-84-1,0.011
75-16-1,152044-53-6,0.011
75-16-1,16338-48-0,0.0
75-16-1,2403-55-6,0.034
75-16-1,186692-73-9,0.011
75-16-1,90600-20-7,0.025
75-16-1,192060-67-6,0.023
75-16-1,208518-52-9,0.011
75-16-1,106921-60-2,0.042
75-16-1,219990-27-9,0.011
75-16-1,184917-63-3,0.033
75-16-1,184246-51-3,0.022
75-16-1,219989-87-4,0.011
75-16-1,193071-52-2,0.033
75-16-1,208521-14-6,0.021
75-16-1,219990-25-7,0.011
75-16-1,219990-23-5,0.01
75-16-1,187283-47-2,0.016
75-16-1,219989-88-5,0.011
