node1,node2,similarity
58-22-0,23214-92-8,0.086
58-22-0,50-02-2,0.19
58-22-0,50-18-0,0.048
58-22-0,51-45-6,0.026
58-22-0,51-21-8,0.054
58-22-0,59-05-2,0.047
58-22-0,33069-62-4,0.075
58-22-0,53-03-2,0.196
58-22-0,50-24-8,0.206
58-22-0,302-79-4,0.104
58-22-0,57-22-7,0.086
58-22-0,33419-42-0,0.104
58-22-0,50-53-3,0.068
58-22-0,10540-29-1,0.05
58-22-0,616-91-1,0.041
58-22-0,83-43-2,0.159
58-22-0,147-94-4,0.086
58-22-0,64-86-8,0.111
58-22-0,114977-28-5,0.074
58-22-0,865-21-4,0.085
58-22-0,95058-81-4,0.083
58-22-0,18883-66-4,0.043
58-22-0,57-63-6,0.15
58-22-0,58-05-9,0.061
58-22-0,56-53-1,0.068
58-22-0,127-07-1,0.032
58-22-0,148-82-3,0.056
58-22-0,92-84-2,0.039
58-22-0,50-44-2,0.025
58-22-0,179324-69-7,0.043
58-22-0,56420-45-2,0.086
58-22-0,284461-73-0,0.05
58-22-0,184475-35-2,0.061
58-22-0,97682-44-5,0.095
58-22-0,65271-80-9,0.054
58-22-0,154361-50-9,0.079
58-22-0,4342-03-4,0.081
58-22-0,320-67-2,0.074
58-22-0,85622-93-1,0.079
58-22-0,3778-73-2,0.022
58-22-0,83150-76-9,0.073
58-22-0,152459-95-5,0.05
58-22-0,55-98-1,0.043
58-22-0,65-46-3,0.086
58-22-0,305-03-3,0.08
58-22-0,154-93-8,0.037
58-22-0,51-75-2,0.03
58-22-0,21679-14-1,0.058
58-22-0,183321-74-6,0.052
58-22-0,71486-22-1,0.079
58-22-0,60-87-7,0.044
58-22-0,123948-87-8,0.104
58-22-0,2353-33-5,0.084
58-22-0,191732-72-6,0.092
58-22-0,154-42-7,0.023
58-22-0,52-24-4,0.015
58-22-0,50-91-9,0.083
58-22-0,117-89-5,0.053
58-22-0,14596-37-3,0.0
58-22-0,671-16-9,0.07
58-22-0,58957-92-9,0.08
58-22-0,57-85-2,0.571
58-22-0,13311-84-7,0.053
58-22-0,112809-51-5,0.022
58-22-0,149647-78-9,0.057
58-22-0,137281-23-3,0.04
58-22-0,50-52-2,0.07
58-22-0,53-19-0,0.023
58-22-0,13010-47-4,0.069
58-22-0,53714-56-0,0.075
58-22-0,58-18-4,0.535
58-22-0,69-23-8,0.062
58-22-0,75706-12-6,0.053
58-22-0,520-85-4,0.258
58-22-0,4291-63-8,0.067
58-22-0,120511-73-1,0.043
58-22-0,29767-20-2,0.095
58-22-0,58-39-9,0.064
58-22-0,90357-06-5,0.053
58-22-0,53643-48-4,0.093
58-22-0,162635-04-3,0.094
58-22-0,65807-02-5,0.075
58-22-0,70052-12-9,0.038
58-22-0,86639-52-3,0.1
58-22-0,107868-30-4,0.194
58-22-0,53910-25-1,0.076
58-22-0,18378-89-7,0.098
58-22-0,51264-14-3,0.076
58-22-0,125-84-8,0.116
58-22-0,548-04-9,0.071
58-22-0,5300-03-8,0.104
58-22-0,58-38-8,0.054
58-22-0,443913-73-3,0.081
58-22-0,60-99-1,0.046
58-22-0,19685-09-7,0.112
58-22-0,645-05-6,0.03
58-22-0,72496-41-4,0.086
58-22-0,89778-26-7,0.048
58-22-0,183133-96-2,0.067
58-22-0,362-07-2,0.333
58-22-0,128517-07-7,0.062
58-22-0,3562-63-8,0.234
58-22-0,112887-68-0,0.062
58-22-0,536-59-4,0.103
58-22-0,209783-80-2,0.042
58-22-0,146426-40-6,0.103
58-22-0,65646-68-6,0.096
58-22-0,61-00-7,0.087
58-22-0,123318-82-1,0.057
58-22-0,120685-11-2,0.099
58-22-0,76-43-7,0.289
58-22-0,26833-87-4,0.102
58-22-0,146-54-3,0.066
58-22-0,114899-77-3,0.083
58-22-0,13909-09-6,0.079
58-22-0,152044-54-7,0.119
58-22-0,219989-84-1,0.117
58-22-0,630-56-8,0.424
58-22-0,56124-62-0,0.087
58-22-0,63612-50-0,0.072
58-22-0,84-17-3,0.055
58-22-0,24584-09-6,0.085
58-22-0,566-48-3,0.233
58-22-0,83314-01-6,0.085
58-22-0,117048-59-6,0.067
58-22-0,52128-35-5,0.046
58-22-0,3432-99-3,0.053
58-22-0,19916-73-5,0.029
58-22-0,91421-42-0,0.105
58-22-0,27314-97-2,0.062
58-22-0,110417-88-4,0.075
58-22-0,212141-54-3,0.028
58-22-0,192185-72-1,0.056
58-22-0,154039-60-8,0.032
58-22-0,111358-88-4,0.123
58-22-0,173937-91-2,0.095
58-22-0,204005-46-9,0.073
58-22-0,84-97-9,0.062
58-22-0,51543-40-9,0.067
58-22-0,60084-10-8,0.065
58-22-0,193275-84-2,0.078
58-22-0,188968-51-6,0.073
58-22-0,257933-82-7,0.05
58-22-0,267243-28-7,0.056
58-22-0,1420-55-9,0.052
58-22-0,162652-95-1,0.09
58-22-0,252916-29-3,0.064
58-22-0,10212-20-1,0.083
58-22-0,60-89-9,0.072
58-22-0,54083-22-6,0.085
58-22-0,180064-38-4,0.041
58-22-0,801-52-5,0.081
58-22-0,569-57-3,0.062
58-22-0,148717-90-2,0.134
58-22-0,206873-63-4,0.061
58-22-0,90996-54-6,0.082
58-22-0,112522-64-2,0.053
58-22-0,134404-52-7,0.094
58-22-0,4891-15-0,0.169
58-22-0,15866-90-7,0.07
58-22-0,59973-80-7,0.046
58-22-0,41941-56-4,0.069
58-22-0,182133-25-1,0.056
58-22-0,137219-37-5,0.082
58-22-0,110230-98-3,0.072
58-22-0,75567-37-2,0.109
58-22-0,204318-14-9,0.06
58-22-0,69408-81-7,0.069
58-22-0,362-29-8,0.064
58-22-0,143621-35-6,0.033
58-22-0,187724-61-4,0.055
58-22-0,387867-13-2,0.071
58-22-0,3546-03-0,0.036
58-22-0,61-01-8,0.077
58-22-0,114560-48-4,0.08
58-22-0,292618-32-7,0.1
58-22-0,144510-96-3,0.052
58-22-0,165668-41-7,0.039
58-22-0,653-03-2,0.085
58-22-0,93908-02-2,0.085
58-22-0,38390-45-3,0.084
58-22-0,1225-64-5,0.048
58-22-0,88303-60-0,0.04
58-22-0,84-06-0,0.076
58-22-0,158440-71-2,0.126
58-22-0,259188-38-0,0.062
58-22-0,147149-76-6,0.059
58-22-0,98774-23-3,0.043
58-22-0,186348-23-2,0.082
58-22-0,141430-65-1,0.064
58-22-0,96301-34-7,0.264
58-22-0,84692-91-1,0.122
58-22-0,203923-89-1,0.097
58-22-0,81267-65-4,0.067
58-22-0,131179-95-8,0.07
58-22-0,189752-49-6,0.082
58-22-0,130306-02-4,0.07
58-22-0,174402-32-5,0.065
58-22-0,69839-83-4,0.064
58-22-0,219923-05-4,0.096
58-22-0,186497-07-4,0.048
58-22-0,149606-27-9,0.082
58-22-0,220997-97-7,0.099
58-22-0,153537-73-6,0.046
58-22-0,149204-42-2,0.067
58-22-0,200484-11-3,0.043
58-22-0,87226-41-3,0.118
58-22-0,122110-53-6,0.05
58-22-0,149682-77-9,0.081
58-22-0,91441-23-5,0.048
58-22-0,204205-90-3,0.052
58-22-0,195533-53-0,0.065
58-22-0,186256-67-7,0.086
58-22-0,97068-30-9,0.105
58-22-0,132682-98-5,0.053
58-22-0,159776-69-9,0.094
58-22-0,160237-25-2,0.058
58-22-0,119804-96-5,0.073
58-22-0,199796-52-6,0.065
58-22-0,203258-60-0,0.074
58-22-0,136381-85-6,0.049
58-22-0,646-08-2,0.025
58-22-0,172481-83-3,0.08
58-22-0,2095-24-1,0.05
58-22-0,156177-59-2,0.111
58-22-0,149838-23-3,0.052
58-22-0,126411-13-0,0.055
58-22-0,140917-67-5,0.075
58-22-0,125313-92-0,0.075
58-22-0,56509-01-4,0.088
58-22-0,178600-20-9,0.065
58-22-0,122332-18-7,0.052
58-22-0,148869-05-0,0.03
58-22-0,446022-33-9,0.06
58-22-0,232925-18-7,0.098
58-22-0,156090-18-5,0.054
58-22-0,343346-07-6,0.093
58-22-0,373647-71-3,0.075
58-22-0,167465-36-3,0.062
58-22-0,169869-90-3,0.095
58-22-0,439943-59-6,0.061
58-22-0,16208-51-8,0.028
58-22-0,263351-82-2,0.068
58-22-0,213819-48-8,0.1
58-22-0,158681-49-3,0.054
58-22-0,174634-09-4,0.071
58-22-0,227619-96-7,0.058
58-22-0,169317-77-5,0.07
58-22-0,284490-13-7,0.093
58-22-0,342005-82-7,0.065
58-22-0,132173-07-0,0.056
58-22-0,362-02-7,0.047
58-22-0,257938-36-6,0.055
58-22-0,192573-38-9,0.059
58-22-0,207862-44-0,0.066
58-22-0,150091-68-2,0.069
23214-92-8,50-02-2,0.153
23214-92-8,50-18-0,0.032
23214-92-8,51-45-6,0.043
23214-92-8,51-21-8,0.053
23214-92-8,59-05-2,0.061
23214-92-8,33069-62-4,0.115
23214-92-8,53-03-2,0.116
23214-92-8,50-24-8,0.123
23214-92-8,302-79-4,0.065
23214-92-8,57-22-7,0.122
23214-92-8,33419-42-0,0.138
23214-92-8,50-53-3,0.049
23214-92-8,10540-29-1,0.066
23214-92-8,616-91-1,0.054
23214-92-8,83-43-2,0.138
23214-92-8,147-94-4,0.109
23214-92-8,64-86-8,0.126
23214-92-8,114977-28-5,0.114
23214-92-8,865-21-4,0.121
23214-92-8,95058-81-4,0.115
23214-92-8,18883-66-4,0.062
23214-92-8,57-63-6,0.083
23214-92-8,58-05-9,0.077
23214-92-8,56-53-1,0.072
23214-92-8,127-07-1,0.039
23214-92-8,148-82-3,0.062
23214-92-8,92-84-2,0.043
23214-92-8,50-44-2,0.025
23214-92-8,179324-69-7,0.073
23214-92-8,56420-45-2,1.0
23214-92-8,284461-73-0,0.064
23214-92-8,184475-35-2,0.091
23214-92-8,97682-44-5,0.128
23214-92-8,65271-80-9,0.112
23214-92-8,154361-50-9,0.139
23214-92-8,4342-03-4,0.055
23214-92-8,320-67-2,0.101
23214-92-8,85622-93-1,0.062
23214-92-8,3778-73-2,0.038
23214-92-8,83150-76-9,0.084
23214-92-8,152459-95-5,0.075
23214-92-8,55-98-1,0.046
23214-92-8,65-46-3,0.109
23214-92-8,305-03-3,0.054
23214-92-8,154-93-8,0.033
23214-92-8,51-75-2,0.019
23214-92-8,21679-14-1,0.079
23214-92-8,183321-74-6,0.087
23214-92-8,71486-22-1,0.126
23214-92-8,60-87-7,0.047
23214-92-8,123948-87-8,0.112
23214-92-8,2353-33-5,0.108
23214-92-8,191732-72-6,0.138
23214-92-8,154-42-7,0.023
23214-92-8,52-24-4,0.009
23214-92-8,50-91-9,0.098
23214-92-8,117-89-5,0.073
23214-92-8,14596-37-3,0.0
23214-92-8,671-16-9,0.081
23214-92-8,58957-92-9,0.6
23214-92-8,57-85-2,0.102
23214-92-8,13311-84-7,0.076
23214-92-8,112809-51-5,0.031
23214-92-8,149647-78-9,0.063
23214-92-8,137281-23-3,0.062
23214-92-8,50-52-2,0.065
23214-92-8,53-19-0,0.066
23214-92-8,13010-47-4,0.055
23214-92-8,53714-56-0,0.085
23214-92-8,58-18-4,0.095
23214-92-8,69-23-8,0.073
23214-92-8,75706-12-6,0.06
23214-92-8,520-85-4,0.105
23214-92-8,4291-63-8,0.093
23214-92-8,120511-73-1,0.053
23214-92-8,29767-20-2,0.134
23214-92-8,58-39-9,0.068
23214-92-8,90357-06-5,0.095
23214-92-8,53643-48-4,0.123
23214-92-8,162635-04-3,0.111
23214-92-8,65807-02-5,0.089
23214-92-8,70052-12-9,0.043
23214-92-8,86639-52-3,0.123
23214-92-8,107868-30-4,0.063
23214-92-8,53910-25-1,0.085
23214-92-8,18378-89-7,0.189
23214-92-8,51264-14-3,0.108
23214-92-8,125-84-8,0.087
23214-92-8,548-04-9,0.065
23214-92-8,5300-03-8,0.065
23214-92-8,58-38-8,0.068
23214-92-8,443913-73-3,0.094
23214-92-8,60-99-1,0.076
23214-92-8,19685-09-7,0.118
23214-92-8,645-05-6,0.028
23214-92-8,72496-41-4,0.737
23214-92-8,89778-26-7,0.071
23214-92-8,183133-96-2,0.119
23214-92-8,362-07-2,0.106
23214-92-8,128517-07-7,0.06
23214-92-8,3562-63-8,0.09
23214-92-8,112887-68-0,0.072
23214-92-8,536-59-4,0.067
23214-92-8,209783-80-2,0.086
23214-92-8,146426-40-6,0.118
23214-92-8,65646-68-6,0.085
23214-92-8,61-00-7,0.069
23214-92-8,123318-82-1,0.093
23214-92-8,120685-11-2,0.139
23214-92-8,76-43-7,0.098
23214-92-8,26833-87-4,0.11
23214-92-8,146-54-3,0.055
23214-92-8,114899-77-3,0.109
23214-92-8,13909-09-6,0.07
23214-92-8,152044-54-7,0.096
23214-92-8,219989-84-1,0.089
23214-92-8,630-56-8,0.11
23214-92-8,56124-62-0,0.6
23214-92-8,63612-50-0,0.066
23214-92-8,84-17-3,0.063
23214-92-8,24584-09-6,0.074
23214-92-8,566-48-3,0.081
23214-92-8,83314-01-6,0.137
23214-92-8,117048-59-6,0.115
23214-92-8,52128-35-5,0.084
23214-92-8,3432-99-3,0.071
23214-92-8,19916-73-5,0.058
23214-92-8,91421-42-0,0.127
23214-92-8,27314-97-2,0.041
23214-92-8,110417-88-4,0.109
23214-92-8,212141-54-3,0.063
23214-92-8,192185-72-1,0.089
23214-92-8,154039-60-8,0.037
23214-92-8,111358-88-4,0.141
23214-92-8,173937-91-2,0.098
23214-92-8,204005-46-9,0.091
23214-92-8,84-97-9,0.075
23214-92-8,51543-40-9,0.105
23214-92-8,60084-10-8,0.121
23214-92-8,193275-84-2,0.078
23214-92-8,188968-51-6,0.08
23214-92-8,257933-82-7,0.075
23214-92-8,267243-28-7,0.067
23214-92-8,1420-55-9,0.072
23214-92-8,162652-95-1,0.13
23214-92-8,252916-29-3,0.09
23214-92-8,10212-20-1,0.124
23214-92-8,60-89-9,0.058
23214-92-8,54083-22-6,0.697
23214-92-8,180064-38-4,0.052
23214-92-8,801-52-5,0.103
23214-92-8,569-57-3,0.077
23214-92-8,148717-90-2,0.066
23214-92-8,206873-63-4,0.101
23214-92-8,90996-54-6,0.122
23214-92-8,112522-64-2,0.085
23214-92-8,134404-52-7,0.065
23214-92-8,4891-15-0,0.119
23214-92-8,15866-90-7,0.14
23214-92-8,59973-80-7,0.099
23214-92-8,41941-56-4,0.086
23214-92-8,182133-25-1,0.101
23214-92-8,137219-37-5,0.086
23214-92-8,110230-98-3,0.074
23214-92-8,75567-37-2,0.116
23214-92-8,204318-14-9,0.095
23214-92-8,69408-81-7,0.096
23214-92-8,362-29-8,0.075
23214-92-8,143621-35-6,0.054
23214-92-8,187724-61-4,0.068
23214-92-8,387867-13-2,0.11
23214-92-8,3546-03-0,0.054
23214-92-8,61-01-8,0.07
23214-92-8,114560-48-4,0.096
23214-92-8,292618-32-7,0.122
23214-92-8,144510-96-3,0.084
23214-92-8,165668-41-7,0.072
23214-92-8,653-03-2,0.091
23214-92-8,93908-02-2,0.138
23214-92-8,38390-45-3,0.119
23214-92-8,1225-64-5,0.049
23214-92-8,88303-60-0,0.117
23214-92-8,84-06-0,0.09
23214-92-8,158440-71-2,0.086
23214-92-8,259188-38-0,0.059
23214-92-8,147149-76-6,0.064
23214-92-8,98774-23-3,0.061
23214-92-8,186348-23-2,0.102
23214-92-8,141430-65-1,0.083
23214-92-8,96301-34-7,0.063
23214-92-8,84692-91-1,0.086
23214-92-8,203923-89-1,0.12
23214-92-8,81267-65-4,0.087
23214-92-8,131179-95-8,0.072
23214-92-8,189752-49-6,0.088
23214-92-8,130306-02-4,0.096
23214-92-8,174402-32-5,0.106
23214-92-8,69839-83-4,0.069
23214-92-8,219923-05-4,0.114
23214-92-8,186497-07-4,0.096
23214-92-8,149606-27-9,0.117
23214-92-8,220997-97-7,0.101
23214-92-8,153537-73-6,0.082
23214-92-8,149204-42-2,0.069
23214-92-8,200484-11-3,0.059
23214-92-8,87226-41-3,0.123
23214-92-8,122110-53-6,0.059
23214-92-8,149682-77-9,0.063
23214-92-8,91441-23-5,0.082
23214-92-8,204205-90-3,0.079
23214-92-8,195533-53-0,0.102
23214-92-8,186256-67-7,0.114
23214-92-8,97068-30-9,0.171
23214-92-8,132682-98-5,0.085
23214-92-8,159776-69-9,0.071
23214-92-8,160237-25-2,0.132
23214-92-8,119804-96-5,0.099
23214-92-8,199796-52-6,0.112
23214-92-8,203258-60-0,0.068
23214-92-8,136381-85-6,0.083
23214-92-8,646-08-2,0.06
23214-92-8,172481-83-3,0.124
23214-92-8,2095-24-1,0.05
23214-92-8,156177-59-2,0.138
23214-92-8,149838-23-3,0.076
23214-92-8,126411-13-0,0.079
23214-92-8,140917-67-5,0.092
23214-92-8,125313-92-0,0.099
23214-92-8,56509-01-4,0.086
23214-92-8,178600-20-9,0.094
23214-92-8,122332-18-7,0.102
23214-92-8,148869-05-0,0.051
23214-92-8,446022-33-9,0.102
23214-92-8,232925-18-7,0.113
23214-92-8,156090-18-5,0.086
23214-92-8,343346-07-6,0.128
23214-92-8,373647-71-3,0.13
23214-92-8,167465-36-3,0.085
23214-92-8,169869-90-3,0.13
23214-92-8,439943-59-6,0.078
23214-92-8,16208-51-8,0.045
23214-92-8,263351-82-2,0.117
23214-92-8,213819-48-8,0.129
23214-92-8,158681-49-3,0.086
23214-92-8,174634-09-4,0.149
23214-92-8,227619-96-7,0.09
23214-92-8,169317-77-5,0.65
23214-92-8,284490-13-7,0.097
23214-92-8,342005-82-7,0.082
23214-92-8,132173-07-0,0.076
23214-92-8,362-02-7,0.056
23214-92-8,257938-36-6,0.086
23214-92-8,192573-38-9,0.106
23214-92-8,207862-44-0,0.069
23214-92-8,150091-68-2,0.095
50-02-2,50-18-0,0.04
50-02-2,51-45-6,0.033
50-02-2,51-21-8,0.057
50-02-2,59-05-2,0.072
50-02-2,33069-62-4,0.099
50-02-2,53-03-2,0.28
50-02-2,50-24-8,0.302
50-02-2,302-79-4,0.09
50-02-2,57-22-7,0.091
50-02-2,33419-42-0,0.079
50-02-2,50-53-3,0.05
50-02-2,10540-29-1,0.062
50-02-2,616-91-1,0.07
50-02-2,83-43-2,0.264
50-02-2,147-94-4,0.084
50-02-2,64-86-8,0.089
50-02-2,114977-28-5,0.099
50-02-2,865-21-4,0.09
50-02-2,95058-81-4,0.112
50-02-2,18883-66-4,0.088
50-02-2,57-63-6,0.13
50-02-2,58-05-9,0.084
50-02-2,56-53-1,0.069
50-02-2,127-07-1,0.039
50-02-2,148-82-3,0.058
50-02-2,92-84-2,0.033
50-02-2,50-44-2,0.021
50-02-2,179324-69-7,0.054
50-02-2,56420-45-2,0.153
50-02-2,284461-73-0,0.085
50-02-2,184475-35-2,0.069
50-02-2,97682-44-5,0.099
50-02-2,65271-80-9,0.066
50-02-2,154361-50-9,0.095
50-02-2,4342-03-4,0.059
50-02-2,320-67-2,0.084
50-02-2,85622-93-1,0.078
50-02-2,3778-73-2,0.028
50-02-2,83150-76-9,0.062
50-02-2,152459-95-5,0.066
50-02-2,55-98-1,0.035
50-02-2,65-46-3,0.084
50-02-2,305-03-3,0.058
50-02-2,154-93-8,0.053
50-02-2,51-75-2,0.024
50-02-2,21679-14-1,0.068
50-02-2,183321-74-6,0.046
50-02-2,71486-22-1,0.084
50-02-2,60-87-7,0.048
50-02-2,123948-87-8,0.093
50-02-2,2353-33-5,0.103
50-02-2,191732-72-6,0.089
50-02-2,154-42-7,0.029
50-02-2,52-24-4,0.012
50-02-2,50-91-9,0.112
50-02-2,117-89-5,0.063
50-02-2,14596-37-3,0.0
50-02-2,671-16-9,0.07
50-02-2,58957-92-9,0.128
50-02-2,57-85-2,0.162
50-02-2,13311-84-7,0.095
50-02-2,112809-51-5,0.029
50-02-2,149647-78-9,0.08
50-02-2,137281-23-3,0.059
50-02-2,50-52-2,0.078
50-02-2,53-19-0,0.04
50-02-2,13010-47-4,0.091
50-02-2,53714-56-0,0.065
50-02-2,58-18-4,0.192
50-02-2,69-23-8,0.08
50-02-2,75706-12-6,0.065
50-02-2,520-85-4,0.189
50-02-2,4291-63-8,0.076
50-02-2,120511-73-1,0.046
50-02-2,29767-20-2,0.073
50-02-2,58-39-9,0.073
50-02-2,90357-06-5,0.071
50-02-2,53643-48-4,0.097
50-02-2,162635-04-3,0.114
50-02-2,65807-02-5,0.061
50-02-2,70052-12-9,0.055
50-02-2,86639-52-3,0.097
50-02-2,107868-30-4,0.178
50-02-2,53910-25-1,0.085
50-02-2,18378-89-7,0.102
50-02-2,51264-14-3,0.041
50-02-2,125-84-8,0.121
50-02-2,548-04-9,0.071
50-02-2,5300-03-8,0.09
50-02-2,58-38-8,0.056
50-02-2,443913-73-3,0.08
50-02-2,60-99-1,0.04
50-02-2,19685-09-7,0.099
50-02-2,645-05-6,0.037
50-02-2,72496-41-4,0.14
50-02-2,89778-26-7,0.069
50-02-2,183133-96-2,0.085
50-02-2,362-07-2,0.129
50-02-2,128517-07-7,0.07
50-02-2,3562-63-8,0.17
50-02-2,112887-68-0,0.062
50-02-2,536-59-4,0.11
50-02-2,209783-80-2,0.045
50-02-2,146426-40-6,0.083
50-02-2,65646-68-6,0.085
