node1,node2,similarity
67-64-1,108-24-7,0.455
67-64-1,110-91-8,0.0
67-64-1,124-40-3,0.111
67-64-1,18162-48-6,0.067
67-64-1,74-96-4,0.091
67-64-1,109-01-3,0.05
67-64-1,504-29-0,0.0
67-64-1,4530-20-5,0.143
67-64-1,57260-71-6,0.125
67-64-1,540-51-2,0.077
67-64-1,1003-03-8,0.0
67-64-1,4023-34-1,0.188
67-64-1,917-64-6,0.091
67-64-1,5382-16-1,0.05
67-64-1,103-76-4,0.036
67-64-1,627-18-9,0.062
67-64-1,2719-27-9,0.136
67-64-1,1118-68-9,0.25
67-64-1,590-17-0,0.0
67-64-1,6482-24-2,0.059
67-64-1,78-77-3,0.071
67-64-1,137-43-9,0.0
67-64-1,1013-88-3,0.042
67-64-1,13889-98-0,0.227
67-64-1,558-30-5,0.154
67-64-1,5445-17-0,0.222
67-64-1,598-41-4,0.231
67-64-1,2550-36-9,0.0
67-64-1,683-57-8,0.214
67-64-1,15159-40-7,0.125
67-64-1,35320-23-1,0.133
67-64-1,4318-42-7,0.042
67-64-1,628-89-7,0.043
67-64-1,762-49-2,0.0
67-64-1,50533-97-6,0.042
67-64-1,16088-62-3,0.071
67-64-1,15448-47-2,0.071
67-64-1,1211441-98-3,0.048
67-64-1,112275-50-0,0.103
67-64-1,55276-43-2,0.08
67-64-1,10160-87-9,0.043
67-64-1,57044-25-4,0.056
67-64-1,1192-63-8,0.15
67-64-1,60456-23-7,0.056
67-64-1,99724-19-3,0.108
67-64-1,13484-40-7,0.031
67-64-1,36082-50-5,0.0
67-64-1,23100-12-1,0.033
67-64-1,39856-50-3,0.031
67-64-1,104-97-2,0.107
67-64-1,36052-24-1,0.121
67-64-1,23860-35-7,0.111
67-64-1,4704-77-2,0.056
67-64-1,626-88-0,0.05
67-64-1,76003-29-7,0.103
67-64-1,169447-70-5,0.103
67-64-1,149771-44-8,0.111
67-64-1,170033-47-3,0.103
67-64-1,122734-32-1,0.133
67-64-1,5973-11-5,0.056
67-64-1,571188-59-5,0.08
67-64-1,21543-49-7,0.033
67-64-1,13349-90-1,0.0
67-64-1,120737-78-2,0.103
67-64-1,598-18-5,0.133
67-64-1,571189-78-1,0.0
67-64-1,180975-66-0,0.118
67-64-1,34064-86-3,0.0
67-64-1,571189-16-7,0.075
67-64-1,54149-16-5,0.048
67-64-1,1198408-35-3,0.077
67-64-1,733039-20-8,0.0
67-64-1,1211443-61-6,0.071
67-64-1,204580-28-9,0.033
67-64-1,1002317-13-6,0.022
67-64-1,1178566-52-3,0.075
67-64-1,1082876-26-3,0.0
67-64-1,1211443-58-1,0.058
67-64-1,1002317-12-5,0.041
67-64-1,119382-85-3,0.029
67-64-1,1211443-98-9,0.078
67-64-1,322691-19-0,0.024
67-64-1,866620-29-3,0.073
67-64-1,889447-86-3,0.07
67-64-1,1211444-09-5,0.083
67-64-1,1211443-73-0,0.069
67-64-1,1211443-63-8,0.048
67-64-1,1211443-55-8,0.019
67-64-1,474484-46-3,0.024
67-64-1,1211443-01-4,0.067
67-64-1,1190071-58-9,0.082
67-64-1,571189-68-9,0.07
67-64-1,1211442-89-5,0.016
67-64-1,1019507-58-4,0.021
67-64-1,868366-56-7,0.071
67-64-1,1211441-71-2,0.047
67-64-1,1211441-59-6,0.048
67-64-1,1211443-21-8,0.069
67-64-1,1211442-87-3,0.016
67-64-1,1211444-17-5,0.0
67-64-1,1211444-04-0,0.019
67-64-1,1211442-68-0,0.044
67-64-1,1211442-66-8,0.045
67-64-1,1211442-60-2,0.045
67-64-1,1211442-58-8,0.043
67-64-1,1211442-56-6,0.04
67-64-1,1211442-54-4,0.042
67-64-1,1211442-48-6,0.041
67-64-1,1211442-44-2,0.043
67-64-1,1211442-41-9,0.044
67-64-1,1211442-38-4,0.041
67-64-1,1211442-36-2,0.041
67-64-1,1211442-32-8,0.043
67-64-1,1211442-30-6,0.044
67-64-1,1211442-25-9,0.045
67-64-1,1211442-17-9,0.043
67-64-1,1211442-15-7,0.043
67-64-1,1211442-12-4,0.047
67-64-1,1211442-09-9,0.047
67-64-1,1211442-07-7,0.047
67-64-1,1211441-95-0,0.044
67-64-1,1211441-93-8,0.044
67-64-1,1211441-90-5,0.044
67-64-1,1211441-88-1,0.046
67-64-1,1211441-83-6,0.042
67-64-1,1211441-74-5,0.045
67-64-1,1211441-56-3,0.044
67-64-1,1211441-54-1,0.044
67-64-1,1211441-51-8,0.043
67-64-1,1211441-43-8,0.048
67-64-1,1211441-39-2,0.047
67-64-1,1211441-37-0,0.046
67-64-1,1211441-34-7,0.048
67-64-1,1211441-32-5,0.012
67-64-1,1211441-30-3,0.043
67-64-1,1211441-24-5,0.043
67-64-1,1211441-08-5,0.045
67-64-1,1211441-06-3,0.044
67-64-1,1211440-98-0,0.041
67-64-1,1211440-89-9,0.043
67-64-1,1211440-85-5,0.045
67-64-1,1211440-74-2,0.045
67-64-1,1211440-71-9,0.044
67-64-1,1211440-67-3,0.045
67-64-1,1211440-63-9,0.045
67-64-1,1211440-61-7,0.045
67-64-1,1211440-56-0,0.043
67-64-1,1211440-52-6,0.048
67-64-1,1211440-50-4,0.044
67-64-1,1211440-45-7,0.044
67-64-1,1211440-37-7,0.048
67-64-1,1211440-33-3,0.044
67-64-1,1211440-25-3,0.012
67-64-1,1154964-62-1,0.0
67-64-1,32827-33-1,0.136
67-64-1,1211444-06-2,0.021
67-64-1,1211444-01-7,0.052
67-64-1,1211443-92-3,0.068
67-64-1,1211443-71-8,0.054
67-64-1,1211443-68-3,0.02
67-64-1,1211443-65-0,0.037
67-64-1,1211443-53-6,0.04
67-64-1,1211443-19-4,0.067
67-64-1,1211443-14-9,0.019
67-64-1,1211442-96-4,0.068
67-64-1,1211442-92-0,0.019
67-64-1,1211441-04-1,0.046
67-64-1,1211440-83-3,0.044
67-64-1,1211440-59-3,0.046
67-64-1,1211440-39-9,0.06
67-64-1,1211440-23-1,0.056
67-64-1,1211443-78-5,0.04
67-64-1,1211443-51-4,0.04
67-64-1,1211443-47-8,0.04
67-64-1,1211443-45-6,0.042
67-64-1,1211443-43-4,0.039
67-64-1,1211443-41-2,0.048
67-64-1,1211443-39-8,0.039
67-64-1,1211443-36-5,0.04
67-64-1,1211443-34-3,0.046
67-64-1,1211443-31-0,0.036
67-64-1,1211443-28-5,0.039
67-64-1,1211443-25-2,0.041
67-64-1,1211443-23-0,0.041
67-64-1,1211443-16-1,0.042
67-64-1,1211443-12-7,0.0
67-64-1,1211443-08-1,0.012
67-64-1,1211443-05-8,0.042
67-64-1,1211442-99-7,0.043
67-64-1,1211442-94-2,0.044
67-64-1,1211442-86-2,0.048
67-64-1,1211442-82-8,0.044
67-64-1,1211442-80-6,0.054
67-64-1,1211442-78-2,0.053
67-64-1,1211442-75-9,0.012
67-64-1,1211442-72-6,0.028
67-64-1,1211442-70-4,0.012
67-64-1,1211442-64-6,0.043
67-64-1,1211442-52-2,0.044
67-64-1,1211442-46-4,0.044
67-64-1,1211442-28-2,0.047
67-64-1,1211442-22-6,0.044
67-64-1,1211442-19-1,0.05
67-64-1,1211442-05-5,0.043
67-64-1,1211442-03-3,0.046
67-64-1,1211442-01-1,0.045
67-64-1,1211441-85-8,0.043
67-64-1,1211441-81-4,0.047
67-64-1,1211441-79-0,0.047
67-64-1,1211441-77-8,0.043
67-64-1,1211441-69-8,0.045
67-64-1,1211441-65-4,0.057
67-64-1,1211441-63-2,0.043
67-64-1,1211441-61-0,0.049
67-64-1,1211441-48-3,0.043
67-64-1,1211441-45-0,0.045
67-64-1,1211441-41-6,0.047
67-64-1,1211441-27-8,0.043
67-64-1,1211441-21-2,0.047
67-64-1,1211441-19-8,0.045
67-64-1,1211441-17-6,0.048
67-64-1,1211441-15-4,0.052
67-64-1,1211441-12-1,0.049
67-64-1,1211441-10-9,0.042
67-64-1,1211441-01-8,0.046
67-64-1,1211440-96-8,0.05
67-64-1,1211440-94-6,0.041
67-64-1,1211440-91-3,0.041
67-64-1,1211440-87-7,0.045
67-64-1,1211440-81-1,0.048
67-64-1,1211440-78-6,0.043
67-64-1,1211440-69-5,0.048
67-64-1,1211440-65-1,0.0
67-64-1,1211440-47-9,0.0
67-64-1,1211440-43-5,0.043
67-64-1,1211440-41-3,0.045
67-64-1,1211440-30-0,0.044
67-64-1,1211440-28-6,0.045
67-64-1,1147803-01-7,0.019
67-64-1,18621-18-6,0.062
67-64-1,109384-27-2,0.071
67-64-1,1211443-80-9,0.047
108-24-7,110-91-8,0.0
108-24-7,124-40-3,0.077
108-24-7,18162-48-6,0.053
108-24-7,74-96-4,0.067
108-24-7,109-01-3,0.042
108-24-7,504-29-0,0.0
108-24-7,4530-20-5,0.161
108-24-7,57260-71-6,0.143
108-24-7,540-51-2,0.059
108-24-7,1003-03-8,0.0
108-24-7,4023-34-1,0.211
108-24-7,917-64-6,0.067
108-24-7,5382-16-1,0.042
108-24-7,103-76-4,0.031
108-24-7,627-18-9,0.05
108-24-7,2719-27-9,0.115
108-24-7,1118-68-9,0.2
108-24-7,590-17-0,0.0
108-24-7,6482-24-2,0.1
108-24-7,78-77-3,0.056
108-24-7,137-43-9,0.0
108-24-7,1013-88-3,0.036
108-24-7,13889-98-0,0.192
108-24-7,558-30-5,0.118
108-24-7,5445-17-0,0.238
108-24-7,598-41-4,0.176
108-24-7,2550-36-9,0.0
108-24-7,683-57-8,0.167
108-24-7,15159-40-7,0.107
108-24-7,35320-23-1,0.105
108-24-7,4318-42-7,0.036
108-24-7,628-89-7,0.077
108-24-7,762-49-2,0.0
108-24-7,50533-97-6,0.036
108-24-7,16088-62-3,0.056
108-24-7,15448-47-2,0.056
108-24-7,1211441-98-3,0.045
108-24-7,112275-50-0,0.119
108-24-7,55276-43-2,0.069
108-24-7,10160-87-9,0.077
108-24-7,57044-25-4,0.045
108-24-7,1192-63-8,0.125
108-24-7,60456-23-7,0.045
108-24-7,99724-19-3,0.125
108-24-7,13484-40-7,0.057
108-24-7,36082-50-5,0.0
108-24-7,23100-12-1,0.029
108-24-7,39856-50-3,0.028
108-24-7,104-97-2,0.129
108-24-7,36052-24-1,0.139
108-24-7,23860-35-7,0.097
108-24-7,4704-77-2,0.045
108-24-7,626-88-0,0.042
108-24-7,76003-29-7,0.119
108-24-7,169447-70-5,0.119
108-24-7,149771-44-8,0.128
108-24-7,170033-47-3,0.119
108-24-7,122734-32-1,0.152
108-24-7,5973-11-5,0.045
108-24-7,571188-59-5,0.094
108-24-7,21543-49-7,0.029
108-24-7,13349-90-1,0.0
108-24-7,120737-78-2,0.119
108-24-7,598-18-5,0.105
108-24-7,571189-78-1,0.0
108-24-7,180975-66-0,0.135
108-24-7,34064-86-3,0.0
108-24-7,571189-16-7,0.089
108-24-7,54149-16-5,0.083
108-24-7,1198408-35-3,0.091
108-24-7,733039-20-8,0.0
108-24-7,1211443-61-6,0.067
108-24-7,204580-28-9,0.061
108-24-7,1002317-13-6,0.02
108-24-7,1178566-52-3,0.089
108-24-7,1082876-26-3,0.0
108-24-7,1211443-58-1,0.054
108-24-7,1002317-12-5,0.038
108-24-7,119382-85-3,0.054
108-24-7,1211443-98-9,0.093
108-24-7,322691-19-0,0.045
108-24-7,866620-29-3,0.086
108-24-7,889447-86-3,0.083
108-24-7,1211444-09-5,0.098
108-24-7,1211443-73-0,0.082
108-24-7,1211443-63-8,0.043
108-24-7,1211443-55-8,0.018
108-24-7,474484-46-3,0.044
108-24-7,1211443-01-4,0.079
108-24-7,1190071-58-9,0.096
108-24-7,571189-68-9,0.083
108-24-7,1211442-89-5,0.048
108-24-7,1019507-58-4,0.02
108-24-7,868366-56-7,0.085
108-24-7,1211441-71-2,0.044
108-24-7,1211441-59-6,0.046
108-24-7,1211443-21-8,0.082
108-24-7,1211442-87-3,0.03
108-24-7,1211444-17-5,0.0
108-24-7,1211444-04-0,0.036
108-24-7,1211442-68-0,0.043
108-24-7,1211442-66-8,0.043
108-24-7,1211442-60-2,0.043
108-24-7,1211442-58-8,0.042
108-24-7,1211442-56-6,0.049
108-24-7,1211442-54-4,0.051
108-24-7,1211442-48-6,0.05
108-24-7,1211442-44-2,0.053
108-24-7,1211442-41-9,0.043
108-24-7,1211442-38-4,0.05
108-24-7,1211442-36-2,0.04
108-24-7,1211442-32-8,0.041
108-24-7,1211442-30-6,0.043
108-24-7,1211442-25-9,0.043
108-24-7,1211442-17-9,0.041
108-24-7,1211442-15-7,0.041
108-24-7,1211442-12-4,0.056
108-24-7,1211442-09-9,0.045
108-24-7,1211442-07-7,0.045
108-24-7,1211441-95-0,0.043
108-24-7,1211441-93-8,0.043
108-24-7,1211441-90-5,0.042
108-24-7,1211441-88-1,0.044
108-24-7,1211441-83-6,0.04
108-24-7,1211441-74-5,0.043
108-24-7,1211441-56-3,0.042
108-24-7,1211441-54-1,0.042
108-24-7,1211441-51-8,0.041
108-24-7,1211441-43-8,0.046
108-24-7,1211441-39-2,0.044
108-24-7,1211441-37-0,0.044
108-24-7,1211441-34-7,0.046
108-24-7,1211441-32-5,0.012
108-24-7,1211441-30-3,0.041
108-24-7,1211441-24-5,0.041
108-24-7,1211441-08-5,0.043
108-24-7,1211441-06-3,0.043
108-24-7,1211440-98-0,0.05
108-24-7,1211440-89-9,0.041
108-24-7,1211440-85-5,0.043
108-24-7,1211440-74-2,0.043
108-24-7,1211440-71-9,0.043
108-24-7,1211440-67-3,0.043
108-24-7,1211440-63-9,0.043
108-24-7,1211440-61-7,0.043
108-24-7,1211440-56-0,0.052
108-24-7,1211440-52-6,0.045
108-24-7,1211440-50-4,0.043
108-24-7,1211440-45-7,0.043
108-24-7,1211440-37-7,0.045
108-24-7,1211440-33-3,0.043
108-24-7,1211440-25-3,0.011
108-24-7,1154964-62-1,0.0
108-24-7,32827-33-1,0.115
108-24-7,1211444-06-2,0.02
108-24-7,1211444-01-7,0.062
108-24-7,1211443-92-3,0.081
108-24-7,1211443-71-8,0.051
108-24-7,1211443-68-3,0.038
108-24-7,1211443-65-0,0.053
108-24-7,1211443-53-6,0.037
108-24-7,1211443-19-4,0.079
108-24-7,1211443-14-9,0.018
108-24-7,1211442-96-4,0.081
108-24-7,1211442-92-0,0.018
108-24-7,1211441-04-1,0.044
108-24-7,1211440-83-3,0.042
108-24-7,1211440-59-3,0.044
108-24-7,1211440-39-9,0.057
108-24-7,1211440-23-1,0.053
108-24-7,1211443-78-5,0.049
108-24-7,1211443-51-4,0.037
108-24-7,1211443-47-8,0.049
108-24-7,1211443-45-6,0.051
108-24-7,1211443-43-4,0.047
108-24-7,1211443-41-2,0.045
108-24-7,1211443-39-8,0.047
108-24-7,1211443-36-5,0.049
108-24-7,1211443-34-3,0.056
108-24-7,1211443-31-0,0.051
108-24-7,1211443-28-5,0.047
108-24-7,1211443-25-2,0.05
108-24-7,1211443-23-0,0.05
108-24-7,1211443-16-1,0.051
108-24-7,1211443-12-7,0.0
108-24-7,1211443-08-1,0.023
108-24-7,1211443-05-8,0.051
108-24-7,1211442-99-7,0.052
108-24-7,1211442-94-2,0.054
108-24-7,1211442-86-2,0.045
108-24-7,1211442-82-8,0.043
108-24-7,1211442-80-6,0.051
108-24-7,1211442-78-2,0.051
108-24-7,1211442-75-9,0.011
108-24-7,1211442-72-6,0.026
108-24-7,1211442-70-4,0.012
108-24-7,1211442-64-6,0.053
108-24-7,1211442-52-2,0.042
108-24-7,1211442-46-4,0.042
108-24-7,1211442-28-2,0.044
108-24-7,1211442-22-6,0.042
108-24-7,1211442-19-1,0.048
108-24-7,1211442-05-5,0.052
108-24-7,1211442-03-3,0.044
108-24-7,1211442-01-1,0.043
108-24-7,1211441-85-8,0.041
108-24-7,1211441-81-4,0.045
108-24-7,1211441-79-0,0.045
108-24-7,1211441-77-8,0.042
108-24-7,1211441-69-8,0.043
108-24-7,1211441-65-4,0.055
108-24-7,1211441-63-2,0.041
108-24-7,1211441-61-0,0.047
108-24-7,1211441-48-3,0.041
108-24-7,1211441-45-0,0.043
108-24-7,1211441-41-6,0.045
108-24-7,1211441-27-8,0.053
108-24-7,1211441-21-2,0.044
108-24-7,1211441-19-8,0.043
108-24-7,1211441-17-6,0.045
108-24-7,1211441-15-4,0.049
108-24-7,1211441-12-1,0.047
108-24-7,1211441-10-9,0.04
108-24-7,1211441-01-8,0.044
108-24-7,1211440-96-8,0.048
108-24-7,1211440-94-6,0.05
108-24-7,1211440-91-3,0.05
108-24-7,1211440-87-7,0.055
108-24-7,1211440-81-1,0.045
108-24-7,1211440-78-6,0.042
108-24-7,1211440-69-5,0.046
108-24-7,1211440-65-1,0.0
108-24-7,1211440-47-9,0.0
108-24-7,1211440-43-5,0.041
108-24-7,1211440-41-3,0.043
108-24-7,1211440-30-0,0.043
108-24-7,1211440-28-6,0.043
108-24-7,1147803-01-7,0.017
108-24-7,18621-18-6,0.05
108-24-7,109384-27-2,0.062
108-24-7,1211443-80-9,0.045
110-91-8,124-40-3,0.0
110-91-8,18162-48-6,0.048
110-91-8,74-96-4,0.0
110-91-8,109-01-3,0.227
110-91-8,504-29-0,0.0
110-91-8,4530-20-5,0.0
110-91-8,57260-71-6,0.135
110-91-8,540-51-2,0.0
110-91-8,1003-03-8,0.045
110-91-8,4023-34-1,0.042
110-91-8,917-64-6,0.0
110-91-8,5382-16-1,0.227
110-91-8,103-76-4,0.167
110-91-8,627-18-9,0.0
110-91-8,2719-27-9,0.033
110-91-8,1118-68-9,0.0
110-91-8,590-17-0,0.0
110-91-8,6482-24-2,0.0
110-91-8,78-77-3,0.0
110-91-8,137-43-9,0.045
110-91-8,1013-88-3,0.0
110-91-8,13889-98-0,0.179
110-91-8,558-30-5,0.105
110-91-8,5445-17-0,0.0
110-91-8,598-41-4,0.0
110-91-8,2550-36-9,0.036
110-91-8,683-57-8,0.0
110-91-8,15159-40-7,0.179
110-91-8,35320-23-1,0.0
110-91-8,4318-42-7,0.192
110-91-8,628-89-7,0.0
110-91-8,762-49-2,0.0
110-91-8,50533-97-6,0.192
110-91-8,16088-62-3,0.105
110-91-8,15448-47-2,0.105
110-91-8,1211441-98-3,0.056
110-91-8,112275-50-0,0.114
110-91-8,55276-43-2,0.179
110-91-8,10160-87-9,0.0
110-91-8,57044-25-4,0.136
110-91-8,1192-63-8,0.036
110-91-8,60456-23-7,0.136
110-91-8,99724-19-3,0.093
110-91-8,13484-40-7,0.147
110-91-8,36082-50-5,0.0
110-91-8,23100-12-1,0.0
110-91-8,39856-50-3,0.0
110-91-8,104-97-2,0.028
110-91-8,36052-24-1,0.024
110-91-8,23860-35-7,0.029
110-91-8,4704-77-2,0.0
110-91-8,626-88-0,0.0
110-91-8,76003-29-7,0.065
110-91-8,169447-70-5,0.089
110-91-8,149771-44-8,0.07
110-91-8,170033-47-3,0.089
110-91-8,122734-32-1,0.0
110-91-8,5973-11-5,0.0
110-91-8,571188-59-5,0.017
110-91-8,21543-49-7,0.0
110-91-8,13349-90-1,0.161
110-91-8,120737-78-2,0.089
110-91-8,598-18-5,0.0
110-91-8,571189-78-1,0.119
110-91-8,180975-66-0,0.073
110-91-8,34064-86-3,0.147
110-91-8,571189-16-7,0.016
110-91-8,54149-16-5,0.0
110-91-8,1198408-35-3,0.016
110-91-8,733039-20-8,0.02
110-91-8,1211443-61-6,0.015
110-91-8,204580-28-9,0.028
110-91-8,1002317-13-6,0.02
110-91-8,1178566-52-3,0.016
110-91-8,1082876-26-3,0.119
110-91-8,1211443-58-1,0.017
110-91-8,1002317-12-5,0.018
110-91-8,119382-85-3,0.025
110-91-8,1211443-98-9,0.017
110-91-8,322691-19-0,0.043
110-91-8,866620-29-3,0.016
110-91-8,889447-86-3,0.015
110-91-8,1211444-09-5,0.018
110-91-8,1211443-73-0,0.015
110-91-8,1211443-63-8,0.02
110-91-8,1211443-55-8,0.017
110-91-8,474484-46-3,0.043
110-91-8,1211443-01-4,0.014
110-91-8,1190071-58-9,0.017
110-91-8,571189-68-9,0.015
110-91-8,1211442-89-5,0.015
110-91-8,1019507-58-4,0.059
110-91-8,868366-56-7,0.031
110-91-8,1211441-71-2,0.011
110-91-8,1211441-59-6,0.057
110-91-8,1211443-21-8,0.015
110-91-8,1211442-87-3,0.014
110-91-8,1211444-17-5,0.031
110-91-8,1211444-04-0,0.034
110-91-8,1211442-68-0,0.01
110-91-8,1211442-66-8,0.01
110-91-8,1211442-60-2,0.01
110-91-8,1211442-58-8,0.01
110-91-8,1211442-56-6,0.009
110-91-8,1211442-54-4,0.01
110-91-8,1211442-48-6,0.009
110-91-8,1211442-44-2,0.02
110-91-8,1211442-41-9,0.01
110-91-8,1211442-38-4,0.009
110-91-8,1211442-36-2,0.009
110-91-8,1211442-32-8,0.01
110-91-8,1211442-30-6,0.01
110-91-8,1211442-25-9,0.01
110-91-8,1211442-17-9,0.02
110-91-8,1211442-15-7,0.02
110-91-8,1211442-12-4,0.011
110-91-8,1211442-09-9,0.011
110-91-8,1211442-07-7,0.011
110-91-8,1211441-95-0,0.02
110-91-8,1211441-93-8,0.031
110-91-8,1211441-90-5,0.01
110-91-8,1211441-88-1,0.01
110-91-8,1211441-83-6,0.01
110-91-8,1211441-74-5,0.01
110-91-8,1211441-56-3,0.01
110-91-8,1211441-54-1,0.01
110-91-8,1211441-51-8,0.03
110-91-8,1211441-43-8,0.057
110-91-8,1211441-39-2,0.011
110-91-8,1211441-37-0,0.054
110-91-8,1211441-34-7,0.057
110-91-8,1211441-32-5,0.011
110-91-8,1211441-30-3,0.01
110-91-8,1211441-24-5,0.01
110-91-8,1211441-08-5,0.01
110-91-8,1211441-06-3,0.01
110-91-8,1211440-98-0,0.009
110-91-8,1211440-89-9,0.01
110-91-8,1211440-85-5,0.01
110-91-8,1211440-74-2,0.01
110-91-8,1211440-71-9,0.01
110-91-8,1211440-67-3,0.032
110-91-8,1211440-63-9,0.032
110-91-8,1211440-61-7,0.032
110-91-8,1211440-56-0,0.01
110-91-8,1211440-52-6,0.011
110-91-8,1211440-50-4,0.01
110-91-8,1211440-45-7,0.01
110-91-8,1211440-37-7,0.011
110-91-8,1211440-33-3,0.01
110-91-8,1211440-25-3,0.034
110-91-8,1154964-62-1,0.019
110-91-8,32827-33-1,0.033
110-91-8,1211444-06-2,0.019
110-91-8,1211444-01-7,0.024
110-91-8,1211443-92-3,0.015
110-91-8,1211443-71-8,0.012
110-91-8,1211443-68-3,0.036
110-91-8,1211443-65-0,0.033
110-91-8,1211443-53-6,0.018
110-91-8,1211443-19-4,0.014
110-91-8,1211443-14-9,0.017
110-91-8,1211442-96-4,0.03
110-91-8,1211442-92-0,0.017
110-91-8,1211441-04-1,0.01
110-91-8,1211440-83-3,0.01
110-91-8,1211440-59-3,0.01
110-91-8,1211440-39-9,0.011
110-91-8,1211440-23-1,0.012
110-91-8,1211443-78-5,0.009
110-91-8,1211443-51-4,0.018
110-91-8,1211443-47-8,0.009
110-91-8,1211443-45-6,0.01
110-91-8,1211443-43-4,0.009
110-91-8,1211443-41-2,0.011
110-91-8,1211443-39-8,0.009
110-91-8,1211443-36-5,0.009
110-91-8,1211443-34-3,0.032
110-91-8,1211443-31-0,0.032
110-91-8,1211443-28-5,0.009
110-91-8,1211443-25-2,0.019
110-91-8,1211443-23-0,0.009
110-91-8,1211443-16-1,0.01
110-91-8,1211443-12-7,0.018
110-91-8,1211443-08-1,0.034
110-91-8,1211443-05-8,0.01
110-91-8,1211442-99-7,0.02
110-91-8,1211442-94-2,0.01
110-91-8,1211442-86-2,0.056
110-91-8,1211442-82-8,0.042
110-91-8,1211442-80-6,0.012
110-91-8,1211442-78-2,0.012
110-91-8,1211442-75-9,0.057
110-91-8,1211442-72-6,0.013
110-91-8,1211442-70-4,0.06
110-91-8,1211442-64-6,0.01
110-91-8,1211442-52-2,0.01
110-91-8,1211442-46-4,0.01
110-91-8,1211442-28-2,0.011
110-91-8,1211442-22-6,0.01
110-91-8,1211442-19-1,0.011
110-91-8,1211442-05-5,0.01
110-91-8,1211442-03-3,0.01
110-91-8,1211442-01-1,0.021
110-91-8,1211441-85-8,0.01
110-91-8,1211441-81-4,0.056
110-91-8,1211441-79-0,0.011
110-91-8,1211441-77-8,0.01
110-91-8,1211441-69-8,0.01
110-91-8,1211441-65-4,0.01
110-91-8,1211441-63-2,0.01
110-91-8,1211441-61-0,0.011
110-91-8,1211441-48-3,0.03
110-91-8,1211441-45-0,0.054
110-91-8,1211441-41-6,0.011
110-91-8,1211441-27-8,0.01
110-91-8,1211441-21-2,0.011
110-91-8,1211441-19-8,0.054
110-91-8,1211441-17-6,0.011
110-91-8,1211441-15-4,0.012
110-91-8,1211441-12-1,0.011
110-91-8,1211441-10-9,0.05
110-91-8,1211441-01-8,0.01
110-91-8,1211440-96-8,0.011
110-91-8,1211440-94-6,0.019
110-91-8,1211440-91-3,0.019
110-91-8,1211440-87-7,0.01
110-91-8,1211440-81-1,0.022
110-91-8,1211440-78-6,0.01
110-91-8,1211440-69-5,0.011
110-91-8,1211440-65-1,0.065
110-91-8,1211440-47-9,0.067
110-91-8,1211440-43-5,0.01
110-91-8,1211440-41-3,0.053
110-91-8,1211440-30-0,0.031
110-91-8,1211440-28-6,0.053
110-91-8,1147803-01-7,0.017
110-91-8,18621-18-6,0.15
110-91-8,109384-27-2,0.125
110-91-8,1211443-80-9,0.056
124-40-3,18162-48-6,0.077
124-40-3,74-96-4,0.111
124-40-3,109-01-3,0.056
124-40-3,504-29-0,0.0
124-40-3,4530-20-5,0.071
124-40-3,57260-71-6,0.03
124-40-3,540-51-2,0.0
124-40-3,1003-03-8,0.0
124-40-3,4023-34-1,0.0
