node1,node2,similarity
197520-71-1,69719-84-2,0.0
197520-71-1,90792-83-9,0.022
197520-71-1,54149-18-7,0.048
197520-71-1,284030-58-6,0.358
197520-71-1,22460-65-7,0.0
197520-71-1,343925-76-8,0.022
197520-71-1,66769-61-7,0.058
197520-71-1,1123-05-3,0.0
197520-71-1,284030-57-5,0.558
197520-71-1,391212-47-8,0.05
197520-71-1,128080-06-8,0.021
197520-71-1,606144-04-1,0.157
197520-71-1,101512-32-7,0.0
197520-71-1,114809-62-0,0.048
197520-71-1,105687-33-0,0.038
197520-71-1,606144-02-9,0.125
197520-71-1,606143-88-8,0.113
197520-71-1,221221-03-0,0.558
197520-71-1,113211-31-7,0.0
197520-71-1,504436-69-5,0.046
197520-71-1,284030-47-3,0.109
197520-71-1,606143-94-6,0.268
197520-71-1,606093-58-7,0.299
197520-71-1,504436-74-2,0.042
197520-71-1,606143-46-8,0.126
197520-71-1,606093-59-8,0.156
197520-71-1,343925-88-2,0.0
197520-71-1,139000-58-1,0.053
197520-71-1,874100-57-9,0.06
197520-71-1,606143-96-8,0.069
197520-71-1,606143-93-5,0.139
197520-71-1,284030-62-2,0.128
197520-71-1,284030-61-1,0.133
197520-71-1,284030-59-7,0.264
197520-71-1,1026282-71-2,0.086
197520-71-1,606144-42-7,0.191
197520-71-1,606144-05-2,0.104
197520-71-1,606143-90-2,0.102
197520-71-1,606143-87-7,0.098
197520-71-1,606143-75-3,0.109
197520-71-1,606143-72-0,0.111
197520-71-1,606143-62-8,0.085
197520-71-1,606143-53-7,0.107
197520-71-1,606143-51-5,0.11
197520-71-1,606143-45-7,0.109
197520-71-1,874100-58-0,0.0
197520-71-1,606144-33-6,0.316
197520-71-1,606144-03-0,0.126
197520-71-1,606143-97-9,0.041
197520-71-1,606143-48-0,0.129
197520-71-1,391212-31-0,0.02
197520-71-1,139000-69-4,0.05
197520-71-1,1352241-51-0,0.0
197520-71-1,1352241-50-9,0.068
197520-71-1,1352241-49-6,0.019
197520-71-1,1347917-93-4,0.082
197520-71-1,1347861-68-0,0.1
197520-71-1,1082878-51-0,0.065
197520-71-1,1066516-50-4,0.097
197520-71-1,1063980-86-8,0.085
197520-71-1,1054167-04-2,0.098
197520-71-1,1054167-03-1,0.088
197520-71-1,1054167-01-9,0.091
197520-71-1,1054167-00-8,0.097
197520-71-1,1054166-99-2,0.085
197520-71-1,1054166-98-1,0.084
197520-71-1,1054166-97-0,0.085
197520-71-1,1054166-96-9,0.085
197520-71-1,1054166-94-7,0.082
197520-71-1,1054166-93-6,0.083
197520-71-1,1054166-92-5,0.082
197520-71-1,1054166-91-4,0.083
197520-71-1,1054166-90-3,0.082
197520-71-1,1054166-89-0,0.092
197520-71-1,1054166-88-9,0.082
197520-71-1,1054166-87-8,0.076
197520-71-1,1054166-86-7,0.085
197520-71-1,1054166-85-6,0.085
197520-71-1,1054166-84-5,0.082
197520-71-1,1054166-83-4,0.081
197520-71-1,1054166-82-3,0.093
197520-71-1,1054166-81-2,0.089
197520-71-1,1054166-80-1,0.089
197520-71-1,1054166-79-8,0.086
197520-71-1,1054166-77-6,0.097
197520-71-1,1054166-75-4,0.096
197520-71-1,1054166-74-3,0.098
197520-71-1,1054166-73-2,0.101
197520-71-1,1054166-72-1,0.09
197520-71-1,1054166-71-0,0.087
197520-71-1,1054166-70-9,0.089
197520-71-1,1054166-69-6,0.083
197520-71-1,1054166-68-5,0.086
197520-71-1,1054166-67-4,0.086
197520-71-1,1054166-66-3,0.086
197520-71-1,1054166-65-2,0.082
197520-71-1,1054166-64-1,0.088
197520-71-1,1054166-63-0,0.091
197520-71-1,1054166-62-9,0.094
197520-71-1,62-53-3,0.071
197520-71-1,64-18-6,0.056
197520-71-1,74-88-4,0.0
197520-71-1,110-89-4,0.0
197520-71-1,110-91-8,0.0
197520-71-1,74-89-5,0.0
197520-71-1,24424-99-5,0.064
197520-71-1,76-05-1,0.135
197520-71-1,75-15-0,0.0
197520-71-1,124-40-3,0.0
197520-71-1,288-32-4,0.022
197520-71-1,106-95-6,0.025
197520-71-1,123-54-6,0.077
197520-71-1,123-75-1,0.0
197520-71-1,75-03-6,0.0
197520-71-1,110-85-0,0.0
197520-71-1,107-10-8,0.0
197520-71-1,75-31-0,0.0
197520-71-1,1066-54-2,0.0
197520-71-1,109-01-3,0.0
197520-71-1,109-86-4,0.023
197520-71-1,95-53-4,0.064
197520-71-1,75-44-5,0.086
197520-71-1,122-51-0,0.0
197520-71-1,107-30-2,0.0
197520-71-1,95-51-2,0.064
197520-71-1,506-68-3,0.027
197520-71-1,1663-39-4,0.085
197520-71-1,109-04-6,0.042
197520-71-1,75-30-9,0.0
197520-71-1,57260-71-6,0.051
197520-71-1,542-69-8,0.0
197520-71-1,18107-18-1,0.0
197520-71-1,3731-51-9,0.038
197520-71-1,557-21-1,0.0
197520-71-1,96-50-4,0.043
197520-71-1,348-54-9,0.111
197520-71-1,67-71-0,0.027
197520-71-1,524-38-9,0.08
197520-71-1,5162-44-7,0.023
197520-71-1,556-56-9,0.025
197520-71-1,76513-69-4,0.0
197520-71-1,123-90-0,0.0
197520-71-1,4418-61-5,0.021
197520-71-1,1119-51-3,0.022
197520-71-1,36635-61-7,0.07
197520-71-1,2706-56-1,0.036
197520-71-1,620-05-3,0.065
197520-71-1,513-38-2,0.0
197520-71-1,505-10-2,0.022
197520-71-1,622-33-3,0.059
197520-71-1,3188-13-4,0.0
197520-71-1,40499-83-0,0.021
197520-71-1,606143-52-6,0.1
197520-71-1,3040-44-6,0.019
197520-71-1,5332-06-9,0.0
197520-71-1,353-83-3,0.051
197520-71-1,2955-88-6,0.02
197520-71-1,5271-38-5,0.023
197520-71-1,55401-97-3,0.038
197520-71-1,6940-76-7,0.0
197520-71-1,3680-02-2,0.049
197520-71-1,606143-89-9,0.102
197520-71-1,1008-91-9,0.033
197520-71-1,99724-19-3,0.047
197520-71-1,69478-75-7,0.0
197520-71-1,699-12-7,0.075
197520-71-1,33574-02-6,0.0
197520-71-1,4296-15-5,0.0
197520-71-1,627-32-7,0.024
197520-71-1,125552-89-8,0.02
197520-71-1,10297-05-9,0.0
197520-71-1,4439-24-1,0.02
197520-71-1,7766-48-5,0.022
197520-71-1,6542-54-7,0.023
197520-71-1,34723-82-5,0.0
197520-71-1,7766-51-0,0.023
197520-71-1,37477-16-0,0.0
197520-71-1,61079-72-9,0.289
197520-71-1,5469-33-0,0.0
197520-71-1,70887-29-5,0.038
197520-71-1,624-70-4,0.0
197520-71-1,35424-56-7,0.04
197520-71-1,3279-95-6,0.023
197520-71-1,60274-60-4,0.0
197520-71-1,83665-55-8,0.04
197520-71-1,66222-28-4,0.045
197520-71-1,3210-08-0,0.023
197520-71-1,3238-98-0,0.053
197520-71-1,3831-29-6,0.083
197520-71-1,86256-59-9,0.068
197520-71-1,16408-62-1,0.0
197520-71-1,18171-11-4,0.0
197520-71-1,391212-29-6,0.02
197520-71-1,6069-06-3,0.0
197520-71-1,5831-70-9,0.0
197520-71-1,80203-35-6,0.0
197520-71-1,100045-83-8,0.0
197520-71-1,54149-39-2,0.0
197520-71-1,154257-75-7,0.245
197520-71-1,1025942-34-0,0.08
197520-71-1,1025932-37-9,0.1
197520-71-1,1025823-11-3,0.093
197520-71-1,606144-62-1,0.084
197520-71-1,606144-61-0,0.129
197520-71-1,606144-60-9,0.105
197520-71-1,606144-59-6,0.119
197520-71-1,606144-58-5,0.081
197520-71-1,606144-57-4,0.081
197520-71-1,606144-56-3,0.065
197520-71-1,606144-53-0,0.09
197520-71-1,606144-52-9,0.081
197520-71-1,606144-51-8,0.087
197520-71-1,606144-50-7,0.106
197520-71-1,606144-49-4,0.11
197520-71-1,606144-48-3,0.101
197520-71-1,606144-47-2,0.103
197520-71-1,606144-46-1,0.14
197520-71-1,606144-45-0,0.115
197520-71-1,606144-44-9,0.108
197520-71-1,606144-43-8,0.182
197520-71-1,606144-41-6,0.075
197520-71-1,606144-40-5,0.12
197520-71-1,606144-39-2,0.09
197520-71-1,606144-38-1,0.092
197520-71-1,606144-37-0,0.098
197520-71-1,606144-36-9,0.113
197520-71-1,606144-35-8,0.125
197520-71-1,606144-34-7,0.246
197520-71-1,606144-32-5,0.468
197520-71-1,606144-31-4,0.065
197520-71-1,606144-30-3,0.071
197520-71-1,606144-29-0,0.082
197520-71-1,606144-28-9,0.068
197520-71-1,606144-27-8,0.083
197520-71-1,606144-26-7,0.075
197520-71-1,606144-25-6,0.071
197520-71-1,606144-24-5,0.102
197520-71-1,606144-23-4,0.069
197520-71-1,606144-22-3,0.101
197520-71-1,606144-21-2,0.068
197520-71-1,606144-20-1,0.114
197520-71-1,606144-19-8,0.112
197520-71-1,606144-18-7,0.088
197520-71-1,606144-17-6,0.126
197520-71-1,606144-16-5,0.101
197520-71-1,606144-15-4,0.129
197520-71-1,606144-14-3,0.104
197520-71-1,606144-11-0,0.106
197520-71-1,606144-10-9,0.087
197520-71-1,606144-09-6,0.084
197520-71-1,606144-08-5,0.096
197520-71-1,606144-07-4,0.147
197520-71-1,606144-06-3,0.12
197520-71-1,606144-01-8,0.16
197520-71-1,606144-00-7,0.133
197520-71-1,606143-99-1,0.164
197520-71-1,606143-98-0,0.264
197520-71-1,606143-95-7,0.241
197520-71-1,606143-92-4,0.16
197520-71-1,606143-91-3,0.128
197520-71-1,606143-86-6,0.106
197520-71-1,606143-85-5,0.107
197520-71-1,606143-84-4,0.134
197520-71-1,606143-83-3,0.071
197520-71-1,606143-82-2,0.07
197520-71-1,606143-81-1,0.088
197520-71-1,606143-80-0,0.062
197520-71-1,606143-79-7,0.069
197520-71-1,606143-78-6,0.089
197520-71-1,606143-77-5,0.106
197520-71-1,606143-76-4,0.107
197520-71-1,606143-74-2,0.105
197520-71-1,606143-73-1,0.114
197520-71-1,606143-71-9,0.114
197520-71-1,606143-70-8,0.072
197520-71-1,606143-69-5,0.074
197520-71-1,606143-68-4,0.083
197520-71-1,606143-67-3,0.114
197520-71-1,606143-66-2,0.073
197520-71-1,606143-65-1,0.073
197520-71-1,606143-64-0,0.073
197520-71-1,606143-63-9,0.089
197520-71-1,606143-61-7,0.084
197520-71-1,606143-60-6,0.084
197520-71-1,606143-59-3,0.083
197520-71-1,606143-58-2,0.081
197520-71-1,606143-57-1,0.082
197520-71-1,606143-54-8,0.093
197520-71-1,606143-50-4,0.122
197520-71-1,606143-49-1,0.128
197520-71-1,606143-47-9,0.129
197520-71-1,207745-88-8,0.043
197520-71-1,1026385-15-8,0.076
197520-71-1,606144-12-1,0.125
197520-71-1,593-56-6,0.0
197520-71-1,3473-63-0,0.098
197520-71-1,74124-04-2,0.0
