node1,node2,similarity
50-00-0,108-95-2,0.0
50-00-0,62-53-3,0.0
50-00-0,68-12-2,0.091
50-00-0,74-88-4,0.0
50-00-0,110-89-4,0.0
50-00-0,87-69-4,0.077
50-00-0,24424-99-5,0.05
50-00-0,76-05-1,0.083
50-00-0,98-80-6,0.0
50-00-0,95-14-7,0.0
50-00-0,147-94-4,0.021
50-00-0,73183-34-3,0.0
50-00-0,814-68-6,0.167
50-00-0,917-54-4,0.0
50-00-0,79-37-8,0.111
50-00-0,925-90-6,0.0
50-00-0,58479-61-1,0.0
50-00-0,57260-71-6,0.031
50-00-0,16419-60-6,0.0
50-00-0,13922-41-3,0.0
50-00-0,96-47-9,0.0
50-00-0,5720-06-9,0.0
50-00-0,411235-57-9,0.0
50-00-0,2516-47-4,0.0
50-00-0,1993-03-9,0.0
50-00-0,3900-89-8,0.0
50-00-0,2237-30-1,0.0
50-00-0,868540-17-4,0.011
50-00-0,579-66-8,0.043
50-00-0,813-19-4,0.0
50-00-0,144025-03-6,0.0
50-00-0,823-96-1,0.0
50-00-0,540-80-7,0.067
50-00-0,643-28-7,0.0
50-00-0,100379-00-8,0.0
50-00-0,5614-37-9,0.0
50-00-0,6310-21-0,0.0
50-00-0,122536-77-0,0.027
50-00-0,5413-85-4,0.0
50-00-0,193269-78-2,0.033
50-00-0,699-98-9,0.031
50-00-0,309956-78-3,0.025
50-00-0,147081-29-6,0.026
50-00-0,86-58-8,0.0
50-00-0,188111-79-7,0.026
50-00-0,62673-31-8,0.0
50-00-0,151169-74-3,0.0
50-00-0,163765-44-4,0.026
50-00-0,90002-36-1,0.037
50-00-0,942-06-3,0.042
50-00-0,169447-70-5,0.026
50-00-0,149771-44-8,0.028
50-00-0,170033-47-3,0.026
50-00-0,89787-12-2,0.0
50-00-0,1041026-70-3,0.029
50-00-0,220465-43-0,0.0
50-00-0,82671-06-5,0.031
50-00-0,126403-68-7,0.0
50-00-0,406482-19-7,0.0
50-00-0,120737-59-9,0.026
50-00-0,5266-85-3,0.0
50-00-0,78495-63-3,0.0
50-00-0,96424-68-9,0.0
50-00-0,104116-17-8,0.026
50-00-0,171860-68-7,0.0
50-00-0,202865-73-4,0.0
50-00-0,2296729-00-3,0.02
50-00-0,301673-16-5,0.024
50-00-0,278788-66-2,0.024
50-00-0,1256345-60-4,0.0
50-00-0,89694-46-2,0.0
50-00-0,77047-87-1,0.0
50-00-0,148839-33-2,0.0
50-00-0,314741-40-7,0.024
50-00-0,129799-08-2,0.047
50-00-0,1012084-56-8,0.0
50-00-0,113237-20-0,0.03
50-00-0,1458-18-0,0.03
50-00-0,13130-79-5,0.0
50-00-0,577777-20-9,0.031
50-00-0,84501-64-4,0.038
50-00-0,312693-07-5,0.0
50-00-0,55751-54-7,0.0
50-00-0,1698293-93-4,0.0
50-00-0,1416013-62-1,0.03
50-00-0,2252403-56-6,0.02
50-00-0,1171891-31-8,0.0
50-00-0,4430-77-7,0.029
50-00-0,1698027-17-6,0.028
50-00-0,454703-20-9,0.03
50-00-0,85459-20-7,0.0
50-00-0,181365-26-4,0.021
50-00-0,54718-39-7,0.033
50-00-0,89694-44-0,0.0
50-00-0,721401-43-0,0.0
50-00-0,126325-50-6,0.0
50-00-0,45764-34-9,0.074
50-00-0,2230874-07-2,0.02
50-00-0,2230874-06-1,0.021
50-00-0,1604376-50-2,0.059
50-00-0,39225-62-2,0.0
50-00-0,2253119-24-1,0.021
50-00-0,2252404-26-3,0.011
50-00-0,2252404-25-2,0.016
50-00-0,2252404-24-1,0.016
50-00-0,2252404-22-9,0.014
50-00-0,2252404-19-4,0.021
50-00-0,2252404-18-3,0.02
50-00-0,2252403-88-4,0.015
50-00-0,2252403-73-7,0.016
50-00-0,2252403-72-6,0.01
50-00-0,2252403-64-6,0.02
50-00-0,2252403-63-5,0.019
50-00-0,2252403-55-5,0.019
50-00-0,2252403-54-4,0.019
50-00-0,2231137-97-4,0.024
50-00-0,2231137-91-8,0.024
50-00-0,2230913-78-5,0.026
50-00-0,2230876-19-2,0.015
50-00-0,2230876-18-1,0.016
50-00-0,2230876-17-0,0.015
50-00-0,2230876-10-3,0.019
50-00-0,2230876-09-0,0.011
50-00-0,2230876-08-9,0.014
50-00-0,2230876-07-8,0.014
50-00-0,2230876-06-7,0.016
50-00-0,2230876-01-2,0.01
50-00-0,2230876-00-1,0.012
50-00-0,2230875-99-5,0.012
50-00-0,2230875-98-4,0.012
50-00-0,2230875-97-3,0.016
50-00-0,2230875-96-2,0.025
50-00-0,2230875-95-1,0.025
50-00-0,2230875-94-0,0.019
50-00-0,2230875-92-8,0.013
50-00-0,2230875-91-7,0.019
50-00-0,2230875-90-6,0.01
50-00-0,2230875-89-3,0.019
50-00-0,2230875-87-1,0.0
50-00-0,2230875-86-0,0.027
50-00-0,2230875-85-9,0.0
50-00-0,2230875-84-8,0.018
50-00-0,2230875-79-1,0.011
50-00-0,2230875-78-0,0.011
50-00-0,2230875-77-9,0.0
50-00-0,2230875-76-8,0.011
50-00-0,2230875-74-6,0.011
50-00-0,2230875-73-5,0.011
50-00-0,2230875-72-4,0.0
50-00-0,2230875-71-3,0.012
50-00-0,2230875-70-2,0.019
50-00-0,2230875-69-9,0.0
50-00-0,2230875-68-8,0.009
50-00-0,2230875-67-7,0.019
50-00-0,2230875-66-6,0.01
50-00-0,2230875-65-5,0.009
50-00-0,2230875-64-4,0.02
50-00-0,2230875-63-3,0.0
50-00-0,2230875-62-2,0.01
50-00-0,2230875-61-1,0.009
50-00-0,2230875-59-7,0.012
50-00-0,2230875-38-2,0.01
50-00-0,2230875-37-1,0.01
50-00-0,2230875-36-0,0.01
50-00-0,2230875-35-9,0.016
50-00-0,2230875-34-8,0.012
50-00-0,2230875-33-7,0.013
50-00-0,2230875-32-6,0.011
50-00-0,2230875-31-5,0.0
50-00-0,2230875-30-4,0.0
50-00-0,2230875-29-1,0.0
50-00-0,2230875-28-0,0.016
50-00-0,2230875-27-9,0.0
50-00-0,2230875-26-8,0.014
50-00-0,2230875-25-7,0.023
50-00-0,2230875-24-6,0.033
50-00-0,2230875-23-5,0.024
50-00-0,2230875-20-2,0.011
50-00-0,2230875-19-9,0.016
50-00-0,2230875-18-8,0.017
50-00-0,2230875-17-7,0.017
50-00-0,2230875-15-5,0.025
50-00-0,2230875-14-4,0.0
50-00-0,2230875-13-3,0.012
50-00-0,2230875-12-2,0.015
50-00-0,2230875-11-1,0.0
50-00-0,2230875-10-0,0.0
50-00-0,2230875-09-7,0.0
50-00-0,2230875-06-4,0.0
50-00-0,2230875-03-1,0.0
50-00-0,2230875-01-9,0.0
50-00-0,2230874-99-2,0.011
50-00-0,2230874-74-3,0.023
50-00-0,2230874-73-2,0.023
50-00-0,2230874-72-1,0.023
50-00-0,2230874-71-0,0.023
50-00-0,2230874-70-9,0.023
50-00-0,2230874-69-6,0.021
50-00-0,2230874-68-5,0.021
50-00-0,2230874-67-4,0.023
50-00-0,2230874-66-3,0.023
50-00-0,2230874-65-2,0.031
50-00-0,2230874-64-1,0.025
50-00-0,2230874-63-0,0.025
50-00-0,2230874-60-7,0.023
50-00-0,2230874-59-4,0.022
50-00-0,2230874-58-3,0.022
50-00-0,2230874-57-2,0.024
50-00-0,2230874-56-1,0.024
50-00-0,2230874-55-0,0.024
50-00-0,2230874-54-9,0.023
50-00-0,2230874-53-8,0.022
50-00-0,2230874-52-7,0.024
50-00-0,2230874-51-6,0.022
50-00-0,2230874-50-5,0.024
50-00-0,2230874-49-2,0.023
50-00-0,2230874-48-1,0.022
50-00-0,2230874-47-0,0.023
50-00-0,2230874-46-9,0.023
50-00-0,2230874-45-8,0.022
50-00-0,2230874-44-7,0.011
50-00-0,2230874-43-6,0.01
50-00-0,2230874-42-5,0.023
50-00-0,2230874-41-4,0.026
50-00-0,2230874-40-3,0.024
50-00-0,2230874-39-0,0.023
50-00-0,2230874-38-9,0.025
50-00-0,2230874-36-7,0.02
50-00-0,2230874-33-4,0.021
50-00-0,2230874-32-3,0.022
50-00-0,2230874-31-2,0.024
50-00-0,2230874-30-1,0.022
50-00-0,2230874-27-6,0.022
50-00-0,2230874-21-0,0.02
50-00-0,2230874-19-6,0.021
50-00-0,2230874-18-5,0.018
50-00-0,2230874-16-3,0.02
50-00-0,2230874-15-2,0.021
50-00-0,2230874-14-1,0.02
50-00-0,2230874-13-0,0.021
50-00-0,2230874-09-4,0.02
50-00-0,2230874-04-9,0.021
50-00-0,2230874-03-8,0.022
50-00-0,2230874-02-7,0.022
50-00-0,2230874-01-6,0.027
50-00-0,2230874-00-5,0.026
50-00-0,2230873-99-9,0.022
50-00-0,2230873-98-8,0.021
50-00-0,2230873-97-7,0.022
50-00-0,2230873-96-6,0.022
50-00-0,2230873-95-5,0.022
50-00-0,2230873-94-4,0.022
50-00-0,2230873-93-3,0.022
50-00-0,2230873-92-2,0.022
50-00-0,2230873-91-1,0.022
50-00-0,2230873-90-0,0.021
50-00-0,2230873-89-7,0.027
50-00-0,2230873-88-6,0.031
50-00-0,2230873-87-5,0.023
50-00-0,2230873-86-4,0.022
50-00-0,2230873-85-3,0.031
50-00-0,2230873-84-2,0.022
50-00-0,2230873-83-1,0.03
50-00-0,2230873-82-0,0.023
50-00-0,2230873-81-9,0.025
50-00-0,2230873-80-8,0.024
50-00-0,2230873-79-5,0.025
50-00-0,2230873-78-4,0.027
50-00-0,2230873-77-3,0.025
50-00-0,2230873-76-2,0.027
50-00-0,2230873-75-1,0.027
50-00-0,2230873-74-0,0.027
50-00-0,2230873-73-9,0.027
50-00-0,2230873-72-8,0.027
50-00-0,2230873-71-7,0.027
50-00-0,2230873-70-6,0.027
50-00-0,2230873-69-3,0.024
50-00-0,2230873-68-2,0.026
50-00-0,2230873-67-1,0.027
50-00-0,2230873-66-0,0.027
50-00-0,2230873-65-9,0.026
50-00-0,2230873-64-8,0.026
50-00-0,2230873-63-7,0.028
50-00-0,2230873-62-6,0.027
50-00-0,2230873-61-5,0.024
50-00-0,2230873-60-4,0.023
50-00-0,2230873-59-1,0.024
50-00-0,2230873-58-0,0.023
50-00-0,2230873-57-9,0.024
50-00-0,2230873-56-8,0.021
50-00-0,2230873-55-7,0.024
50-00-0,2230873-54-6,0.022
50-00-0,2230873-53-5,0.023
50-00-0,2230873-52-4,0.023
50-00-0,2230873-51-3,0.023
50-00-0,2230873-49-9,0.023
50-00-0,2230873-48-8,0.022
50-00-0,2230873-47-7,0.024
50-00-0,2230873-46-6,0.024
50-00-0,2230873-45-5,0.025
50-00-0,2230873-44-4,0.027
50-00-0,2230873-43-3,0.021
50-00-0,2230873-42-2,0.022
50-00-0,2230873-41-1,0.022
50-00-0,2230873-40-0,0.023
50-00-0,2230873-39-7,0.022
50-00-0,2230873-38-6,0.022
50-00-0,2230873-37-5,0.022
50-00-0,2230873-36-4,0.021
50-00-0,2230873-35-3,0.022
50-00-0,2230873-34-2,0.025
50-00-0,2230873-33-1,0.024
50-00-0,2230873-32-0,0.021
50-00-0,2230873-31-9,0.021
50-00-0,2230873-30-8,0.022
50-00-0,2230873-29-5,0.022
50-00-0,2230873-28-4,0.022
50-00-0,2230873-27-3,0.022
50-00-0,2230873-26-2,0.022
50-00-0,2230873-25-1,0.026
50-00-0,2230873-24-0,0.024
50-00-0,2230873-23-9,0.027
50-00-0,2230873-22-8,0.025
50-00-0,2230873-21-7,0.026
50-00-0,2096992-01-5,0.016
50-00-0,2403618-83-5,0.022
50-00-0,2296729-66-1,0.02
50-00-0,2253119-53-6,0.022
50-00-0,2253119-52-5,0.022
50-00-0,2253119-51-4,0.019
50-00-0,2253119-50-3,0.019
50-00-0,2253119-25-2,0.021
50-00-0,2253119-23-0,0.019
50-00-0,2253119-22-9,0.02
50-00-0,2252404-32-1,0.009
50-00-0,2252404-31-0,0.011
50-00-0,2252404-30-9,0.017
50-00-0,2252404-29-6,0.016
50-00-0,2252404-28-5,0.016
50-00-0,2252404-27-4,0.01
50-00-0,2252404-23-0,0.014
50-00-0,2252404-21-8,0.014
50-00-0,2252404-17-2,0.01
50-00-0,2252404-16-1,0.011
50-00-0,2252404-15-0,0.016
50-00-0,2252404-14-9,0.017
50-00-0,2252404-13-8,0.009
50-00-0,2252404-12-7,0.011
50-00-0,2252404-11-6,0.016
50-00-0,2252404-10-5,0.017
50-00-0,2252404-09-2,0.01
50-00-0,2252404-08-1,0.011
50-00-0,2252404-07-0,0.017
50-00-0,2252404-06-9,0.018
50-00-0,2252404-04-7,0.009
50-00-0,2252404-03-6,0.011
50-00-0,2252404-02-5,0.015
50-00-0,2252404-01-4,0.016
50-00-0,2252404-00-3,0.009
50-00-0,2252403-99-7,0.009
50-00-0,2252403-98-6,0.01
50-00-0,2252403-97-5,0.015
50-00-0,2252403-96-4,0.015
50-00-0,2252403-95-3,0.03
50-00-0,2252403-94-2,0.01
50-00-0,2252403-90-8,0.009
50-00-0,2252403-89-5,0.01
50-00-0,2252403-87-3,0.014
50-00-0,2252403-86-2,0.029
50-00-0,2252403-75-9,0.009
50-00-0,2252403-74-8,0.011
50-00-0,2252403-71-5,0.0
50-00-0,2252403-69-1,0.019
50-00-0,2252403-68-0,0.02
50-00-0,2252403-67-9,0.02
50-00-0,2252403-66-8,0.021
50-00-0,2252403-65-7,0.021
50-00-0,2252403-62-4,0.02
50-00-0,2252403-61-3,0.019
50-00-0,2252403-60-2,0.019
50-00-0,2252403-59-9,0.019
50-00-0,2252403-58-8,0.02
50-00-0,2252403-57-7,0.019
50-00-0,2252403-53-3,0.021
50-00-0,124-41-4,0.0
50-00-0,848133-35-7,0.04
50-00-0,217806-26-3,0.031
50-00-0,2230875-44-0,0.049
50-00-0,2230875-82-6,0.011
50-00-0,2230875-80-4,0.011
50-00-0,2230875-75-7,0.012
50-00-0,2230875-22-4,0.011
50-00-0,24247-77-6,0.0
50-00-0,703-33-3,0.0
50-00-0,1004294-58-9,0.0
50-00-0,639068-43-2,0.029
50-00-0,2252403-82-8,0.015
50-00-0,438049-35-5,0.023
50-00-0,3682-31-3,0.042
50-00-0,873566-74-6,0.0
50-00-0,2252403-81-7,0.015
50-00-0,142266-62-4,0.032
50-00-0,2168417-89-6,0.0
50-00-0,2252403-84-0,0.01
50-00-0,36825-32-8,0.0
50-00-0,2252403-83-9,0.016
50-00-0,502649-32-3,0.023
50-00-0,98436-35-2,0.0
