node1,node2,similarity
39512-49-7,36823-88-8,0.089
39512-49-7,6321-23-9,0.021
39512-49-7,59025-55-7,0.052
39512-49-7,7003-32-9,0.02
39512-49-7,80466-79-1,0.037
39512-49-7,41186-03-2,0.136
39512-49-7,61341-86-4,0.07
39512-49-7,38985-64-7,0.054
39512-49-7,3644-18-6,0.093
39512-49-7,27469-60-9,0.138
39512-49-7,16413-26-6,0.067
39512-49-7,39827-11-7,0.102
39512-49-7,31027-31-3,0.073
39512-49-7,51639-48-6,0.155
39512-49-7,62348-13-4,0.122
39512-49-7,56651-60-6,0.05
39512-49-7,51552-16-0,0.044
39512-49-7,30389-18-5,0.062
39512-49-7,5400-88-4,0.02
39512-49-7,218301-22-5,0.068
39512-49-7,56346-57-7,0.153
39512-49-7,40635-66-3,0.041
39512-49-7,39499-34-8,0.077
39512-49-7,2131-64-8,0.054
39512-49-7,21900-54-9,0.111
39512-49-7,17596-79-1,0.057
39512-49-7,54745-92-5,0.1
39512-49-7,88398-93-0,0.055
39512-49-7,1442-06-4,0.096
39512-49-7,132834-58-3,0.129
39512-49-7,1013-76-9,0.175
39512-49-7,67980-77-2,0.138
39512-49-7,37586-22-4,0.158
39512-49-7,59944-65-9,0.057
39512-49-7,67531-68-4,0.057
39512-49-7,50990-93-7,0.077
39512-49-7,1638-63-7,0.085
39512-49-7,56651-57-1,0.054
39512-49-7,39890-42-1,0.1
39512-49-7,1793-07-3,0.063
39512-49-7,40411-25-4,0.051
39512-49-7,5395-71-1,0.063
39512-49-7,763114-26-7,0.072
39512-49-7,56309-62-7,0.048
39512-49-7,939-87-7,0.109
39512-49-7,55204-93-8,0.086
39512-49-7,52629-46-6,0.093
39512-49-7,16883-16-2,0.092
39512-49-7,41221-47-0,0.061
39512-49-7,39889-69-5,0.085
39512-49-7,126674-98-4,0.067
39512-49-7,19752-09-1,0.085
39512-49-7,458-04-8,0.086
39512-49-7,50277-65-1,0.049
39512-49-7,149554-29-0,0.131
39512-49-7,6845-81-4,0.094
39512-49-7,3662-78-0,0.066
39512-49-7,35923-79-6,0.019
39512-49-7,94143-83-6,0.098
39512-49-7,13781-65-2,0.093
39512-49-7,41776-24-3,0.057
39512-49-7,772-70-3,0.089
39512-49-7,763111-47-3,0.109
39512-49-7,19654-32-1,0.121
39512-49-7,157033-24-4,0.074
39512-49-7,61260-15-9,0.044
39512-49-7,53220-41-0,0.283
39512-49-7,70918-00-2,0.125
39512-49-7,53427-65-9,0.127
39512-49-7,88442-63-1,0.045
39512-49-7,38411-41-5,0.079
39512-49-7,10368-35-1,0.085
39512-49-7,27561-62-2,0.102
39512-49-7,72141-41-4,0.143
39512-49-7,40478-49-7,0.077
39512-49-7,220394-91-2,0.079
39512-49-7,27006-83-3,0.094
39512-49-7,58315-38-1,0.114
39512-49-7,190142-48-4,0.152
39512-49-7,763111-49-5,0.112
39512-49-7,76362-12-4,0.145
39512-49-7,58249-87-9,0.071
39512-49-7,85829-29-4,0.103
39512-49-7,148960-31-0,0.082
39512-49-7,102561-47-7,0.057
39512-49-7,306935-14-8,0.116
39512-49-7,64162-07-8,0.032
39512-49-7,55764-37-9,0.041
39512-49-7,763114-25-6,0.063
39512-49-7,52163-89-0,0.085
39512-49-7,763114-04-1,0.077
39512-49-7,116853-97-5,0.083
39512-49-7,54001-18-2,0.077
39512-49-7,13751-83-2,0.036
39512-49-7,420846-72-6,0.062
39512-49-7,143165-08-6,0.052
39512-49-7,103040-39-7,0.082
39512-49-7,99960-09-5,0.058
39512-49-7,68679-84-5,0.088
39512-49-7,81428-12-8,0.018
39512-49-7,420136-94-3,0.133
