node1,node2,similarity
1448170-87-3,1448170-86-2,0.528
1448170-87-3,1448170-85-1,0.512
1448170-87-3,1448170-84-0,0.297
1448170-87-3,1448170-83-9,0.304
1448170-87-3,1448170-82-8,0.294
1448170-87-3,1448170-81-7,0.266
1448170-87-3,1448170-80-6,0.349
1448170-87-3,1448170-79-3,0.296
1448170-87-3,1448170-78-2,0.566
1448170-87-3,1448170-77-1,0.832
1448170-87-3,1448170-76-0,0.337
1448170-87-3,1448170-75-9,0.396
1448170-87-3,1448170-73-7,0.596
1448170-87-3,1448170-72-6,0.698
1448170-87-3,1448170-68-0,0.576
1448170-87-3,1448170-67-9,0.65
1448170-87-3,1448170-64-6,0.462
1448170-87-3,1448170-63-5,0.462
1448170-87-3,1448170-62-4,0.409
1448170-87-3,1448170-61-3,0.289
1448170-87-3,1448170-59-9,0.398
1448170-87-3,1448170-57-7,0.351
1448170-87-3,1448170-56-6,0.439
1448170-87-3,1448170-55-5,0.083
1448170-87-3,1448170-54-4,0.108
1448170-87-3,1448170-52-2,0.417
1448170-87-3,1448170-50-0,0.417
1448170-87-3,1448170-49-7,0.314
1448170-87-3,1448170-41-9,0.591
1448170-87-3,1448170-37-3,0.586
1448170-87-3,1448170-36-2,0.648
1448170-87-3,1448170-34-0,0.577
1448170-87-3,1448170-24-8,0.583
1448170-87-3,1448170-21-5,0.604
1448170-87-3,1448170-17-9,0.573
1448170-87-3,1448170-16-8,0.556
1448170-87-3,1448170-09-9,0.556
1448170-87-3,1448170-04-4,0.291
1448170-87-3,1448170-03-3,0.325
1448170-87-3,1448170-00-0,0.344
1448170-87-3,1448169-99-0,0.364
1448170-87-3,1448169-98-9,0.347
1448170-87-3,1448169-97-8,0.368
1448170-87-3,1448169-96-7,0.339
1448170-87-3,1448169-95-6,0.331
1448170-87-3,1448169-93-4,0.289
1448170-87-3,1448169-80-9,0.388
1448170-87-3,1448169-79-6,0.347
1448170-87-3,1448169-78-5,0.373
1448170-87-3,1448169-77-4,0.269
1448170-87-3,1448169-75-2,0.341
1448170-87-3,1448169-74-1,0.35
1448170-87-3,1448169-70-7,0.347
1448170-87-3,1448170-74-8,0.55
1448170-87-3,1448170-69-1,0.522
1448170-87-3,1448170-60-2,0.186
1448170-87-3,1448170-58-8,0.341
1448170-87-3,1448170-51-1,0.345
1448170-87-3,1448170-44-2,0.347
1448170-87-3,1448170-43-1,0.352
1448170-87-3,1448170-42-0,0.383
1448170-87-3,1448170-40-8,0.52
1448170-87-3,1448170-39-5,0.56
1448170-87-3,1448170-38-4,0.574
1448170-87-3,1448170-35-1,0.531
1448170-87-3,1448170-33-9,0.5
1448170-87-3,1448170-32-8,0.5
1448170-87-3,1448170-31-7,0.496
1448170-87-3,1448170-30-6,0.496
1448170-87-3,1448170-29-3,0.522
1448170-87-3,1448170-28-2,0.513
1448170-87-3,1448170-27-1,0.522
1448170-87-3,1448170-26-0,0.517
1448170-87-3,1448170-25-9,0.522
1448170-87-3,1448170-23-7,0.513
1448170-87-3,1448170-22-6,0.536
1448170-87-3,1448170-20-4,0.484
1448170-87-3,1448170-19-1,0.48
1448170-87-3,1448170-18-0,0.48
1448170-87-3,1448170-15-7,0.469
1448170-87-3,1448170-14-6,0.465
1448170-87-3,1448170-13-5,0.48
1448170-87-3,1448170-12-4,0.48
1448170-87-3,1448170-11-3,0.48
1448170-87-3,1448170-10-2,0.492
1448170-87-3,1448170-08-8,0.513
1448170-87-3,1448170-07-7,0.308
1448170-87-3,1448170-06-6,0.323
1448170-87-3,1448170-05-5,0.326
1448170-87-3,1448170-02-2,0.368
1448170-87-3,1448169-94-5,0.263
1448170-87-3,1448169-92-3,0.314
1448170-87-3,1448169-91-2,0.314
1448170-87-3,1448169-90-1,0.312
1448170-87-3,1448169-89-8,0.316
1448170-87-3,1448169-88-7,0.321
1448170-87-3,1448169-87-6,0.344
1448170-87-3,1448169-86-5,0.326
1448170-87-3,1448169-85-4,0.316
1448170-87-3,1448169-84-3,0.323
1448170-87-3,1448169-83-2,0.326
1448170-87-3,1448169-82-1,0.321
1448170-87-3,1448169-81-0,0.336
1448170-87-3,1448169-76-3,0.324
1448170-87-3,1448169-73-0,0.323
1448170-87-3,1448169-72-9,0.349
1448170-87-3,944935-09-5,0.142
1448170-87-3,1448171-07-0,0.317
1448170-87-3,1448171-06-9,0.348
1448170-87-3,1448171-05-8,0.333
1448170-87-3,1448171-04-7,0.188
1448170-87-3,1448170-48-6,0.197
1448170-87-3,1448170-47-5,0.194
1448170-87-3,1448170-46-4,0.248
1448170-87-3,1448170-45-3,0.214
1448170-87-3,848133-35-7,0.048
1448170-87-3,98548-81-3,0.048
1448170-87-3,848133-09-5,0.055
1448170-87-3,110-89-4,0.011
1448170-87-3,110-91-8,0.01
1448170-87-3,24424-99-5,0.118
1448170-87-3,124-40-3,0.011
1448170-87-3,109-89-7,0.011
1448170-87-3,124-63-0,0.022
1448170-87-3,123-75-1,0.011
1448170-87-3,75-31-0,0.022
1448170-87-3,1066-54-2,0.033
