node1,node2,similarity
67-56-1,108-95-2,0.067
67-56-1,68-12-2,0.091
67-56-1,74-88-4,0.2
67-56-1,100-51-6,0.053
67-56-1,141-43-5,0.1
67-56-1,74-89-5,0.2
67-56-1,124-40-3,0.167
67-56-1,106-50-3,0.0
67-56-1,75-04-7,0.125
67-56-1,77-78-1,0.083
67-56-1,123-30-8,0.056
67-56-1,75-31-0,0.125
67-56-1,75-44-5,0.125
67-56-1,530-62-1,0.042
67-56-1,371-40-4,0.0
67-56-1,407-25-0,0.059
67-56-1,32315-10-9,0.059
67-56-1,284461-73-0,0.028
67-56-1,591-27-5,0.045
67-56-1,99-93-4,0.091
67-56-1,98-98-6,0.083
67-56-1,108-00-9,0.071
67-56-1,490-79-9,0.037
67-56-1,109-85-3,0.071
67-56-1,462-08-8,0.0
67-56-1,2038-03-1,0.0
67-56-1,350-46-9,0.0
67-56-1,13154-24-0,0.083
67-56-1,110-13-4,0.167
67-56-1,99-98-9,0.045
67-56-1,1193-02-8,0.0
67-56-1,27578-60-5,0.0
67-56-1,34803-66-2,0.029
67-56-1,503-38-8,0.062
67-56-1,4795-29-3,0.0
67-56-1,2252-63-3,0.0
67-56-1,2524-67-6,0.0
67-56-1,2835-95-2,0.083
67-56-1,626-61-9,0.0
67-56-1,2835-99-6,0.083
67-56-1,320-51-4,0.0
67-56-1,6628-77-9,0.037
67-56-1,1121-78-4,0.091
67-56-1,619-08-9,0.032
67-56-1,327-78-6,0.0
67-56-1,1664-40-0,0.0
67-56-1,2905-24-0,0.0
67-56-1,26116-12-1,0.036
67-56-1,1877-71-0,0.062
67-56-1,13091-23-1,0.0
67-56-1,7781-98-8,0.057
67-56-1,3964-52-1,0.04
67-56-1,883-99-8,0.056
67-56-1,22948-02-3,0.0
67-56-1,5369-19-7,0.038
67-56-1,51639-48-6,0.056
67-56-1,30806-83-8,0.054
67-56-1,393-36-2,0.0
67-56-1,220000-87-3,0.059
67-56-1,610-35-5,0.037
67-56-1,349-65-5,0.031
67-56-1,25900-61-2,0.062
67-56-1,284462-37-9,0.043
67-56-1,30766-22-4,0.062
67-56-1,491-11-2,0.032
67-56-1,883-62-5,0.057
67-56-1,99586-65-9,0.033
67-56-1,3535-88-4,0.032
67-56-1,13041-60-6,0.054
67-56-1,6310-19-6,0.029
67-56-1,75919-92-5,0.054
67-56-1,50727-06-5,0.031
67-56-1,153435-79-1,0.03
67-56-1,284461-74-1,0.014
67-56-1,67291-63-8,0.031
67-56-1,284462-78-8,0.04
67-56-1,16588-75-3,0.025
67-56-1,252061-66-8,0.028
67-56-1,36265-31-3,0.027
67-56-1,27237-21-4,0.022
67-56-1,284462-80-2,0.023
67-56-1,36089-89-1,0.027
67-56-1,112940-58-6,0.023
67-56-1,64064-63-7,0.024
67-56-1,41513-02-4,0.0
67-56-1,29264-35-5,0.022
67-56-1,284462-87-9,0.043
67-56-1,284462-84-6,0.029
67-56-1,284462-67-5,0.02
67-56-1,284462-18-6,0.028
67-56-1,604813-08-3,0.053
67-56-1,284461-44-5,0.026
67-56-1,150009-83-9,0.026
67-56-1,228401-44-3,0.042
67-56-1,228401-43-2,0.04
67-56-1,1215-98-1,0.061
67-56-1,284461-76-3,0.027
67-56-1,54579-63-4,0.024
67-56-1,284462-77-7,0.026
67-56-1,284462-45-9,0.029
67-56-1,284462-02-8,0.011
67-56-1,284461-82-1,0.027
67-56-1,284462-79-9,0.021
67-56-1,284462-56-2,0.043
67-56-1,284462-32-4,0.024
67-56-1,284462-28-8,0.025
67-56-1,284462-17-5,0.013
67-56-1,284461-72-9,0.028
67-56-1,228418-48-2,0.027
67-56-1,284462-55-1,0.038
67-56-1,284462-29-9,0.025
67-56-1,284462-24-4,0.028
67-56-1,284462-22-2,0.027
67-56-1,284462-20-0,0.026
67-56-1,284462-19-7,0.025
67-56-1,284462-07-3,0.012
67-56-1,284462-04-0,0.027
67-56-1,284461-97-8,0.029
67-56-1,284461-94-5,0.011
67-56-1,284461-93-4,0.011
67-56-1,284461-91-2,0.028
67-56-1,284461-88-7,0.029
67-56-1,284461-80-9,0.026
67-56-1,284461-75-2,0.014
67-56-1,284461-65-0,0.023
67-56-1,284461-63-8,0.026
67-56-1,284461-62-7,0.02
67-56-1,284461-55-8,0.026
67-56-1,284461-50-3,0.025
67-56-1,284462-58-4,0.043
67-56-1,284462-51-7,0.018
67-56-1,284462-31-3,0.024
67-56-1,284462-30-2,0.024
67-56-1,284462-27-7,0.011
67-56-1,284462-26-6,0.027
67-56-1,284462-21-1,0.027
67-56-1,284462-15-3,0.011
67-56-1,284462-12-0,0.025
67-56-1,284462-11-9,0.011
67-56-1,284462-10-8,0.025
67-56-1,284462-03-9,0.011
67-56-1,284461-70-7,0.021
67-56-1,284461-68-3,0.024
67-56-1,284461-64-9,0.023
67-56-1,284461-58-1,0.026
67-56-1,284461-51-4,0.025
67-56-1,284461-48-9,0.025
67-56-1,284461-45-6,0.027
67-56-1,284461-43-4,0.026
67-56-1,284461-42-3,0.025
67-56-1,284461-33-2,0.03
67-56-1,244232-08-4,0.048
67-56-1,284462-89-1,0.04
67-56-1,284462-82-4,0.039
67-56-1,284462-74-4,0.038
67-56-1,284462-57-3,0.039
67-56-1,284462-44-8,0.038
67-56-1,284462-35-7,0.024
67-56-1,284462-25-5,0.029
67-56-1,284462-23-3,0.027
67-56-1,284462-01-7,0.027
67-56-1,284461-78-5,0.026
67-56-1,284461-69-4,0.023
67-56-1,284461-60-5,0.025
67-56-1,284461-54-7,0.026
67-56-1,284461-53-6,0.027
67-56-1,284461-47-8,0.026
67-56-1,284462-97-1,0.02
67-56-1,284462-86-8,0.043
67-56-1,284462-34-6,0.028
67-56-1,284462-16-4,0.022
67-56-1,284462-13-1,0.024
67-56-1,284462-09-5,0.013
67-56-1,284462-08-4,0.022
67-56-1,284462-05-1,0.024
67-56-1,284462-00-6,0.027
67-56-1,284461-98-9,0.027
67-56-1,284461-95-6,0.011
67-56-1,284461-92-3,0.029
67-56-1,284461-90-1,0.031
67-56-1,284461-89-8,0.03
67-56-1,284461-85-4,0.031
67-56-1,284461-84-3,0.032
67-56-1,284461-83-2,0.027
67-56-1,284461-81-0,0.027
67-56-1,284461-79-6,0.027
67-56-1,284461-77-4,0.014
67-56-1,284461-67-2,0.024
67-56-1,284461-66-1,0.021
67-56-1,284461-61-6,0.025
67-56-1,284461-59-2,0.026
67-56-1,284461-57-0,0.028
67-56-1,284461-56-9,0.025
67-56-1,284461-52-5,0.03
67-56-1,284461-49-0,0.025
67-56-1,284461-46-7,0.028
67-56-1,284461-41-2,0.031
67-56-1,284461-40-1,0.027
67-56-1,284461-39-8,0.025
67-56-1,284461-38-7,0.027
67-56-1,284461-37-6,0.028
67-56-1,284461-36-5,0.027
67-56-1,284461-35-4,0.028
67-56-1,284461-34-3,0.034
67-56-1,228401-15-8,0.037
67-56-1,71708-64-0,0.04
67-56-1,284462-99-3,0.024
67-56-1,284462-85-7,0.024
67-56-1,284462-69-7,0.015
67-56-1,284461-96-7,0.021
67-56-1,284461-71-8,0.029
67-56-1,119431-22-0,0.026
67-56-1,284670-98-0,0.039
67-56-1,284462-92-6,0.036
67-56-1,284462-83-5,0.036
67-56-1,284462-73-3,0.025
67-56-1,284462-70-0,0.013
67-56-1,284462-68-6,0.034
67-56-1,284462-60-8,0.02
67-56-1,284462-52-8,0.014
67-56-1,284462-48-2,0.02
67-56-1,284462-47-1,0.042
67-56-1,284462-46-0,0.038
67-56-1,284462-41-5,0.027
67-56-1,284462-39-1,0.0
67-56-1,284462-38-0,0.0
67-56-1,284461-99-0,0.029
67-56-1,73441-86-8,0.026
67-56-1,284462-95-9,0.015
67-56-1,284462-94-8,0.015
67-56-1,284462-93-7,0.015
67-56-1,284462-88-0,0.04
67-56-1,284462-76-6,0.028
67-56-1,284462-71-1,0.014
67-56-1,284462-66-4,0.047
67-56-1,284462-65-3,0.043
67-56-1,284462-64-2,0.031
67-56-1,284462-63-1,0.038
67-56-1,284462-61-9,0.021
67-56-1,284462-59-5,0.023
67-56-1,284462-54-0,0.0
67-56-1,284462-53-9,0.0
67-56-1,284462-49-3,0.022
67-56-1,284462-43-7,0.032
67-56-1,284462-40-4,0.023
67-56-1,284462-36-8,0.049
67-56-1,284462-06-2,0.023
67-56-1,284461-86-5,0.029
67-56-1,604813-13-0,0.014
67-56-1,604813-12-9,0.014
67-56-1,604813-11-8,0.014
67-56-1,284462-96-0,0.028
67-56-1,284462-91-5,0.028
67-56-1,604813-05-0,0.041
67-56-1,284670-99-1,0.045
67-56-1,284462-98-2,0.029
67-56-1,1401853-36-8,0.027
67-56-1,284462-33-5,0.025
67-56-1,284671-00-7,0.027
67-56-1,593-56-6,0.111
67-56-1,176977-85-8,0.057
67-56-1,51727-15-2,0.033
67-56-1,77992-50-8,0.0
67-56-1,6927-86-2,0.059
67-56-1,284462-62-0,0.05
67-56-1,284462-42-6,0.038
108-95-2,68-12-2,0.0
108-95-2,74-88-4,0.0
108-95-2,100-51-6,0.364
108-95-2,141-43-5,0.05
108-95-2,74-89-5,0.0
108-95-2,124-40-3,0.0
108-95-2,106-50-3,0.15
108-95-2,75-04-7,0.0
108-95-2,77-78-1,0.0
108-95-2,123-30-8,0.318
108-95-2,75-31-0,0.0
108-95-2,75-44-5,0.056
108-95-2,530-62-1,0.061
108-95-2,371-40-4,0.115
108-95-2,407-25-0,0.037
108-95-2,32315-10-9,0.037
108-95-2,284461-73-0,0.051
108-95-2,591-27-5,0.32
108-95-2,99-93-4,0.259
108-95-2,98-98-6,0.241
108-95-2,108-00-9,0.0
108-95-2,490-79-9,0.226
108-95-2,109-85-3,0.0
108-95-2,462-08-8,0.143
108-95-2,2038-03-1,0.0
108-95-2,350-46-9,0.094
108-95-2,13154-24-0,0.0
108-95-2,110-13-4,0.043
108-95-2,99-98-9,0.1
108-95-2,1193-02-8,0.115
108-95-2,27578-60-5,0.0
108-95-2,34803-66-2,0.154
108-95-2,503-38-8,0.038
108-95-2,4795-29-3,0.0
108-95-2,2252-63-3,0.075
108-95-2,2524-67-6,0.077
108-95-2,2835-95-2,0.161
108-95-2,626-61-9,0.12
108-95-2,2835-99-6,0.2
108-95-2,320-51-4,0.081
108-95-2,6628-77-9,0.086
108-95-2,1121-78-4,0.214
108-95-2,619-08-9,0.135
108-95-2,327-78-6,0.067
108-95-2,1664-40-0,0.226
108-95-2,2905-24-0,0.114
108-95-2,26116-12-1,0.0
108-95-2,1877-71-0,0.158
108-95-2,13091-23-1,0.079
108-95-2,7781-98-8,0.205
108-95-2,3964-52-1,0.161
108-95-2,883-99-8,0.171
108-95-2,22948-02-3,0.138
108-95-2,5369-19-7,0.121
108-95-2,51639-48-6,0.091
108-95-2,30806-83-8,0.089
108-95-2,393-36-2,0.081
108-95-2,220000-87-3,0.095
108-95-2,610-35-5,0.226
108-95-2,349-65-5,0.103
108-95-2,25900-61-2,0.128
108-95-2,284462-37-9,0.073
108-95-2,30766-22-4,0.128
108-95-2,491-11-2,0.167
108-95-2,883-62-5,0.205
108-95-2,99586-65-9,0.108
108-95-2,3535-88-4,0.077
108-95-2,13041-60-6,0.167
108-95-2,6310-19-6,0.07
108-95-2,75919-92-5,0.089
108-95-2,50727-06-5,0.162
108-95-2,153435-79-1,0.1
108-95-2,284461-74-1,0.052
108-95-2,67291-63-8,0.162
108-95-2,284462-78-8,0.088
108-95-2,16588-75-3,0.085
108-95-2,252061-66-8,0.146
108-95-2,36265-31-3,0.067
108-95-2,27237-21-4,0.118
108-95-2,284462-80-2,0.08
108-95-2,36089-89-1,0.067
108-95-2,112940-58-6,0.125
108-95-2,64064-63-7,0.061
108-95-2,41513-02-4,0.067
108-95-2,29264-35-5,0.14
108-95-2,284462-87-9,0.074
108-95-2,284462-84-6,0.071
108-95-2,284462-67-5,0.071
108-95-2,284462-18-6,0.051
108-95-2,604813-08-3,0.087
108-95-2,284461-44-5,0.06
108-95-2,150009-83-9,0.114
108-95-2,228401-44-3,0.091
108-95-2,228401-43-2,0.069
108-95-2,1215-98-1,0.098
108-95-2,284461-76-3,0.061
108-95-2,54579-63-4,0.128
108-95-2,284462-77-7,0.064
108-95-2,284462-45-9,0.045
108-95-2,284462-02-8,0.04
108-95-2,284461-82-1,0.048
108-95-2,284462-79-9,0.094
108-95-2,284462-56-2,0.094
108-95-2,284462-32-4,0.044
108-95-2,284462-28-8,0.046
108-95-2,284462-17-5,0.048
108-95-2,284461-72-9,0.064
108-95-2,228418-48-2,0.074
108-95-2,284462-55-1,0.083
108-95-2,284462-29-9,0.045
108-95-2,284462-24-4,0.05
108-95-2,284462-22-2,0.061
108-95-2,284462-20-0,0.047
108-95-2,284462-19-7,0.045
108-95-2,284462-07-3,0.056
108-95-2,284462-04-0,0.049
108-95-2,284461-97-8,0.051
108-95-2,284461-94-5,0.052
108-95-2,284461-93-4,0.051
108-95-2,284461-91-2,0.05
108-95-2,284461-88-7,0.052
108-95-2,284461-80-9,0.047
108-95-2,284461-75-2,0.062
108-95-2,284461-65-0,0.065
108-95-2,284461-63-8,0.06
108-95-2,284461-62-7,0.048
108-95-2,284461-55-8,0.06
108-95-2,284461-50-3,0.057
108-95-2,284462-58-4,0.073
108-95-2,284462-51-7,0.063
108-95-2,284462-31-3,0.055
108-95-2,284462-30-2,0.044
108-95-2,284462-27-7,0.04
108-95-2,284462-26-6,0.062
108-95-2,284462-21-1,0.049
108-95-2,284462-15-3,0.052
108-95-2,284462-12-0,0.057
108-95-2,284462-11-9,0.089
108-95-2,284462-10-8,0.057
108-95-2,284462-03-9,0.04
108-95-2,284461-70-7,0.059
108-95-2,284461-68-3,0.066
108-95-2,284461-64-9,0.054
108-95-2,284461-58-1,0.06
108-95-2,284461-51-4,0.057
108-95-2,284461-48-9,0.057
108-95-2,284461-45-6,0.062
108-95-2,284461-43-4,0.071
108-95-2,284461-42-3,0.07
108-95-2,284461-33-2,0.068
108-95-2,244232-08-4,0.08
108-95-2,284462-89-1,0.069
108-95-2,284462-82-4,0.068
108-95-2,284462-74-4,0.067
108-95-2,284462-57-3,0.068
108-95-2,284462-44-8,0.067
108-95-2,284462-35-7,0.044
108-95-2,284462-25-5,0.051
108-95-2,284462-23-3,0.048
108-95-2,284462-01-7,0.062
108-95-2,284461-78-5,0.047
108-95-2,284461-69-4,0.065
108-95-2,284461-60-5,0.07
108-95-2,284461-54-7,0.06
108-95-2,284461-53-6,0.076
108-95-2,284461-47-8,0.059
108-95-2,284462-97-1,0.089
108-95-2,284462-86-8,0.073
108-95-2,284462-34-6,0.092
108-95-2,284462-16-4,0.073
108-95-2,284462-13-1,0.054
108-95-2,284462-09-5,0.06
108-95-2,284462-08-4,0.05
108-95-2,284462-05-1,0.044
108-95-2,284462-00-6,0.049
108-95-2,284461-98-9,0.049
108-95-2,284461-95-6,0.052
108-95-2,284461-92-3,0.053
108-95-2,284461-90-1,0.07
108-95-2,284461-89-8,0.068
108-95-2,284461-85-4,0.055
108-95-2,284461-84-3,0.057
108-95-2,284461-83-2,0.049
108-95-2,284461-81-0,0.048
108-95-2,284461-79-6,0.062
108-95-2,284461-77-4,0.051
108-95-2,284461-67-2,0.068
108-95-2,284461-66-1,0.059
108-95-2,284461-61-6,0.058
108-95-2,284461-59-2,0.06
108-95-2,284461-57-0,0.064
108-95-2,284461-56-9,0.057
108-95-2,284461-52-5,0.068
108-95-2,284461-49-0,0.058
108-95-2,284461-46-7,0.063
108-95-2,284461-41-2,0.07
108-95-2,284461-40-1,0.062
108-95-2,284461-39-8,0.046
108-95-2,284461-38-7,0.048
108-95-2,284461-37-6,0.051
108-95-2,284461-36-5,0.062
108-95-2,284461-35-4,0.064
108-95-2,284461-34-3,0.077
108-95-2,228401-15-8,0.179
108-95-2,71708-64-0,0.088
108-95-2,284462-99-3,0.039
108-95-2,284462-85-7,0.104
108-95-2,284462-69-7,0.082
108-95-2,284461-96-7,0.049
108-95-2,284461-71-8,0.074
108-95-2,119431-22-0,0.14
108-95-2,284670-98-0,0.068
108-95-2,284462-92-6,0.063
108-95-2,284462-83-5,0.063
