node1,node2,similarity
50-00-0,108-24-7,0.083
50-00-0,110-86-1,0.0
50-00-0,71-36-3,0.0
50-00-0,74-88-4,0.0
50-00-0,62-56-6,0.0
50-00-0,24424-99-5,0.05
50-00-0,109-89-7,0.0
50-00-0,75-04-7,0.0
50-00-0,358-23-6,0.059
50-00-0,75-64-9,0.0
50-00-0,75-44-5,0.125
50-00-0,530-62-1,0.042
50-00-0,122-51-0,0.0
50-00-0,3282-30-2,0.077
50-00-0,98-09-9,0.048
50-00-0,1885-14-9,0.038
50-00-0,78-39-7,0.0
50-00-0,1068-55-9,0.0
50-00-0,1993-03-9,0.0
50-00-0,78-82-0,0.0
50-00-0,624-78-2,0.0
50-00-0,865-50-9,0.0
50-00-0,23719-80-4,0.0
50-00-0,3721-95-7,0.062
50-00-0,5006-22-4,0.059
50-00-0,1603-91-4,0.0
50-00-0,7531-52-4,0.042
50-00-0,5500-21-0,0.0
50-00-0,4774-14-5,0.0
50-00-0,1217486-61-7,0.012
50-00-0,591-08-2,0.056
50-00-0,6914-76-7,0.062
50-00-0,321-23-3,0.032
50-00-0,556-90-1,0.048
50-00-0,128071-98-7,0.0
50-00-0,14002-80-3,0.048
50-00-0,277756-46-4,0.053
50-00-0,22282-70-8,0.0
50-00-0,4652-27-1,0.053
50-00-0,2719-23-5,0.033
50-00-0,4426-11-3,0.0
50-00-0,16480-05-0,0.059
50-00-0,889940-13-0,0.059
50-00-0,16728-01-1,0.03
50-00-0,588729-99-1,0.0
50-00-0,277756-45-3,0.048
50-00-0,32936-76-8,0.056
50-00-0,7336-51-8,0.032
50-00-0,79456-34-1,0.0
50-00-0,18240-93-2,0.0
50-00-0,2955-46-6,0.032
50-00-0,918-20-7,0.0
50-00-0,453-11-2,0.0
50-00-0,848074-36-2,0.05
50-00-0,1083326-17-3,0.021
50-00-0,1163707-53-6,0.059
50-00-0,453-12-3,0.062
50-00-0,64241-77-6,0.056
50-00-0,16728-02-2,0.029
50-00-0,1162695-95-5,0.0
50-00-0,2033-46-7,0.031
50-00-0,10523-97-4,0.0
50-00-0,813448-98-5,0.026
50-00-0,21890-82-4,0.053
50-00-0,848472-44-6,0.026
50-00-0,120092-66-2,0.0
50-00-0,507487-90-3,0.022
50-00-0,1086381-30-7,0.0
50-00-0,83395-36-2,0.026
50-00-0,95298-07-0,0.053
50-00-0,22918-03-2,0.0
50-00-0,813449-00-2,0.0
50-00-0,98420-91-8,0.0
50-00-0,40919-14-0,0.031
50-00-0,37641-15-9,0.032
50-00-0,1163707-56-9,0.0
50-00-0,87867-10-5,0.077
50-00-0,1217486-47-9,0.013
50-00-0,1208092-05-0,0.056
50-00-0,1068560-15-5,0.045
50-00-0,89283-43-2,0.031
50-00-0,1163706-65-7,0.038
50-00-0,1163706-63-5,0.019
50-00-0,1163706-62-4,0.0
50-00-0,1163706-60-2,0.015
50-00-0,936240-64-1,0.048
50-00-0,307972-33-4,0.033
50-00-0,74628-10-7,0.032
50-00-0,790706-34-2,0.013
50-00-0,100007-67-8,0.053
50-00-0,1163707-72-9,0.0
50-00-0,1033538-21-4,0.045
50-00-0,918530-84-4,0.0
50-00-0,90565-53-0,0.032
50-00-0,1163707-71-8,0.0
50-00-0,1163707-68-3,0.029
50-00-0,790707-13-0,0.015
50-00-0,756477-05-1,0.024
50-00-0,1217487-05-2,0.0
50-00-0,1163707-73-0,0.026
50-00-0,1163707-52-5,0.0
50-00-0,1163707-22-9,0.037
50-00-0,1163707-04-7,0.015
50-00-0,790706-76-2,0.0
50-00-0,1217487-44-9,0.013
50-00-0,1217487-40-5,0.013
50-00-0,1217487-04-1,0.013
50-00-0,1217487-03-0,0.013
50-00-0,1217486-99-1,0.022
50-00-0,1217486-97-9,0.011
50-00-0,1217486-92-4,0.012
50-00-0,1217486-73-1,0.029
50-00-0,1217486-64-0,0.012
50-00-0,1217486-58-2,0.013
50-00-0,1163707-05-8,0.015
50-00-0,1217487-76-7,0.0
50-00-0,1217487-65-4,0.0
50-00-0,1217487-64-3,0.018
50-00-0,1217487-63-2,0.0
50-00-0,1217487-62-1,0.014
50-00-0,1217487-49-4,0.031
50-00-0,1217487-01-8,0.02
50-00-0,1217486-87-7,0.056
50-00-0,1217486-78-6,0.0
50-00-0,1217486-60-6,0.012
50-00-0,1163707-74-1,0.032
50-00-0,1163707-70-7,0.014
50-00-0,1163707-67-2,0.017
50-00-0,1163707-66-1,0.015
50-00-0,1163707-65-0,0.015
50-00-0,1163707-64-9,0.053
50-00-0,1163707-63-8,0.0
50-00-0,1163707-62-7,0.0
50-00-0,1163707-61-6,0.0
50-00-0,1163707-60-5,0.0
50-00-0,1163707-59-2,0.0
50-00-0,1163707-58-1,0.014
50-00-0,1163707-57-0,0.0
50-00-0,1163707-55-8,0.014
50-00-0,1163707-54-7,0.0
50-00-0,1163707-51-4,0.0
50-00-0,1163707-18-3,0.0
50-00-0,1163707-17-2,0.014
50-00-0,1163707-11-6,0.0
50-00-0,1163707-10-5,0.014
50-00-0,1163707-01-4,0.0
50-00-0,1163707-00-3,0.014
50-00-0,1163706-83-9,0.015
50-00-0,1163706-71-5,0.013
50-00-0,1163706-69-1,0.0
50-00-0,1163706-67-9,0.021
50-00-0,790707-05-0,0.0
50-00-0,790705-07-6,0.0
50-00-0,1217487-77-8,0.012
