node1,node2,similarity
64-17-5,62-53-3,0.0
64-17-5,68-12-2,0.071
64-17-5,108-24-7,0.143
64-17-5,110-91-8,0.0
64-17-5,74-89-5,0.125
64-17-5,76-05-1,0.067
64-17-5,75-36-5,0.167
64-17-5,124-40-3,0.111
64-17-5,124-63-0,0.077
64-17-5,123-75-1,0.0
64-17-5,75-12-7,0.0
64-17-5,75-04-7,0.333
64-17-5,75-31-0,0.091
64-17-5,109-01-3,0.05
64-17-5,75-75-2,0.167
64-17-5,103-71-9,0.0
64-17-5,143-33-9,0.0
64-17-5,60-35-5,0.167
64-17-5,122-51-0,0.188
64-17-5,105-56-6,0.16
64-17-5,79-22-1,0.133
64-17-5,765-30-0,0.0
64-17-5,108-00-9,0.125
64-17-5,2393-23-9,0.074
64-17-5,109-85-3,0.125
64-17-5,557-21-1,0.0
64-17-5,1885-14-9,0.034
64-17-5,372-19-0,0.0
64-17-5,107-91-5,0.105
64-17-5,123-00-2,0.032
64-17-5,5332-73-0,0.105
64-17-5,38870-89-2,0.167
64-17-5,38041-19-9,0.0
64-17-5,4248-19-5,0.105
64-17-5,1195-45-5,0.034
64-17-5,2909-38-8,0.0
64-17-5,86-84-0,0.0
64-17-5,41838-46-4,0.043
64-17-5,372-39-4,0.0
64-17-5,105-50-0,0.174
64-17-5,2444-36-2,0.062
64-17-5,598-94-7,0.133
64-17-5,16744-98-2,0.0
64-17-5,404-71-7,0.0
64-17-5,18542-42-2,0.125
64-17-5,57946-56-2,0.0
64-17-5,69843-13-6,0.042
64-17-5,926-63-6,0.214
64-17-5,132958-72-6,0.04
64-17-5,3430-14-6,0.038
64-17-5,132883-44-4,0.04
64-17-5,88675-24-5,0.0
64-17-5,702-24-9,0.067
64-17-5,16413-26-6,0.0
64-17-5,455-88-9,0.03
64-17-5,99636-32-5,0.111
64-17-5,4519-39-5,0.032
64-17-5,81228-09-3,0.091
64-17-5,5381-25-9,0.026
64-17-5,57933-83-2,0.1
64-17-5,83594-83-6,0.0
64-17-5,35150-07-3,0.049
64-17-5,4863-91-6,0.0
64-17-5,39718-32-6,0.029
64-17-5,40296-46-6,0.103
64-17-5,13220-27-4,0.043
64-17-5,52215-41-5,0.037
64-17-5,1442472-39-0,0.047
64-17-5,61150-59-2,0.086
64-17-5,29027-20-1,0.037
64-17-5,59280-70-5,0.054
64-17-5,118684-32-5,0.065
64-17-5,6975-44-6,0.103
64-17-5,454-15-9,0.054
64-17-5,449811-28-3,0.091
64-17-5,449811-29-4,0.027
64-17-5,499-08-1,0.03
64-17-5,407640-40-8,0.118
64-17-5,449811-30-7,0.114
64-17-5,37777-70-1,0.075
64-17-5,959163-01-0,0.077
