node1,node2,similarity
1887015-06-6,1887015-02-2,0.132
1887015-06-6,1887014-75-6,0.084
1887015-06-6,1887014-73-4,0.125
1887015-06-6,1887014-62-1,0.162
1887015-06-6,1887014-29-0,0.093
1887015-06-6,1887014-28-9,0.091
1887015-06-6,1887014-25-6,0.087
1887015-06-6,1887014-19-8,0.092
1887015-06-6,1887014-04-1,0.129
1887015-06-6,1887014-02-9,0.158
1887015-06-6,1887014-01-8,0.156
1887015-06-6,1887014-00-7,0.129
1887015-06-6,1887009-72-4,0.108
1887015-06-6,1887009-71-3,0.121
1887015-06-6,1887009-70-2,0.137
1887015-06-6,1887009-66-6,0.107
1887015-06-6,1422453-69-7,0.075
1887015-06-6,1314922-96-7,0.097
1887015-06-6,1170774-20-5,0.104
1887015-06-6,221167-38-0,0.306
1887015-06-6,59956-06-8,0.698
1887015-06-6,1887015-49-7,0.122
1887015-06-6,1887015-45-3,0.131
1887015-06-6,1887015-43-1,0.143
1887015-06-6,1887015-36-2,0.106
1887015-06-6,1887015-29-3,0.09
1887015-06-6,1887015-28-2,0.102
1887015-06-6,1887015-27-1,0.115
1887015-06-6,1887015-26-0,0.154
1887015-06-6,1887015-25-9,0.136
1887015-06-6,1887015-24-8,0.101
1887015-06-6,1887015-14-6,0.287
1887015-06-6,1887015-13-5,0.291
1887015-06-6,1887015-12-4,0.216
1887015-06-6,1887015-11-3,0.287
1887015-06-6,1887015-10-2,0.291
1887015-06-6,1887015-09-9,0.329
1887015-06-6,1887015-08-8,0.348
1887015-06-6,1887015-07-7,0.46
1887015-06-6,1887015-05-5,0.19
1887015-06-6,1887015-04-4,0.216
1887015-06-6,1887014-85-8,0.109
1887015-06-6,1887014-83-6,0.084
1887015-06-6,1887014-82-5,0.098
1887015-06-6,1887014-80-3,0.114
1887015-06-6,1887014-78-9,0.098
1887015-06-6,1887014-68-7,0.148
1887015-06-6,1887014-66-5,0.151
1887015-06-6,1887014-58-5,0.237
1887015-06-6,1887014-24-5,0.097
1887015-06-6,1887014-21-2,0.092
1887015-06-6,1887014-10-9,0.129
1887015-06-6,1887014-05-2,0.147
1887015-06-6,1858619-22-3,0.096
1887015-06-6,1887015-59-9,0.086
1887015-06-6,1887015-58-8,0.068
1887015-06-6,1887015-15-7,0.11
1887015-06-6,1887014-64-3,0.151
1887015-06-6,1887014-30-3,0.124
1887015-06-6,1887014-15-4,0.083
1887015-06-6,1887014-08-5,0.13
1887015-06-6,1887014-03-0,0.125
1887015-06-6,1805121-58-7,0.056
1887015-06-6,1410166-55-0,0.106
1887015-06-6,1887015-62-4,0.14
1887015-06-6,1887015-61-3,0.118
1887015-06-6,1887014-47-2,0.137
1887015-06-6,1887014-45-0,0.118
1887015-06-6,1887014-43-8,0.076
1887015-06-6,1887014-41-6,0.078
1887015-06-6,1887014-39-2,0.096
1887015-06-6,1887014-37-0,0.095
1887015-06-6,1887014-36-9,0.102
1887015-06-6,1887014-35-8,0.087
1887015-06-6,1887014-34-7,0.089
1887015-06-6,1887014-33-6,0.113
1887015-06-6,1887014-32-5,0.16
1887015-06-6,1887014-31-4,0.16
1887015-06-6,1887014-27-8,0.089
1887015-06-6,1887014-23-4,0.097
1887015-06-6,1887014-20-1,0.092
1887015-06-6,1887014-18-7,0.083
1887015-06-6,1887014-17-6,0.083
1887015-06-6,1887014-16-5,0.125
1887015-06-6,1887014-14-3,0.117
1887015-06-6,1887014-13-2,0.122
1887015-06-6,1887014-11-0,0.121
1887015-06-6,1887014-09-6,0.173
1887015-06-6,1887014-07-4,0.126
1887015-06-6,1887014-06-3,0.129
1887015-06-6,124-41-4,0.041
1887015-06-6,1887009-48-4,0.154
1887015-06-6,1887009-65-5,0.106
1887015-06-6,1887014-76-7,0.096
1887015-06-6,1887009-58-6,0.106
1887015-06-6,1887009-51-9,0.154
1887015-06-6,1887015-23-7,0.117
1887015-06-6,1887015-53-3,0.105
1887015-06-6,1887015-34-0,0.108
1887015-06-6,1887015-19-1,0.109
1887015-06-6,1887009-73-5,0.12
1887015-06-6,1887015-30-6,0.1
1887015-06-6,1887014-84-7,0.096
1887015-06-6,1887014-70-1,0.096
1887015-06-6,1887015-03-3,0.15
1887015-06-6,1887014-49-4,0.154
1887015-06-6,1523570-95-7,0.074
1887015-06-6,1887015-60-2,0.101
1887015-06-6,1887014-96-1,0.143
1887015-06-6,64-17-5,0.082
1887015-06-6,68-12-2,0.037
1887015-06-6,108-24-7,0.096
1887015-06-6,74-88-4,0.02
1887015-06-6,24424-99-5,0.083
1887015-06-6,76-05-1,0.075
1887015-06-6,18162-48-6,0.056
1887015-06-6,75-03-6,0.06
1887015-06-6,75-16-1,0.019
1887015-06-6,407-25-0,0.088
1887015-06-6,93-58-3,0.145
1887015-06-6,75-26-3,0.019
1887015-06-6,557-21-1,0.0
1887015-06-6,676-58-4,0.039
1887015-06-6,586-98-1,0.095
1887015-06-6,2516-33-8,0.055
1887015-06-6,196929-78-9,0.036
1887015-06-6,36239-09-5,0.19
1887015-06-6,89-63-4,0.152
1887015-06-6,343338-28-3,0.036
1887015-06-6,146374-27-8,0.036
1887015-06-6,5394-63-8,0.092
1887015-06-6,57946-56-2,0.148
1887015-06-6,446-32-2,0.104
1887015-06-6,367-22-6,0.094
1887015-06-6,55338-73-3,0.059
1887015-06-6,13726-14-2,0.121
1887015-06-6,6332-56-5,0.072
1887015-06-6,3775-72-2,0.105
1887015-06-6,20028-53-9,0.194
1887015-06-6,327056-62-2,0.059
1887015-06-6,59042-90-9,0.092
1887015-06-6,73568-41-9,0.262
1887015-06-6,6358-06-1,0.111
1887015-06-6,681128-39-2,0.049
1887015-06-6,73568-44-2,0.181
1887015-06-6,1887014-12-1,0.117
1887015-06-6,54856-61-0,0.134
