node1,node2,similarity
64-17-5,67-56-1,0.286
64-17-5,630-08-0,0.0
64-17-5,62-53-3,0.0
64-17-5,68-12-2,0.071
64-17-5,74-88-4,0.125
64-17-5,110-89-4,0.0
64-17-5,110-91-8,0.0
64-17-5,98-88-4,0.042
64-17-5,74-89-5,0.125
64-17-5,75-36-5,0.167
64-17-5,124-40-3,0.111
64-17-5,111-87-5,0.263
64-17-5,98-80-6,0.045
64-17-5,123-75-1,0.0
64-17-5,106-47-8,0.0
64-17-5,75-31-0,0.091
64-17-5,143-33-9,0.0
64-17-5,371-40-4,0.048
64-17-5,134-32-7,0.0
64-17-5,5720-07-0,0.074
64-17-5,765-30-0,0.0
64-17-5,4637-24-5,0.059
64-17-5,1765-93-1,0.083
64-17-5,91-59-8,0.0
64-17-5,149-73-5,0.077
64-17-5,1679-18-1,0.04
64-17-5,2450-71-7,0.071
64-17-5,128796-39-4,0.036
64-17-5,32316-92-0,0.029
64-17-5,1692-25-7,0.037
64-17-5,13922-41-3,0.059
64-17-5,1692-15-5,0.042
64-17-5,540-38-5,0.048
64-17-5,5720-06-9,0.107
64-17-5,87199-17-5,0.036
64-17-5,6165-68-0,0.04
64-17-5,6165-69-1,0.04
64-17-5,63503-60-6,0.034
64-17-5,873-73-4,0.0
64-17-5,5122-94-1,0.032
64-17-5,123324-71-0,0.074
64-17-5,5467-74-3,0.04
64-17-5,30418-59-8,0.034
64-17-5,329-15-7,0.033
64-17-5,645-45-4,0.065
64-17-5,3900-89-8,0.077
64-17-5,13331-27-6,0.028
64-17-5,1423-26-3,0.029
64-17-5,533-58-4,0.043
64-17-5,102-96-5,0.0
64-17-5,14047-29-1,0.036
64-17-5,54060-30-9,0.0
64-17-5,144025-03-6,0.107
64-17-5,98437-24-2,0.028
64-17-5,5122-95-2,0.028
64-17-5,98546-51-1,0.074
64-17-5,73852-19-4,0.036
64-17-5,87199-16-4,0.029
64-17-5,283173-50-2,0.029
64-17-5,3179-10-0,0.027
64-17-5,144432-85-9,0.031
64-17-5,144104-59-6,0.026
64-17-5,57848-46-1,0.0
64-17-5,78887-39-5,0.053
64-17-5,135884-31-0,0.049
64-17-5,3757-88-8,0.079
64-17-5,168618-42-6,0.107
64-17-5,89694-48-4,0.059
64-17-5,39830-66-5,0.047
64-17-5,28229-69-8,0.097
64-17-5,33184-16-6,0.097
64-17-5,59382-59-1,0.05
64-17-5,176976-42-4,0.028
64-17-5,422-59-3,0.053
64-17-5,52221-92-8,0.094
64-17-5,18942-89-7,0.111
64-17-5,1009-22-9,0.083
64-17-5,5398-69-6,0.026
64-17-5,66191-86-4,0.077
64-17-5,1444-12-8,0.045
64-17-5,53462-88-7,0.042
64-17-5,93415-79-3,0.048
64-17-5,283173-80-8,0.0
64-17-5,13734-70-8,0.026
64-17-5,283173-84-2,0.015
64-17-5,38073-22-2,0.0
64-17-5,71516-33-1,0.06
64-17-5,53462-75-2,0.0
64-17-5,123883-35-2,0.054
64-17-5,283173-82-0,0.047
64-17-5,283173-72-8,0.0
64-17-5,283173-83-1,0.024
64-17-5,283173-76-2,0.054
64-17-5,283172-68-9,0.018
64-17-5,174769-98-3,0.094
64-17-5,283173-74-0,0.016
64-17-5,283173-43-3,0.0
64-17-5,283173-19-3,0.016
64-17-5,283172-96-3,0.0
64-17-5,283172-79-2,0.029
64-17-5,106896-57-5,0.043
64-17-5,53462-89-8,0.038
64-17-5,283173-63-7,0.014
64-17-5,283173-37-5,0.014
64-17-5,283173-02-4,0.031
64-17-5,283172-93-0,0.0
64-17-5,283172-85-0,0.016
64-17-5,283172-84-9,0.015
64-17-5,283172-78-1,0.031
64-17-5,283172-76-9,0.034
64-17-5,283172-73-6,0.017
64-17-5,283172-69-0,0.032
64-17-5,283173-45-5,0.0
64-17-5,283173-39-7,0.019
64-17-5,283173-38-6,0.032
64-17-5,283173-23-9,0.016
64-17-5,283173-21-7,0.017
64-17-5,283173-14-8,0.017
64-17-5,283173-08-0,0.015
64-17-5,283173-05-7,0.016
64-17-5,283172-91-8,0.018
64-17-5,283173-73-9,0.015
64-17-5,283173-69-3,0.0
64-17-5,283173-65-9,0.05
64-17-5,283173-58-0,0.032
64-17-5,283173-52-4,0.015
64-17-5,283173-51-3,0.013
64-17-5,283173-44-4,0.016
64-17-5,283173-29-5,0.034
64-17-5,283173-25-1,0.014
64-17-5,283173-17-1,0.017
64-17-5,283173-15-9,0.019
64-17-5,283173-13-7,0.034
64-17-5,283173-01-3,0.043
64-17-5,283172-98-5,0.0
64-17-5,283172-97-4,0.034
64-17-5,283172-92-9,0.016
64-17-5,283172-90-7,0.032
64-17-5,283172-89-4,0.015
64-17-5,283172-88-3,0.017
64-17-5,283172-87-2,0.016
64-17-5,283172-77-0,0.016
64-17-5,283172-75-8,0.02
64-17-5,283172-74-7,0.017
64-17-5,283172-71-4,0.047
64-17-5,283172-70-3,0.015
64-17-5,251088-13-8,0.02
64-17-5,165279-68-5,0.0
64-17-5,165279-67-4,0.046
64-17-5,478943-31-6,0.016
64-17-5,283173-81-9,0.014
64-17-5,283173-70-6,0.017
64-17-5,283173-64-8,0.013
64-17-5,283173-46-6,0.033
64-17-5,283173-40-0,0.029
64-17-5,283173-27-3,0.041
64-17-5,283173-20-6,0.032
64-17-5,283173-11-5,0.041
64-17-5,283173-09-1,0.044
64-17-5,283173-06-8,0.013
64-17-5,283173-03-5,0.029
64-17-5,283172-99-6,0.016
64-17-5,283172-95-2,0.016
64-17-5,283172-94-1,0.016
64-17-5,283172-86-1,0.0
64-17-5,283172-80-5,0.03
64-17-5,283172-72-5,0.0
64-17-5,283172-65-6,0.032
64-17-5,283172-64-5,0.018
64-17-5,65923-21-9,0.0
64-17-5,1448725-33-4,0.049
64-17-5,1448725-23-2,0.037
64-17-5,283173-79-5,0.033
64-17-5,283173-78-4,0.036
64-17-5,283173-77-3,0.038
64-17-5,283173-75-1,0.014
64-17-5,283173-71-7,0.045
64-17-5,283173-68-2,0.0
64-17-5,283173-67-1,0.0
64-17-5,283173-66-0,0.03
64-17-5,283173-62-6,0.013
64-17-5,283173-61-5,0.013
64-17-5,283173-60-4,0.015
64-17-5,283173-59-1,0.016
64-17-5,283173-57-9,0.046
64-17-5,283173-56-8,0.013
64-17-5,283173-55-7,0.013
64-17-5,283173-53-5,0.014
64-17-5,283173-49-9,0.027
64-17-5,283173-48-8,0.032
64-17-5,283173-47-7,0.032
64-17-5,283173-42-2,0.016
64-17-5,283173-41-1,0.0
64-17-5,283173-36-4,0.0
64-17-5,283173-35-3,0.0
64-17-5,283173-34-2,0.014
64-17-5,283173-33-1,0.015
64-17-5,283173-32-0,0.013
64-17-5,283173-31-9,0.028
64-17-5,283173-16-0,0.056
64-17-5,283173-12-6,0.044
64-17-5,283173-10-4,0.045
64-17-5,283173-07-9,0.014
64-17-5,283173-04-6,0.02
64-17-5,283173-00-2,0.026
64-17-5,283172-83-8,0.016
64-17-5,283172-81-6,0.0
64-17-5,283172-67-8,0.016
64-17-5,283172-66-7,0.021
64-17-5,53462-90-1,0.061
