node1,node2,similarity
108-31-6,107-13-1,0.0
108-31-6,100-39-0,0.074
108-31-6,24424-99-5,0.034
108-31-6,106-95-6,0.0
108-31-6,75-56-9,0.05
108-31-6,407-25-0,0.038
108-31-6,122-04-3,0.118
108-31-6,4530-20-5,0.027
108-31-6,100-07-2,0.088
108-31-6,96-32-2,0.038
108-31-6,62996-74-1,0.053
108-31-6,122-01-0,0.1
108-31-6,1885-14-9,0.091
108-31-6,57-06-7,0.0
108-31-6,403-43-0,0.097
108-31-6,609-65-4,0.094
108-31-6,618-46-2,0.088
108-31-6,99-33-2,0.086
108-31-6,121-90-4,0.073
108-31-6,1436-34-6,0.032
108-31-6,5445-17-0,0.037
108-31-6,1711-07-5,0.086
108-31-6,120685-11-2,0.046
108-31-6,7377-26-6,0.086
108-31-6,2404-44-6,0.027
108-31-6,3234-28-4,0.027
108-31-6,84468-15-5,0.064
108-31-6,120685-17-8,0.046
108-31-6,120685-10-1,0.045
108-31-6,120685-20-3,0.047
108-31-6,120685-18-9,0.043
108-31-6,120685-13-4,0.047
108-31-6,120685-12-3,0.047
108-31-6,120685-22-5,0.048
108-31-6,120685-15-6,0.042
108-31-6,120685-44-1,0.045
108-31-6,120685-16-7,0.043
108-31-6,120685-14-5,0.045
108-31-6,120685-45-2,0.046
108-31-6,120685-33-8,0.05
108-31-6,120685-27-0,0.051
108-31-6,120685-21-4,0.048
108-31-6,120685-47-4,0.045
108-31-6,120685-46-3,0.053
108-31-6,120685-39-4,0.043
108-31-6,120685-38-3,0.049
108-31-6,120685-37-2,0.045
108-31-6,120685-24-7,0.047
108-31-6,120685-50-9,0.049
108-31-6,120685-43-0,0.045
108-31-6,120685-42-9,0.045
108-31-6,120685-41-8,0.043
108-31-6,120685-35-0,0.05
108-31-6,120685-32-7,0.046
108-31-6,120685-29-2,0.044
108-31-6,120685-49-6,0.047
108-31-6,120685-48-5,0.046
108-31-6,120685-40-7,0.047
108-31-6,120685-36-1,0.045
108-31-6,120685-34-9,0.04
108-31-6,120685-31-6,0.042
108-31-6,120685-30-5,0.042
108-31-6,120685-25-8,0.048
108-31-6,120685-23-6,0.047
108-31-6,120685-19-0,0.053
108-31-6,120751-44-2,0.045
108-31-6,120685-26-9,0.052
108-31-6,120685-28-1,0.05
107-13-1,100-39-0,0.0
107-13-1,24424-99-5,0.0
107-13-1,106-95-6,0.2
107-13-1,75-56-9,0.0
107-13-1,407-25-0,0.0
107-13-1,122-04-3,0.0
107-13-1,4530-20-5,0.0
107-13-1,100-07-2,0.0
107-13-1,96-32-2,0.0
107-13-1,62996-74-1,0.01
107-13-1,122-01-0,0.0
107-13-1,1885-14-9,0.0
107-13-1,57-06-7,0.182
107-13-1,403-43-0,0.0
107-13-1,609-65-4,0.0
107-13-1,618-46-2,0.0
107-13-1,99-33-2,0.0
107-13-1,121-90-4,0.0
107-13-1,1436-34-6,0.0
107-13-1,5445-17-0,0.0
107-13-1,1711-07-5,0.0
107-13-1,120685-11-2,0.0
107-13-1,7377-26-6,0.0
107-13-1,2404-44-6,0.0
107-13-1,3234-28-4,0.0
107-13-1,84468-15-5,0.0
107-13-1,120685-17-8,0.0
107-13-1,120685-10-1,0.0
107-13-1,120685-20-3,0.0
107-13-1,120685-18-9,0.0
