node1,node2,similarity
62-53-3,107-15-3,0.059
62-53-3,78-94-4,0.0
62-53-3,110-87-2,0.036
62-53-3,152459-95-5,0.04
62-53-3,100-19-6,0.083
62-53-3,302962-49-8,0.041
62-53-3,13734-41-3,0.05
62-53-3,641571-10-0,0.038
62-53-3,461-82-5,0.233
62-53-3,761446-44-0,0.047
62-53-3,943319-70-8,0.045
62-53-3,380843-75-4,0.043
62-53-3,1453-58-3,0.111
62-53-3,2799-21-5,0.0
62-53-3,100243-39-8,0.0
62-53-3,376584-63-3,0.097
62-53-3,847818-74-0,0.073
62-53-3,1195-66-0,0.0
62-53-3,372-16-7,0.233
62-53-3,859212-16-1,0.026
62-53-3,1020174-04-2,0.071
62-53-3,903550-26-5,0.051
62-53-3,2993-24-0,0.32
62-53-3,1007-16-5,0.108
62-53-3,421-78-3,0.0
62-53-3,110013-19-9,0.0
62-53-3,82372-35-8,0.125
62-53-3,1492952-76-7,0.034
62-53-3,173340-25-5,0.02
62-53-3,29241-62-1,0.075
62-53-3,78686-77-8,0.043
62-53-3,956907-34-9,0.028
62-53-3,39065-95-7,0.219
62-53-3,903550-12-9,0.052
62-53-3,60979-04-6,0.241
62-53-3,1491150-22-1,0.046
62-53-3,1486485-62-4,0.033
62-53-3,1346219-36-0,0.064
62-53-3,1492954-33-2,0.032
62-53-3,1491150-21-0,0.038
62-53-3,853180-40-2,0.044
62-53-3,1154963-82-2,0.162
62-53-3,1488090-87-4,0.047
62-53-3,59782-87-5,0.075
62-53-3,1488091-35-5,0.046
62-53-3,74159-82-3,0.075
62-53-3,1492954-67-2,0.029
62-53-3,1491150-04-9,0.039
62-53-3,1491150-59-4,0.048
62-53-3,1491150-26-5,0.048
62-53-3,1491150-25-4,0.041
62-53-3,1488091-12-8,0.047
62-53-3,1488090-68-1,0.051
62-53-3,1492888-91-1,0.039
62-53-3,1492887-66-7,0.258
62-53-3,1492885-31-0,0.034
62-53-3,1491150-38-9,0.032
62-53-3,1491150-13-0,0.037
62-53-3,773156-23-3,0.1
62-53-3,1492955-93-7,0.038
62-53-3,1492954-71-8,0.036
62-53-3,1492954-69-4,0.051
62-53-3,1492954-51-4,0.029
62-53-3,1492954-20-7,0.03
62-53-3,1492953-81-7,0.031
62-53-3,1492953-48-6,0.033
62-53-3,1492952-55-2,0.034
62-53-3,1492890-27-3,0.045
62-53-3,1492890-25-1,0.038
62-53-3,1492890-15-9,0.226
62-53-3,1492890-07-9,0.047
62-53-3,1492889-97-0,0.038
62-53-3,1492887-99-6,0.045
