node1,node2,similarity
123-30-8,284461-73-0,0.062
123-30-8,755037-03-7,0.057
123-30-8,320-51-4,0.194
123-30-8,327-78-6,0.062
123-30-8,349-65-5,0.15
123-30-8,284462-37-9,0.216
123-30-8,99586-65-9,0.158
123-30-8,284461-74-1,0.077
123-30-8,284462-80-2,0.239
123-30-8,284462-18-6,0.062
123-30-8,284461-44-5,0.071
123-30-8,284461-76-3,0.059
123-30-8,284462-02-8,0.049
123-30-8,284461-82-1,0.059
123-30-8,284462-32-4,0.054
123-30-8,284462-28-8,0.056
123-30-8,284462-17-5,0.058
123-30-8,284461-72-9,0.049
123-30-8,228418-48-2,0.059
123-30-8,284462-29-9,0.067
123-30-8,284462-24-4,0.061
123-30-8,284462-22-2,0.059
123-30-8,284462-20-0,0.057
123-30-8,284462-19-7,0.067
123-30-8,284462-07-3,0.043
123-30-8,284462-04-0,0.048
123-30-8,284461-97-8,0.049
123-30-8,284461-94-5,0.05
123-30-8,284461-93-4,0.039
123-30-8,284461-91-2,0.061
123-30-8,284461-88-7,0.05
123-30-8,284461-80-9,0.07
123-30-8,284461-75-2,0.073
123-30-8,284461-65-0,0.052
123-30-8,284461-63-8,0.057
123-30-8,284461-62-7,0.046
123-30-8,284461-55-8,0.07
123-30-8,284461-50-3,0.067
123-30-8,284462-31-3,0.053
123-30-8,284462-30-2,0.054
123-30-8,284462-27-7,0.049
123-30-8,284462-26-6,0.047
123-30-8,284462-21-1,0.06
123-30-8,284462-15-3,0.04
123-30-8,284462-12-0,0.044
123-30-8,284462-11-9,0.041
123-30-8,284462-10-8,0.043
123-30-8,284462-03-9,0.038
123-30-8,284461-70-7,0.048
123-30-8,284461-68-3,0.053
123-30-8,284461-64-9,0.052
123-30-8,284461-58-1,0.058
123-30-8,284461-51-4,0.067
123-30-8,284461-48-9,0.08
123-30-8,284461-45-6,0.085
123-30-8,284461-43-4,0.081
123-30-8,284461-42-3,0.067
123-30-8,284461-33-2,0.052
123-30-8,284462-35-7,0.054
123-30-8,284462-25-5,0.049
123-30-8,284462-23-3,0.059
123-30-8,284462-01-7,0.047
123-30-8,284461-78-5,0.057
123-30-8,284461-69-4,0.052
123-30-8,284461-60-5,0.056
123-30-8,284461-54-7,0.058
123-30-8,284461-53-6,0.073
123-30-8,284461-47-8,0.069
123-30-8,284462-34-6,0.049
123-30-8,284462-16-4,0.039
123-30-8,284462-13-1,0.042
123-30-8,284462-09-5,0.045
123-30-8,284462-08-4,0.038
123-30-8,284462-05-1,0.043
123-30-8,284462-00-6,0.048
123-30-8,284461-98-9,0.06
123-30-8,284461-95-6,0.04
123-30-8,284461-92-3,0.051
123-30-8,284461-90-1,0.053
123-30-8,284461-89-8,0.051
123-30-8,284461-85-4,0.053
123-30-8,284461-84-3,0.055
123-30-8,284461-83-2,0.06
123-30-8,284461-81-0,0.059
123-30-8,284461-79-6,0.048
123-30-8,284461-77-4,0.049
123-30-8,284461-67-2,0.054
123-30-8,284461-66-1,0.047
123-30-8,284461-61-6,0.068
123-30-8,284461-59-2,0.057
123-30-8,284461-57-0,0.062
123-30-8,284461-56-9,0.056
123-30-8,284461-52-5,0.066
123-30-8,284461-49-0,0.08
123-30-8,284461-46-7,0.061
123-30-8,284461-41-2,0.068
123-30-8,284461-40-1,0.06
123-30-8,284461-39-8,0.044
123-30-8,284461-38-7,0.047
123-30-8,284461-37-6,0.049
123-30-8,284461-36-5,0.047
123-30-8,284461-35-4,0.049
123-30-8,284461-34-3,0.058
123-30-8,284461-96-7,0.038
123-30-8,284461-71-8,0.044
123-30-8,284462-70-0,0.045
123-30-8,284461-99-0,0.05
123-30-8,284462-36-8,0.077
123-30-8,284462-06-2,0.051
123-30-8,284461-86-5,0.05
123-30-8,284462-33-5,0.056
123-30-8,176977-85-8,0.111
123-30-8,51727-15-2,0.128
284461-73-0,755037-03-7,0.729
284461-73-0,320-51-4,0.212
284461-73-0,327-78-6,0.207
284461-73-0,349-65-5,0.111
284461-73-0,284462-37-9,0.487
284461-73-0,99586-65-9,0.181
284461-73-0,284461-74-1,0.769
284461-73-0,284462-80-2,0.306
284461-73-0,284462-18-6,0.728
284461-73-0,284461-44-5,0.593
284461-73-0,284461-76-3,0.756
284461-73-0,284462-02-8,0.643
284461-73-0,284461-82-1,0.8
284461-73-0,284462-32-4,0.541
284461-73-0,284462-28-8,0.663
284461-73-0,284462-17-5,0.768
284461-73-0,284461-72-9,0.647
284461-73-0,228418-48-2,0.358
284461-73-0,284462-29-9,0.49
284461-73-0,284462-24-4,0.549
284461-73-0,284462-22-2,0.548
284461-73-0,284462-20-0,0.57
284461-73-0,284462-19-7,0.568
284461-73-0,284462-07-3,0.525
284461-73-0,284462-04-0,0.614
284461-73-0,284461-97-8,0.616
284461-73-0,284461-94-5,0.472
284461-73-0,284461-93-4,0.464
284461-73-0,284461-91-2,0.762
284461-73-0,284461-88-7,0.704
284461-73-0,284461-80-9,0.738
284461-73-0,284461-75-2,0.578
284461-73-0,284461-65-0,0.3
284461-73-0,284461-63-8,0.339
284461-73-0,284461-62-7,0.256
284461-73-0,284461-55-8,0.446
284461-73-0,284461-50-3,0.475
284461-73-0,284462-31-3,0.515
284461-73-0,284462-30-2,0.52
284461-73-0,284462-27-7,0.477
284461-73-0,284462-26-6,0.375
284461-73-0,284462-21-1,0.589
284461-73-0,284462-15-3,0.472
284461-73-0,284462-12-0,0.536
284461-73-0,284462-11-9,0.49
284461-73-0,284462-10-8,0.531
284461-73-0,284462-03-9,0.446
284461-73-0,284461-70-7,0.271
284461-73-0,284461-68-3,0.294
284461-73-0,284461-64-9,0.281
284461-73-0,284461-58-1,0.355
284461-73-0,284461-51-4,0.485
284461-73-0,284461-48-9,0.461
284461-73-0,284461-45-6,0.444
284461-73-0,284461-43-4,0.324
284461-73-0,284461-42-3,0.447
284461-73-0,284461-33-2,0.378
284461-73-0,284462-35-7,0.51
284461-73-0,284462-25-5,0.433
284461-73-0,284462-23-3,0.532
284461-73-0,284462-01-7,0.538
284461-73-0,284461-78-5,0.729
284461-73-0,284461-69-4,0.3
284461-73-0,284461-60-5,0.307
284461-73-0,284461-54-7,0.306
284461-73-0,284461-53-6,0.315
284461-73-0,284461-47-8,0.427
284461-73-0,284462-34-6,0.308
284461-73-0,284462-16-4,0.481
284461-73-0,284462-13-1,0.525
284461-73-0,284462-09-5,0.537
284461-73-0,284462-08-4,0.459
284461-73-0,284462-05-1,0.51
284461-73-0,284462-00-6,0.56
284461-73-0,284461-98-9,0.81
284461-73-0,284461-95-6,0.472
284461-73-0,284461-92-3,0.575
284461-73-0,284461-90-1,0.494
284461-73-0,284461-89-8,0.447
284461-73-0,284461-85-4,0.595
284461-73-0,284461-84-3,0.598
284461-73-0,284461-83-2,0.732
284461-73-0,284461-81-0,0.714
284461-73-0,284461-79-6,0.578
284461-73-0,284461-77-4,0.556
284461-73-0,284461-67-2,0.302
284461-73-0,284461-66-1,0.26
284461-73-0,284461-61-6,0.48
284461-73-0,284461-59-2,0.304
284461-73-0,284461-57-0,0.308
284461-73-0,284461-56-9,0.307
284461-73-0,284461-52-5,0.311
284461-73-0,284461-49-0,0.321
284461-73-0,284461-46-7,0.382
284461-73-0,284461-41-2,0.317
284461-73-0,284461-40-1,0.235
284461-73-0,284461-39-8,0.276
284461-73-0,284461-38-7,0.274
284461-73-0,284461-37-6,0.346
284461-73-0,284461-36-5,0.324
284461-73-0,284461-35-4,0.373
284461-73-0,284461-34-3,0.323
284461-73-0,284461-96-7,0.464
284461-73-0,284461-71-8,0.272
284461-73-0,284462-70-0,0.4
284461-73-0,284461-99-0,0.468
284461-73-0,284462-36-8,0.392
284461-73-0,284462-06-2,0.688
284461-73-0,284461-86-5,0.605
284461-73-0,284462-33-5,0.505
284461-73-0,176977-85-8,0.209
284461-73-0,51727-15-2,0.181
755037-03-7,320-51-4,0.195
755037-03-7,327-78-6,0.204
755037-03-7,349-65-5,0.103
755037-03-7,284462-37-9,0.414
755037-03-7,99586-65-9,0.167
755037-03-7,284461-74-1,0.559
755037-03-7,284462-80-2,0.255
755037-03-7,284462-18-6,0.531
755037-03-7,284461-44-5,0.49
755037-03-7,284461-76-3,0.697
755037-03-7,284462-02-8,0.487
755037-03-7,284461-82-1,0.589
755037-03-7,284462-32-4,0.45
755037-03-7,284462-28-8,0.55
755037-03-7,284462-17-5,0.567
755037-03-7,284461-72-9,0.47
755037-03-7,228418-48-2,0.291
755037-03-7,284462-29-9,0.529
755037-03-7,284462-24-4,0.396
755037-03-7,284462-22-2,0.51
755037-03-7,284462-20-0,0.515
755037-03-7,284462-19-7,0.625
755037-03-7,284462-07-3,0.386
755037-03-7,284462-04-0,0.447
755037-03-7,284461-97-8,0.505
755037-03-7,284461-94-5,0.35
755037-03-7,284461-93-4,0.344
755037-03-7,284461-91-2,0.558
755037-03-7,284461-88-7,0.51
755037-03-7,284461-80-9,0.8
755037-03-7,284461-75-2,0.536
755037-03-7,284461-65-0,0.244
755037-03-7,284461-63-8,0.275
755037-03-7,284461-62-7,0.208
755037-03-7,284461-55-8,0.354
755037-03-7,284461-50-3,0.393
755037-03-7,284462-31-3,0.538
755037-03-7,284462-30-2,0.529
755037-03-7,284462-27-7,0.355
755037-03-7,284462-26-6,0.339
755037-03-7,284462-21-1,0.429
755037-03-7,284462-15-3,0.35
755037-03-7,284462-12-0,0.393
755037-03-7,284462-11-9,0.361
755037-03-7,284462-10-8,0.389
755037-03-7,284462-03-9,0.331
755037-03-7,284461-70-7,0.221
755037-03-7,284461-68-3,0.238
755037-03-7,284461-64-9,0.227
755037-03-7,284461-58-1,0.333
755037-03-7,284461-51-4,0.495
755037-03-7,284461-48-9,0.5
755037-03-7,284461-45-6,0.364
755037-03-7,284461-43-4,0.351
755037-03-7,284461-42-3,0.472
755037-03-7,284461-33-2,0.257
755037-03-7,284462-35-7,0.436
755037-03-7,284462-25-5,0.352
