node1,node2,similarity
141-78-6,62-53-3,0.0
141-78-6,68-12-2,0.095
141-78-6,107-15-3,0.056
141-78-6,107-13-1,0.0
141-78-6,98-88-4,0.1
141-78-6,98-80-6,0.033
141-78-6,616-38-6,0.263
141-78-6,141-97-9,0.458
141-78-6,111-40-0,0.04
141-78-6,75-31-0,0.053
141-78-6,105-36-2,0.455
141-78-6,51-67-2,0.057
141-78-6,6674-22-2,0.0
141-78-6,108-59-8,0.273
141-78-6,95-92-1,0.526
141-78-6,108-00-9,0.083
141-78-6,156-87-6,0.087
141-78-6,557795-19-4,0.083
141-78-6,18107-18-1,0.038
141-78-6,462-08-8,0.0
141-78-6,2038-03-1,0.028
141-78-6,1692-25-7,0.029
141-78-6,100-36-7,0.115
141-78-6,459-73-4,0.455
141-78-6,104-78-9,0.1
141-78-6,59-48-3,0.024
141-78-6,123-00-2,0.026
141-78-6,2706-56-1,0.026
141-78-6,1694-31-1,0.241
141-78-6,7154-73-6,0.031
141-78-6,5807-14-7,0.0
141-78-6,443-69-6,0.022
141-78-6,1001-53-2,0.231
141-78-6,63139-21-9,0.121
141-78-6,7663-77-6,0.049
141-78-6,67492-50-6,0.03
141-78-6,7152-15-0,0.345
141-78-6,23159-07-1,0.029
141-78-6,624-75-9,0.045
141-78-6,934-98-5,0.059
141-78-6,5345-54-0,0.053
141-78-6,133730-34-4,0.075
141-78-6,83-41-0,0.079
141-78-6,61-70-1,0.047
141-78-6,56341-41-4,0.021
141-78-6,145240-28-4,0.103
141-78-6,17630-75-0,0.021
141-78-6,20870-78-4,0.021
141-78-6,216019-28-2,0.049
141-78-6,99365-40-9,0.022
141-78-6,40004-08-8,0.278
141-78-6,2199-43-1,0.286
141-78-6,2199-51-1,0.286
141-78-6,2199-44-2,0.286
141-78-6,3970-35-2,0.068
141-78-6,7699-18-5,0.062
141-78-6,20870-79-5,0.02
141-78-6,20876-36-2,0.021
141-78-6,2199-59-9,0.263
141-78-6,253870-02-9,0.143
141-78-6,356068-94-5,0.08
141-78-6,356068-86-5,0.135
141-78-6,2199-49-7,0.303
141-78-6,199328-31-9,0.02
141-78-6,356068-97-8,0.086
141-78-6,7699-19-6,0.062
141-78-6,53553-14-3,0.106
141-78-6,65880-17-3,0.213
141-78-6,14352-65-9,0.182
141-78-6,13220-46-7,0.07
141-78-6,86770-31-2,0.222
141-78-6,24566-95-8,0.043
141-78-6,40611-85-6,0.324
141-78-6,356068-93-4,0.075
141-78-6,326914-10-7,0.083
141-78-6,22584-31-2,0.029
141-78-6,334952-09-9,0.062
141-78-6,175075-24-8,0.02
141-78-6,342641-94-5,0.083
141-78-6,139122-19-3,0.08
141-78-6,90751-00-1,0.019
141-78-6,281676-73-1,0.062
141-78-6,199328-55-7,0.038
141-78-6,170565-89-6,0.038
141-78-6,33423-48-2,0.268
141-78-6,251356-81-7,0.1
141-78-6,26018-26-8,0.25
141-78-6,23876-18-8,0.136
141-78-6,90750-91-7,0.019
141-78-6,342642-56-2,0.127
141-78-6,90322-37-5,0.062
141-78-6,13173-07-4,0.044
141-78-6,251356-80-6,0.122
141-78-6,280748-43-8,0.135
141-78-6,90433-74-2,0.2
141-78-6,215433-89-9,0.049
141-78-6,215433-87-7,0.048
141-78-6,26018-30-4,0.25
141-78-6,342642-53-9,0.196
141-78-6,258831-74-2,0.035
141-78-6,442563-21-5,0.135
141-78-6,356069-14-2,0.075
141-78-6,356069-10-8,0.081
141-78-6,346405-32-1,0.08
141-78-6,215433-19-5,0.021
141-78-6,356069-35-7,0.08
141-78-6,356068-91-2,0.089
141-78-6,356068-90-1,0.083
141-78-6,342642-67-5,0.014
141-78-6,342642-59-5,0.115
141-78-6,342641-63-8,0.083
141-78-6,280748-39-2,0.081
141-78-6,215433-30-0,0.115
141-78-6,356068-98-9,0.143
141-78-6,356068-89-8,0.085
141-78-6,342642-60-8,0.127
141-78-6,342642-23-3,0.016
141-78-6,295800-01-0,0.017
141-78-6,356069-16-4,0.086
141-78-6,356068-96-7,0.074
141-78-6,115976-53-9,0.146
141-78-6,356069-08-4,0.081
141-78-6,356068-99-0,0.081
141-78-6,356069-02-8,0.047
141-78-6,342642-76-6,0.13
141-78-6,342642-24-4,0.015
141-78-6,342642-01-7,0.079
141-78-6,326914-17-4,0.074
141-78-6,280748-40-5,0.092
141-78-6,356069-17-5,0.081
141-78-6,356068-82-1,0.08
141-78-6,342642-71-1,0.056
141-78-6,342642-61-9,0.069
141-78-6,342642-35-7,0.1
141-78-6,342641-64-9,0.08
141-78-6,342641-62-7,0.074
141-78-6,326914-09-4,0.089
141-78-6,499218-23-4,0.067
141-78-6,468745-44-0,0.071
141-78-6,356069-44-8,0.109
141-78-6,356068-95-6,0.079
141-78-6,342642-72-2,0.2
141-78-6,342642-50-6,0.121
141-78-6,342642-49-3,0.062
141-78-6,342642-48-2,0.086
141-78-6,342642-47-1,0.082
141-78-6,342642-38-0,0.097
141-78-6,342642-34-6,0.077
141-78-6,342642-33-5,0.179
141-78-6,342642-32-4,0.192
141-78-6,342642-30-2,0.047
141-78-6,342642-29-9,0.032
141-78-6,342642-28-8,0.074
141-78-6,342642-27-7,0.045
141-78-6,342642-26-6,0.067
141-78-6,342642-25-5,0.018
141-78-6,342642-17-5,0.087
141-78-6,342642-15-3,0.075
141-78-6,342642-14-2,0.145
141-78-6,342642-13-1,0.154
141-78-6,342642-12-0,0.079
141-78-6,342642-11-9,0.071
141-78-6,342642-10-8,0.116
141-78-6,342642-09-5,0.118
141-78-6,342642-08-4,0.068
141-78-6,342642-02-8,0.067
141-78-6,342642-00-6,0.051
141-78-6,342641-99-0,0.071
141-78-6,342641-98-9,0.064
141-78-6,342641-97-8,0.064
141-78-6,342641-96-7,0.075
141-78-6,342641-95-6,0.083
141-78-6,342641-93-4,0.069
141-78-6,342641-92-3,0.079
141-78-6,342641-91-2,0.085
141-78-6,342641-89-8,0.076
141-78-6,342641-88-7,0.08
141-78-6,342641-87-6,0.069
141-78-6,342641-85-4,0.052
141-78-6,342641-84-3,0.065
141-78-6,342641-83-2,0.068
141-78-6,342641-82-1,0.08
141-78-6,342641-81-0,0.073
141-78-6,342641-80-9,0.075
141-78-6,342641-79-6,0.074
141-78-6,342641-78-5,0.066
141-78-6,342641-77-4,0.062
141-78-6,342641-76-3,0.071
141-78-6,342641-75-2,0.073
141-78-6,342641-74-1,0.076
141-78-6,342641-73-0,0.059
141-78-6,342641-72-9,0.075
141-78-6,342641-71-8,0.078
141-78-6,342641-70-7,0.058
141-78-6,342641-69-4,0.074
141-78-6,342641-68-3,0.077
141-78-6,342641-67-2,0.074
