node1,node2,similarity
50-00-0,74-88-4,0.0
50-00-0,100-46-9,0.0
50-00-0,24424-99-5,0.05
50-00-0,75-65-0,0.0
50-00-0,106-89-8,0.0
50-00-0,124-40-3,0.0
50-00-0,124-63-0,0.1
50-00-0,106-95-6,0.091
50-00-0,78-83-1,0.0
50-00-0,120-72-9,0.0
50-00-0,109-01-3,0.0
50-00-0,814-68-6,0.167
50-00-0,541-41-3,0.059
50-00-0,30525-89-4,1.0
50-00-0,98-09-9,0.048
50-00-0,96-32-2,0.059
50-00-0,420-04-2,0.0
50-00-0,3886-69-9,0.0
50-00-0,557-21-1,0.0
50-00-0,107-14-2,0.0
50-00-0,603-76-9,0.0
50-00-0,111-34-2,0.045
50-00-0,110-70-3,0.0
50-00-0,625-36-5,0.067
50-00-0,91-00-9,0.0
50-00-0,142-25-6,0.0
50-00-0,22483-09-6,0.0
50-00-0,1421373-65-0,0.02
50-00-0,3934-20-1,0.0
50-00-0,5750-76-5,0.0
50-00-0,132958-72-6,0.0
50-00-0,1780-31-0,0.0
50-00-0,132883-44-4,0.0
50-00-0,112257-19-9,0.03
50-00-0,18621-17-5,0.0
50-00-0,71195-85-2,0.071
50-00-0,59433-50-0,0.026
50-00-0,1075705-01-9,0.027
50-00-0,59557-91-4,0.0
50-00-0,454482-11-2,0.0
50-00-0,450-91-9,0.0
50-00-0,138022-85-2,0.0
50-00-0,33301-41-6,0.024
50-00-0,41239-40-1,0.0
50-00-0,39890-43-2,0.031
50-00-0,3010-05-7,0.0
50-00-0,1032452-86-0,0.0
50-00-0,1421372-66-8,0.0
50-00-0,1421372-94-2,0.012
50-00-0,145681-01-2,0.024
50-00-0,1421373-98-9,0.021
50-00-0,1421372-67-9,0.011
50-00-0,945016-63-7,0.0
50-00-0,98545-15-4,0.0
50-00-0,937366-57-9,0.0
50-00-0,882562-40-5,0.016
50-00-0,792970-55-9,0.03
50-00-0,1421373-99-0,0.02
50-00-0,128740-03-4,0.061
50-00-0,1160614-73-2,0.0
50-00-0,71545-60-3,0.032
50-00-0,78397-15-6,0.029
50-00-0,1421373-36-5,0.01
50-00-0,1356963-19-3,0.0
50-00-0,1421372-34-0,0.012
50-00-0,1224709-13-0,0.0
50-00-0,63477-43-0,0.0
50-00-0,1421371-97-2,0.027
50-00-0,945016-62-6,0.0
50-00-0,1421372-76-0,0.011
50-00-0,1421372-75-9,0.0
50-00-0,1421373-31-0,0.0
50-00-0,945016-64-8,0.0
50-00-0,205189-94-2,0.023
50-00-0,128740-02-3,0.054
50-00-0,55438-79-4,0.0
50-00-0,1421373-35-4,0.009
50-00-0,1421373-32-1,0.011
50-00-0,1421372-44-2,0.012
50-00-0,948846-61-5,0.0
50-00-0,370880-03-8,0.0
50-00-0,115919-39-6,0.028
50-00-0,91284-61-6,0.026
50-00-0,1421373-34-3,0.01
50-00-0,1421373-33-2,0.018
50-00-0,1421372-68-0,0.0
50-00-0,1421372-61-3,0.0
50-00-0,1421372-04-4,0.016
50-00-0,1421372-03-3,0.02
50-00-0,1224709-30-1,0.0
50-00-0,1224708-12-6,0.0
50-00-0,1434180-02-5,0.0
50-00-0,1434177-40-8,0.0
50-00-0,1421373-43-4,0.02
50-00-0,1421373-21-8,0.0
50-00-0,1421373-18-3,0.012
50-00-0,1421372-63-5,0.0
50-00-0,1421372-62-4,0.01
50-00-0,1421372-54-4,0.012
50-00-0,1421372-48-6,0.0
50-00-0,1421372-35-1,0.0
50-00-0,1421372-29-3,0.0
50-00-0,1421372-11-3,0.0
50-00-0,1421372-09-9,0.0
50-00-0,1421372-08-8,0.012
50-00-0,1421373-67-2,0.019
50-00-0,1421373-50-3,0.02
50-00-0,1421373-12-7,0.0
50-00-0,1421372-90-8,0.0
50-00-0,1421372-81-7,0.0
50-00-0,1421372-73-7,0.0
50-00-0,1421372-71-5,0.0
50-00-0,1421372-42-0,0.0
50-00-0,1421372-32-8,0.0
50-00-0,1421372-06-6,0.0
50-00-0,1291568-85-8,0.0
50-00-0,1224709-29-8,0.0
50-00-0,1206970-01-5,0.016
50-00-0,1421373-63-8,0.02
50-00-0,1421373-62-7,0.02
50-00-0,1421373-52-5,0.021
50-00-0,1421373-42-3,0.019
50-00-0,1421373-29-6,0.0
50-00-0,1421373-27-4,0.0
50-00-0,1421373-25-2,0.0
50-00-0,1421373-19-4,0.0
50-00-0,1421373-16-1,0.0
50-00-0,1421373-14-9,0.0
50-00-0,1421373-09-2,0.0
50-00-0,1421373-06-9,0.0
50-00-0,1421373-04-7,0.0
50-00-0,1421373-02-5,0.0
50-00-0,1421372-99-7,0.0
50-00-0,1421372-97-5,0.0
50-00-0,1421372-87-3,0.0
50-00-0,1421372-86-2,0.0
50-00-0,1421372-85-1,0.0
50-00-0,1421372-83-9,0.0
50-00-0,1421372-79-3,0.0
50-00-0,1421372-77-1,0.0
50-00-0,1421372-69-1,0.0
50-00-0,1421372-65-7,0.0
50-00-0,1421372-64-6,0.01
50-00-0,1421372-59-9,0.0
50-00-0,1421372-56-6,0.0
50-00-0,1421372-55-5,0.0
50-00-0,1421372-52-2,0.0
50-00-0,1421372-50-0,0.0
50-00-0,1421372-49-7,0.01
50-00-0,1421372-47-5,0.012
50-00-0,1421372-45-3,0.0
50-00-0,1421372-31-7,0.0
50-00-0,1421372-30-6,0.01
50-00-0,1421372-27-1,0.0
50-00-0,1421372-21-5,0.0
50-00-0,1421372-16-8,0.0
50-00-0,1421372-12-4,0.01
50-00-0,1421372-10-2,0.01
50-00-0,1421372-01-1,0.0
50-00-0,1421371-98-3,0.0
50-00-0,1421371-94-9,0.0
50-00-0,1415562-45-6,0.017
50-00-0,370879-99-5,0.017
50-00-0,1421373-71-8,0.021
50-00-0,1421373-70-7,0.018
50-00-0,1421373-69-4,0.018
50-00-0,1421373-56-9,0.02
50-00-0,1421373-54-7,0.02
50-00-0,1421373-53-6,0.02
50-00-0,1421373-48-9,0.018
50-00-0,1421373-41-2,0.019
50-00-0,1421373-22-9,0.011
50-00-0,1421373-13-8,0.01
50-00-0,1421373-08-1,0.012
50-00-0,1421373-07-0,0.0
50-00-0,1421372-93-1,0.0
50-00-0,1421372-92-0,0.012
50-00-0,1421372-82-8,0.011
50-00-0,1421372-74-8,0.009
50-00-0,1421372-72-6,0.009
50-00-0,1421372-43-1,0.01
50-00-0,1421372-33-9,0.011
50-00-0,1421372-26-0,0.009
50-00-0,1421372-25-9,0.009
50-00-0,1421372-19-1,0.0
50-00-0,1421372-07-7,0.01
50-00-0,1421373-97-8,0.02
50-00-0,1421373-96-7,0.019
50-00-0,1421373-95-6,0.019
50-00-0,1421373-94-5,0.018
50-00-0,1421373-93-4,0.021
50-00-0,1421373-92-3,0.02
50-00-0,1421373-90-1,0.019
50-00-0,1421373-89-8,0.02
50-00-0,1421373-88-7,0.019
50-00-0,1421373-87-6,0.019
50-00-0,1421373-86-5,0.02
50-00-0,1421373-85-4,0.019
50-00-0,1421373-84-3,0.02
50-00-0,1421373-83-2,0.02
50-00-0,1421373-82-1,0.019
50-00-0,1421373-81-0,0.018
50-00-0,1421373-80-9,0.02
50-00-0,1421373-79-6,0.018
50-00-0,1421373-78-5,0.019
50-00-0,1421373-77-4,0.02
50-00-0,1421373-76-3,0.018
50-00-0,1421373-75-2,0.02
50-00-0,1421373-74-1,0.02
50-00-0,1421373-73-0,0.02
50-00-0,1421373-72-9,0.02
50-00-0,1421373-68-3,0.019
50-00-0,1421373-64-9,0.02
50-00-0,1421373-61-6,0.019
50-00-0,1421373-60-5,0.02
50-00-0,1421373-59-2,0.019
50-00-0,1421373-58-1,0.019
50-00-0,1421373-57-0,0.019
50-00-0,1421373-55-8,0.02
50-00-0,1421373-51-4,0.02
50-00-0,1421373-49-0,0.019
50-00-0,1421373-47-8,0.018
50-00-0,1421373-46-7,0.019
50-00-0,1421373-45-6,0.018
50-00-0,1421373-44-5,0.018
50-00-0,1421373-40-1,0.02
50-00-0,1421373-39-8,0.019
50-00-0,1421373-38-7,0.019
50-00-0,1421373-30-9,0.011
50-00-0,1421373-28-5,0.01
