node1,node2,similarity
110-91-8,98-59-9,0.0
110-91-8,288-32-4,0.04
110-91-8,109-01-3,0.227
110-91-8,108-45-2,0.0
110-91-8,183321-74-6,0.0
110-91-8,540-37-4,0.0
110-91-8,6482-24-2,0.0
110-91-8,79-42-5,0.0
110-91-8,585-79-5,0.0
110-91-8,54060-30-9,0.0
110-91-8,3943-89-3,0.0
110-91-8,108-96-3,0.038
110-91-8,13790-39-1,0.0
110-91-8,55289-36-6,0.0
110-91-8,656-64-4,0.0
110-91-8,14860-64-1,0.0
110-91-8,60956-26-5,0.0
110-91-8,4403-36-5,0.0
110-91-8,19815-16-8,0.0
110-91-8,183322-18-1,0.0
110-91-8,179688-29-0,0.018
110-91-8,33786-89-9,0.0
110-91-8,19181-53-4,0.021
110-91-8,53449-14-2,0.019
110-91-8,19181-64-7,0.02
110-91-8,55496-52-1,0.0
110-91-8,183321-86-0,0.0
110-91-8,19815-17-9,0.0
110-91-8,183321-62-2,0.0
110-91-8,179688-26-7,0.0
110-91-8,183322-16-9,0.0
110-91-8,183322-33-0,0.02
110-91-8,77123-60-5,0.0
110-91-8,72700-23-3,0.041
110-91-8,183319-38-2,0.0
110-91-8,183320-29-8,0.0
110-91-8,183321-64-4,0.0
110-91-8,179246-15-2,0.019
110-91-8,183321-84-8,0.0
110-91-8,183322-47-6,0.0
110-91-8,183321-67-7,0.0
110-91-8,183321-13-3,0.0
110-91-8,183319-57-5,0.0
110-91-8,183321-83-7,0.0
110-91-8,183321-71-3,0.0
110-91-8,152536-17-9,0.0
110-91-8,77123-63-8,0.022
110-91-8,183321-78-0,0.0
110-91-8,183320-24-3,0.0
110-91-8,183321-82-6,0.0
110-91-8,183321-65-5,0.028
110-91-8,183321-60-0,0.0
110-91-8,183320-15-2,0.0
110-91-8,183322-34-1,0.0
110-91-8,183321-85-9,0.0
110-91-8,183320-72-1,0.0
110-91-8,183322-38-5,0.0
110-91-8,183321-89-3,0.0
110-91-8,183321-76-8,0.0
110-91-8,183320-08-3,0.0
110-91-8,183322-53-4,0.0
110-91-8,183322-32-9,0.0
110-91-8,183321-73-5,0.0
110-91-8,183319-72-4,0.0
110-91-8,183319-34-8,0.0
110-91-8,183322-19-2,0.0
110-91-8,183322-13-6,0.0
110-91-8,183322-12-5,0.011
110-91-8,183322-10-3,0.0
110-91-8,183322-08-9,0.0
110-91-8,183322-07-8,0.0
110-91-8,183322-05-6,0.0
110-91-8,183322-04-5,0.0
110-91-8,183322-03-4,0.0
110-91-8,183322-02-3,0.0
110-91-8,183322-01-2,0.0
110-91-8,183321-93-9,0.013
110-91-8,183321-90-6,0.0
110-91-8,183321-88-2,0.053
110-91-8,183321-87-1,0.01
110-91-8,183321-81-5,0.0
110-91-8,183321-80-4,0.0
110-91-8,183321-79-1,0.0
110-91-8,183321-75-7,0.0
110-91-8,183321-72-4,0.0
110-91-8,183321-70-2,0.0
110-91-8,183321-69-9,0.0
110-91-8,183321-68-8,0.0
110-91-8,183321-66-6,0.0
110-91-8,183321-54-2,0.013
110-91-8,183319-75-7,0.0
110-91-8,183319-40-6,0.0
110-91-8,183319-36-0,0.014
110-91-8,183322-50-1,0.019
110-91-8,183321-91-7,0.0
110-91-8,183322-20-5,0.0
110-91-8,183321-77-9,0.0
110-91-8,183322-59-0,0.019
110-91-8,183322-37-4,0.0
110-91-8,183322-25-0,0.014
110-91-8,183322-15-8,0.0
110-91-8,183322-14-7,0.0
110-91-8,183322-11-4,0.0
