node1,node2,similarity
67-56-1,110-91-8,0.0
67-56-1,24424-99-5,0.105
67-56-1,75-65-0,0.286
67-56-1,109-89-7,0.1
67-56-1,98-80-6,0.053
67-56-1,108-91-8,0.0
67-56-1,75-04-7,0.125
67-56-1,109-01-3,0.059
67-56-1,693-98-1,0.053
67-56-1,108-42-9,0.0
67-56-1,156-87-6,0.077
67-56-1,2393-23-9,0.04
67-56-1,78-81-9,0.091
67-56-1,420-04-2,0.0
67-56-1,103-67-3,0.042
67-56-1,109-85-3,0.071
67-56-1,617-89-0,0.0
67-56-1,2038-03-1,0.0
67-56-1,91-21-4,0.0
67-56-1,641571-10-0,0.021
67-56-1,120-20-7,0.03
67-56-1,2759-28-6,0.0
67-56-1,3731-53-1,0.0
67-56-1,2516-47-4,0.0
67-56-1,2706-56-1,0.036
67-56-1,822-36-6,0.053
67-56-1,91-00-9,0.0
67-56-1,5036-48-6,0.0
67-56-1,27578-60-5,0.0
67-56-1,34803-66-2,0.029
67-56-1,122-80-5,0.074
67-56-1,3300-51-4,0.0
67-56-1,4795-29-3,0.0
67-56-1,1603-41-4,0.043
67-56-1,50541-93-0,0.0
67-56-1,120-43-4,0.067
67-56-1,38212-30-5,0.029
67-56-1,582-33-2,0.056
67-56-1,4897-50-1,0.0
67-56-1,111-95-5,0.056
67-56-1,7663-77-6,0.0
67-56-1,34698-41-4,0.0
67-56-1,102-50-1,0.036
67-56-1,110-76-9,0.059
67-56-1,3963-62-0,0.0
67-56-1,40807-61-2,0.031
67-56-1,1008-91-9,0.0
67-56-1,121-05-1,0.056
67-56-1,930-62-1,0.053
67-56-1,6436-90-4,0.051
67-56-1,2217-41-6,0.0
67-56-1,6281-42-1,0.0
67-56-1,5438-70-0,0.059
67-56-1,53266-94-7,0.053
67-56-1,2835-78-1,0.029
67-56-1,59020-10-9,0.028
67-56-1,132664-85-8,0.038
67-56-1,34803-68-4,0.0
67-56-1,21043-40-3,0.0
67-56-1,18595-18-1,0.061
67-56-1,21568-87-6,0.0
67-56-1,54962-75-3,0.0
67-56-1,39890-45-4,0.029
67-56-1,55314-16-4,0.053
67-56-1,70261-82-4,0.029
67-56-1,641571-11-1,0.023
67-56-1,53485-07-7,0.031
67-56-1,367-67-9,0.0
67-56-1,83732-75-6,0.036
67-56-1,33953-37-6,0.025
67-56-1,641571-13-3,0.043
67-56-1,26513-20-2,0.033
67-56-1,641569-94-0,0.032
67-56-1,330796-48-0,0.024
67-56-1,41191-92-8,0.056
67-56-1,105316-06-1,0.0
67-56-1,641571-21-3,0.024
67-56-1,133184-80-2,0.0
67-56-1,641571-02-0,0.0
67-56-1,641571-12-2,0.021
67-56-1,641571-08-6,0.043
67-56-1,16085-45-3,0.0
67-56-1,641569-97-3,0.029
67-56-1,641571-03-1,0.045
67-56-1,70339-06-9,0.0
67-56-1,51339-40-3,0.029
67-56-1,641570-82-3,0.0
67-56-1,306937-22-4,0.037
67-56-1,210917-99-0,0.0
67-56-1,641570-89-0,0.023
67-56-1,641571-18-8,0.043
67-56-1,641570-98-1,0.054
67-56-1,156790-79-3,0.032
67-56-1,641571-16-6,0.023
67-56-1,641571-14-4,0.034
67-56-1,641571-06-4,0.023
67-56-1,641570-93-6,0.048
67-56-1,221170-25-8,0.0
67-56-1,112677-70-0,0.0
67-56-1,22227-30-1,0.049
67-56-1,641571-15-5,0.021
67-56-1,630126-03-3,0.023
67-56-1,188260-51-7,0.017
67-56-1,641571-00-8,0.0
67-56-1,641570-65-2,0.067
67-56-1,641571-22-4,0.036
67-56-1,641571-07-5,0.021
67-56-1,641571-05-3,0.02
67-56-1,641571-04-2,0.035
67-56-1,641570-95-8,0.039
67-56-1,641570-70-9,0.02
67-56-1,351324-53-3,0.0
67-56-1,122863-00-7,0.049
67-56-1,112696-09-0,0.029
67-56-1,105298-89-3,0.023
67-56-1,105296-03-5,0.027
67-56-1,641571-23-5,0.021
67-56-1,641571-20-2,0.02
67-56-1,641571-17-7,0.021
67-56-1,641571-09-7,0.034
67-56-1,641571-01-9,0.02
67-56-1,641570-99-2,0.023
67-56-1,641570-97-0,0.022
67-56-1,641570-96-9,0.039
67-56-1,641570-92-5,0.043
67-56-1,641570-91-4,0.02
67-56-1,641570-90-3,0.02
67-56-1,641570-88-9,0.02
67-56-1,641570-87-8,0.023
67-56-1,641570-86-7,0.02
67-56-1,641570-85-6,0.021
67-56-1,641570-83-4,0.022
67-56-1,641570-81-2,0.022
67-56-1,641570-80-1,0.02
67-56-1,641570-79-8,0.021
67-56-1,641570-78-7,0.02
67-56-1,641570-77-6,0.02
67-56-1,641570-76-5,0.02
67-56-1,641570-75-4,0.021
67-56-1,641570-74-3,0.022
67-56-1,641570-72-1,0.022
67-56-1,641570-71-0,0.02
67-56-1,641570-44-7,0.025
67-56-1,641570-12-9,0.026
67-56-1,1348371-83-4,0.024
67-56-1,641571-24-6,0.021
67-56-1,641571-19-9,0.034
67-56-1,641570-94-7,0.036
67-56-1,641570-84-5,0.023
