node1,node2,similarity
67-56-1,100-52-7,0.0
67-56-1,108-24-7,0.182
67-56-1,64-18-6,0.125
67-56-1,56-45-1,0.059
67-56-1,74-88-4,0.2
67-56-1,123-11-5,0.04
67-56-1,100-39-0,0.0
67-56-1,24424-99-5,0.105
67-56-1,75-65-0,0.286
67-56-1,18162-48-6,0.083
67-56-1,108-86-1,0.0
67-56-1,89-98-5,0.0
67-56-1,105-36-2,0.105
67-56-1,79-04-9,0.083
67-56-1,328-50-7,0.053
67-56-1,75-16-1,0.125
67-56-1,75-64-9,0.125
67-56-1,109-94-4,0.067
67-56-1,32315-10-9,0.059
67-56-1,624-92-0,0.143
67-56-1,925-90-6,0.091
67-56-1,98-79-3,0.04
67-56-1,100-53-8,0.0
67-56-1,109-04-6,0.05
67-56-1,874-42-0,0.0
67-56-1,540-51-2,0.1
67-56-1,536-90-3,0.038
67-56-1,446-52-6,0.0
67-56-1,554-84-7,0.036
67-56-1,626-55-1,0.0
67-56-1,348-54-9,0.0
67-56-1,372-19-0,0.0
67-56-1,76513-69-4,0.045
67-56-1,83-38-5,0.0
67-56-1,931-53-3,0.0
67-56-1,672-15-1,0.05
67-56-1,2237-30-1,0.0
67-56-1,5437-45-6,0.03
67-56-1,585-79-5,0.0
67-56-1,3034-53-5,0.0
67-56-1,6334-18-5,0.0
67-56-1,4595-60-2,0.0
67-56-1,372-39-4,0.0
67-56-1,582-33-2,0.056
67-56-1,269410-08-4,0.031
67-56-1,5192-03-0,0.0
67-56-1,3510-66-5,0.043
67-56-1,5315-25-3,0.043
67-56-1,1877-77-6,0.038
67-56-1,618-88-2,0.037
67-56-1,19335-11-6,0.0
67-56-1,4926-28-7,0.042
67-56-1,1535-73-5,0.0
67-56-1,1145-80-8,0.024
67-56-1,55401-97-3,0.042
67-56-1,27374-25-0,0.04
67-56-1,41404-58-4,0.0
67-56-1,3430-17-9,0.042
67-56-1,6967-12-0,0.0
67-56-1,98-18-0,0.0
67-56-1,74844-91-0,0.049
67-56-1,367-30-6,0.0
67-56-1,40473-07-2,0.038
67-56-1,1118-90-7,0.038
67-56-1,6850-65-3,0.056
67-56-1,50488-42-1,0.0
67-56-1,552846-17-0,0.042
67-56-1,4519-40-8,0.0
67-56-1,5369-19-7,0.038
67-56-1,33252-30-1,0.0
67-56-1,2836-04-6,0.038
67-56-1,40473-01-6,0.0
67-56-1,56423-63-3,0.0
67-56-1,6361-23-5,0.0
67-56-1,2304-96-3,0.022
67-56-1,3694-52-8,0.0
67-56-1,139585-70-9,0.0
67-56-1,179321-49-4,0.056
67-56-1,23761-23-1,0.053
67-56-1,189278-27-1,0.0
67-56-1,107496-54-8,0.05
67-56-1,35216-39-8,0.036
67-56-1,105170-27-2,0.037
67-56-1,34259-99-9,0.0
67-56-1,175205-81-9,0.0
67-56-1,791061-00-2,0.0
67-56-1,144100-07-2,0.0
67-56-1,1532-71-4,0.0
67-56-1,24100-18-3,0.036
67-56-1,1448347-49-6,0.009
67-56-1,102308-97-4,0.029
67-56-1,40273-45-8,0.0
67-56-1,210169-05-4,0.0
67-56-1,37045-73-1,0.03
67-56-1,22918-01-0,0.0
67-56-1,5140-72-7,0.0
67-56-1,22236-08-4,0.0
67-56-1,13438-30-7,0.036
67-56-1,35761-26-3,0.023
67-56-1,1448348-25-1,0.011
67-56-1,1448348-22-8,0.024
67-56-1,1448348-21-7,0.02
67-56-1,1448348-20-6,0.049
67-56-1,1448348-19-3,0.017
67-56-1,1448348-18-2,0.021
67-56-1,1448348-14-8,0.017
67-56-1,1448348-13-7,0.021
67-56-1,1448348-12-6,0.049
67-56-1,1448348-11-5,0.044
67-56-1,1448348-10-4,0.037
67-56-1,1448348-09-1,0.051
67-56-1,1448348-08-0,0.01
67-56-1,1448348-07-9,0.037
67-56-1,1448348-05-7,0.012
67-56-1,1448348-04-6,0.012
67-56-1,1448348-03-5,0.012
67-56-1,1448348-02-4,0.045
67-56-1,1448348-01-3,0.048
67-56-1,1448348-00-2,0.03
67-56-1,1448347-99-6,0.036
67-56-1,1448347-96-3,0.069
67-56-1,1448347-90-7,0.021
67-56-1,1448347-89-4,0.008
67-56-1,1448347-88-3,0.009
67-56-1,1448347-85-0,0.01
67-56-1,1448347-84-9,0.01
67-56-1,1448347-83-8,0.01
67-56-1,1448347-82-7,0.017
67-56-1,1448347-81-6,0.01
67-56-1,1448347-80-5,0.01
67-56-1,1448347-79-2,0.009
67-56-1,1448347-77-0,0.009
67-56-1,1448347-76-9,0.008
67-56-1,1448347-75-8,0.009
67-56-1,1448347-74-7,0.01
67-56-1,1448347-73-6,0.008
67-56-1,1448347-72-5,0.01
67-56-1,1448347-71-4,0.01
67-56-1,1448347-70-3,0.009
67-56-1,1448347-69-0,0.01
67-56-1,1448347-68-9,0.009
67-56-1,1448347-67-8,0.009
67-56-1,1448347-66-7,0.009
67-56-1,1448347-65-6,0.009
67-56-1,1448347-64-5,0.01
67-56-1,1448347-63-4,0.018
67-56-1,1448347-62-3,0.009
67-56-1,1448347-61-2,0.009
67-56-1,1448347-60-1,0.01
67-56-1,1448347-59-8,0.009
67-56-1,1448347-58-7,0.009
67-56-1,1448347-57-6,0.009
67-56-1,1448347-56-5,0.019
67-56-1,1448347-55-4,0.009
67-56-1,1448347-54-3,0.009
67-56-1,1448347-53-2,0.009
67-56-1,1448347-52-1,0.018
67-56-1,1448347-51-0,0.009
67-56-1,1448347-50-9,0.009
67-56-1,1448347-48-5,0.009
67-56-1,1448347-47-4,0.009
67-56-1,1448347-46-3,0.009
67-56-1,1448347-45-2,0.009
67-56-1,1448347-42-9,0.009
67-56-1,1448347-41-8,0.009
67-56-1,1448347-40-7,0.017
67-56-1,1448347-39-4,0.009
67-56-1,1448347-38-3,0.009
67-56-1,1448347-37-2,0.018
67-56-1,1448347-36-1,0.018
67-56-1,1448347-35-0,0.01
67-56-1,1448347-34-9,0.01
67-56-1,1448347-33-8,0.019
67-56-1,1448347-32-7,0.009
67-56-1,1448347-31-6,0.018
67-56-1,1448347-29-2,0.018
67-56-1,1448347-28-1,0.018
67-56-1,1448347-27-0,0.018
67-56-1,1448347-26-9,0.009
67-56-1,1448347-25-8,0.01
67-56-1,1448347-24-7,0.009
67-56-1,1448347-23-6,0.009
67-56-1,1448347-22-5,0.018
67-56-1,1448347-21-4,0.01
67-56-1,1448347-20-3,0.009
67-56-1,1448347-19-0,0.01
67-56-1,1448347-18-9,0.017
67-56-1,1448347-17-8,0.018
67-56-1,1448347-16-7,0.009
67-56-1,1448347-15-6,0.009
67-56-1,1448347-14-5,0.008
67-56-1,1448347-13-4,0.008
67-56-1,1448347-12-3,0.009
67-56-1,1448347-11-2,0.009
67-56-1,1448347-10-1,0.01
67-56-1,1448347-09-8,0.009
67-56-1,1448347-07-6,0.009
67-56-1,1448347-06-5,0.009
67-56-1,1448347-05-4,0.009
67-56-1,1448347-04-3,0.009
67-56-1,1448347-03-2,0.009
67-56-1,1448347-02-1,0.009
67-56-1,1448347-01-0,0.018
67-56-1,1448347-00-9,0.01
67-56-1,1448346-99-3,0.009
67-56-1,1448346-98-2,0.009
67-56-1,1448346-97-1,0.009
67-56-1,1448346-96-0,0.009
67-56-1,1448346-95-9,0.009
67-56-1,1448346-94-8,0.009
67-56-1,1448346-93-7,0.009
67-56-1,1448346-92-6,0.009
67-56-1,1448346-91-5,0.009
67-56-1,1448346-90-4,0.009
67-56-1,1448346-89-1,0.01
67-56-1,1448346-88-0,0.01
67-56-1,1448346-87-9,0.01
67-56-1,1448346-86-8,0.01
67-56-1,1448346-85-7,0.009
67-56-1,1448346-84-6,0.009
67-56-1,1448346-83-5,0.017
67-56-1,1448346-82-4,0.018
67-56-1,1448346-81-3,0.018
67-56-1,1448346-80-2,0.017
67-56-1,1448346-79-9,0.009
67-56-1,1448346-78-8,0.009
67-56-1,1448346-77-7,0.017
67-56-1,1448346-76-6,0.017
67-56-1,1448346-75-5,0.018
67-56-1,1448346-74-4,0.018
67-56-1,1448346-73-3,0.019
67-56-1,1448346-72-2,0.009
67-56-1,1448346-71-1,0.009
67-56-1,1448346-70-0,0.017
67-56-1,1448346-69-7,0.017
67-56-1,1448346-68-6,0.018
67-56-1,1448346-67-5,0.018
67-56-1,1448346-66-4,0.017
67-56-1,1448346-65-3,0.017
67-56-1,1448346-64-2,0.018
67-56-1,1448346-62-0,0.009
67-56-1,1448346-61-9,0.017
67-56-1,1448346-60-8,0.01
67-56-1,1448346-59-5,0.01
67-56-1,1448346-58-4,0.01
67-56-1,1448346-57-3,0.009
67-56-1,1448346-56-2,0.009
67-56-1,1448346-55-1,0.009
67-56-1,1448346-54-0,0.01
