node1,node2,similarity
107-21-1,100-51-6,0.158
107-21-1,100-39-0,0.048
107-21-1,75-65-0,0.1
107-21-1,100-02-7,0.038
107-21-1,1461-22-9,0.048
107-21-1,231277-92-2,0.009
107-21-1,503-38-8,0.056
107-21-1,139-59-3,0.0
107-21-1,4394-85-8,0.0
107-21-1,5326-23-8,0.033
107-21-1,6373-46-2,0.027
107-21-1,18542-42-2,0.062
107-21-1,5401-94-5,0.024
107-21-1,446-32-2,0.032
107-21-1,49773-20-8,0.056
107-21-1,202197-26-0,0.02
107-21-1,400-74-8,0.0
107-21-1,7019-01-4,0.0
107-21-1,491-11-2,0.03
107-21-1,38267-96-8,0.0
107-21-1,98556-31-1,0.0
107-21-1,79110-05-7,0.026
107-21-1,231278-20-9,0.013
107-21-1,59404-86-3,0.023
107-21-1,231278-84-5,0.011
107-21-1,5198-80-1,0.0
107-21-1,20420-43-3,0.031
107-21-1,202197-31-7,0.018
107-21-1,171178-45-3,0.024
107-21-1,23856-21-5,0.02
107-21-1,202197-25-9,0.023
107-21-1,22200-50-6,0.0
107-21-1,168268-00-6,0.023
107-21-1,171178-48-6,0.0
107-21-1,23856-20-4,0.018
107-21-1,118505-28-5,0.022
107-21-1,53234-85-8,0.026
107-21-1,90004-09-4,0.0
107-21-1,202197-27-1,0.022
107-21-1,57181-83-6,0.049
107-21-1,202197-33-9,0.019
107-21-1,202197-78-2,0.0
107-21-1,70338-47-5,0.021
107-21-1,231278-79-8,0.012
107-21-1,187668-23-1,0.018
107-21-1,173978-98-8,0.026
107-21-1,231278-66-3,0.019
107-21-1,231278-08-3,0.029
107-21-1,179246-45-8,0.042
107-21-1,39062-69-6,0.019
107-21-1,697299-82-4,0.011
107-21-1,202197-77-1,0.0
107-21-1,130493-24-2,0.024
107-21-1,231277-91-1,0.01
107-21-1,202197-34-0,0.019
107-21-1,202197-32-8,0.019
107-21-1,124434-65-7,0.02
107-21-1,231278-67-4,0.021
107-21-1,231278-65-2,0.021
107-21-1,231278-14-1,0.024
107-21-1,231278-05-0,0.01
107-21-1,202197-30-6,0.018
107-21-1,179248-66-9,0.015
107-21-1,93631-55-1,0.023
107-21-1,231278-00-5,0.01
107-21-1,202198-16-1,0.015
107-21-1,202197-35-1,0.02
107-21-1,189680-73-7,0.014
107-21-1,231278-83-4,0.011
107-21-1,231278-12-9,0.0
107-21-1,231277-80-8,0.009
107-21-1,202197-37-3,0.019
107-21-1,202197-36-2,0.017
107-21-1,202197-29-3,0.019
107-21-1,202197-28-2,0.018
107-21-1,202196-46-1,0.012
107-21-1,189680-34-0,0.012
107-21-1,231278-26-5,0.013
107-21-1,231278-25-4,0.014
107-21-1,231278-22-1,0.013
107-21-1,231278-10-7,0.0
107-21-1,231277-89-7,0.009
107-21-1,231277-87-5,0.009
107-21-1,231277-83-1,0.01
107-21-1,231277-82-0,0.01
107-21-1,231277-74-0,0.01
107-21-1,230955-62-1,0.014
107-21-1,202271-32-7,0.011
107-21-1,202197-39-5,0.013
107-21-1,202196-42-7,0.011
107-21-1,307327-30-6,0.012
107-21-1,231278-82-3,0.011
107-21-1,231278-74-3,0.05
107-21-1,231278-52-7,0.011
107-21-1,231278-51-6,0.011
107-21-1,231278-50-5,0.011
107-21-1,231278-33-4,0.011
107-21-1,231278-32-3,0.011
107-21-1,231278-28-7,0.011
107-21-1,231278-27-6,0.013
107-21-1,231278-24-3,0.014
107-21-1,231278-23-2,0.014
107-21-1,231278-21-0,0.013
107-21-1,231278-13-0,0.02
107-21-1,231278-07-2,0.01
107-21-1,231277-72-8,0.009
107-21-1,202272-75-1,0.011
107-21-1,202272-74-0,0.01
107-21-1,202198-17-2,0.013
107-21-1,202197-19-1,0.022
107-21-1,202196-53-0,0.01
107-21-1,189680-75-9,0.0
107-21-1,320337-47-1,0.011
107-21-1,231278-77-6,0.011
107-21-1,231278-75-4,0.011
107-21-1,231278-72-1,0.011
107-21-1,231278-60-7,0.012
107-21-1,231278-59-4,0.011
107-21-1,231278-56-1,0.0
107-21-1,231278-54-9,0.0
107-21-1,231278-53-8,0.01
107-21-1,231278-44-7,0.01
107-21-1,231278-43-6,0.0
107-21-1,231278-38-9,0.0
107-21-1,231278-37-8,0.0
107-21-1,231278-35-6,0.0
107-21-1,231278-34-5,0.0
107-21-1,231278-31-2,0.01
107-21-1,231278-30-1,0.0
107-21-1,231278-29-8,0.01
107-21-1,231278-16-3,0.0
107-21-1,231278-09-4,0.024
107-21-1,231278-04-9,0.01
107-21-1,231278-02-7,0.01
107-21-1,231277-98-8,0.009
107-21-1,231277-95-5,0.011
107-21-1,231277-93-3,0.01
107-21-1,231277-90-0,0.01
107-21-1,231277-88-6,0.009
107-21-1,231277-84-2,0.009
107-21-1,231277-81-9,0.01
107-21-1,231277-79-5,0.009
107-21-1,230955-61-0,0.014
107-21-1,1847444-73-8,0.01
107-21-1,1847444-45-4,0.011
107-21-1,1847444-14-7,0.011
107-21-1,1847444-09-0,0.011
107-21-1,1847444-07-8,0.011
107-21-1,1847443-79-1,0.011
107-21-1,1847443-62-2,0.011
107-21-1,1847443-25-7,0.01
107-21-1,1847443-23-5,0.011
107-21-1,1847443-16-6,0.011
107-21-1,1847442-23-2,0.011
107-21-1,1847441-75-1,0.011
107-21-1,1847441-74-0,0.011
107-21-1,1847441-61-5,0.011
107-21-1,1847441-59-1,0.011
107-21-1,1847441-53-5,0.011
107-21-1,1847441-52-4,0.01
107-21-1,1847441-17-1,0.011
107-21-1,1847441-16-0,0.011
107-21-1,1847441-09-1,0.011
107-21-1,1847439-92-2,0.013
107-21-1,1847439-70-6,0.014
107-21-1,1847439-42-2,0.013
107-21-1,1847439-33-1,0.013
107-21-1,1847439-31-9,0.014
107-21-1,231278-86-7,0.012
107-21-1,231278-63-0,0.0
107-21-1,231278-62-9,0.01
107-21-1,231278-61-8,0.013
107-21-1,231278-58-3,0.011
107-21-1,231278-49-2,0.01
107-21-1,231278-48-1,0.011
107-21-1,231278-47-0,0.011
107-21-1,231278-06-1,0.01
107-21-1,231278-03-8,0.011
107-21-1,231278-01-6,0.01
107-21-1,231277-99-9,0.01
107-21-1,231277-97-7,0.01
107-21-1,231277-96-6,0.01
107-21-1,231277-94-4,0.01
107-21-1,231277-78-4,0.01
107-21-1,231277-77-3,0.01
107-21-1,231277-76-2,0.01
107-21-1,231277-75-1,0.009
107-21-1,3473-63-0,0.059
107-21-1,20570-96-1,0.037
107-21-1,51388-20-6,0.026
107-21-1,179246-99-2,0.014
107-21-1,179246-97-0,0.015
107-21-1,202273-09-4,0.013
107-21-1,202197-80-6,0.012
107-21-1,202197-79-3,0.013
107-21-1,202197-40-8,0.013
107-21-1,231278-46-9,0.011
107-21-1,231278-40-3,0.011
107-21-1,231278-36-7,0.011
107-21-1,231278-17-4,0.014
107-21-1,231278-11-8,0.0
107-21-1,202198-15-0,0.02
107-21-1,202197-83-9,0.011
107-21-1,231278-55-0,0.0
107-21-1,231278-45-8,0.01
107-21-1,231278-42-5,0.0
107-21-1,231278-41-4,0.01
107-21-1,231278-39-0,0.0
107-21-1,231278-19-6,0.0
107-21-1,231278-18-5,0.012
107-21-1,231278-15-2,0.01
107-21-1,231278-57-2,0.01
107-21-1,231277-86-4,0.011
107-21-1,231277-85-3,0.011
107-21-1,231277-73-9,0.01
107-21-1,231277-71-7,0.01
107-21-1,231277-70-6,0.01
107-21-1,231277-69-3,0.009
107-21-1,231277-68-2,0.01
