node1,node2,similarity
50-99-7,25322-68-3,0.12
50-99-7,7440-06-4,0.0
50-99-7,57-88-5,0.045
50-99-7,23214-92-8,0.035
50-99-7,107-15-3,0.037
50-99-7,50-18-0,0.057
50-99-7,59-30-3,0.042
50-99-7,59-05-2,0.052
50-99-7,33069-62-4,0.029
50-99-7,57-22-7,0.033
50-99-7,53123-88-9,0.031
50-99-7,33419-42-0,0.035
50-99-7,108-30-5,0.029
50-99-7,114977-28-5,0.029
50-99-7,13598-36-2,0.074
50-99-7,865-21-4,0.019
50-99-7,7689-03-4,0.043
50-99-7,95058-81-4,0.075
50-99-7,20830-81-3,0.027
50-99-7,1122-58-3,0.0
50-99-7,289-95-2,0.0
50-99-7,120-73-0,0.0
50-99-7,58-05-9,0.059
50-99-7,50-44-2,0.0
50-99-7,179324-69-7,0.06
50-99-7,97682-44-5,0.04
50-99-7,65271-80-9,0.082
50-99-7,154361-50-9,0.034
50-99-7,63-89-8,0.061
50-99-7,2644-64-6,0.061
50-99-7,85622-93-1,0.032
50-99-7,3778-73-2,0.033
50-99-7,55-98-1,0.051
50-99-7,151-56-4,0.0
50-99-7,183321-74-6,0.034
50-99-7,154447-36-6,0.039
50-99-7,71486-22-1,0.019
50-99-7,154-42-7,0.018
50-99-7,19545-26-7,0.03
50-99-7,231277-92-2,0.033
50-99-7,149647-78-9,0.052
50-99-7,57260-73-8,0.064
50-99-7,18656-38-7,0.061
50-99-7,29767-20-2,0.024
50-99-7,54-62-6,0.054
50-99-7,2462-63-7,0.069
50-99-7,4539-70-2,0.061
50-99-7,68737-67-7,0.066
50-99-7,26662-91-9,0.066
50-99-7,4537-77-3,0.105
50-99-7,2197-63-9,0.085
50-99-7,114084-78-5,0.056
50-99-7,35846-53-8,0.03
50-99-7,5681-36-7,0.064
50-99-7,4537-76-2,0.064
50-99-7,2053-29-4,0.0
50-99-7,13010-20-3,0.057
50-99-7,915019-65-7,0.009
50-99-7,7144-08-3,0.052
50-99-7,870281-82-6,0.038
50-99-7,892144-24-0,0.067
50-99-7,10015-88-0,0.069
50-99-7,957054-30-7,0.037
50-99-7,944396-07-0,0.0
50-99-7,157716-52-4,0.029
50-99-7,51724-48-2,0.0
50-99-7,82855-09-2,0.081
50-99-7,371935-74-9,0.022
50-99-7,1201438-56-3,0.02
50-99-7,80576-83-6,0.051
50-99-7,1032568-63-0,0.027
50-99-7,124689-65-2,0.031
50-99-7,475110-96-4,0.027
50-99-7,934493-76-2,0.026
50-99-7,2608-24-4,0.059
50-99-7,502632-66-8,0.037
50-99-7,371242-69-2,0.031
50-99-7,13425-98-4,0.067
50-99-7,1184942-85-5,0.031
50-99-7,123628-75-1,0.057
50-99-7,2954-45-2,0.062
50-99-7,1339928-25-4,0.036
50-99-7,958852-01-2,0.05
50-99-7,1532533-67-7,0.042
50-99-7,914913-88-5,0.07
50-99-7,677297-51-7,0.044
50-99-7,56660-21-0,0.024
50-99-7,1510-20-9,0.051
50-99-7,1268454-23-4,0.021
50-99-7,1032754-81-6,0.051
50-99-7,891781-87-6,0.054
50-99-7,1239481-01-6,0.052
50-99-7,1344104-61-5,0.03
50-99-7,1319209-76-1,0.045
50-99-7,1974340-06-1,0.028
50-99-7,1513885-74-9,0.047
50-99-7,1513885-75-0,0.036
50-99-7,132172-61-3,0.08
25322-68-3,7440-06-4,0.0
25322-68-3,57-88-5,0.027
25322-68-3,23214-92-8,0.031
25322-68-3,107-15-3,0.111
25322-68-3,50-18-0,0.027
25322-68-3,59-30-3,0.025
25322-68-3,59-05-2,0.025
25322-68-3,33069-62-4,0.008
25322-68-3,57-22-7,0.015
25322-68-3,53123-88-9,0.014
25322-68-3,33419-42-0,0.01
25322-68-3,108-30-5,0.0
25322-68-3,114977-28-5,0.008
25322-68-3,13598-36-2,0.1
25322-68-3,865-21-4,0.014
25322-68-3,7689-03-4,0.026
25322-68-3,95058-81-4,0.059
25322-68-3,20830-81-3,0.01
25322-68-3,1122-58-3,0.0
25322-68-3,289-95-2,0.0
25322-68-3,120-73-0,0.0
25322-68-3,58-05-9,0.023
25322-68-3,50-44-2,0.0
25322-68-3,179324-69-7,0.029
25322-68-3,97682-44-5,0.018
25322-68-3,65271-80-9,0.091
25322-68-3,154361-50-9,0.028
25322-68-3,63-89-8,0.03
25322-68-3,2644-64-6,0.03
25322-68-3,85622-93-1,0.022
25322-68-3,3778-73-2,0.023
25322-68-3,55-98-1,0.045
25322-68-3,151-56-4,0.0
25322-68-3,183321-74-6,0.014
25322-68-3,154447-36-6,0.016
25322-68-3,71486-22-1,0.014
25322-68-3,154-42-7,0.0
25322-68-3,19545-26-7,0.024
25322-68-3,231277-92-2,0.009
25322-68-3,149647-78-9,0.049
25322-68-3,57260-73-8,0.067
25322-68-3,18656-38-7,0.03
25322-68-3,29767-20-2,0.009
25322-68-3,54-62-6,0.026
25322-68-3,2462-63-7,0.027
25322-68-3,4539-70-2,0.03
25322-68-3,68737-67-7,0.026
25322-68-3,26662-91-9,0.026
25322-68-3,4537-77-3,0.048
25322-68-3,2197-63-9,0.1
25322-68-3,114084-78-5,0.054
25322-68-3,35846-53-8,0.009
25322-68-3,5681-36-7,0.032
25322-68-3,4537-76-2,0.032
25322-68-3,2053-29-4,0.0
25322-68-3,13010-20-3,0.056
25322-68-3,915019-65-7,0.0
25322-68-3,7144-08-3,0.024
25322-68-3,870281-82-6,0.011
25322-68-3,892144-24-0,0.054
25322-68-3,10015-88-0,0.027
25322-68-3,957054-30-7,0.011
25322-68-3,944396-07-0,0.0
25322-68-3,157716-52-4,0.019
25322-68-3,51724-48-2,0.0
25322-68-3,82855-09-2,0.043
25322-68-3,371935-74-9,0.013
25322-68-3,1201438-56-3,0.012
25322-68-3,80576-83-6,0.024
25322-68-3,1032568-63-0,0.021
25322-68-3,124689-65-2,0.009
25322-68-3,475110-96-4,0.0
25322-68-3,934493-76-2,0.016
25322-68-3,2608-24-4,0.059
25322-68-3,502632-66-8,0.022
25322-68-3,371242-69-2,0.012
25322-68-3,13425-98-4,0.034
25322-68-3,1184942-85-5,0.018
25322-68-3,123628-75-1,0.022
25322-68-3,2954-45-2,0.031
25322-68-3,1339928-25-4,0.021
25322-68-3,958852-01-2,0.015
25322-68-3,1532533-67-7,0.0
25322-68-3,914913-88-5,0.028
25322-68-3,677297-51-7,0.019
25322-68-3,56660-21-0,0.015
25322-68-3,1510-20-9,0.024
25322-68-3,1268454-23-4,0.013
25322-68-3,1032754-81-6,0.012
25322-68-3,891781-87-6,0.051
25322-68-3,1239481-01-6,0.02
25322-68-3,1344104-61-5,0.013
25322-68-3,1319209-76-1,0.021
25322-68-3,1974340-06-1,0.01
25322-68-3,1513885-74-9,0.022
