node1,node2,similarity
111-42-2,51-35-4,0.03
111-42-2,104-55-2,0.029
111-42-2,179324-69-7,0.04
111-42-2,66-77-3,0.024
111-42-2,2627-86-3,0.0
111-42-2,2033-24-1,0.0
111-42-2,540-88-5,0.04
111-42-2,5437-45-6,0.075
111-42-2,1068-90-2,0.091
111-42-2,4780-79-4,0.079
111-42-2,15159-40-7,0.031
111-42-2,2018-66-8,0.057
111-42-2,18704-37-5,0.0
111-42-2,2130-96-3,0.045
111-42-2,17016-83-0,0.0
111-42-2,486-73-7,0.022
111-42-2,16652-64-5,0.037
111-42-2,13504-85-3,0.053
111-42-2,67123-97-1,0.022
111-42-2,64187-48-0,0.066
111-42-2,3243-42-3,0.043
111-42-2,55447-00-2,0.048
111-42-2,179324-22-2,0.043
111-42-2,41034-52-0,0.02
111-42-2,33099-08-0,0.036
111-42-2,13979-14-1,0.035
111-42-2,151838-62-9,0.018
111-42-2,179679-47-1,0.035
111-42-2,36818-50-5,0.036
111-42-2,119434-65-0,0.029
111-42-2,99124-56-8,0.041
111-42-2,166591-85-1,0.016
111-42-2,179324-59-5,0.036
111-42-2,179324-79-9,0.046
111-42-2,179324-08-4,0.044
111-42-2,119358-08-6,0.028
111-42-2,3005-63-8,0.033
111-42-2,51212-36-3,0.033
111-42-2,179324-70-0,0.042
111-42-2,179679-46-0,0.035
111-42-2,179324-76-6,0.045
111-42-2,179324-80-2,0.043
111-42-2,179324-78-8,0.044
111-42-2,179324-64-2,0.055
111-42-2,179324-50-6,0.032
111-42-2,179324-39-1,0.032
111-42-2,179324-09-5,0.034
111-42-2,179324-07-3,0.046
111-42-2,179324-52-8,0.056
111-42-2,179324-51-7,0.038
111-42-2,179324-49-3,0.041
111-42-2,161453-37-8,0.045
111-42-2,179324-88-0,0.028
111-42-2,179324-85-7,0.039
111-42-2,179324-74-4,0.034
111-42-2,179324-73-3,0.039
111-42-2,179324-72-2,0.042
111-42-2,179324-61-9,0.036
111-42-2,179324-60-8,0.038
111-42-2,179324-53-9,0.037
111-42-2,179324-47-1,0.04
111-42-2,179324-44-8,0.041
111-42-2,179324-42-6,0.033
111-42-2,179324-41-5,0.033
111-42-2,179324-37-9,0.067
111-42-2,179324-36-8,0.034
111-42-2,179324-35-7,0.062
111-42-2,179324-34-6,0.061
111-42-2,179324-32-4,0.042
111-42-2,179324-25-5,0.035
111-42-2,179324-24-4,0.026
111-42-2,179324-23-3,0.032
111-42-2,179324-16-4,0.031
111-42-2,159749-39-0,0.058
111-42-2,143979-44-6,0.035
111-42-2,126401-44-3,0.022
111-42-2,123807-03-4,0.04
111-42-2,123807-01-2,0.034
111-42-2,179325-26-9,0.04
111-42-2,179325-24-7,0.035
111-42-2,179324-83-5,0.042
111-42-2,179324-82-4,0.042
111-42-2,179324-66-4,0.035
111-42-2,179324-62-0,0.034
111-42-2,179324-58-4,0.039
111-42-2,179324-48-2,0.035
111-42-2,179324-46-0,0.035
111-42-2,179324-43-7,0.051
111-42-2,179324-38-0,0.039
111-42-2,179324-31-3,0.034
111-42-2,179324-28-8,0.037
111-42-2,179324-21-1,0.03
111-42-2,179324-15-3,0.034
111-42-2,179324-10-8,0.045
111-42-2,138296-08-9,0.025
111-42-2,126401-42-1,0.032
111-42-2,90084-32-5,0.086
111-42-2,2644-85-1,0.035
111-42-2,179601-46-8,0.059
111-42-2,179325-25-8,0.039
111-42-2,179324-97-1,0.043
111-42-2,179324-96-0,0.044
111-42-2,179324-57-3,0.034
111-42-2,179324-45-9,0.038
111-42-2,179324-40-4,0.035
111-42-2,179324-33-5,0.035
111-42-2,179324-30-2,0.05
111-42-2,179324-17-5,0.035
111-42-2,170157-65-0,0.047
111-42-2,179601-45-7,0.034
111-42-2,179601-42-4,0.03
111-42-2,179325-23-6,0.034
111-42-2,179325-12-3,0.027
111-42-2,179325-11-2,0.026
