node1,node2,similarity
64-19-7,67-64-1,0.625
64-19-7,108-24-7,0.417
64-19-7,73183-34-3,0.05
64-19-7,75-31-0,0.083
64-19-7,765-30-0,0.0
64-19-7,1003-03-8,0.0
64-19-7,78-39-7,0.05
64-19-7,2516-47-4,0.0
64-19-7,5308-25-8,0.04
64-19-7,108-36-1,0.0
64-19-7,109384-19-2,0.118
64-19-7,1072-97-5,0.0
64-19-7,3934-20-1,0.0
64-19-7,73874-95-0,0.108
64-19-7,286961-14-6,0.078
64-19-7,4318-42-7,0.04
64-19-7,2927-71-1,0.0
64-19-7,1231929-97-7,0.022
64-19-7,21717-96-4,0.0
64-19-7,149806-06-4,0.032
64-19-7,20511-12-0,0.0
64-19-7,39856-50-3,0.03
64-19-7,159635-49-1,0.114
64-19-7,67567-26-4,0.0
64-19-7,42753-71-9,0.033
64-19-7,1118-69-0,0.312
64-19-7,51686-78-3,0.03
64-19-7,134464-79-2,0.147
64-19-7,779345-37-8,0.03
64-19-7,1180132-17-5,0.023
64-19-7,1198408-35-3,0.075
64-19-7,1231930-42-9,0.016
64-19-7,1231930-37-2,0.018
64-19-7,25291-41-2,0.208
64-19-7,29512-07-0,0.263
64-19-7,1231930-22-5,0.068
64-19-7,1231930-33-8,0.022
64-19-7,1178566-52-3,0.074
64-19-7,1231930-25-8,0.023
64-19-7,1160923-86-3,0.074
64-19-7,1231930-29-2,0.075
64-19-7,61771-97-9,0.208
64-19-7,1231930-57-6,0.022
64-19-7,1231930-17-8,0.071
64-19-7,1231930-34-9,0.02
64-19-7,1231930-48-5,0.04
64-19-7,1231930-47-4,0.016
64-19-7,1231930-41-8,0.016
64-19-7,1231930-38-3,0.017
64-19-7,1231930-27-0,0.0
64-19-7,1231930-26-9,0.02
64-19-7,1231930-13-4,0.057
64-19-7,1231930-78-1,0.068
64-19-7,1231930-19-0,0.071
64-19-7,1231930-43-0,0.016
64-19-7,1231930-40-7,0.016
64-19-7,1231930-36-1,0.019
64-19-7,1231930-30-5,0.07
64-19-7,1231930-24-7,0.068
64-19-7,1231930-23-6,0.07
64-19-7,1231930-18-9,0.067
64-19-7,1231930-98-5,0.01
64-19-7,1231930-96-3,0.021
64-19-7,1231930-45-2,0.014
64-19-7,1231930-44-1,0.014
64-19-7,1231930-39-4,0.017
64-19-7,1231930-32-7,0.064
64-19-7,1231930-28-1,0.02
64-19-7,1231930-21-4,0.073
64-19-7,1231930-20-3,0.069
64-19-7,1231930-11-2,0.01
64-19-7,1231930-06-5,0.021
64-19-7,1231930-05-4,0.021
64-19-7,1231930-04-3,0.021
64-19-7,1231930-03-2,0.021
64-19-7,1231930-02-1,0.021
64-19-7,1231930-01-0,0.021
64-19-7,1231930-00-9,0.021
64-19-7,1231929-99-9,0.021
64-19-7,1231929-98-8,0.022
64-19-7,1231930-76-9,0.066
64-19-7,1231930-73-6,0.01
64-19-7,1231930-71-4,0.01
64-19-7,1231930-69-0,0.022
64-19-7,1231930-67-8,0.021
64-19-7,1231930-65-6,0.022
64-19-7,1231930-63-4,0.022
64-19-7,1231930-61-2,0.021
64-19-7,1231930-59-8,0.022
64-19-7,1231930-56-5,0.038
64-19-7,1231930-55-4,0.037
64-19-7,1231930-54-3,0.04
64-19-7,1231930-53-2,0.039
64-19-7,1231930-52-1,0.04
64-19-7,1231930-51-0,0.038
64-19-7,1231930-50-9,0.038
64-19-7,1231930-49-6,0.039
64-19-7,1231930-46-3,0.015
64-19-7,1231930-35-0,0.019
64-19-7,1231930-31-6,0.064
64-19-7,1231930-16-7,0.071
64-19-7,1231930-15-6,0.022
64-19-7,1231930-14-5,0.04
64-19-7,1231930-12-3,0.071
64-19-7,1231930-09-8,0.021
64-19-7,1231930-08-7,0.02
64-19-7,1231930-07-6,0.022
64-19-7,1231930-82-7,0.032
64-19-7,1231931-00-2,0.029
64-19-7,1231930-99-6,0.028
64-19-7,1231930-97-4,0.03
64-19-7,1231930-95-2,0.03
64-19-7,1231930-94-1,0.031
64-19-7,1231930-93-0,0.03
64-19-7,1231930-92-9,0.031
64-19-7,1231930-91-8,0.031
64-19-7,1231930-90-7,0.03
64-19-7,1231930-89-4,0.031
64-19-7,1231930-88-3,0.031
64-19-7,1231930-87-2,0.032
64-19-7,1231930-86-1,0.029
64-19-7,1231930-85-0,0.032
67-64-1,108-24-7,0.455
67-64-1,73183-34-3,0.053
67-64-1,75-31-0,0.091
67-64-1,765-30-0,0.0
67-64-1,1003-03-8,0.0
67-64-1,78-39-7,0.053
67-64-1,2516-47-4,0.0
67-64-1,5308-25-8,0.042
67-64-1,108-36-1,0.0
67-64-1,109384-19-2,0.121
67-64-1,1072-97-5,0.0
67-64-1,3934-20-1,0.0
67-64-1,73874-95-0,0.111
67-64-1,286961-14-6,0.08
67-64-1,4318-42-7,0.042
67-64-1,2927-71-1,0.0
67-64-1,1231929-97-7,0.022
67-64-1,21717-96-4,0.0
67-64-1,149806-06-4,0.033
67-64-1,20511-12-0,0.0
67-64-1,39856-50-3,0.031
67-64-1,159635-49-1,0.118
67-64-1,67567-26-4,0.0
67-64-1,42753-71-9,0.034
67-64-1,1118-69-0,0.333
67-64-1,51686-78-3,0.031
67-64-1,134464-79-2,0.152
67-64-1,779345-37-8,0.031
67-64-1,1180132-17-5,0.023
67-64-1,1198408-35-3,0.077
67-64-1,1231930-42-9,0.017
67-64-1,1231930-37-2,0.018
67-64-1,25291-41-2,0.217
67-64-1,29512-07-0,0.278
67-64-1,1231930-22-5,0.069
67-64-1,1231930-33-8,0.022
67-64-1,1178566-52-3,0.075
67-64-1,1231930-25-8,0.023
67-64-1,1160923-86-3,0.075
67-64-1,1231930-29-2,0.077
67-64-1,61771-97-9,0.217
67-64-1,1231930-57-6,0.022
67-64-1,1231930-17-8,0.073
67-64-1,1231930-34-9,0.021
67-64-1,1231930-48-5,0.04
67-64-1,1231930-47-4,0.017
67-64-1,1231930-41-8,0.016
67-64-1,1231930-38-3,0.017
67-64-1,1231930-27-0,0.0
67-64-1,1231930-26-9,0.021
67-64-1,1231930-13-4,0.059
67-64-1,1231930-78-1,0.069
67-64-1,1231930-19-0,0.073
67-64-1,1231930-43-0,0.016
67-64-1,1231930-40-7,0.016
67-64-1,1231930-36-1,0.019
67-64-1,1231930-30-5,0.071
67-64-1,1231930-24-7,0.069
67-64-1,1231930-23-6,0.071
67-64-1,1231930-18-9,0.068
67-64-1,1231930-98-5,0.01
67-64-1,1231930-96-3,0.021
67-64-1,1231930-45-2,0.015
67-64-1,1231930-44-1,0.015
67-64-1,1231930-39-4,0.017
67-64-1,1231930-32-7,0.065
67-64-1,1231930-28-1,0.02
67-64-1,1231930-21-4,0.074
67-64-1,1231930-20-3,0.07
67-64-1,1231930-11-2,0.01
67-64-1,1231930-06-5,0.022
67-64-1,1231930-05-4,0.021
67-64-1,1231930-04-3,0.022
67-64-1,1231930-03-2,0.021
67-64-1,1231930-02-1,0.022
67-64-1,1231930-01-0,0.021
67-64-1,1231930-00-9,0.022
67-64-1,1231929-99-9,0.022
67-64-1,1231929-98-8,0.022
67-64-1,1231930-76-9,0.067
67-64-1,1231930-73-6,0.011
67-64-1,1231930-71-4,0.01
67-64-1,1231930-69-0,0.022
67-64-1,1231930-67-8,0.022
67-64-1,1231930-65-6,0.022
67-64-1,1231930-63-4,0.022
67-64-1,1231930-61-2,0.022
67-64-1,1231930-59-8,0.022
67-64-1,1231930-56-5,0.038
67-64-1,1231930-55-4,0.037
67-64-1,1231930-54-3,0.04
67-64-1,1231930-53-2,0.039
67-64-1,1231930-52-1,0.04
67-64-1,1231930-51-0,0.039
67-64-1,1231930-50-9,0.039
67-64-1,1231930-49-6,0.04
67-64-1,1231930-46-3,0.015
67-64-1,1231930-35-0,0.019
67-64-1,1231930-31-6,0.065
67-64-1,1231930-16-7,0.073
67-64-1,1231930-15-6,0.023
67-64-1,1231930-14-5,0.041
67-64-1,1231930-12-3,0.073
67-64-1,1231930-09-8,0.022
67-64-1,1231930-08-7,0.021
67-64-1,1231930-07-6,0.022
67-64-1,1231930-82-7,0.032
67-64-1,1231931-00-2,0.029
67-64-1,1231930-99-6,0.028
67-64-1,1231930-97-4,0.03
67-64-1,1231930-95-2,0.03
67-64-1,1231930-94-1,0.031
67-64-1,1231930-93-0,0.03
67-64-1,1231930-92-9,0.031
67-64-1,1231930-91-8,0.031
67-64-1,1231930-90-7,0.03
67-64-1,1231930-89-4,0.031
67-64-1,1231930-88-3,0.031
67-64-1,1231930-87-2,0.032
67-64-1,1231930-86-1,0.03
67-64-1,1231930-85-0,0.032
108-24-7,73183-34-3,0.043
108-24-7,75-31-0,0.067
108-24-7,765-30-0,0.0
108-24-7,1003-03-8,0.0
108-24-7,78-39-7,0.091
108-24-7,2516-47-4,0.0
108-24-7,5308-25-8,0.036
108-24-7,108-36-1,0.0
108-24-7,109384-19-2,0.139
108-24-7,1072-97-5,0.0
108-24-7,3934-20-1,0.0
108-24-7,73874-95-0,0.128
108-24-7,286961-14-6,0.094
108-24-7,4318-42-7,0.036
108-24-7,2927-71-1,0.0
108-24-7,1231929-97-7,0.021
108-24-7,21717-96-4,0.0
108-24-7,149806-06-4,0.029
108-24-7,20511-12-0,0.0
108-24-7,39856-50-3,0.028
108-24-7,159635-49-1,0.135
108-24-7,67567-26-4,0.034
108-24-7,42753-71-9,0.03
108-24-7,1118-69-0,0.263
108-24-7,51686-78-3,0.028
108-24-7,134464-79-2,0.167
108-24-7,779345-37-8,0.028
108-24-7,1180132-17-5,0.021
108-24-7,1198408-35-3,0.091
108-24-7,1231930-42-9,0.016
108-24-7,1231930-37-2,0.017
108-24-7,25291-41-2,0.185
108-24-7,29512-07-0,0.227
108-24-7,1231930-22-5,0.082
108-24-7,1231930-33-8,0.02
108-24-7,1178566-52-3,0.089
108-24-7,1231930-25-8,0.021
108-24-7,1160923-86-3,0.089
108-24-7,1231930-29-2,0.07
108-24-7,61771-97-9,0.185
108-24-7,1231930-57-6,0.021
108-24-7,1231930-17-8,0.086
108-24-7,1231930-34-9,0.019
108-24-7,1231930-48-5,0.049
108-24-7,1231930-47-4,0.016
108-24-7,1231930-41-8,0.015
108-24-7,1231930-38-3,0.016
108-24-7,1231930-27-0,0.021
108-24-7,1231930-26-9,0.019
108-24-7,1231930-13-4,0.053
108-24-7,1231930-78-1,0.082
108-24-7,1231930-19-0,0.086
108-24-7,1231930-43-0,0.015
108-24-7,1231930-40-7,0.015
108-24-7,1231930-36-1,0.018
108-24-7,1231930-30-5,0.065
108-24-7,1231930-24-7,0.082
108-24-7,1231930-23-6,0.085
108-24-7,1231930-18-9,0.081
108-24-7,1231930-98-5,0.009
108-24-7,1231930-96-3,0.02
108-24-7,1231930-45-2,0.014
108-24-7,1231930-44-1,0.028
108-24-7,1231930-39-4,0.032
108-24-7,1231930-32-7,0.06
108-24-7,1231930-28-1,0.038
108-24-7,1231930-21-4,0.088
108-24-7,1231930-20-3,0.083
108-24-7,1231930-11-2,0.01
108-24-7,1231930-06-5,0.042
108-24-7,1231930-05-4,0.03
108-24-7,1231930-04-3,0.021
108-24-7,1231930-03-2,0.031
108-24-7,1231930-02-1,0.031
108-24-7,1231930-01-0,0.02
108-24-7,1231930-00-9,0.021
108-24-7,1231929-99-9,0.021
108-24-7,1231929-98-8,0.021
108-24-7,1231930-76-9,0.079
108-24-7,1231930-73-6,0.01
108-24-7,1231930-71-4,0.01
108-24-7,1231930-69-0,0.021
108-24-7,1231930-67-8,0.031
108-24-7,1231930-65-6,0.022
108-24-7,1231930-63-4,0.032
108-24-7,1231930-61-2,0.021
