node1,node2,similarity
110-91-8,74-89-5,0.0
110-91-8,24424-99-5,0.0
110-91-8,76-05-1,0.0
110-91-8,59-67-6,0.0
110-91-8,124-40-3,0.0
110-91-8,109-01-3,0.227
110-91-8,103-71-9,0.0
110-91-8,530-62-1,0.0
110-91-8,917-54-4,0.0
110-91-8,765-30-0,0.056
110-91-8,98-98-6,0.0
110-91-8,55-22-1,0.0
110-91-8,5382-16-1,0.227
110-91-8,104-12-1,0.0
110-91-8,5308-25-8,0.192
110-91-8,594-61-6,0.0
110-91-8,98-97-5,0.0
110-91-8,5416-93-3,0.0
110-91-8,97-72-3,0.0
110-91-8,1609-86-5,0.0
110-91-8,1195-45-5,0.0
110-91-8,1073-06-9,0.0
110-91-8,5781-53-3,0.0
110-91-8,1538-75-6,0.0
110-91-8,2799-21-5,0.167
110-91-8,4318-42-7,0.192
110-91-8,100243-39-8,0.167
110-91-8,45347-82-8,0.158
110-91-8,21655-48-1,0.125
110-91-8,5521-55-1,0.028
110-91-8,934-60-1,0.0
110-91-8,3222-47-7,0.0
110-91-8,4835-90-9,0.0
110-91-8,1621-91-6,0.03
110-91-8,17318-03-5,0.0
110-91-8,142253-55-2,0.024
110-91-8,86953-79-9,0.027
110-91-8,17994-25-1,0.042
110-91-8,4684-94-0,0.0
110-91-8,5470-22-4,0.0
110-91-8,169447-70-5,0.089
110-91-8,86873-60-1,0.0
110-91-8,277756-46-4,0.036
110-91-8,6914-79-0,0.036
110-91-8,85909-08-6,0.023
110-91-8,407-20-5,0.0
110-91-8,20485-43-2,0.0
110-91-8,4021-07-2,0.0
110-91-8,399-94-0,0.0
110-91-8,1223403-58-4,0.01
110-91-8,16498-81-0,0.0
110-91-8,31519-62-7,0.0
110-91-8,25016-20-0,0.0
110-91-8,62414-68-0,0.148
110-91-8,24211-55-0,0.148
110-91-8,33863-76-2,0.0
110-91-8,452-08-4,0.0
110-91-8,189321-63-9,0.022
110-91-8,63812-15-7,0.0
110-91-8,4021-12-9,0.0
110-91-8,26893-73-2,0.0
110-91-8,113020-21-6,0.032
110-91-8,29274-24-6,0.023
110-91-8,186393-31-7,0.143
110-91-8,1218935-59-1,0.065
110-91-8,33972-97-3,0.0
110-91-8,201849-15-2,0.0
110-91-8,163439-82-5,0.024
110-91-8,194788-10-8,0.037
110-91-8,351003-21-9,0.0
110-91-8,166170-15-6,0.021
110-91-8,40320-63-6,0.023
110-91-8,1223404-88-3,0.013
110-91-8,100047-66-3,0.0
110-91-8,429669-07-8,0.024
110-91-8,1223404-90-7,0.012
110-91-8,920274-03-9,0.067
110-91-8,845866-81-1,0.027
110-91-8,164737-45-5,0.022
110-91-8,107983-79-9,0.032
110-91-8,116855-56-2,0.0
110-91-8,1218935-58-0,0.016
110-91-8,1213195-53-9,0.059
110-91-8,107983-78-8,0.032
110-91-8,1223405-20-6,0.042
110-91-8,1223404-95-2,0.015
110-91-8,1223404-93-0,0.016
110-91-8,1223404-92-9,0.015
110-91-8,1223404-89-4,0.027
110-91-8,1212928-22-7,0.065
110-91-8,1223405-24-0,0.0
110-91-8,1223404-91-8,0.042
110-91-8,388582-04-5,0.024
110-91-8,1196552-02-9,0.064
110-91-8,1223405-42-2,0.033
110-91-8,1223405-36-4,0.012
110-91-8,1223405-22-8,0.013
110-91-8,1223405-16-0,0.013
110-91-8,1223405-13-7,0.062
110-91-8,1223404-68-9,0.01
110-91-8,1223403-86-8,0.011
110-91-8,1223403-84-6,0.011
110-91-8,1223403-70-0,0.01
110-91-8,1223403-48-2,0.01
110-91-8,1223403-42-6,0.011
110-91-8,1223403-41-5,0.011
110-91-8,1213206-09-7,0.06
110-91-8,1224426-14-5,0.011
110-91-8,1223405-40-0,0.012
110-91-8,1223405-37-5,0.013
110-91-8,1223405-31-9,0.025
110-91-8,1223405-30-8,0.065
110-91-8,1223405-28-4,0.013
110-91-8,1223405-25-1,0.013
110-91-8,1223405-21-7,0.013
110-91-8,1223404-98-5,0.009
