node1,node2,similarity
50-00-0,74-88-4,0.0
50-00-0,51-21-8,0.04
50-00-0,74-89-5,0.0
50-00-0,24424-99-5,0.05
50-00-0,76-05-1,0.083
50-00-0,75-03-6,0.0
50-00-0,63-74-1,0.043
50-00-0,103-82-2,0.042
50-00-0,76-83-5,0.0
50-00-0,444731-52-6,0.013
50-00-0,3934-20-1,0.0
50-00-0,122-80-5,0.036
50-00-0,3544-24-9,0.037
50-00-0,766-80-3,0.0
50-00-0,1445-45-0,0.0
50-00-0,2835-68-9,0.043
50-00-0,102-28-3,0.03
50-00-0,2927-71-1,0.0
50-00-0,5470-49-5,0.042
50-00-0,98-18-0,0.037
50-00-0,2831-66-5,0.0
50-00-0,369-36-8,0.032
50-00-0,35216-39-8,0.036
50-00-0,37045-73-1,0.03
50-00-0,6973-09-7,0.033
50-00-0,17481-27-5,0.03
50-00-0,41939-61-1,0.029
50-00-0,109903-35-7,0.031
50-00-0,6494-19-5,0.024
50-00-0,20191-74-6,0.031
50-00-0,444731-72-0,0.0
50-00-0,24176-70-3,0.037
50-00-0,444731-75-3,0.0
50-00-0,6334-01-6,0.037
50-00-0,444731-73-1,0.024
50-00-0,53297-70-4,0.033
50-00-0,2015-19-2,0.033
50-00-0,444731-74-2,0.0
50-00-0,6973-08-6,0.03
50-00-0,261925-02-4,0.031
50-00-0,79173-62-9,0.0
50-00-0,49819-79-6,0.024
50-00-0,3527-19-3,0.0
50-00-0,39082-89-8,0.036
50-00-0,6274-28-8,0.033
50-00-0,387358-51-2,0.032
50-00-0,5339-62-8,0.028
50-00-0,1954-94-5,0.034
50-00-0,211374-82-2,0.029
50-00-0,20945-70-4,0.03
50-00-0,459434-39-0,0.026
50-00-0,99969-26-3,0.027
50-00-0,856193-46-9,0.027
50-00-0,56288-93-8,0.029
50-00-0,118837-66-4,0.027
50-00-0,1152500-78-1,0.021
50-00-0,307989-68-0,0.027
50-00-0,444731-79-7,0.0
50-00-0,444731-55-9,0.013
50-00-0,874801-00-0,0.027
50-00-0,635702-61-3,0.031
50-00-0,1155546-08-9,0.029
50-00-0,444731-71-9,0.019
50-00-0,444731-66-2,0.0
50-00-0,444731-45-7,0.012
50-00-0,1360885-27-3,0.0
50-00-0,444731-87-7,0.015
50-00-0,444731-85-5,0.0
50-00-0,444731-80-0,0.0
50-00-0,444731-68-4,0.015
50-00-0,444731-57-1,0.012
50-00-0,444731-54-8,0.012
50-00-0,444731-53-7,0.012
50-00-0,444731-17-3,0.012
50-00-0,444731-91-3,0.012
50-00-0,444731-90-2,0.013
50-00-0,444731-89-9,0.012
50-00-0,444731-88-8,0.012
50-00-0,444731-86-6,0.0
50-00-0,444731-84-4,0.0
50-00-0,444731-83-3,0.016
50-00-0,444731-82-2,0.022
50-00-0,444731-81-1,0.022
50-00-0,444731-78-6,0.018
50-00-0,444731-77-5,0.0
50-00-0,444731-76-4,0.0
50-00-0,444731-70-8,0.014
50-00-0,444731-67-3,0.014
50-00-0,444731-65-1,0.0
50-00-0,444731-64-0,0.0
50-00-0,444731-62-8,0.012
50-00-0,444731-61-7,0.012
50-00-0,444731-60-6,0.01
50-00-0,444731-59-3,0.012
50-00-0,444731-58-2,0.011
50-00-0,444731-56-0,0.011
50-00-0,444731-51-5,0.012
50-00-0,444731-50-4,0.012
50-00-0,444731-49-1,0.013
50-00-0,444731-48-0,0.012
50-00-0,444731-47-9,0.013
50-00-0,444731-46-8,0.013
50-00-0,444731-44-6,0.012
50-00-0,444731-43-5,0.012
50-00-0,444731-42-4,0.012
50-00-0,444731-41-3,0.012
50-00-0,444731-40-2,0.013
50-00-0,444731-39-9,0.012
50-00-0,444731-38-8,0.012
50-00-0,444731-37-7,0.012
50-00-0,444731-36-6,0.012
50-00-0,444731-35-5,0.013
50-00-0,444731-34-4,0.011
50-00-0,444731-33-3,0.011
50-00-0,444731-32-2,0.024
50-00-0,444731-31-1,0.013
50-00-0,444731-30-0,0.011
50-00-0,444731-29-7,0.011
50-00-0,444731-28-6,0.011
50-00-0,444731-27-5,0.012
50-00-0,444731-26-4,0.012
50-00-0,444731-25-3,0.011
50-00-0,444731-24-2,0.012
50-00-0,444731-23-1,0.011
50-00-0,444731-22-0,0.012
50-00-0,444731-21-9,0.012
50-00-0,444731-20-8,0.012
50-00-0,444731-19-5,0.011
50-00-0,444731-18-4,0.011
50-00-0,444731-16-2,0.01
50-00-0,444731-15-1,0.012
50-00-0,444731-14-0,0.012
50-00-0,444731-13-9,0.011
50-00-0,444731-12-8,0.012
50-00-0,444731-11-7,0.011
50-00-0,444731-10-6,0.012
50-00-0,444731-09-3,0.011
50-00-0,444731-08-2,0.011
50-00-0,444731-07-1,0.011
50-00-0,444731-06-0,0.012
50-00-0,444731-05-9,0.011
50-00-0,444731-02-6,0.012
50-00-0,444731-01-5,0.012
50-00-0,444730-96-5,0.023
50-00-0,444730-95-4,0.011
50-00-0,444730-94-3,0.011
50-00-0,444730-93-2,0.012
50-00-0,444730-92-1,0.011
50-00-0,444730-91-0,0.013
50-00-0,444730-90-9,0.011
50-00-0,444730-89-6,0.013
50-00-0,444730-88-5,0.011
50-00-0,444730-87-4,0.011
50-00-0,444730-86-3,0.011
50-00-0,444730-85-2,0.012
50-00-0,444730-84-1,0.011
50-00-0,444730-83-0,0.011
50-00-0,444731-63-9,0.0
50-00-0,444731-04-8,0.012
50-00-0,444731-03-7,0.013
50-00-0,444731-00-4,0.011
50-00-0,444730-99-8,0.012
50-00-0,444730-98-7,0.013
74-88-4,51-21-8,0.0
74-88-4,74-89-5,0.2
74-88-4,24424-99-5,0.05
74-88-4,76-05-1,0.0
74-88-4,75-03-6,0.286
74-88-4,63-74-1,0.0
74-88-4,103-82-2,0.0
74-88-4,76-83-5,0.0
74-88-4,444731-52-6,0.013
74-88-4,3934-20-1,0.0
74-88-4,122-80-5,0.036
74-88-4,3544-24-9,0.0
74-88-4,766-80-3,0.0
74-88-4,1445-45-0,0.091
74-88-4,2835-68-9,0.0
74-88-4,102-28-3,0.03
74-88-4,2927-71-1,0.0
74-88-4,5470-49-5,0.042
74-88-4,98-18-0,0.0
74-88-4,2831-66-5,0.0
74-88-4,369-36-8,0.0
74-88-4,35216-39-8,0.036
74-88-4,37045-73-1,0.03
74-88-4,6973-09-7,0.033
74-88-4,17481-27-5,0.03
74-88-4,41939-61-1,0.029
74-88-4,109903-35-7,0.031
74-88-4,6494-19-5,0.024
74-88-4,20191-74-6,0.031
74-88-4,444731-72-0,0.027
74-88-4,24176-70-3,0.037
74-88-4,444731-75-3,0.017
74-88-4,6334-01-6,0.037
74-88-4,444731-73-1,0.024
74-88-4,53297-70-4,0.033
74-88-4,2015-19-2,0.0
74-88-4,444731-74-2,0.018
74-88-4,6973-08-6,0.03
74-88-4,261925-02-4,0.031
74-88-4,79173-62-9,0.028
74-88-4,49819-79-6,0.024
74-88-4,3527-19-3,0.027
74-88-4,39082-89-8,0.036
74-88-4,6274-28-8,0.033
74-88-4,387358-51-2,0.032
74-88-4,5339-62-8,0.028
74-88-4,1954-94-5,0.0
74-88-4,211374-82-2,0.029
74-88-4,20945-70-4,0.03
74-88-4,459434-39-0,0.0
74-88-4,99969-26-3,0.027
74-88-4,856193-46-9,0.027
74-88-4,56288-93-8,0.029
74-88-4,118837-66-4,0.027
74-88-4,1152500-78-1,0.021
74-88-4,307989-68-0,0.027
74-88-4,444731-79-7,0.018
74-88-4,444731-55-9,0.013
74-88-4,874801-00-0,0.027
74-88-4,635702-61-3,0.031
74-88-4,1155546-08-9,0.029
74-88-4,444731-71-9,0.019
74-88-4,444731-66-2,0.018
74-88-4,444731-45-7,0.012
74-88-4,1360885-27-3,0.026
74-88-4,444731-87-7,0.015
74-88-4,444731-85-5,0.018
74-88-4,444731-80-0,0.018
74-88-4,444731-68-4,0.015
74-88-4,444731-57-1,0.012
74-88-4,444731-54-8,0.012
74-88-4,444731-53-7,0.012
74-88-4,444731-17-3,0.012
74-88-4,444731-91-3,0.012
74-88-4,444731-90-2,0.013
74-88-4,444731-89-9,0.012
74-88-4,444731-88-8,0.012
74-88-4,444731-86-6,0.013
74-88-4,444731-84-4,0.017
74-88-4,444731-83-3,0.016
74-88-4,444731-82-2,0.022
74-88-4,444731-81-1,0.022
74-88-4,444731-78-6,0.018
74-88-4,444731-77-5,0.017
74-88-4,444731-76-4,0.018
74-88-4,444731-70-8,0.014
74-88-4,444731-67-3,0.014
74-88-4,444731-65-1,0.017
74-88-4,444731-64-0,0.026
74-88-4,444731-62-8,0.012
74-88-4,444731-61-7,0.012
74-88-4,444731-60-6,0.01
74-88-4,444731-59-3,0.012
74-88-4,444731-58-2,0.011
74-88-4,444731-56-0,0.011
74-88-4,444731-51-5,0.012
74-88-4,444731-50-4,0.012
74-88-4,444731-49-1,0.013
74-88-4,444731-48-0,0.012
74-88-4,444731-47-9,0.013
74-88-4,444731-46-8,0.013
74-88-4,444731-44-6,0.012
74-88-4,444731-43-5,0.012
74-88-4,444731-42-4,0.012
74-88-4,444731-41-3,0.012
74-88-4,444731-40-2,0.013
74-88-4,444731-39-9,0.012
74-88-4,444731-38-8,0.012
74-88-4,444731-37-7,0.012
74-88-4,444731-36-6,0.012
74-88-4,444731-35-5,0.013
74-88-4,444731-34-4,0.011
74-88-4,444731-33-3,0.011
74-88-4,444731-32-2,0.012
74-88-4,444731-31-1,0.013
74-88-4,444731-30-0,0.011
74-88-4,444731-29-7,0.011
74-88-4,444731-28-6,0.011
74-88-4,444731-27-5,0.012
74-88-4,444731-26-4,0.012
74-88-4,444731-25-3,0.011
74-88-4,444731-24-2,0.012
74-88-4,444731-23-1,0.011
74-88-4,444731-22-0,0.012
74-88-4,444731-21-9,0.012
74-88-4,444731-20-8,0.012
74-88-4,444731-19-5,0.011
74-88-4,444731-18-4,0.011
74-88-4,444731-16-2,0.01
74-88-4,444731-15-1,0.012
74-88-4,444731-14-0,0.012
74-88-4,444731-13-9,0.011
74-88-4,444731-12-8,0.012
74-88-4,444731-11-7,0.011
74-88-4,444731-10-6,0.012
74-88-4,444731-09-3,0.011
74-88-4,444731-08-2,0.011
74-88-4,444731-07-1,0.011
74-88-4,444731-06-0,0.012
74-88-4,444731-05-9,0.011
74-88-4,444731-02-6,0.012
74-88-4,444731-01-5,0.012
74-88-4,444730-96-5,0.011
74-88-4,444730-95-4,0.011
74-88-4,444730-94-3,0.011
74-88-4,444730-93-2,0.012
74-88-4,444730-92-1,0.011
74-88-4,444730-91-0,0.013
74-88-4,444730-90-9,0.011
74-88-4,444730-89-6,0.013
74-88-4,444730-88-5,0.011
74-88-4,444730-87-4,0.011
74-88-4,444730-86-3,0.011
74-88-4,444730-85-2,0.012
74-88-4,444730-84-1,0.011
74-88-4,444730-83-0,0.011
74-88-4,444731-63-9,0.027
74-88-4,444731-04-8,0.012
74-88-4,444731-03-7,0.013
74-88-4,444731-00-4,0.011
74-88-4,444730-99-8,0.012
74-88-4,444730-98-7,0.013
51-21-8,74-89-5,0.0
51-21-8,24424-99-5,0.025
51-21-8,76-05-1,0.1
51-21-8,75-03-6,0.0
51-21-8,63-74-1,0.073
51-21-8,103-82-2,0.071
51-21-8,76-83-5,0.077
51-21-8,444731-52-6,0.041
51-21-8,3934-20-1,0.049
51-21-8,122-80-5,0.065
51-21-8,3544-24-9,0.067
51-21-8,766-80-3,0.044
51-21-8,1445-45-0,0.0
51-21-8,2835-68-9,0.073
51-21-8,102-28-3,0.059
51-21-8,2927-71-1,0.122
51-21-8,5470-49-5,0.071
51-21-8,98-18-0,0.067
51-21-8,2831-66-5,0.056
51-21-8,369-36-8,0.13
51-21-8,35216-39-8,0.065
51-21-8,37045-73-1,0.059
51-21-8,6973-09-7,0.085
51-21-8,17481-27-5,0.059
51-21-8,41939-61-1,0.058
51-21-8,109903-35-7,0.06
51-21-8,6494-19-5,0.088
51-21-8,20191-74-6,0.06
51-21-8,444731-72-0,0.036
51-21-8,24176-70-3,0.067
51-21-8,444731-75-3,0.026
51-21-8,6334-01-6,0.067
51-21-8,444731-73-1,0.051
51-21-8,53297-70-4,0.062
51-21-8,2015-19-2,0.062
51-21-8,444731-74-2,0.026
51-21-8,6973-08-6,0.059
51-21-8,261925-02-4,0.082
51-21-8,79173-62-9,0.096
51-21-8,49819-79-6,0.05
51-21-8,3527-19-3,0.036
51-21-8,39082-89-8,0.065
51-21-8,6274-28-8,0.062
51-21-8,387358-51-2,0.13
51-21-8,5339-62-8,0.056
51-21-8,1954-94-5,0.064
51-21-8,211374-82-2,0.058
51-21-8,20945-70-4,0.059
51-21-8,459434-39-0,0.053
51-21-8,99969-26-3,0.055
51-21-8,856193-46-9,0.094
51-21-8,56288-93-8,0.057
51-21-8,118837-66-4,0.055
51-21-8,1152500-78-1,0.046
51-21-8,307989-68-0,0.074
