node1,node2,similarity
64-17-5,67-56-1,0.286
64-17-5,64-19-7,0.182
64-17-5,108-24-7,0.143
64-17-5,74-88-4,0.125
64-17-5,141-43-5,0.273
64-17-5,74-89-5,0.125
64-17-5,24424-99-5,0.091
64-17-5,76-05-1,0.067
64-17-5,75-36-5,0.167
64-17-5,124-40-3,0.111
64-17-5,109-89-7,0.273
64-17-5,124-63-0,0.077
64-17-5,96-49-1,0.0
64-17-5,123-75-1,0.0
64-17-5,75-03-6,0.333
64-17-5,73183-34-3,0.053
64-17-5,75-16-1,0.091
64-17-5,358-23-6,0.0
64-17-5,288-13-1,0.0
64-17-5,109-55-7,0.105
64-17-5,108-00-9,0.125
64-17-5,156-87-6,0.214
64-17-5,96-32-2,0.167
64-17-5,75-30-9,0.091
64-17-5,57260-71-6,0.059
64-17-5,109-85-3,0.125
64-17-5,2038-03-1,0.036
64-17-5,79099-07-3,0.057
64-17-5,100-36-7,0.167
64-17-5,1118-68-9,0.176
64-17-5,590-17-0,0.071
64-17-5,6482-24-2,0.125
64-17-5,877399-52-5,0.011
64-17-5,76513-69-4,0.083
64-17-5,137-43-9,0.0
64-17-5,7154-73-6,0.042
64-17-5,109384-19-2,0.057
64-17-5,271-44-3,0.031
64-17-5,513-38-2,0.154
64-17-5,4333-56-6,0.0
64-17-5,1453-58-3,0.045
64-17-5,75927-49-0,0.043
64-17-5,13831-31-7,0.143
64-17-5,2799-21-5,0.048
64-17-5,2081-44-9,0.05
64-17-5,100243-39-8,0.048
64-17-5,269410-08-4,0.029
64-17-5,453-20-3,0.048
64-17-5,2075-45-8,0.0
64-17-5,69610-40-8,0.103
64-17-5,141699-55-0,0.065
64-17-5,5050-41-9,0.042
64-17-5,23426-63-3,0.1
64-17-5,3469-69-0,0.0
64-17-5,109431-87-0,0.056
64-17-5,141699-59-4,0.048
64-17-5,101469-92-5,0.056
64-17-5,37622-90-5,0.121
64-17-5,552846-17-0,0.039
64-17-5,142253-55-2,0.059
64-17-5,33574-02-6,0.062
64-17-5,24241-18-7,0.037
64-17-5,85275-45-2,0.05
64-17-5,57561-39-4,0.138
64-17-5,15501-33-4,0.154
64-17-5,185099-67-6,0.053
64-17-5,83435-58-9,0.103
64-17-5,142253-56-3,0.121
64-17-5,15128-82-2,0.03
64-17-5,19788-37-5,0.077
64-17-5,877399-74-1,0.031
64-17-5,3398-16-1,0.043
64-17-5,147804-30-6,0.053
64-17-5,73246-45-4,0.1
64-17-5,141699-58-3,0.051
64-17-5,13808-64-5,0.042
64-17-5,290835-85-7,0.061
64-17-5,185-72-8,0.0
64-17-5,142253-57-4,0.071
64-17-5,877397-65-4,0.062
64-17-5,39903-01-0,0.033
64-17-5,4522-35-4,0.0
64-17-5,55408-11-2,0.04
64-17-5,756520-66-8,0.062
64-17-5,610791-05-4,0.054
64-17-5,877399-00-3,0.017
64-17-5,877399-50-3,0.038
64-17-5,877399-35-4,0.032
64-17-5,877399-73-0,0.038
64-17-5,133560-57-3,0.081
64-17-5,877397-71-2,0.036
64-17-5,105675-85-2,0.038
64-17-5,877399-51-4,0.02
64-17-5,877397-70-1,0.033
64-17-5,15224-11-0,0.172
64-17-5,756503-69-2,0.017
64-17-5,189205-49-0,0.051
64-17-5,214614-81-0,0.1
64-17-5,877400-66-3,0.011
64-17-5,877399-60-5,0.0
64-17-5,756520-67-9,0.036
64-17-5,756521-08-1,0.033
64-17-5,877399-47-8,0.027
64-17-5,877399-49-0,0.014
64-17-5,877399-11-6,0.039
64-17-5,877399-48-9,0.024
64-17-5,877399-34-3,0.041
64-17-5,877397-67-6,0.047
64-17-5,877399-61-6,0.025
64-17-5,756509-08-7,0.014
64-17-5,63418-08-6,0.04
64-17-5,877399-98-9,0.023
64-17-5,877399-08-1,0.014
64-17-5,877397-68-7,0.047
64-17-5,877401-42-8,0.02
