node1,node2,similarity
67-63-0,64-18-6,0.091
67-63-0,109-04-6,0.0
67-63-0,60-34-4,0.091
67-63-0,5382-16-1,0.05
67-63-0,2759-28-6,0.0
67-63-0,471-25-0,0.067
67-63-0,3934-20-1,0.0
67-63-0,4930-98-7,0.0
67-63-0,14508-49-7,0.0
67-63-0,4319-49-7,0.0
67-63-0,1448-87-9,0.0
67-63-0,1393477-72-9,0.014
67-63-0,5906-35-4,0.0
67-63-0,54608-52-5,0.0
67-63-0,42166-50-7,0.0
67-63-0,27126-93-8,0.0
67-63-0,6214-35-3,0.059
67-63-0,4231-74-7,0.034
67-63-0,96088-62-9,0.19
67-63-0,39139-52-1,0.0
67-63-0,61645-34-9,0.0
67-63-0,5767-35-1,0.0
67-63-0,1392136-43-4,0.014
67-63-0,4931-01-5,0.069
67-63-0,14331-56-7,0.03
67-63-0,22930-71-8,0.0
67-63-0,3448-12-2,0.0
67-63-0,52476-87-6,0.0
67-63-0,1421919-75-6,0.033
67-63-0,1333154-10-1,0.0
67-63-0,40675-45-4,0.0
67-63-0,34924-93-1,0.04
67-63-0,1388842-44-1,0.019
67-63-0,1333154-26-9,0.167
67-63-0,1333152-22-9,0.068
67-63-0,317319-15-6,0.033
67-63-0,1333151-73-7,0.061
67-63-0,99979-60-9,0.033
67-63-0,868167-61-7,0.026
67-63-0,1421923-82-1,0.012
67-63-0,1421923-81-0,0.014
67-63-0,1421923-80-9,0.014
67-63-0,1421923-79-6,0.026
67-63-0,1421923-78-5,0.027
67-63-0,1421923-77-4,0.025
67-63-0,1421923-76-3,0.027
67-63-0,1421923-75-2,0.04
67-63-0,1421923-74-1,0.015
67-63-0,1333153-42-6,0.06
67-63-0,1333153-10-8,0.021
67-63-0,1333151-91-9,0.06
67-63-0,1333151-86-2,0.061
67-63-0,76319-95-4,0.034
67-63-0,1421923-97-8,0.014
67-63-0,1421923-96-7,0.019
67-63-0,1421923-94-5,0.015
67-63-0,1421923-93-4,0.015
67-63-0,1421923-92-3,0.013
67-63-0,1421923-91-2,0.014
67-63-0,1421923-90-1,0.014
67-63-0,1421923-89-8,0.027
67-63-0,1421923-88-7,0.012
67-63-0,1421923-86-5,0.014
67-63-0,1421923-85-4,0.027
67-63-0,1421923-84-3,0.014
67-63-0,1421923-83-2,0.013
67-63-0,1421920-37-7,0.015
67-63-0,1333153-40-4,0.098
67-63-0,1333153-39-1,0.075
67-63-0,1333152-16-1,0.053
67-63-0,1333153-28-8,0.077
67-63-0,887591-03-9,0.056
67-63-0,664985-71-1,0.048
67-63-0,1421920-54-8,0.0
67-63-0,1421920-53-7,0.03
67-63-0,1421920-52-6,0.03
67-63-0,1421920-40-2,0.067
67-63-0,1333154-05-4,0.0
67-63-0,1333154-03-2,0.0
67-63-0,1333153-31-3,0.062
67-63-0,1421924-03-9,0.053
67-63-0,1421924-01-7,0.061
67-63-0,1421924-00-6,0.061
67-63-0,1421923-99-0,0.018
67-63-0,1421923-98-9,0.065
67-63-0,1421923-95-6,0.068
67-63-0,18621-18-6,0.062
67-63-0,288315-03-7,0.062
67-63-0,63234-71-9,0.0
67-63-0,20815-52-5,0.0
67-63-0,1421923-87-6,0.014
67-63-0,1421923-73-0,0.014
64-18-6,109-04-6,0.0
64-18-6,60-34-4,0.0
64-18-6,5382-16-1,0.05
64-18-6,2759-28-6,0.0
64-18-6,471-25-0,0.143
64-18-6,3934-20-1,0.0
64-18-6,4930-98-7,0.0
64-18-6,14508-49-7,0.0
64-18-6,4319-49-7,0.0
64-18-6,1448-87-9,0.0
64-18-6,1393477-72-9,0.042
64-18-6,5906-35-4,0.0
64-18-6,54608-52-5,0.0
64-18-6,42166-50-7,0.0
64-18-6,27126-93-8,0.0
64-18-6,6214-35-3,0.2
64-18-6,4231-74-7,0.0
64-18-6,96088-62-9,0.087
64-18-6,39139-52-1,0.028
64-18-6,61645-34-9,0.0
64-18-6,5767-35-1,0.0
64-18-6,1392136-43-4,0.042
64-18-6,4931-01-5,0.0
64-18-6,14331-56-7,0.0
64-18-6,22930-71-8,0.0
64-18-6,3448-12-2,0.037
64-18-6,52476-87-6,0.0
64-18-6,1421919-75-6,0.05
64-18-6,1333154-10-1,0.0
64-18-6,40675-45-4,0.026
64-18-6,34924-93-1,0.04
64-18-6,1388842-44-1,0.059
64-18-6,1333154-26-9,0.167
64-18-6,1333152-22-9,0.05
64-18-6,317319-15-6,0.033
64-18-6,1333151-73-7,0.045
64-18-6,99979-60-9,0.0
64-18-6,868167-61-7,0.0
64-18-6,1421923-82-1,0.038
64-18-6,1421923-81-0,0.042
64-18-6,1421923-80-9,0.042
64-18-6,1421923-79-6,0.039
64-18-6,1421923-78-5,0.041
64-18-6,1421923-77-4,0.038
64-18-6,1421923-76-3,0.041
64-18-6,1421923-75-2,0.04
64-18-6,1421923-74-1,0.046
64-18-6,1333153-42-6,0.0
64-18-6,1333153-10-8,0.0
64-18-6,1333151-91-9,0.044
64-18-6,1333151-86-2,0.045
64-18-6,76319-95-4,0.0
64-18-6,1421923-97-8,0.045
64-18-6,1421923-96-7,0.059
64-18-6,1421923-94-5,0.047
64-18-6,1421923-93-4,0.048
64-18-6,1421923-92-3,0.04
64-18-6,1421923-91-2,0.042
64-18-6,1421923-90-1,0.043
64-18-6,1421923-89-8,0.042
64-18-6,1421923-88-7,0.037
64-18-6,1421923-86-5,0.042
64-18-6,1421923-85-4,0.041
64-18-6,1421923-84-3,0.045
64-18-6,1421923-83-2,0.041
64-18-6,1421920-37-7,0.047
64-18-6,1333153-40-4,0.023
64-18-6,1333153-39-1,0.0
64-18-6,1333152-16-1,0.039
64-18-6,1333153-28-8,0.0
64-18-6,887591-03-9,0.056
64-18-6,664985-71-1,0.1
64-18-6,1421920-54-8,0.0
64-18-6,1421920-53-7,0.03
64-18-6,1421920-52-6,0.062
64-18-6,1421920-40-2,0.103
64-18-6,1333154-05-4,0.0
64-18-6,1333154-03-2,0.0
64-18-6,1333153-31-3,0.0
64-18-6,1421924-03-9,0.039
64-18-6,1421924-01-7,0.045
64-18-6,1421924-00-6,0.045
64-18-6,1421923-99-0,0.056
64-18-6,1421923-98-9,0.048
64-18-6,1421923-95-6,0.05
64-18-6,18621-18-6,0.062
64-18-6,288315-03-7,0.0
64-18-6,63234-71-9,0.0
64-18-6,20815-52-5,0.0
64-18-6,1421923-87-6,0.044
64-18-6,1421923-73-0,0.042
109-04-6,60-34-4,0.0
109-04-6,5382-16-1,0.0
109-04-6,2759-28-6,0.111
109-04-6,471-25-0,0.0
109-04-6,3934-20-1,0.188
109-04-6,4930-98-7,0.143
109-04-6,14508-49-7,0.161
109-04-6,4319-49-7,0.0
109-04-6,1448-87-9,0.175
109-04-6,1393477-72-9,0.062
109-04-6,5906-35-4,0.0
109-04-6,54608-52-5,0.105
109-04-6,42166-50-7,0.171
109-04-6,27126-93-8,0.051
109-04-6,6214-35-3,0.0
109-04-6,4231-74-7,0.355
109-04-6,96088-62-9,0.0
109-04-6,39139-52-1,0.114
109-04-6,61645-34-9,0.149
109-04-6,5767-35-1,0.098
109-04-6,1392136-43-4,0.147
109-04-6,4931-01-5,0.075
109-04-6,14331-56-7,0.07
109-04-6,22930-71-8,0.135
109-04-6,3448-12-2,0.0
109-04-6,52476-87-6,0.154
109-04-6,1421919-75-6,0.056
109-04-6,1333154-10-1,0.062
109-04-6,40675-45-4,0.106
109-04-6,34924-93-1,0.0
109-04-6,1388842-44-1,0.065
109-04-6,1333154-26-9,0.0
109-04-6,1333152-22-9,0.056
109-04-6,317319-15-6,0.049
109-04-6,1333151-73-7,0.051
109-04-6,99979-60-9,0.162
109-04-6,868167-61-7,0.041
109-04-6,1421923-82-1,0.08
109-04-6,1421923-81-0,0.089
109-04-6,1421923-80-9,0.048
109-04-6,1421923-79-6,0.082
109-04-6,1421923-78-5,0.06
109-04-6,1421923-77-4,0.094
109-04-6,1421923-76-3,0.06
109-04-6,1421923-75-2,0.139
109-04-6,1421923-74-1,0.053
109-04-6,1333153-42-6,0.048
109-04-6,1333153-10-8,0.052
109-04-6,1333151-91-9,0.051
109-04-6,1333151-86-2,0.051
