node1,node2,similarity
67-64-1,62-53-3,0.0
67-64-1,108-94-1,0.056
67-64-1,24424-99-5,0.2
67-64-1,106-49-0,0.048
67-64-1,106-50-3,0.0
67-64-1,150-13-0,0.125
67-64-1,123-30-8,0.048
67-64-1,120-92-3,0.062
67-64-1,118-92-3,0.115
67-64-1,504-29-0,0.0
67-64-1,103-72-0,0.0
67-64-1,91-59-8,0.0
67-64-1,57260-71-6,0.125
67-64-1,455-14-1,0.0
67-64-1,540-37-4,0.0
67-64-1,502-42-1,0.05
67-64-1,1099-45-2,0.105
67-64-1,92-67-1,0.0
67-64-1,350-46-9,0.037
67-64-1,619-45-4,0.143
67-64-1,90357-06-5,0.06
67-64-1,1191-95-3,0.071
67-64-1,1194-02-1,0.0
67-64-1,915087-33-1,0.053
67-64-1,75-86-5,0.133
67-64-1,695-34-1,0.037
67-64-1,542-85-8,0.056
67-64-1,1445-73-4,0.091
67-64-1,534-07-6,0.231
67-64-1,1197-55-3,0.107
67-64-1,31230-17-8,0.042
67-64-1,5470-49-5,0.077
67-64-1,71026-66-9,0.111
67-64-1,654-70-6,0.0
67-64-1,394-41-2,0.061
67-64-1,399-95-1,0.036
67-64-1,430-51-3,0.417
67-64-1,170911-92-9,0.089
67-64-1,2393-17-1,0.097
67-64-1,403-24-7,0.086
67-64-1,15118-60-2,0.088
67-64-1,143782-23-4,0.0
67-64-1,1427-07-2,0.061
67-64-1,53312-80-4,0.0
67-64-1,49830-37-7,0.0
67-64-1,915087-25-1,0.114
67-64-1,34667-88-4,0.027
67-64-1,2182-38-9,0.031
67-64-1,915087-27-3,0.05
67-64-1,915087-24-0,0.103
67-64-1,155180-53-3,0.044
67-64-1,915087-32-0,0.087
67-64-1,915087-26-2,0.08
67-64-1,915086-32-7,0.047
67-64-1,26850-26-0,0.061
67-64-1,70441-12-2,0.024
67-64-1,55793-49-2,0.04
67-64-1,101568-43-8,0.03
67-64-1,915087-35-3,0.049
67-64-1,915086-47-4,0.029
67-64-1,915086-45-2,0.026
