node1,node2,similarity
67-56-1,62-53-3,0.0
67-56-1,74-88-4,0.2
67-56-1,76-05-1,0.083
67-56-1,104-15-4,0.087
67-56-1,501-53-1,0.033
67-56-1,1692-25-7,0.042
67-56-1,460-00-4,0.0
67-56-1,1038915-60-4,0.015
67-56-1,5437-38-7,0.062
67-56-1,5471-82-9,0.053
67-56-1,518070-19-4,0.071
67-56-1,138229-59-1,0.049
67-56-1,875798-79-1,0.039
67-56-1,132874-06-7,0.048
67-56-1,1171197-20-8,0.039
67-56-1,1038916-11-8,0.025
67-56-1,952479-96-8,0.056
67-56-1,1038915-75-1,0.015
67-56-1,1038915-92-2,0.025
67-56-1,1038915-90-0,0.025
67-56-1,1038916-08-3,0.026
67-56-1,952480-01-2,0.047
67-56-1,952474-39-4,0.021
67-56-1,1038915-99-9,0.024
67-56-1,952479-98-0,0.057
67-56-1,952479-62-8,0.039
67-56-1,952479-61-7,0.037
67-56-1,1038916-05-0,0.024
67-56-1,1038915-58-0,0.015
67-56-1,952479-97-9,0.05
67-56-1,952480-02-3,0.025
67-56-1,952475-51-3,0.019
67-56-1,952480-00-1,0.056
67-56-1,952479-99-1,0.059
67-56-1,1038916-13-0,0.026
67-56-1,1038916-03-8,0.024
67-56-1,1038916-01-6,0.023
67-56-1,1038915-94-4,0.011
67-56-1,1038915-86-4,0.014
67-56-1,1038915-84-2,0.014
67-56-1,1038915-82-0,0.014
67-56-1,1038915-80-8,0.014
67-56-1,1038915-70-6,0.014
67-56-1,1038915-67-1,0.014
67-56-1,1038915-64-8,0.015
67-56-1,1038915-73-9,0.024
67-56-1,1038915-56-8,0.015
67-56-1,1038915-62-6,0.015
67-56-1,1038915-76-2,0.014
67-56-1,1038915-71-7,0.013
67-56-1,1038915-68-2,0.013
62-53-3,74-88-4,0.0
62-53-3,76-05-1,0.045
62-53-3,104-15-4,0.094
62-53-3,501-53-1,0.206
62-53-3,1692-25-7,0.129
62-53-3,460-00-4,0.115
62-53-3,1038915-60-4,0.068
62-53-3,5437-38-7,0.128
62-53-3,5471-82-9,0.087
62-53-3,518070-19-4,0.081
62-53-3,138229-59-1,0.082
62-53-3,875798-79-1,0.145
62-53-3,132874-06-7,0.08
62-53-3,1171197-20-8,0.145
