node1,node2,similarity
50-67-9,24424-99-5,0.018
50-67-9,106-95-6,0.021
50-67-9,124-07-2,0.034
50-67-9,407-25-0,0.019
50-67-9,61-54-1,0.46
50-67-9,141-75-3,0.06
50-67-9,625-36-5,0.04
50-67-9,2937-50-0,0.036
50-67-9,608-07-1,0.528
50-67-9,17082-09-6,0.065
50-67-9,61-49-4,0.279
50-67-9,375-16-6,0.018
50-67-9,299-26-3,0.242
50-67-9,5130-24-5,0.019
50-67-9,304-52-9,0.558
50-67-9,1821-47-2,0.56
50-67-9,3610-36-4,0.379
50-67-9,1134-01-6,0.64
50-67-9,576-16-9,0.56
50-67-9,20776-45-8,0.453
50-67-9,14490-05-2,0.3
50-67-9,575-85-9,0.4
50-67-9,497871-47-3,0.084
50-67-9,712-08-3,0.306
50-67-9,31677-75-5,0.26
50-67-9,308359-33-3,0.064
50-67-9,144285-85-8,0.08
50-67-9,497871-10-0,0.082
50-67-9,497924-35-3,0.077
50-67-9,497924-37-5,0.074
50-67-9,497871-86-0,0.063
50-67-9,497871-85-9,0.069
50-67-9,497871-84-8,0.076
50-67-9,497871-83-7,0.076
50-67-9,497871-82-6,0.075
50-67-9,497871-81-5,0.076
50-67-9,497871-80-4,0.069
50-67-9,497871-79-1,0.071
50-67-9,497871-78-0,0.061
50-67-9,497871-77-9,0.067
50-67-9,497871-76-8,0.074
50-67-9,497871-75-7,0.074
50-67-9,497871-74-6,0.069
50-67-9,497871-73-5,0.073
50-67-9,497871-72-4,0.066
50-67-9,497871-71-3,0.074
50-67-9,497871-70-2,0.074
50-67-9,497871-69-9,0.066
50-67-9,497871-68-8,0.08
50-67-9,497871-67-7,0.074
50-67-9,497871-66-6,0.067
50-67-9,497871-65-5,0.08
50-67-9,497871-64-4,0.074
50-67-9,497871-63-3,0.08
50-67-9,497871-62-2,0.08
50-67-9,497871-61-1,0.084
50-67-9,497871-60-0,0.084
50-67-9,497871-59-7,0.095
50-67-9,497871-58-6,0.119
50-67-9,497871-57-5,0.119
50-67-9,497871-56-4,0.072
50-67-9,497871-55-3,0.084
50-67-9,497871-54-2,0.078
50-67-9,497871-53-1,0.13
50-67-9,497871-52-0,0.077
50-67-9,497871-51-9,0.119
50-67-9,497871-50-8,0.085
50-67-9,497871-49-5,0.089
50-67-9,497871-48-4,0.078
50-67-9,497871-46-2,0.078
50-67-9,497871-45-1,0.072
50-67-9,497871-44-0,0.077
50-67-9,497871-43-9,0.066
50-67-9,497871-42-8,0.078
50-67-9,497871-41-7,0.072
50-67-9,497871-40-6,0.077
50-67-9,497871-39-3,0.077
50-67-9,497871-38-2,0.081
50-67-9,497871-37-1,0.081
50-67-9,497871-36-0,0.092
50-67-9,497871-35-9,0.116
50-67-9,497871-34-8,0.116
50-67-9,497871-33-7,0.071
50-67-9,497871-31-5,0.081
50-67-9,497871-30-4,0.076
50-67-9,497871-28-0,0.126
50-67-9,497871-25-7,0.076
50-67-9,497871-20-2,0.116
50-67-9,497871-18-8,0.082
50-67-9,497871-15-5,0.087
50-67-9,497871-13-3,0.077
24424-99-5,106-95-6,0.0
24424-99-5,124-07-2,0.111
24424-99-5,407-25-0,0.222
24424-99-5,61-54-1,0.0
24424-99-5,141-75-3,0.143
24424-99-5,625-36-5,0.107
24424-99-5,2937-50-0,0.125
24424-99-5,608-07-1,0.034
24424-99-5,17082-09-6,0.098
24424-99-5,61-49-4,0.018
24424-99-5,375-16-6,0.167
24424-99-5,299-26-3,0.037
24424-99-5,5130-24-5,0.138
24424-99-5,304-52-9,0.053
24424-99-5,1821-47-2,0.018
24424-99-5,3610-36-4,0.054
24424-99-5,1134-01-6,0.034
24424-99-5,576-16-9,0.0
24424-99-5,20776-45-8,0.014
24424-99-5,14490-05-2,0.018
24424-99-5,575-85-9,0.018
24424-99-5,497871-47-3,0.046
24424-99-5,712-08-3,0.034
24424-99-5,31677-75-5,0.014
24424-99-5,308359-33-3,0.058
24424-99-5,144285-85-8,0.054
24424-99-5,497871-10-0,0.045
24424-99-5,497924-35-3,0.053
24424-99-5,497924-37-5,0.048
24424-99-5,497871-86-0,0.058
24424-99-5,497871-85-9,0.058
24424-99-5,497871-84-8,0.094
24424-99-5,497871-83-7,0.095
24424-99-5,497871-82-6,0.058
24424-99-5,497871-81-5,0.052
24424-99-5,497871-80-4,0.057
24424-99-5,497871-79-1,0.048
24424-99-5,497871-78-0,0.056
24424-99-5,497871-77-9,0.056
24424-99-5,497871-76-8,0.091
24424-99-5,497871-75-7,0.092
24424-99-5,497871-74-6,0.057
24424-99-5,497871-73-5,0.056
24424-99-5,497871-72-4,0.049
24424-99-5,497871-71-3,0.05
24424-99-5,497871-70-2,0.05
24424-99-5,497871-69-9,0.055
24424-99-5,497871-68-8,0.05
24424-99-5,497871-67-7,0.05
24424-99-5,497871-66-6,0.056
24424-99-5,497871-65-5,0.092
24424-99-5,497871-64-4,0.05
24424-99-5,497871-63-3,0.054
24424-99-5,497871-62-2,0.054
24424-99-5,497871-61-1,0.046
