node1,node2,similarity
110-89-4,108-91-8,0.15
110-89-4,100-61-8,0.038
110-89-4,504-24-5,0.0
110-89-4,60-32-2,0.0
110-89-4,873-74-5,0.034
110-89-4,100-20-9,0.0
110-89-4,462-08-8,0.0
110-89-4,455-14-1,0.0
110-89-4,96-50-4,0.0
110-89-4,149647-78-9,0.021
110-89-4,110-70-3,0.0
110-89-4,1885-29-6,0.0
110-89-4,111-50-2,0.0
110-89-4,67-62-9,0.0
110-89-4,2237-30-1,0.03
110-89-4,622-33-3,0.0
110-89-4,111-19-3,0.0
110-89-4,372-39-4,0.0
110-89-4,22809-37-6,0.0
110-89-4,3544-25-0,0.0
110-89-4,10027-07-3,0.0
110-89-4,3946-32-5,0.0
110-89-4,123-98-8,0.0
110-89-4,142-79-0,0.0
110-89-4,6274-22-2,0.0
110-89-4,41624-92-4,0.0
110-89-4,782-45-6,0.023
110-89-4,22737-36-6,0.0
110-89-4,149648-52-2,0.022
110-89-4,26071-05-6,0.0
110-89-4,23713-85-1,0.033
110-89-4,149647-79-0,0.021
110-89-4,39642-93-8,0.0
110-89-4,149647-86-9,0.0
110-89-4,2409-13-4,0.0
110-89-4,149648-08-8,0.0
110-89-4,149648-49-7,0.0
110-89-4,149648-29-3,0.023
110-89-4,149648-10-2,0.0
110-89-4,149648-07-7,0.0
110-89-4,149647-87-0,0.0
110-89-4,94136-35-3,0.0
110-89-4,149648-06-6,0.0
110-89-4,149648-04-4,0.0
110-89-4,149647-77-8,0.021
110-89-4,78582-38-4,0.0
110-89-4,56384-27-1,0.022
110-89-4,149648-39-5,0.0
110-89-4,149648-27-1,0.0
110-89-4,149648-14-6,0.0
110-89-4,149648-12-4,0.0
110-89-4,149647-93-8,0.0
110-89-4,5502-67-0,0.0
110-89-4,149648-50-0,0.0
110-89-4,149648-24-8,0.0
110-89-4,149648-05-5,0.0
110-89-4,149648-00-0,0.0
110-89-4,149647-99-4,0.0
110-89-4,149647-94-9,0.0
110-89-4,149648-69-1,0.0
110-89-4,149648-68-0,0.0
110-89-4,149648-65-7,0.0
110-89-4,149648-60-2,0.02
110-89-4,149648-57-7,0.017
110-89-4,149648-56-6,0.0
110-89-4,149648-54-4,0.0
110-89-4,149648-51-1,0.0
110-89-4,149648-46-4,0.0
110-89-4,149648-44-2,0.0
110-89-4,149648-32-8,0.0
110-89-4,149648-31-7,0.0
110-89-4,149648-30-6,0.0
110-89-4,149648-28-2,0.0
110-89-4,149648-26-0,0.0
110-89-4,149648-02-2,0.0
110-89-4,149648-01-1,0.0
110-89-4,149647-98-3,0.0
110-89-4,149647-97-2,0.0
110-89-4,149647-96-1,0.017
110-89-4,149647-95-0,0.019
110-89-4,149647-91-6,0.067
110-89-4,149647-90-5,0.067
110-89-4,149647-89-2,0.0
110-89-4,149647-88-1,0.0
110-89-4,149647-85-8,0.0
110-89-4,149647-83-6,0.068
110-89-4,149647-82-5,0.019
110-89-4,149647-81-4,0.018
110-89-4,149647-80-3,0.021
110-89-4,136268-94-5,0.0
110-89-4,149648-48-6,0.0
110-89-4,149648-47-5,0.0
110-89-4,149648-45-3,0.0
110-89-4,149648-43-1,0.032
110-89-4,149648-42-0,0.0
110-89-4,149648-41-9,0.0
110-89-4,149648-40-8,0.0
110-89-4,149648-38-4,0.0
110-89-4,149648-37-3,0.0
110-89-4,149648-36-2,0.0
110-89-4,149648-35-1,0.0
110-89-4,149648-34-0,0.0
110-89-4,149648-33-9,0.0
110-89-4,149648-25-9,0.0
110-89-4,149648-23-7,0.0
110-89-4,149648-22-6,0.0
110-89-4,149648-21-5,0.0
110-89-4,149648-20-4,0.0
110-89-4,149648-19-1,0.0
110-89-4,149648-18-0,0.0
110-89-4,149648-17-9,0.0
110-89-4,149648-16-8,0.0
110-89-4,149648-15-7,0.0
110-89-4,149648-13-5,0.0
110-89-4,149648-11-3,0.0
110-89-4,149648-09-9,0.0
110-89-4,149648-03-3,0.0
110-89-4,149647-92-7,0.0
110-89-4,149647-84-7,0.0
110-89-4,149648-67-9,0.0
110-89-4,149648-66-8,0.0
110-89-4,149648-64-6,0.0
110-89-4,149648-63-5,0.0
110-89-4,149648-62-4,0.019
110-89-4,149648-61-3,0.019
110-89-4,149648-59-9,0.02
110-89-4,149648-58-8,0.02
110-89-4,149648-55-5,0.042
110-89-4,149648-53-3,0.0
108-91-8,100-61-8,0.0
108-91-8,504-24-5,0.037
108-91-8,60-32-2,0.03
108-91-8,873-74-5,0.031
108-91-8,100-20-9,0.0
108-91-8,462-08-8,0.032
108-91-8,455-14-1,0.031
108-91-8,96-50-4,0.036
108-91-8,149647-78-9,0.0
108-91-8,110-70-3,0.0
108-91-8,1885-29-6,0.029
108-91-8,111-50-2,0.0
108-91-8,67-62-9,0.056
108-91-8,2237-30-1,0.028
108-91-8,622-33-3,0.029
108-91-8,111-19-3,0.0
108-91-8,372-39-4,0.036
108-91-8,22809-37-6,0.0
108-91-8,3544-25-0,0.028
108-91-8,10027-07-3,0.0
108-91-8,3946-32-5,0.0
108-91-8,123-98-8,0.0
108-91-8,142-79-0,0.0
108-91-8,6274-22-2,0.026
108-91-8,41624-92-4,0.0
108-91-8,782-45-6,0.021
108-91-8,22737-36-6,0.048
108-91-8,149648-52-2,0.0
108-91-8,26071-05-6,0.028
108-91-8,23713-85-1,0.0
108-91-8,149647-79-0,0.0
108-91-8,39642-93-8,0.0
108-91-8,149647-86-9,0.0
108-91-8,2409-13-4,0.0
108-91-8,149648-08-8,0.0
108-91-8,149648-49-7,0.017
108-91-8,149648-29-3,0.0
108-91-8,149648-10-2,0.0
108-91-8,149648-07-7,0.0
108-91-8,149647-87-0,0.0
108-91-8,94136-35-3,0.018
108-91-8,149648-06-6,0.0
108-91-8,149648-04-4,0.0
108-91-8,149647-77-8,0.0
108-91-8,78582-38-4,0.0
108-91-8,56384-27-1,0.0
108-91-8,149648-39-5,0.02
108-91-8,149648-27-1,0.0
108-91-8,149648-14-6,0.0
108-91-8,149648-12-4,0.0
108-91-8,149647-93-8,0.0
108-91-8,5502-67-0,0.018
108-91-8,149648-50-0,0.018
108-91-8,149648-24-8,0.0
108-91-8,149648-05-5,0.0
108-91-8,149648-00-0,0.0
108-91-8,149647-99-4,0.018
108-91-8,149647-94-9,0.0
108-91-8,149648-69-1,0.0
108-91-8,149648-68-0,0.0
108-91-8,149648-65-7,0.0
108-91-8,149648-60-2,0.0
108-91-8,149648-57-7,0.0
108-91-8,149648-56-6,0.0
108-91-8,149648-54-4,0.0
108-91-8,149648-51-1,0.016
108-91-8,149648-46-4,0.0
108-91-8,149648-44-2,0.0
108-91-8,149648-32-8,0.0
108-91-8,149648-31-7,0.0
108-91-8,149648-30-6,0.0
108-91-8,149648-28-2,0.0
108-91-8,149648-26-0,0.0
108-91-8,149648-02-2,0.018
108-91-8,149648-01-1,0.0
108-91-8,149647-98-3,0.0
108-91-8,149647-97-2,0.0
108-91-8,149647-96-1,0.0
108-91-8,149647-95-0,0.0
108-91-8,149647-91-6,0.062
108-91-8,149647-90-5,0.159
108-91-8,149647-89-2,0.024
108-91-8,149647-88-1,0.0
108-91-8,149647-85-8,0.0
108-91-8,149647-83-6,0.163
108-91-8,149647-82-5,0.0
108-91-8,149647-81-4,0.0
108-91-8,149647-80-3,0.0
108-91-8,136268-94-5,0.0
108-91-8,149648-48-6,0.0
108-91-8,149648-47-5,0.0
108-91-8,149648-45-3,0.0
108-91-8,149648-43-1,0.0
108-91-8,149648-42-0,0.0
108-91-8,149648-41-9,0.0
108-91-8,149648-40-8,0.0
108-91-8,149648-38-4,0.0
108-91-8,149648-37-3,0.0
108-91-8,149648-36-2,0.0
108-91-8,149648-35-1,0.0
108-91-8,149648-34-0,0.0
108-91-8,149648-33-9,0.0
108-91-8,149648-25-9,0.0
108-91-8,149648-23-7,0.0
108-91-8,149648-22-6,0.0
108-91-8,149648-21-5,0.0
108-91-8,149648-20-4,0.0
108-91-8,149648-19-1,0.0
108-91-8,149648-18-0,0.0
108-91-8,149648-17-9,0.0
108-91-8,149648-16-8,0.0
108-91-8,149648-15-7,0.0
108-91-8,149648-13-5,0.0
108-91-8,149648-11-3,0.0
108-91-8,149648-09-9,0.0
108-91-8,149648-03-3,0.0
108-91-8,149647-92-7,0.022
108-91-8,149647-84-7,0.0
108-91-8,149648-67-9,0.0
108-91-8,149648-66-8,0.0
108-91-8,149648-64-6,0.0
108-91-8,149648-63-5,0.0
108-91-8,149648-62-4,0.0
108-91-8,149648-61-3,0.0
108-91-8,149648-59-9,0.0
108-91-8,149648-58-8,0.0
108-91-8,149648-55-5,0.0
108-91-8,149648-53-3,0.0
100-61-8,504-24-5,0.103
100-61-8,60-32-2,0.027
100-61-8,873-74-5,0.088
100-61-8,100-20-9,0.103
100-61-8,462-08-8,0.125
100-61-8,455-14-1,0.088
100-61-8,96-50-4,0.065
100-61-8,149647-78-9,0.25
100-61-8,110-70-3,0.13
100-61-8,1885-29-6,0.147
100-61-8,111-50-2,0.0
100-61-8,67-62-9,0.045
100-61-8,2237-30-1,0.108
100-61-8,622-33-3,0.219
100-61-8,111-19-3,0.0
100-61-8,372-39-4,0.1
100-61-8,22809-37-6,0.0
100-61-8,3544-25-0,0.079
100-61-8,10027-07-3,0.0
100-61-8,3946-32-5,0.075
100-61-8,123-98-8,0.0
100-61-8,142-79-0,0.0
100-61-8,6274-22-2,0.162
100-61-8,41624-92-4,0.048
100-61-8,782-45-6,0.268
100-61-8,22737-36-6,0.04
100-61-8,149648-52-2,0.256
100-61-8,26071-05-6,0.108
100-61-8,23713-85-1,0.118
100-61-8,149647-79-0,0.244
100-61-8,39642-93-8,0.146
100-61-8,149647-86-9,0.05
100-61-8,2409-13-4,0.106
100-61-8,149648-08-8,0.096
100-61-8,149648-49-7,0.161
100-61-8,149648-29-3,0.275
100-61-8,149648-10-2,0.107
100-61-8,149648-07-7,0.127
100-61-8,149647-87-0,0.045
100-61-8,94136-35-3,0.148
