CAS Registry Number,Canonical SMILES,key
53123-88-9,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(O)C(OC)C4,0
159351-69-6,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCO)C(OC)C4,1
762-21-0,O=C(C#CC(=O)OCC)OCC,0
20485-43-2,O=C(O)C1=NC=CN1C,0
159351-72-1,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCCO)C(OC)C4,0
159351-77-6,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCOCCO)C(OC)C4,0
79060-23-4,OCC=CC1OC(OC1)(C)C,0
118992-89-5,OCC1=CC=C(C=C1)CO[Si](C)(C)C(C)(C)C,0
159351-88-9,O=C1OC(CC(=O)C(C=C(C)C(OC)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(O)C(OC)C4,0
159351-98-1,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCN)C(OC)C4,0
153786-35-7,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCC=C)C(OC)C4,0
159351-99-2,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCNC(=O)C)C(OC)C4,0
159351-95-8,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCC=5C=CC=CC5)C(OC)C4,0
159351-93-6,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCNS(=O)(=O)C5=CC=C(C=C5)C)C(OC)C4,0
159351-83-4,O=C(OCCOC1CCC(CC1OC)CC(C)C2OC(=O)C3N(C(=O)C(=O)C4(O)OC(CCC4C)CC(OC)C(=CC=CC=CC(C)CC(C(=O)C(OC)C(O)C(=CC(C(=O)C2)C)C)C)C)CCCC3)CN5C=NC=C5,0
159351-82-3,O=C(OCCOC1CCC(CC1OC)CC(C)C2OC(=O)C3N(C(=O)C(=O)C4(O)OC(CCC4C)CC(OC)C(=CC=CC=CC(C)CC(C(=O)C(OC)C(O)C(=CC(C(=O)C2)C)C)C)C)CCCC3)CN5CCOCC5,0
159351-79-8,O=C(OCCOC1CCC(CC1OC)CC(C)C2OC(=O)C3N(C(=O)C(=O)C4(O)OC(CCC4C)CC(OC)C(=CC=CC=CC(C)CC(C(=O)C(OC)C(O)C(=CC(C(=O)C2)C)C)C)C)CCCC3)C,0
159351-74-3,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCCCCCO)C(OC)C4,0
159351-92-5,O=C(OCC)NCCOC1CCC(CC1OC)CC(C)C2OC(=O)C3N(C(=O)C(=O)C4(O)OC(CCC4C)CC(OC)C(=CC=CC=CC(C)CC(C(=O)C(OC)C(O)C(=CC(C(=O)C2)C)C)C)C)CCCC3,0
159351-84-5,O=C(OCCOC1CCC(CC1OC)CC(C)C2OC(=O)C3N(C(=O)C(=O)C4(O)OC(CCC4C)CC(OC)C(=CC=CC=CC(C)CC(C(=O)C(OC)C(O)C(=CC(C(=O)C2)C)C)C)C)CCCC3)CN5CCN(C)CC5,0
159351-67-4,O=C(OCCO)COC1CCC(CC1OC)CC(C)C2OC(=O)C3N(C(=O)C(=O)C4(O)OC(CCC4C)CC(OC)C(=CC=CC=CC(C)CC(C(=O)C(OC)C(O)C(=CC(C(=O)C2)C)C)C)C)CCCC3,0
159351-60-7,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCC5=CC=C(C=C5)CO)C(OC)C4,0
159351-94-7,O=C(OCC)C=1N=NN(C1C(=O)OCC)CCOC2CCC(CC2OC)CC(C)C3OC(=O)C4N(C(=O)C(=O)C5(O)OC(CCC5C)CC(OC)C(=CC=CC=CC(C)CC(C(=O)C(OC)C(O)C(=CC(C(=O)C3)C)C)C)C)CCCC4,0
159351-90-3,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCNC(=O)C=5C=NC=CC5)C(OC)C4,0
159351-87-8,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCO)C(OC)C4,0
159351-85-6,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC5OCCOC5C4,0
159351-80-1,O=C(OCCOC1CCC(CC1OC)CC(C)C2OC(=O)C3N(C(=O)C(=O)C4(O)OC(CCC4C)CC(OC)C(=CC=CC=CC(C)CC(C(=O)C(OC)C(O)C(=CC(C(=O)C2)C)C)C)C)CCCC3)C=5C=NC=CC5,0
159351-65-2,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCC=CC(O)CO)C(OC)C4,0
159351-63-0,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCC5=CC=C(C=C5)C(O)CO)C(OC)C4,0
159351-68-5,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCO[Si](C)(C)C(C)(C)C)C(OC)C4,0
157582-80-4,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCC(O)CO)C(OC)C4,0
143030-02-8,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(O[Si](C)(C)C(C)(C)C)C(OC)C4,0
156925-79-0,O=S(=O)(OCC1OC(OC1)(C)C)C(F)(F)F,0
159351-70-9,O=S(=O)(OCCCO[Si](C)(C)C(C)(C)C)C(F)(F)F,0
108438-03-5,O=S(=O)(OCCCCCCO[Si](C)(C)C(C)(C)C)C(F)(F)F,0
150481-78-0,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(CC(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(O)C(OC)C4,0
159351-97-0,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCBr)C(OC)C4,0
159351-91-4,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(OCCNC(=O)C5=NC=CN5C)C(OC)C4,0
159351-89-0,[N-]=[N+]=NCCOC1CCC(CC1OC)CC(C)C2OC(=O)C3N(C(=O)C(=O)C4(O)OC(CCC4C)CC(OC)C(=CC=CC=CC(C)CC(C(=O)C(OC)C(O)C(=CC(C(=O)C2)C)C)C)C)CCCC3,0
159351-81-2,O=C(OCCOC1CCC(CC1OC)CC(C)C2OC(=O)C3N(C(=O)C(=O)C4(O)OC(CCC4C)CC(OC)C(=CC=CC=CC(C)CC(C(=O)C(OC)C(O)C(=CC(C(=O)C2)C)C)C)C)CCCC3)CBr,0
144006-35-9,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(O)C(OC)C4,0
159351-96-9,[N-]=[N+]=CC(=O)OCCO[Si](C)(C)C(C)(C)C,0
