CAS Registry Number,Canonical SMILES,key
50-28-2,OC1=CC=C2C(=C1)CCC3C2CCC4(C)C(O)CCC34,0
50-23-7,O=C1C=C2CCC3C4CCC(O)(C(=O)CO)C4(C)CC(O)C3C2(C)CC1,0
23214-92-8,O=C1C=2C=CC=C(OC)C2C(=O)C=3C(O)=C4C(=C(O)C13)CC(O)(C(=O)CO)CC4OC5OC(C)C(O)C(N)C5,0
107-15-3,NCCN,0
50-02-2,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,0
75-07-0,O=CC,0
50-18-0,O=P1(OCCCN1)N(CCCl)CCCl,0
51-21-8,O=C1NC=C(F)C(=O)N1,0
59-05-2,O=C(O)CCC(NC(=O)C1=CC=C(C=C1)N(C)CC=2N=C3C(=NC2)N=C(N=C3N)N)C(=O)O,0
33069-62-4,O=C(OC1C2C3(OC(=O)C)COC3CC(O)C2(C(=O)C(OC(=O)C)C4=C(C)C(OC(=O)C(O)C(NC(=O)C=5C=CC=CC5)C=6C=CC=CC6)CC1(O)C4(C)C)C)C=7C=CC=CC7,0
110-91-8,O1CCNCC1,0
100-39-0,BrCC=1C=CC=CC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
53-03-2,O=C1C=CC2(C(=C1)CCC3C2C(=O)CC4(C)C3CCC4(O)C(=O)CO)C,0
76-05-1,O=C(O)C(F)(F)F,0
59-67-6,O=C(O)C=1C=NC=CC1,0
50-24-8,O=C1C=CC2(C(=C1)CCC3C4CCC(O)(C(=O)CO)C4(C)CC(O)C32)C,0
302-79-4,O=C(O)C=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C,0
57-22-7,O=CN1C2=CC(OC)=C(C=C2C34CCN5CC=CC(CC)(C(OC(=O)C)C(O)(C(=O)OC)C13)C54)C6(C(=O)OC)C=7NC=8C=CC=CC8C7CCN9CC(CC(O)(C9)CC)C6,0
18162-48-6,Cl[Si](C)(C)C(C)(C)C,0
