CAS Registry Number,Canonical SMILES,key
62-53-3,NC=1C=CC=CC1,0
100-46-9,NCC=1C=CC=CC1,0
109-01-3,N1CCN(C)CC1,0
530-62-1,O=C(N1C=NC=C1)N2C=NC=C2,0
108-77-0,ClC=1N=C(Cl)N=C(Cl)N1,0
61-54-1,NCCC1=CNC=2C=CC=CC21,0
768-94-5,NC12CC3CC(CC(C3)C1)C2,0
1826-67-1,Br[Mg]C=C,0
762-04-9,O=P(OCC)OCC,0
92-54-6,C=1C=CC(=CC1)N2CCNCC2,0
2038-03-1,O1CCN(CC1)CCN,0
615-43-0,IC=1C=CC=CC1N,0
76513-69-4,ClCOCC[Si](C)(C)C,0
108-69-0,NC=1C=C(C=C(C1)C)C,0
27757-85-3,S1C=CC=C1CN,0
87120-72-7,O=C(OC(C)(C)C)N1CCC(N)CC1,0
3934-20-1,ClC1=NC=CC(Cl)=N1,0
1193-21-1,ClC1=NC=NC(Cl)=C1,0
4319-49-7,O1CCN(N)CC1,0
367-24-8,FC1=CC(Br)=CC=C1N,0
676-97-1,O=P(Cl)(Cl)C,0
35303-76-5,O=S(=O)(N)C1=CC=C(C=C1)CCN,0
5750-76-5,ClC1=NC=C(Cl)C(Cl)=N1,0
6928-85-4,NN1CCN(C)CC1,0
583-75-5,BrC1=CC=C(N)C(=C1)C,0
17768-41-1,NCC12CC3CC(CC(C3)C1)C2,0
1635-61-6,O=N(=O)C1=CC=C(Cl)C=C1N,0
1197953-54-0,O=P(C=1C=CC=CC1NC2=NC(=NC=C2Cl)NC3=CC=C(C=C3OC)N4CCC(N5CCN(C)CC5)CC4)(C)C,1
1780-31-0,ClC1=NC=C(C(Cl)=N1)C,0
321-23-3,O=N(=O)C1=CC=C(Br)C=C1F,0
2831-66-5,ClC1=NC=NC(Cl)=N1,0
3932-97-6,FC(F)(F)C1=CN=C(Cl)N=C1Cl,0
1780-26-3,ClC=1N=C(N=C(Cl)C1)C,0
7211-39-4,O=P(C)C,0
448-19-1,O=N(=O)C1=CC=C(F)C=C1OC,0
53617-36-0,N1CCC(N2CCN(C)CC2)CC1,0
90213-66-4,ClC=1N=C(Cl)C=2C=CNC2N1,0
