CAS Registry Number,Canonical SMILES,key
56-65-5,O=P(O)(O)OP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC=3C(=NC=NC32)N)C(O)C1O,0
108-24-7,O=C(OC(=O)C)C,0
98-88-4,O=C(Cl)C=1C=CC=CC1,0
74-89-5,NC,0
98-59-9,O=S(=O)(Cl)C1=CC=C(C=C1)C,0
75-36-5,O=C(Cl)C,0
124-63-0,O=S(=O)(Cl)C,0
10025-87-3,O=P(Cl)(Cl)Cl,0
3282-30-2,O=C(Cl)C(C)(C)C,0
79-03-8,O=C(Cl)CC,0
765-30-0,NC1CC1,0
122-04-3,O=C(Cl)C1=CC=C(C=C1)N(=O)=O,0
100-07-2,O=C(Cl)C1=CC=C(OC)C=C1,0
122-01-0,O=C(Cl)C1=CC=C(Cl)C=C1,0
103-80-0,O=C(Cl)CC=1C=CC=CC1,0
79-30-1,O=C(Cl)C(C)C,0
874-60-2,O=C(Cl)C1=CC=C(C=C1)C,0
141-75-3,O=C(Cl)CCC,0
106-31-0,O=C(OC(=O)CCC)CCC,0
638-29-9,O=C(Cl)CCCC,0
624-78-2,N(C)CC,0
97-72-3,O=C(OC(=O)C(C)C)C(C)C,0
38870-89-2,O=C(Cl)COC,0
118-48-9,O=C1OC(=O)C=2C=CC=CC2N1,0
87-42-3,ClC1=NC=NC=2N=CNC12,0
701-99-5,O=C(Cl)COC=1C=CC=CC1,0
10310-21-1,ClC1=NC(=NC=2N=CNC12)N,0
1538-75-6,O=C(OC(=O)C(C)(C)C)C(C)(C)C,0
20535-83-5,N1=CNC2=C1N=C(N=C2OC)N,0
2082-59-9,O=C(OC(=O)CCCC)CCCC,0
3083-77-0,O=C1C=CN(C(=O)N1)C2OC(CO)C(O)C2O,0
69304-37-6,Cl[Si](O[Si](Cl)(C(C)C)C(C)C)(C(C)C)C(C)C,0
938-55-6,N1=CN=C(C=2NC=NC12)N(C)C,0
121032-29-9,OCC1OC(N2C=NC=3C(=NC(=NC32)N)OC)C(O)C1O,1
1074-89-1,N1=CN=C(OC)C=2NC=NC12,0
2545-26-8,IC1=NC=NC=2N=CNC12,0
19690-23-4,IC1=NC(=NC=2N=CNC12)N,0
892-49-9,S=C1N=CNC2=C1N=CN2C3OC(CO)C(O)C3O,0
17861-06-2,N1=CN=C(OCC)C=2NC=NC12,0
91969-06-1,OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O,0
1928-89-8,N1=CN=C(C=2NC=NC12)N3CCCC3,0
117761-02-1,N1=CN=C(NC2CC2)C=3NC=NC13,0
5417-86-7,N1=CN=C(OCCC)C=2NC=NC12,0
60209-41-8,OCC1OC(N2C=NC=3C(=NC=NC32)NC)C(O)C1O,0
7770-17-4,OCC1OC(N2C=NC=3C2=NC=NC3N(C)C)C(O)C1O,0
25050-40-2,ClC=1N=C(Cl)C=2N=CN(C2N1)C3OC(COCC=4C=CC=CC4)C(OCC=5C=CC=CC5)C3OCC=6C=CC=CC6,0
121032-22-2,O=C(OC1C(O)C(OC1N2C=NC=3C(=NC=NC32)OC)CO)CCCC,0
121057-95-2,N1=CN=C(C=2NC=NC12)N(C)CC,0
121032-46-0,O=C(OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(OC(=O)C)C1OC(=O)C)C,0
121032-28-8,OCC1OC(N2C=NC=3C2=NC=NC3N(C)CC)C(O)C1O,0
121032-23-3,OCC1OC(N2C=NC=3C(=NC=NC32)OCC)C(O)C1O,0
121032-57-3,O=P(O)(O)OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O,0
121032-30-2,OCC1OC(N2C=NC=3C(=NC=NC32)OCCC)C(O)C1O,0
91275-67-1,OCC1OC(N2C=NC=3C2=NC=NC3N4CCCC4)C(O)C1O,0
121032-61-9,ClC=1N=C(NC)C=2N=CN(C2N1)C3OC(COCC=4C=CC=CC4)C(OCC=5C=CC=CC5)C3OCC=6C=CC=CC6,0
121032-58-4,O=P(O)(O)OP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O,0
121032-55-1,O=C(OC1C(O)C(OC1N2C=NC=3C(=NC=NC32)OC)CO)C=4C=CC=CC4N,0
121032-53-9,O=C(OC1C(O)C(OC1N2C=NC=3C(=NC=NC32)OC)CO)C4=CC=C(Cl)C=C4,0
121032-52-8,O=C(OC1C(O)C(OC1N2C=NC=3C(=NC=NC32)OC)CO)C4=CC=C(C=C4)C,0
121032-51-7,O=C(OC1C(O)C(OC1N2C=NC=3C(=NC=NC32)OC)CO)C4=CC=C(OC)C=C4,0
121032-48-2,O=C(OC1C(O)C(OC1N2C=NC=3C(=NC=NC32)OC)CO)C(C)C,0
121032-47-1,O=C(OC1C(O)C(OC1N2C=NC=3C(=NC=NC32)OC)CO)CCC,0
121032-45-9,O=C(OC1C(O)C(OC1N2C=NC=3C(=NC=NC32)OC)CO)C(C)(C)C,0
121032-44-8,O=C(OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O)C(C)C,0
121032-43-7,O=C(OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O)C,0
121032-42-6,O=C(OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O)C(C)(C)C,0
121032-41-5,O=C(OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O)CCC,0
121032-40-4,O=C(OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O)CC,0
121032-39-1,O=C(OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O)C4=CC=C(C=C4)N(=O)=O,0
121032-38-0,O=C(OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O)COC,0
121032-37-9,O=C(OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O)COC=4C=CC=CC4,0
121032-36-8,O=C(OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O)CC=4C=CC=CC4,0
121032-35-7,O=C(OCC1OC(N2C=NC=3C(=NC=NC32)OC)C(O)C1O)C4=CC=C(OC)C=C4,0
