CAS Registry Number,Canonical SMILES,key
1703795-21-4,FC1=CC=C(C(F)=C1)C(O)(C2=CN=C(N=C2)N3CCNCC3)C,0
1703795-20-3,FC1=CC=C(C=C1)C(N)(C2=CN=C(N=C2)N3CCNCC3)C(F)(F)F,0
1703795-19-0,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=N2)C(NS(=O)C(C)(C)C)(C3=CC=C(F)C=C3)C(F)(F)F)CC1,0
1703795-18-9,O=S(N=C(C1=CC=C(F)C=C1)C(F)(F)F)C(C)(C)C,0
1703795-17-8,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=N2)C(=C)C3=CC=C(F)C=C3)C(CO)C1,0
1703795-16-7,FC1=CN=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCNCC3)C,0
1703795-15-6,FC1=CN=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCNCC3)C,0
1703795-14-5,FC1=CN=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCNCC3)C,0
1703795-13-4,O=C(OCC=1C=CC=CC1)N2CCN(C3=NC=C(C=N3)C(O)(C4=NC=C(F)C=C4)C)CC2,0
1703795-12-3,FC1=CC=C(C=C1)C2(C3=CN=C(N=C3)N4CCNCC4)COC2,0
1703795-11-2,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=N2)C3(C4=CC=C(F)C=C4)COC3)CC1,0
1703795-10-1,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=N2)C(C3=CC=C(F)C=C3)(CO)CO)CC1,0
1703795-09-8,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=N2)C(C(=O)OC)(C3=CC=C(F)C=C3)CO)CC1,0
1703795-08-7,FC1=CC=C(C=C1)C(C2=CN=C(N=C2)N3CCNCC3)(C)CO,0
1703795-07-6,FC1=CC=C(C=C1)C(C2=CN=C(N=C2)N3CCNCC3)(C)CO,0
1703795-06-5,FC1=CC=C(C=C1)C(C2=CN=C(N=C2)N3CCNCC3)(C)CO,0
1703795-05-4,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=N2)C(C3=CC=C(F)C=C3)(C)CO)CC1,0
1703795-04-3,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=N2)C(C(=O)OC)(C3=CC=C(F)C=C3)C)CC1,0
1703795-03-2,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=N2)C(C(=O)OC)C3=CC=C(F)C=C3)CC1,0
1703795-01-0,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=N2)S(=O)(=O)C3=CC=C(F)C=C3)CC1,0
1703795-00-9,O=C(OC(C)(C)C)N1CCN(C2=NC=C(SC3=CC=C(F)C=C3)C=N2)CC1,0
1703794-98-2,FC1=CC=C(C=C1)C(C2=CN=C(N=C2)N3CCNCC3)CO,0
1703794-97-1,FC1=CC=C(C=C1)C(C2=CN=C(N=C2)N3CCNCC3)CO,0
1703794-96-0,FC1=CC=C(C=C1)C(C2=CN=C(N=C2)N3CCNCC3)CO,0
1703794-95-9,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=N2)C(C3=CC=C(F)C=C3)CO)CC1,0
1703794-94-8,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=N2)C(=C)C3=CC=C(F)C=C3)CC1,0
1703794-88-0,FC1=CC=C(C=C1)C(N)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C,0
1703794-87-9,O=S(NC(C1=CN=C(N=C1)N2CCN(C3=NC=NN4C=C(C=C34)C=5C=NN(C5)C)CC2)(C6=CC=C(F)C=C6)C)C(C)(C)C,0
1703794-86-8,O=S(N=C(C1=CN=C(N=C1)N2CCN(C3=NC=NN4C=C(C=C34)C=5C=NN(C5)C)CC2)C6=CC=C(F)C=C6)C(C)(C)C,0
1703794-84-6,N=1C=NN2C=C(C=C2C1N3CCN(C4=NC=C(C=N4)C(N)C=5C=CC=CC5)CC3)C=6C=NN(C6)C,0
1703794-82-4,FC1=CC=C(C=C1)C(C2=CN=C(N=C2)N3CCNCC3)CC,0
1703794-80-2,FC1=CC=C(C=C1)C(C2=CN=C(N=C2)N3CCNCC3)CC,0
1703794-79-9,FC1=CC=C(C=C1)C(C2=CN=C(N=C2)N3CCNCC3)CC,0
1703794-78-8,FC1=CC=C(C=C1)C(=CC)C2=CN=C(N=C2)N3CCNCC3,0
1703794-76-6,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCNCC3)CC,0
1703794-65-3,O=C(OC(C)(C)C)N1CCOC(CN2N=CC(=C2)C=3C=C4C(=NC=NN4C3)N5CCN(C6=NC=C(SC=7C=CC=CC7F)C=N6)CC5)C1,0
1703794-63-1,FC=1C=CC=CC1SC2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(Br)C=C45)CC3,0
1703794-57-3,O=C(OC(C)(C)C)N1CCN(C2=NC=C(SC=3C=CC=CC3F)C=N2)CC1,0
1703794-54-0,O=C(OC(C)(C)C)N1CCOC(CN2N=CC(=C2)B3OC(C)(C)C(O3)(C)C)C1,0
1703794-49-3,ClC1=NC=NN2C=C(C(Cl)=C12)C=3C=NN(C3)C,0
1703794-47-1,O=C1N=CNN2C=C(C(Cl)=C12)C=3C=NN(C3)C,0
1703794-44-8,O=C1N=CNN2C=C(Br)C(Cl)=C12,0
1703794-31-3,N=1C=C(C=NC1N2CCNCC2)C(C=3C=CC=CC3)C,0
1703794-30-2,N=1C=C(C=NC1N2CCNCC2)C(C=3C=CC=CC3)C,0
1703794-29-9,N=1C=C(C=NC1N2CCNCC2)C(C=3C=CC=CC3)C,0
1703794-28-8,O=C(OC(C)(C)C)N1CC=C(C=2C=C3C(=NC=NN3C2)N4CCN(C5=NC=C(C=N5)C(O)(C6=CC=C(F)C=C6)C)CC4)CC1,0
1703794-27-7,FC=1C=CC=CC1SC2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)CC7OCCNC7)CC3,0
1703794-26-6,FC1=CC=C(C=C1)C(N)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C(F)(F)F,0
1703794-25-5,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C7COC7)CC3)C,0
1703794-24-4,N=1C=NN2C=C(C=C2C1N3CCN(C4=NC=C(C=N4)CC=5C=CC=CC5)CC3)C=6C=NN(C6)CC7OCCNC7,0
1703794-23-3,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=CC(=CC6)C7CC7)CC3)C,0
1703794-22-2,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C(F)F,0
1703794-21-1,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C(F)F,0
1703794-20-0,FC=1C=C(F)C(=C(F)C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C,0
1703794-19-7,FC=1C=C(F)C(=C(F)C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C,0
1703794-18-6,FC=1C=C(F)C(=C(F)C1)C(N)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C,0
1703794-17-5,FC=1C=C(F)C(=C(F)C1)C(N)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C,0
1703794-16-4,FC1=CC=C(C=C1)C(N)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C(F)F,0
1703794-15-3,FC1=CC=C(C=C1)C(N)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C(F)F,0
1703794-14-2,FC1=CC=C(C(Cl)=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C,0
1703794-13-1,FC1=CC=C(C(Cl)=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C,0
1703794-12-0,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C(Cl)=C45)C=6C=NN(C6)C)CC3)C,0
1703794-11-9,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C(Cl)=C45)C=6C=NN(C6)C)CC3)C,0
1703794-10-8,FC=1C=C(F)C(=C(F)C1)C(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)(C)C,0
1703794-09-5,FC=1C=CC=CC1SC2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)CC(O)C)CC3,0
1703794-08-4,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C7CC7,0
1703794-07-3,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)C7CC7,0
1703794-06-2,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=CC(OC)=CC6)CC3)C,0
1703794-05-1,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=CC=C(OC)C6)CC3)C,0
1703794-04-0,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NNC6)CC3)C(F)F,0
1703794-03-9,O=S(=O)(C1=CN=C(N=C1)N2CCN(C3=NC=NN4C=C(C=C34)C=5C=NN(C5)C)CC2)C6=CC=C(F)C=C6,0
1703794-02-8,O=C(C=1C=CC(=CC1)C=2C=C3C(=NC=NN3C2)N4CCN(C5=NC=C(C=N5)CC=6C=CC=CC6)CC4)N(C)C,0
1703794-01-7,FC=1C=CC=CC1SC2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3CO,0
1703794-00-6,FC1=CC=C(C=C1)C(O)(C2=CN=C(N=C2)N3CCN(C4=NC=NN5C=C(C=C45)C=6C=NN(C6)C)CC3)CF,0
