CAS Registry Number,Canonical SMILES,key
19889-77-1,O=C(N)C1NCCCC1,0
827614-66-4,N1=CC(=CN1CC(C)C)B2OC(C)(C)C(O2)(C)C,0
131738-73-3,BrC1=CC=CC(OC(C)C)=C1,0
16523-02-7,O=S(=O)(C)CCBr,0
82031-32-1,O=C1C=NC=2C=CC(Br)=CC2N1,0
37067-95-1,IC1=NC=CN1C,0
79257-61-7,O=C(NC=1C=C(OC)C=C(OC)C1)C,0
4945-53-3,O1CC1CN2CCCCC2,0
89891-65-6,ClC1=NC2=CC(Br)=CC=C2N=C1,0
74165-74-5,O=C(O)C=1C=C(OC)C=C(N)C1,0
855400-66-7,BrC=1C=C(O)C=C(OC)C1,0
55686-94-7,O=N(=O)C1=CC=C2N=CC(Cl)=NC2=C1,0
217314-47-1,O=C(OC)C=1C=C(OC)C=C(N)C1,0
1083325-87-4,BrC=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C,0
120758-03-4,ClC=1C(OC)=CC(OC)=CC1N,0
180297-31-8,O=S(=O)(OCC#CCO[Si](C)(C)C(C)(C)C)C,0
82477-68-7,ClC=1C=C(OC)C=C(C1)CO,0
35006-61-2,ClCCC#CC=1C=CC=CC1,0
1346245-52-0,O=C(NC)CN1N=CC(=C1)B2OC(C)(C)C(O2)(C)C,0
470703-82-3,O=C(OC(C)(C)C)NCC(F)(F)F,0
151161-77-2,O=S(=O)(N1C=NC(=C1)C)N(C)C,0
1346133-39-8,N1=CC(=NC=2C=C(C=CC12)NC=3C=C(OC)C=C(OC)C3)C=4C=NN(C4)C,0
1346245-04-2,N1=CC(=NC=2C=C(N)C=CC12)C=3C=NN(C3)C,0
1261566-52-2,OCC=1C=C(OC)C=C(N)C1,0
573704-48-0,O=C(NC=1C=C(OC)C=C(OC)C1Cl)C,0
403802-41-5,O=C(OC(C)(C)C)N1CCC(C#CCO)CC1,0
1346245-22-4,BrC=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C4OCCCC4,0
924911-12-6,N1=CC=C(N1C)CCO[Si](C)(C)C(C)(C)C,0
33598-24-2,ClCC#CCC=1C=CC=CC1,0
16024-31-0,O=N(=O)C=1C=C(OC)C=C(OC)C1C,0
1346245-09-7,O(C=1C=C(OC)C=C(C1)NCCO[Si](C)(C)C(C)(C)C)C,0
1346245-08-6,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)CCO[Si](C)(C)C(C)(C)C)C=4C=NN(C4)C,0
145183-06-8,O(C=1C=C(OC)C(=C(N)C1)C)C,0
1346253-25-5,O=C(OC(C)(C)C)N1CCC(N2N=CC(=C2)C3=NC=4C=C(Br)C=CC4N=C3)CC1,0
1346245-65-5,BrC=1C=NN(C1CCO)C,0
1346243-54-6,N1=CC(=CN1)C2=NC=3C=C(C=CC3N=C2)N(C=4C=C(OC)C=C(OC)C4)CCNC(C)C,0
1235566-57-0,BrC=1C=C(OC)C=C(OC(C)C)C1,0
1083326-12-8,BrC=1C=CC=2N=CC(=NC2C1)C=3C=NNC3,0
335653-61-7,FC(F)(F)CN1CCC(CN)CC1,0
1346250-53-0,FC=1C=C(OC)C=C(C1)N(C=2C=CC=3N=CC(=NC3C2)C=4C=NN(C4)C5OCCCC5)CCNC(C)C,0
1346249-61-3,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)CCNC(C)C)C=4C=NN(C4)C5OCCCC5,0
1346249-31-7,FC=1C=C(OC)C=C(C1)N(C=2C=CC=3N=CC(=NC3C2)C=4C=NN(C4)C5OCCCC5)CCO,0
1346247-16-2,OCCN(C=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C4OCCCC4)C=5C=C(OC)C=C(OC)C5,0
1346246-09-0,N1=CC(=NC=2C=C(C=CC12)NC=3C=C(OC)C=C(OC)C3)C=4C=NN(C4)C5OCCCC5,0
1346245-92-8,O=CC1=NC(=CN1S(=O)(=O)N(C)C)C,0
1346245-66-6,BrC=1C=NN(C1CCO[Si](C)(C)C(C)(C)C)C,0
1346245-23-5,N1=CC(=NC=2C=C(C=CC12)NC=3C=CC=CC3)C=4C=NN(C4)C5OCCCC5,0
1346245-13-3,ClC1=NC2=CC(=CC=C2N=C1)NC=3C=C(OC)C=C(OC)C3,0
1346245-12-2,O=C1C=NC=2C=CC(=CC2N1)NC=3C=C(OC)C=C(OC)C3,0
1346245-03-1,O=N(=O)C=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C,0
1346243-08-0,N1=CC(=CN1)C2=NC=3C=C(C=CC3N=C2)N(C=4C=C(OC)C=C(OC)C4)CC5CC5,0
385814-36-8,O=S(=O)(OCC1OCCN(CC=2C=CC=CC2)C1)C,0
1346253-31-3,N1=CC(=CN1CCCO[Si](C)(C)C(C)(C)C)B2OC(C)(C)C(O2)(C)C,0
1346252-12-7,FC1=C(OC)C=C(OC)C(F)=C1N(C=2C=CC=3N=CC(=NC3C2)C=4C=NN(C4)C)CCNC(C)C,0
1346251-07-7,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)CCN(C)C)C=4C=NN(C4)C,0
1346251-05-5,ClC1=C(OC)C=C(OC)C(Cl)=C1N(C=2C=CC=3N=CC(=NC3C2)C=4C=NN(C4)C)CCNC(C)C,0
1346249-05-5,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)CCNC)C=4C=NN(C4)CC,0
1346249-01-1,O=C(NCCN(C=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C)C=4C=C(OC)C=C(OC)C4)C,0
1346248-46-1,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)CCCNC(C)C)C=4C=NN(C4)C,0
1346247-29-7,O=S(=O)(NCCN(C=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C)C=4C=C(OC)C=C(OC)C4)C,0
1346246-31-8,ClC1=NC2=CC(=CC=C2N=C1)N(C=3C=C(OC)C=C(OC)C3)CCO,0
1346246-08-9,BrC=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C(C)C,0
1346246-04-5,ClC1=NC2=CC(=CC=C2N=C1)N(C=3C=C(OC)C=C(OC)C3)CCO[Si](C)(C)C(C)(C)C,0
1346245-94-0,O=S(=O)(N1C=C(N=C1CCl)C)N(C)C,0
1346245-20-2,ClC1=NC2=CC(=CC=C2N=C1)N(C=3C=C(OC)C=C(OC)C3)CC4CC4,0
1346245-14-4,ClC1=NC2=CC(=CC=C2N=C1)N(C=3C=C(OC)C=C(OC)C3)CCCO[Si](C)(C)C(C)(C)C,0
1346245-10-0,O=S(=O)(OCCN(C=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C)C=4C=C(OC)C=C(OC)C4)C,0
1346243-57-9,OC=1C=C(OC)C=C(C1)N(C=2C=CC=3N=CC(=NC3C2)C=4C=NN(C4)C)CCNC(C)C,0
1346242-78-1,OCCN(C=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C)C=4C=C(OC)C=C(OC)C4,0
1021002-43-6,OCCNC=1C=C(OC)C=C(OC)C1,0
403802-43-7,O=C(OC(C)(C)C)N1CCC(C#CCOS(=O)(=O)C)CC1,0
387353-98-2,N1=C(C(=C(N1C)C)[Sn](CCCC)(CCCC)CCCC)C,0
1360448-61-8,N=1C=CC(=CC1C=CCN(C=2C=CC=3N=CC(=NC3C2)C=4C=NN(C4)C)C=5C=C(OC)C=C(OC)C5)C,0
1360448-58-3,OC(CN1N=CN=C1C)CN(C=2C=CC=3N=CC(=NC3C2)C=4C=NN(C4)C)C=5C=C(OC)C=C(OC)C5,0
1360448-54-9,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)C4CCC(NC(C)C)CC4)C=5C=NN(C5)C,0
1360447-72-8,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)CCN4CC(C)CC(C)C4)C=5C=NN(C5)C,0
1360447-58-0,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)CCNC(C)C)C=4C=NN(C4)C,0
1346411-58-2,OC(COC)CN(C=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C(C)C)C=4C=C(OC)C=C(OC)C4,0
1346411-57-1,OC(COC)CN(C=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C(C)C)C=4C=C(OC)C=C(OC)C4,0
1346411-56-0,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)CCNC(C)C)C=4C=NN(C4)C5COCC5,0
1346411-55-9,C(#CC1CCNCC1)CN(C=2C=CC=3N=CC(=NC3C2)C=4C=NN(C4)C)C=5C=C(OC)C=C(OC)C5,0
1346411-54-8,N#CCC1N(CCCN(C=2C=CC=3N=CC(=NC3C2)C=4C=NN(C4)C)C=5C=C(OC)C=C(OC)C5)CCC1,0
1346411-53-7,N1=CC(=NC=2C=C(C=CC12)N(C3=CC(OC)=CC(=C3)CN)CC4CC4)C=5C=NN(C5)C,0
1346411-50-4,ClC=1C=C(OC)C=C(C1)N(C=2C=CC=3N=CC(=NC3C2)C=4C=NN(C4)C)CCCN5CCCC5,0
1346411-46-8,N1=CC(=NC2=CC(=CC=C12)N(C=3C=C(OC)C=C(OC)C3)CCNC(C)C)C=4C(=NN(C4C)C)C,0
1346411-44-6,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)CCN(CCCN)C(C)C)C=4C=NN(C4)C,0
1346411-43-5,N1=CC(=CN1)C2=NC=3C=C(C=CC3N=C2)N(C=4C=C(OC)C=C(OC)C4)CCN5CCCC5,0
1346411-42-4,O=C1N(CCC1)CCCN(C=2C=CC=3N=CC(=NC3C2)C=4C=NN(C4)CC)C=5C=C(OC)C=C(OC)C5,0
1346256-64-1,OC(CN(C=1C=CC=2N=CC(=NC2C1)C=3C=NN(C3)C)C=4C=C(OC)C=C(OC)C4)CC,0
1346256-62-9,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)CCCN4N=CN=C4C)C=5C=NN(C5)C,0
1346256-61-8,N1=CC(=NC=2C=C(C=CC12)N(C=3C=C(OC)C=C(OC)C3)CCCN4N=C(N=C4)C)C=5C=NN(C5)C,0
1346256-59-4,OC=1C=C(OC)C=C(C1)N(C=2C=CC=3N=CC(=NC3C2)C=4C=NNC4)CCCO,0
1346253-33-5,O=S(=O)(OCCCN1N=CC(=C1)C2=NC=3C=C(C=CC3N=C2)NC=4C=C(OC)C=C(OC)C4)C,0
1346253-32-4,OCCCN1N=CC(=C1)C2=NC=3C=C(C=CC3N=C2)NC=4C=C(OC)C=C(OC)C4,0
