CAS Registry Number,Canonical SMILES,key
64-17-5,OCC,0
7440-09-7,[K],0
7440-23-5,[Na],0
75-05-8,N#CC,0
71-36-3,OCCCC,0
100-51-6,OCC=1C=CC=CC1,0
109-73-9,NCCCC,0
10025-87-3,O=P(Cl)(Cl)Cl,0
109-01-3,N1CCN(C)CC1,0
109-86-4,OCCOC,0
75-08-1,SCC,0
7646-69-7,[NaH],0
109-55-7,NCCCN(C)C,0
100-53-8,SCC=1C=CC=CC1,0
109-85-3,O(C)CCN,0
111-77-3,OCCOCCOC,0
1003-03-8,NC1CCCC1,0
95-68-1,NC1=CC=C(C=C1C)C,0
6482-24-2,BrCCOC,0
554-00-7,ClC1=CC=C(N)C(Cl)=C1,0
87-13-8,O=C(OCC)C(=COCC)C(=O)OCC,0
622-40-2,OCCN1CCOCC1,0
636-72-6,OCC=1SC=CC1,0
7693-26-7,[KH],0
24313-88-0,O(C=1C=C(N)C=C(OC)C1OC)C,0
139-59-3,O(C=1C=CC=CC1)C2=CC=C(N)C=C2,0
626-64-2,OC=1C=CN=CC1,0
3179-63-3,OCCCN(C)C,0
380843-75-4,N#CC1=CN=C2C=C(OCCCN3CCN(C)CC3)C(OC)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,1
6457-49-4,OCC1CCNCC1,0
764-01-2,OCC#CC,0
94-05-3,N#CC(=COCC)C(=O)OCC,0
1188-33-6,O(CC)C(OCC)N(C)C,0
7789-59-5,O=P(Br)(Br)Br,0
4543-96-8,N(C)CCCN(C)C,0
446-32-2,O=C(O)C1=CC=C(F)C=C1N,0
100-72-1,OCC1OCCCC1,0
366-99-4,FC1=CC(N)=CC=C1OC,0
13349-82-1,OCCOCCN1CCNCC1,0
50868-72-9,O(C1=CC=C(C(N)=C1)C)C,0
20691-89-8,OCC1CCN(C)CC1,0
2401-24-3,ClC1=CC=C(OC)C=C1N,0
7583-53-1,OCC1CN(C)CCC1,0
5317-33-9,OCCCN1CCN(C)CC1,0
20845-34-5,OCC1N(C)CCCC1,0
19059-68-8,OCC(C)(C)CN(C)C,0
98446-49-2,ClC=1C=C(Cl)C(N)=CC1OC,0
22510-08-3,O=N(=O)C1=CC=C(F)C(O)=C1,0
80650-45-9,N=1C=CC=C(OC2=CC=C(N)C=C2)C1,0
21156-84-3,OCCC1CCN(C)CC1,0
205194-33-8,O=S1(=O)CCN(CCCO)CC1,0
168268-00-6,FC1=CC(N)=CC=C1OCC=2C=CC=CC2,0
221199-26-4,FC1=CC(N)=CC=C1OCCOC,0
90226-87-2,OCC1CCN(CC)CC1,0
7037-30-1,OCCCC1CCN(C)CC1,0
622369-83-9,NCCCC1CCN(C)CC1,0
622369-46-4,N#CC1=CN=C2C=C(F)C(OC)=CC2=C1NC3=CC(OC)=C(Cl)C=C3Cl,0
622369-40-8,N#CC1=CN=C2C=C(F)C(OC)=CC2=C1Cl,0
622368-91-6,N#CC1=CN=C2C=C(OCC3CCN(C)CC3)C(OC)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
622369-21-5,N#CC1=CN=C2C=C(OCCCC3CCN(C)CC3)C(OC)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
622368-88-1,N#CC1=CN=C2C=C(OCCC3CCN(C)CC3)C(OC)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
622369-16-8,N#CC1=CN=C2C=C(OCC3CCN(C)CC3)C(OC)=CC2=C1NC4=CC=C(Cl)C=C4Cl,0
622368-93-8,N#CC1=CN=C2C=C(OCC3CCN(C)CC3)C(OC)=CC2=C1NC4=CC(OC)=C(OC)C(OC)=C4,0
622369-20-4,N#CC1=CN=C2C=C(OCC3CCN(C)CC3)C(OC)=CC2=C1NC4=CC=C(C=C4C)C,0
622369-19-1,N#CC1=CN=C2C=C(OCC3CCN(C)CC3)C(OC)=CC2=C1NC4=CC(OC)=CC=C4Cl,0
622369-18-0,N#CC1=CN=C2C=C(OCC3CCN(C)CC3)C(OC)=CC2=C1NC4=CC(OC)=CC=C4C,0
622369-17-9,N#CC1=CN=C2C=C(OCC3CCN(C)CC3)C(OC)=CC2=C1NC4=CC(OC)=C(C=C4C)C,0
221198-59-0,O=N(=O)C1=CC=C(OCCOC)C(F)=C1,0
622369-81-7,OCCCN1CCN(CC)CC1,0
622369-44-2,N#CC1=CN=C2C=C(OCCOC)C(OC)=CC2=C1Cl,0
622369-25-9,N#CC1=CN=C2C=C(OCC3CCN(CC)CC3)C(OC)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
622369-38-4,N#CC1=CNC2=CC(F)=C(OC)C=C2C1=O,0
622369-82-8,N#CC1=CN=C2C=C(F)C(OCC)=CC2=C1NC3=CC(OC)=C(Cl)C=C3Cl,0
622369-70-4,N#CC1=CN=C2C=C(F)C=CC2=C1Cl,0
622369-36-2,O=C(O)C1=CNC2=CC(F)=C(OC)C=C2C1=O,0
622369-35-1,O=C(OCC)C1=CNC2=CC(F)=C(OC)C=C2C1=O,0
423180-28-3,N#CC1=CN=C2C=C(OCC3CCN(C)CC3)C(OC)=CC2=C1Cl,0
380844-06-4,O(C=1C=C(N)C(=CC1C)C)C,0
622369-54-4,N#CC1=CN=C2C=C(F)C(OC)=CC2=C1NC3=CC(OC)=C(OC)C(OC)=C3,0
622369-53-3,N#CC1=CN=C2C=C(F)C(OCC)=CC2=C1Cl,0
622369-32-8,N#CC1=CN=C2C=C(NCCCN3CCN(C)CC3)C(OC)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
622369-26-0,N#CC1=CN=C2C=C(OCC3N(C)CCCC3)C(OC)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
622369-11-3,N#CC1=CN=C2C=C(OCCOC)C(OC)=CC2=C1NC3=CC=C(Cl)C=C3Cl,0
622368-90-5,N#CC1=CN=C2C=C(OCC3CN(C)CCC3)C(OC)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
622369-80-6,N#CC1=CN=C2C=C(F)C(OCCOC)=CC2=C1NC3=CC=C(SC4=NC=CN4C)C(Cl)=C3,0
622369-79-3,N#CC1=CN=C2C=C(F)C(OC)=CC2=C1NC3=CC=C(C=C3C)C,0
622369-78-2,N#CC1=CN=C2C=C(F)C(OC)=CC2=C1NC3=CC(OC)=CC=C3C,0
622369-77-1,N#CC1=CN=C2C=C(F)C(OC)=CC2=C1NC3=CC(OC)=CC=C3Cl,0
622369-76-0,N#CC1=CN=C2C=C(F)C(OC)=CC2=C1NC3=CC(OC)=C(C=C3C)C,0
622369-75-9,N#CC1=CN=C2C=C(F)C(OC)=CC2=C1NC3=CC=C(Cl)C=C3Cl,0
622369-73-7,N#CC1=CN=C2C=C(OCCOC)C=CC2=C1Cl,0
622369-72-6,N#CC1=CNC2=CC(OCCOC)=CC=C2C1=O,0
622369-71-5,N#CC1=CN=C2C=C(F)C=CC2=C1NC3=CC(OC)=C(Cl)C=C3Cl,0
622369-68-0,O=C(OCC)C1=CC=C(F)C=C1N=CN(C)C,0
622369-63-5,N#CC1=CN=C2C=C(OCCOC)C(O)=CC2=C1Cl,0
622369-57-7,N#CC1=CN=C2C=C(F)C(OC)=CC2=C1NC3=CC=C(SC4=NC=CN4C)C(Cl)=C3,0
622369-52-2,N#CC1=CN=C2C=C(F)C(O)=CC2=C1Cl,0
622369-51-1,N#CC1=CN=C2C=C(F)C(OCC=3C=CC=CC3)=CC2=C1Cl,0
622369-50-0,N#CC1=CNC2=CC(F)=C(OCC=3C=CC=CC3)C=C2C1=O,0
622369-42-0,N#CC1=CNC2=CC(OCCOC)=C(OC)C=C2C1=O,0
622369-37-3,O=C(N)C1=CNC2=CC(F)=C(OC)C=C2C1=O,0
622369-33-9,N#CC1=CN=C2C=C(NCCCN3CCOCC3)C(OC)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
622369-30-6,N#CC1=CN=C2C=C(NCCOC)C(OC)=CC2=C1NC3=CC(OC)=C(Cl)C=C3Cl,0
622369-29-3,N#CC1=CN=C2C=C(C(OC)=CC2=C1NC3=CC(OC)=C(Cl)C=C3Cl)N(C)CCCN(C)C,0
622369-28-2,N#CC1=CN=C2C=C(NCCCN(C)C)C(OC)=CC2=C1NC3=CC(OC)=C(Cl)C=C3Cl,0
622369-09-9,N#CC1=CN=C2C=C(OCCOC)C=CC2=C1NC3=CC=C(Cl)C=C3Cl,0
622369-08-8,N#CC1=CN=C2C=C(OCCOC)C=CC2=C1NC3=CC(OC)=C(Cl)C=C3Cl,0
622369-06-6,N#CC1=CN=C2C=C(OCCCN3CCN(C)CC3)C=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
622369-05-5,N#CC1=CN=C2C=C(C(OC)=CC2=C1NC3=CC=C(SC4=NC=CN4C)C(Cl)=C3)N(C)CCCN(C)C,0
622369-04-4,N#CC1=CN=C2C=C(NCCCN(C)C)C(OC)=CC2=C1NC3=CC=C(SC4=NC=CN4C)C(Cl)=C3,0
622369-02-2,N#CC1=CN=C2C=C(C(OC)=CC2=C1NC3=CC=C(SC4=NC=CN4C)C(Cl)=C3)N5CCN(C)CC5,0
622368-98-3,N#CC1=CN=C2C=C(OCCOC)C(OCC)=CC2=C1NC3=CC(OC)=C(Cl)C=C3Cl,0
622368-89-2,N#CC1=CN=C2C=C(OCCOC)C(OC)=CC2=C1NC3=CC(OC)=C(Cl)C=C3Cl,0
622368-79-0,N#CC1=CN=C2C=C(OCCOCCN3CCNCC3)C(OC)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
622369-84-0,N#CC1=CNC2=CC(=C(OC)C=C2C1=O)CC3CCN(C)CC3,0
622369-74-8,N#CC1=CN=C2C=C(C(OC)=CC2=C1Cl)N3CCN(C)CC3,0
622369-69-1,N#CC1=CN=C2C=C(F)C=CC2=C1O,0
622369-67-9,N#CC1=CNC2=CC(=C(OC)C=C2C1=O)N3CCN(C)CC3,0
622369-66-8,N#CC1=CN=C2C=C(F)C(OCCN3CCOCC3)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
622369-65-7,N#CC1=CN=C2C=C(F)C(OCCN3CCOCC3)=CC2=C1Cl,0
622369-64-6,N#CC1=CN=C2C=C(OCCOC)C(OCCCC)=CC2=C1Cl,0
622369-62-4,N#CC1=CN=C2C=C(OCCOC)C(OCC=3C=CC=CC3)=CC2=C1Cl,0
