CAS Registry Number,Canonical SMILES,key
7631-86-9,O=[Si]=O,0
124-38-9,O=C=O,0
25322-68-3,OCCO,0
56-81-5,OCC(O)CO,0
57-11-4,O=C(O)CCCCCCCCCCCCCCCCC,0
100-52-7,O=CC=1C=CC=CC1,0
9003-39-8,O=C1N(C=C)CCC1,0
68-12-2,O=CN(C)C,0
74-88-4,IC,0
69-65-8,OCC(O)C(O)C(O)C(O)CO,0
50-70-4,OCC(O)C(O)C(O)C(O)CO,0
74-89-5,NC,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
75-65-0,OC(C)(C)C,0
124-63-0,O=S(=O)(Cl)C,0
75-03-6,ICC,0
73183-34-3,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0
75-16-1,Br[Mg]C,0
501-53-1,O=C(Cl)OCC=1C=CC=CC1,0
79-22-1,O=C(Cl)OC,0
110-87-2,O1C=CCCC1,0
4637-24-5,O(C)C(OC)N(C)C,0
108-00-9,NCCN(C)C,0
75-30-9,IC(C)C,0
60-34-4,NNC,0
111-62-6,O=C(OCC)CCCCCCCC=CCCCCCCCC,0
106-33-2,O=C(OCC)CCCCCCCCCCC,0
151-18-8,N#CCCN,0
1013-88-3,N=C(C=1C=CC=CC1)C=2C=CC=CC2,0
95-82-9,ClC1=CC=C(Cl)C(N)=C1,0
2749-11-3,OCC(N)C,0
606143-52-6,O=C(NOCCO)C1=CC2=C(N=CN2C)C(F)=C1NC3=CC=C(Br)C=C3Cl,0
10147-36-1,O=S(=O)(Cl)CCC,0
35320-23-1,OCC(N)C,0
391210-10-9,O=C(NOCC(O)CO)C1=CC=C(F)C(F)=C1NC2=CC=C(I)C=C2F,0
123-06-8,N#CC(C#N)=COCC,0
934660-93-2,O=C(C1=CC=C(F)C(F)=C1NC2=CC=C(I)C=C2F)N3CC(O)(C3)C4NCCCC4,0
957054-30-7,O=S(=O)(N1CCN(CC=2SC3=C(N=C(N=C3N4CCOCC4)C=5C=CC=C6NN=CC65)C2)CC1)C,0
1116-98-9,N#CCC(=O)OC(C)(C)C,0
606143-89-9,O=C(NOCCO)C1=CC2=C(N=CN2C)C(F)=C1NC3=CC=C(Br)C=C3F,0
348-57-2,FC1=CC=C(Br)C(F)=C1,0
1269440-17-6,O=C(OC)NC(C)CNC=1N=CC=C(N1)C2=CN(N=C2C=3C=C(Cl)C=C(NS(=O)(=O)C)C3F)C(C)C,1
79069-13-9,O=C(OC(C)(C)C)NC(C)CO,0
49844-90-8,ClC1=NC(=NC=C1)SC,0
923032-37-5,O=S(=O)(NC=1C(OC)=CC(F)=C(F)C1NC2=CC=C(I)C=C2F)C3(CC3)CC(O)CO,0
1236699-92-5,O=C(NCC(O)CO)C=1C=CN=CC1NC2=CC=C(I)C=C2F,0
39620-04-7,ClC1=CC=CN=C1N,0
21717-95-3,FC1=CC=CN=C1N,0
1035555-63-5,O=C1C(F)=C(NC2=CC=C(I)C=C2F)C=3C(=O)N(C=NC3N1C)CC(O)CO,0
1996-30-1,FC1=CC=C(Cl)C=C1Br,0
1186-70-5,O(C)C(N(C)C)N(C)C,0
452-62-0,FC1=CC=C(C=C1Br)C,0
13466-29-0,N(=CC=1C=CC=CC1)NC,0
146552-71-8,O=C(OC(C)(C)C)NC(C)CN,0
1074-91-5,FC=1C=C(Br)C(F)=C(F)C1F,0
1152617-24-7,ClC1=C(I)C=CN=C1N,0
103977-79-3,FC1=CC=C(N)C(F)=C1Br,0
81067-41-6,ClC=1C=C(Br)C(Cl)=C(Br)C1,0
21230-50-2,N#CC1=CN(N=C1N)C,0
202925-05-1,ClC1=C(Br)C=C(C=C1Br)C,0
146610-69-7,[N-]=[N+]=NCC(NC(=O)OC(C)(C)C)C,0
28314-81-0,O=C(O)C=1C(F)=CC=C(Br)C1F,0
128259-68-7,FC=1C=C(Br)C(F)=C(Br)C1,0
1231892-80-0,FC=1C(N)=CC=CC1B2OC(C)(C)C(O2)(C)C,0
1269440-67-6,FC1=C(I)C=CN=C1N,0
1269232-99-6,FC=1C=C(Br)C(F)=C(N)C1,0
72518-16-2,O=C(O)C1=CC(=CC(Br)=C1F)C,0
1269232-95-2,FC=1C(Br)=CC(Cl)=CC1N,0
1189042-70-3,O=N(=O)C=1C=CC=C(B2OC(C)(C)C(O2)(C)C)C1F,0
27761-65-5,ClC=1C=C(Br)C(Cl)=C(Br)C1N,0
1269233-11-5,ClC=1C=C(N)C=C(C1)B2OC(C)(C)C(O2)(C)C,0
1229025-89-1,O=C(OC)NC(C)CN,0
885519-07-3,O=N(=O)C=1C=C(Br)C=C(OC)C1C,0
187929-81-3,FC=1C=C(Br)C(Cl)=C(N)C1,0
90872-54-1,N(=CC=1C=CC=CC1)NC(C)C,0
21230-49-9,N#CC(C#N)=CN(N=CC=1C=CC=CC1)C,0
1082040-45-6,BrC=1C=C(OC)C(=C(N)C1)C,0
122799-95-5,N#CC1=CN(N=C1N)CC,0
89897-29-0,N#CC1=CN(N=C1N)C(C)C,0
1269233-00-2,FC=1C=C(N)C(F)=C(C1)B2OC(C)(C)C(O2)(C)C,0
1269232-96-3,FC=1C(N)=CC(Cl)=CC1B2OC(C)(C)C(O2)(C)C,0
1244039-95-9,FC=1C=C(Br)C(Cl)=C(N=C(C=2C=CC=CC2)C=3C=CC=CC3)C1,0
22162-26-1,N(=CC=1C=CC=CC1)NCC,0
1269440-69-8,O=C(OC(C)(C)C)NC1=CC(Cl)=CC(B2OC(C)(C)C(O2)(C)C)=C1F,0
1269440-66-5,O=S(=O)(NC1=CC=C(F)C(Br)=C1F)CCC,0
1269440-58-5,ClC=1N=CC=C(N1)C2=CN(N=C2I)C(C)C,0
1269232-93-0,O=C(O)C=1C=C(Cl)C=C(Br)C1F,0
