CAS Registry Number,Canonical SMILES,key
1633352-37-0,N#CC=1C(=NN(C1N)C=2C=CN=CC2Br)C=3C=CC(OC=4C=CC=CC4)=CC3,0
1633352-36-9,N#CC=1C(=NN2C1NC3=C2CN(C(=O)OC(C)(C)C)CC3)C=4C=CC(OC=5C=CC=CC5)=CC4,0
1633352-35-8,O=C(N)C=1C(=NN2C=C(NC12)C=3C=CC=C(C3)N(=O)=O)C=4C=CC(OC=5C=CC=CC5)=CC4,0
1633352-16-5,N#CC=1C(=NN2C1N=CC=C2CN)C=3C=CC(OC=4C=CC=CC4)=CC3,0
1633352-15-4,N#CC=1C(=NN2C1N=CC=C2CN3C(=O)C=4C=CC=CC4C3=O)C=5C=CC(OC=6C=CC=CC6)=CC5,0
1633352-13-2,N#CC=1C(=NN2C1NCCC2C=3C=CC=CC3N)C=4C=CC(OCC5CC5)=CC4,0
1633352-09-6,N#CC=1C(=NN2C1NCCC2C=3C=CC=CC3NC)C=4C=CC(OC=5C=CC=CC5)=CC4,0
1633352-08-5,N#CC=1C(=NN2C1N=CC=C2C=3C=CC=CC3NC)C=4C=CC(OC=5C=CC=CC5)=CC4,0
1633352-06-3,N#CC=1C(=NN2C1N=CC=C2C=3C=CC=CC3NC(=O)C(F)(F)F)C=4C=CC(OC=5C=CC=CC5)=CC4,0
1633352-01-8,N#CC=1C(=NN2C1NCCC2C=3C=CC=CC3N)C=4C=CC(O)=CC4,0
1633352-00-7,N#CC=1C(=NN2C1N=CC=C2C=3C=CC=CC3N(=O)=O)C=4C=CC(OCC=5C=CC=CC5)=CC4,0
1633351-97-9,N#CC=1C(=NN2C1N=CC=C2C=3C=CC=C(C3)NC(=O)C)C=4C=CC(OC=5C=CC=CC5)=CC4,0
1633351-79-7,O=C(N)C=1C(=NN2C1NCCC2C3CCN(C(=O)CCCl)CC3)C=4C=CC(OC=5C=CC=CC5)=CC4,0
1633351-76-4,O=C(N)C=1C(=NN2C1NCCC2C3CCN(C(=O)C=C)CC3)C=4C=CC(=C(OC)C4)C,0
1633351-71-9,O=C(N)C=1C(=NN2C1NCCC2C=3C=CC=CC3NC(=O)C=C)C=4C=C(Cl)C(OC)=C(Cl)C4,0
1633351-69-5,O=C(N)C=1C(=NN2C1NCCC2C=3C=CC=CC3NC(=O)C=C)C=4C=C(OC)C(OC)=C(OC)C4,0
1633351-66-2,O=C(N)C=1C(=NN2C1NCCC2C=3C=CC=CC3NC(=O)C=C)C=4C=CC(=CC4)C,0
1633351-63-9,O=C(N)C=1C(=NN2C1NCCC2C=3C=CC=CC3NC(=O)C=C)C=4C=CC(=CC4)C(F)(F)F,0
1633351-60-6,O=C(N)C=1C(=NN2C1NCCC2C=3C=CC=CC3NC(=O)C=C)C=4C=C(F)C(F)=C(Cl)C4,0
1633351-53-7,O=C(C=C)NC=1C=CC=CC1C2N3N=C(C=4C=CC(F)=CC4)C(C(=O)N)=C3NCC2,0
1633351-51-5,O=C(C=C)NC=1C=CC=CC1C2N3N=C(C=4C=CC(OC(F)(F)F)=CC4)C(C(=O)N)=C3NCC2,0
1633351-35-5,N#CC=1C=CC=CC1OC=2C=CC(=CC2)C3=NN4C(NCCC4C5CN(C(=O)C=C)C5)=C3C(=O)N,0
1633351-34-4,O=C(C=C)NC=1C=CC=CC1C2N3N=C(C=4C=CC(Cl)=CC4)C(C(=O)N)=C3NCC2,0
1633351-33-3,O=C(C=C)NC=1C=CC=CC1C2N3N=C(C=4C=CC(Cl)=CC4)C(C(=O)N)=C3NCC2,0
1633351-32-2,O=C(C=C)NC=1C=CC=CC1C2N3N=C(C=4C=CC(Cl)=CC4)C(C(=O)N)=C3NCC2,0
1633351-26-4,O=C(C=C)NC1=CC=C2C(=C1)NC3=C(C(=O)N)C(=NN23)C=4C=CC(OC=5C=CC=CC5)=CC4,0
