CAS Registry Number,Canonical SMILES,key
124-38-9,O=C=O,0
79-10-7,O=C(O)C=C,0
79-41-4,O=C(O)C(=C)C,0
73183-34-3,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0
814-68-6,O=C(Cl)C=C,0
504-29-0,N=1C=CC=CC1N,0
140-10-3,O=C(O)C=CC=1C=CC=CC1,0
586-75-4,O=C(Cl)C1=CC=C(Br)C=C1,0
109-12-6,N=1C=CC=NC1N,0
1138-80-3,O=C(O)CNC(=O)OCC=1C=CC=CC1,0
695-34-1,N=1C=CC(=CC1N)C,0
1142-20-7,O=C(OCC=1C=CC=CC1)NC(C(=O)O)C,0
107-93-7,O=C(O)C=CC,0
1148-11-4,O=C(O)C1N(C(=O)OCC=2C=CC=CC2)CCC1,0
627-41-8,C#CCOC,0
590-93-2,O=C(O)C#CC,0
7223-38-3,C#CCN(C)C,0
591-54-8,N=1C=NC(N)=CC1,0
108-52-1,N=1C=CC(=NC1N)C,0
1420477-60-6,O=C(C#CC)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,1
76931-93-6,O=C(ON1C(=O)CCC1=O)CSC(=O)C,0
1750-42-1,N=1OC=CC1N,0
112704-79-7,O=C(O)C1=CC=C(Br)C=C1F,0
5469-70-5,N=1N=C(N)C=CC1,0
106447-97-6,FC(F)(F)C=1C=CN=C(N)C1,0
180516-87-4,O=C(O)C1=CC=C(C=C1)B2OC(C)(C)C(O2)(C)C,0
7697-28-1,O=C(O)C1=CC=C(Br)C(=C1)C,0
6608-47-5,O=S(=O)(Cl)C=C,0
42182-27-4,N#CC=1C=CN=C(N)C1,0
2933-29-1,N1=C(SC2=C1CCCC2)N,0
149586-32-3,O=C(O)C=CCN(C)C,0
33252-32-3,N=1C=CC(=CC1N)CC,0
764-33-0,O=C(O)C#CCCC,0
5963-77-9,O=C(O)C#CCC,0
55557-52-3,N#CC1=NC=CN=C1Cl,0
944401-77-8,FC=1C=CN=C(N)C1,0
20629-35-0,O=C(O)C=CCBr,0
72135-36-5,O=C(O)C1=CC=C(Br)C=C1OC,0
21691-41-8,O=C(O)C(N(C(=O)OCC=1C=CC=CC1)C)C,0
149849-92-3,O=C(O)C1=NC(Cl)=NC=C1,0
7358-93-2,O=C(O)C#CC1CC1,0
28697-11-2,O=C(OCC=1C=CC=CC1)N2CCCCC2C(=O)O,0
39136-60-2,N=1C=C(SC1N)CC,0
63968-74-1,O=C(O)C=CCOC,0
850568-25-1,O=C(NC1=NC=CC=C1)C2=CC=C(C=C2)B(O)O,0
118764-05-9,O=C(O)C#CCN(C)C,0
380499-68-3,O=C(Cl)C1=CC=C(C=C1)B2OC(C)(C)C(O2)(C)C,0
1418307-30-8,O=C(NC1=NC=CC(=C1)C(F)(F)F)C2=CC=C(C=C2)B3OC(C)(C)C(O3)(C)C,0
24303-64-8,O=C(O)C#CCOC,0
61702-15-6,N=1C=CC(=CC1N)CCC,0
37131-91-2,O=C(O)C=1N=CN=C(Cl)C1,0
1420478-88-1,O=C(OCC=1C=CC=CC1)N2CCCC2C3=NC(Br)=C4C(=NC=CN34)N,0
50624-25-4,O=C(O)C#CC(O)(C)C,0
1420478-90-5,O=C(NC1=NC=CC=C1)C=2C=CC(=CC2)C=3N=C(N4C=CN=C(N)C34)C5NCCC5,0
1418307-17-1,O=C(OCC=1C=CC=CC1)N2CCCC2C(=O)NCC3=NC=CN=C3Cl,0
867256-77-7,O=C(O)C1=CC=C(C=C1F)B2OC(C)(C)C(O2)(C)C,0
1420477-55-9,O=C(C=C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,0
1420477-89-9,O=C(C#CC1CC1)N2CCCC2C3=NC(C=4C=CC(=CC4)C(=O)NC5=NC=CC=C5)=C6C(=NC=CN36)N,0
1420477-57-1,O=C(C=CCN(C)C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,0
1418307-18-2,O=C(OCC=1C=CC=CC1)N2CCCC2C3=NC=C4C(Cl)=NC=CN34,0
1420478-87-0,O=C(OCC=1C=CC=CC1)N2CCCC2C3=NC(Br)=C4C(Cl)=NC=CN34,0
1420478-89-2,O=C(OCC=1C=CC=CC1)N2CCCC2C3=NC(C=4C=CC(=CC4)C(=O)NC5=NC=CC=C5)=C6C(=NC=CN36)N,0
1420477-90-2,O=C(C#CCCC)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,0
864754-46-1,O=C(NC1=NC=CC(=C1)C)C2=CC=C(C=C2)B3OC(C)(C)C(O3)(C)C,0
1418307-35-3,N#CC=1C=CN=C(C1)NC(=O)C2=CC=C(C=C2)B3OC(C)(C)C(O3)(C)C,0
850568-26-2,O=C(NC1=NC=CS1)C2=CC=C(C=C2)B(O)O,0
1420478-53-0,O=C(C#CC)N1CCCC1C2=NC(C=3C=CC(C(=O)NC4=NC=CC=C4)=C(OC)C3)=C5C(=NC=CN25)N,0
1419221-30-9,O=C(NC1=NC=CC(F)=C1)C2=CC=C(C=C2)B3OC(C)(C)C(O3)(C)C,0
1419221-32-1,O=C(NC1=NC=CC=C1)C2=CC=C(C=C2F)B3OC(C)(C)C(O3)(C)C,0
1419221-33-2,O=C(NC1=NC=CC=C1)C2=CC=C(C=C2OC)B3OC(C)(C)C(O3)(C)C,0
1418307-36-4,O=C(NC1=NC=CC(=C1)CC)C2=CC=C(C=C2)B3OC(C)(C)C(O3)(C)C,0
1420477-61-7,O=C(C=CCN(C)C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(F)=C4)=C5C(=NC=CN25)N,0
1418307-27-3,O=C(NC1=NC=CC(=C1)CCC)C2=CC=C(C=C2)B3OC(C)(C)C(O3)(C)C,0
819078-65-4,O=C(O)C1N(C(=O)OCC=2C=CC=CC2)CCOC1,0
1420478-32-5,O=C(C=CCN(C)C)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,0
1420477-92-4,O=C(C#CC)N1CCOCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,0
1420478-86-9,O=C(C=C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)C=5C=CC=CC5)=C6C(=NC=CN26)N,0
1420478-82-5,O=C(NC1=NC=CC(=C1)C)C=2C=CC(=CC2)C=3N=C(N4C=CN=C(N)C34)C5N(C(=O)C6=NC(Cl)=NC=C6)CCC5,0
1420478-81-4,O=C(C=CCOC)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)C(F)(F)F)=C5C(=NC=CN25)N,0
1420478-80-3,O=C(C=C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)CC)=C5C(=NC=CN25)N,0
1420478-79-0,O=C(C=C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)CCC)=C5C(=NC=CN25)N,0
1420478-78-9,O=C(C=C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)C)=C5C(=NC=CN25)N,0
1420478-76-7,N#CC=1C=CN=C(C1)NC(=O)C=2C=CC(=CC2)C=3N=C(N4C=CN=C(N)C34)C5N(C(=O)C=C)CCC5,0
1420478-75-6,O=C(C=CCOC)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)CCC)=C5C(=NC=CN25)N,0
1420478-72-3,O=C(NC1=NC=C(S1)CC)C=2C=CC(=CC2)C=3N=C(N4C=CN=C(N)C34)C5N(C(=O)C6=NC(Cl)=NC=C6)CCCC5,0
1420478-71-2,O=C(C=C)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=C(S4)CC)=C5C(=NC=CN25)N,0
1420478-69-8,O=C(NC1=NC=CC(=C1)C(F)(F)F)C=2C=CC(=CC2)C=3N=C(N4C=CN=C(N)C34)C5N(C(=O)C6=NC(Cl)=NC=C6)CCCC5,0
1420478-65-4,O=C(C=CCOC)N1CCCCC1C2=NC(C=3C=CC(C(=O)NC4=NC=CC(=C4)CCC)=C(OC)C3)=C5C(=NC=CN25)N,0
1420478-64-3,O=C(C#CC)N1CCCCC1C2=NC(C=3C=CC(C(=O)NC4=NC=CC(=C4)CCC)=C(OC)C3)=C5C(=NC=CN25)N,0
1420478-63-2,O=C(C=C)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)C(F)(F)F)=C5C(=NC=CN25)N,0
1420478-62-1,O=C(C=CCOC)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)C(F)(F)F)=C5C(=NC=CN25)N,0
1420478-61-0,O=C(NC1=NC=CC(=C1)CCC)C=2C=CC(=CC2)C=3N=C(N4C=CN=C(N)C34)C5N(C(=O)C6=NC(Cl)=NC=C6)CCCC5,0
1420478-55-2,O=C(C=C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CS4)=C5C(=NC=CN25)N,0
1420478-33-6,O=C(NC1=NC=CC(=C1)CCC)C=2C=CC(=CC2)C=3N=C(N4C=CN=C(N)C34)C5N(C(=O)C6=NC(Cl)=NC=C6)CCC5,0
1420478-31-4,O=C(C=CCN1CCCC1)N2CCCC2C3=NC(C=4C=CC(=CC4)C(=O)NC5=NC=CC(=C5)CCC)=C6C(=NC=CN36)N,0
1420478-19-8,O=C(C=CCN(C)C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)C(C)C)=C5C(=NC=CN25)N,0
1420478-16-5,O=C(C=C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)C(F)(F)F)=C5C(=NC=CN25)N,0
1420478-15-4,O=C(C=C)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)CCC)=C5C(=NC=CN25)N,0
1420478-03-0,O=C(NC1=NC=CC(=C1)CCC)C=2C=CC(=CC2)C=3N=C(N4C=CN=C(N)C34)C5N(CCCC5)S(=O)(=O)C=C,0
1420478-01-8,O=C(C#CC)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)CCC)=C5C(=NC=CN25)N,0
1420478-00-7,O=C(C=C)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,0
1420477-97-9,O=C(C=C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)N5CCCC5)=C6C(=NC=CN26)N,0
1420477-96-8,O=C(C=C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(F)=C4)=C5C(=NC=CN25)N,0
1420477-91-3,O=C(C=C)N1CCCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,0
1420477-88-8,O=C(C#CCC)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,0
1420477-87-7,O=C(NC1=NC=CC=C1)C=2C=CC(=CC2)C=3N=C(N4C=CN=C(N)C34)C5N(C(=O)C=6N=CN=C(Cl)C6)CCC5,0
1420477-86-6,O=C(C#CC(O)(C)C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,0
1420477-85-5,O=C(SCC(=O)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N)C,0
1420477-83-3,O=C(C=C)NCC1=NC(C=2C=CC(=CC2)C(=O)NC3=NC=CC=C3)=C4C(=NC=CN14)N,0
1420477-82-2,O=C(C#CC)N1CCCCC1C2=NC(C=3C=CC(=CC3C)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,0
1420477-81-1,O=C(C=CCN(C)C)N1CCCCC1C2=NC(C=3C=CC(C(=O)NC4=NC=CC(=C4)CCC)=C(OC)C3)=C5C(=NC=CN25)N,0
1420477-80-0,O=C(C=C)N1CCCCC1C2=NC(C=3C=CC(C(=O)NC4=NC=CC(=C4)CCC)=C(F)C3)=C5C(=NC=CN25)N,0
1420477-79-7,O=C(C=CCOC)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=C(S4)CC)=C5C(=NC=CN25)N,0
1420477-77-5,O=C(C#CC)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NN=CC=C4)=C5C(=NC=CN25)N,0
1420477-76-4,O=C(C#CC)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC=4N=CN=CC4)=C5C(=NC=CN25)N,0
1420477-75-3,O=C(C=C)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=N4)C)=C5C(=NC=CN25)N,0
1420477-74-2,O=C(C=C)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC=N4)=C5C(=NC=CN25)N,0
1420477-73-1,O=C(NC1=NC=CC(=C1)C(F)(F)F)C=2C=CC(=CC2)C=3N=C(N4C=CN=C(N)C34)C5N(CCCC5)S(=O)(=O)C=C,0
1420477-72-0,N#CC=1C=CN=C(C1)NC(=O)C=2C=CC(=CC2)C=3N=C(N4C=CN=C(N)C34)C5N(C(=O)C=C)CCCC5,0
1420477-71-9,O=C(C=C)N1CCCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(F)=C4)=C5C(=NC=CN25)N,0
1420477-69-5,O=C(C=CCN(C)C)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CS4)=C5C(=NC=CN25)N,0
1420477-68-4,O=C(C=C)N1CCCC1C2=NC(C=3C=CC(C(=O)NC4=NC=CC=C4)=C(OC)C3)=C5C(=NC=CN25)N,0
1420477-67-3,O=C(C=C)N1CCCC1C2=NC(C=3C=CC(=C(F)C3)C(=O)NC4=NC=CC=C4)=C5C(=NC=CN25)N,0
1420477-66-2,O=C(C#CC)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC5=C(S4)CCCC5)=C6C(=NC=CN26)N,0
1420477-63-9,O=C(C=CCOC)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)CCC)=C5C(=NC=CN25)N,0
1419221-42-3,O=C(NC1=NC=CC=C1)C2=CC=C(B3OC(C)(C)C(O3)(C)C)C(=C2)C,0
1420479-23-7,O=C(OCC=1C=CC=CC1)N(C)C(C2=NC(Br)=C3C(=NC=CN23)N)C,0
1420479-20-4,O=C(OCC=1C=CC=CC1)NC(C2=NC(Br)=C3C(=NC=CN23)N)C,0
1420479-18-0,O=C(OCC=1C=CC=CC1)N2CCCCC2C3=NC(Br)=C4C(=NC=CN34)N,0
1420478-98-3,O=C(NC1=NC=CC=C1)C=2C=CC(=CC2OC)C=3N=C(N4C=CN=C(N)C34)C5NCCC5,0
1420478-85-8,O=C(C#CC)N1CCCC1C2=NC(C=3C=CC(=CC3)C(=O)NC4=NC=CC(=C4)C=5C=CC=CC5)=C6C(=NC=CN26)N,0
