CAS Registry Number,Canonical SMILES,key
50-00-0,O=C,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
98-59-9,O=S(=O)(Cl)C1=CC=C(C=C1)C,0
443913-73-3,FC1=CC(Br)=CC=C1NC=2N=CN=C3C=C(OCC4CCN(C)CC4)C(OC)=CC32,1
1126-09-6,O=C(OCC)C1CCNCC1,0
18997-19-8,O=C(OCCl)C(C)(C)C,0
367-24-8,FC1=CC(Br)=CC=C1N,0
123855-51-6,O=C(OC(C)(C)C)N1CCC(CO)CC1,0
57946-56-2,FC1=CC(Cl)=CC=C1N,0
617-05-0,O=C(OCC)C1=CC=C(O)C(OC)=C1,0
142851-03-4,O=C(OC(C)(C)C)N1CCC(C(=O)OCC)CC1,0
452-80-2,FC1=CC(=CC=C1N)C,0
67567-26-4,FC=1C=C(Br)C=C(F)C1N,0
20691-89-8,OCC1CCN(C)CC1,0
166815-96-9,O=C(OC(C)(C)C)N1CCC(COS(=O)(=O)C2=CC=C(C=C2)C)CC1,0
162364-72-9,ClC1=NC=NC=2C=C(OCC=3C=CC=CC3)C(OC)=CC12,0
179688-01-8,O=C1N=CNC2=CC(OCC=3C=CC=CC3)=C(OC)C=C12,0
193002-25-4,O=C(OCN1C=NC=2C=C(O)C(OC)=CC2C1=O)C(C)(C)C,0
69411-06-9,FC=1C=C(Cl)C=C(F)C1N,0
196603-96-0,FC1=CC(Br)=CC=C1NC=2N=CN=C3C=C(O)C(OC)=CC32,0
264208-72-2,ClC1=NC=NC=2C=C(OCC3CCN(C)CC3)C(OC)=CC12,0
264208-69-7,O=C1N=CNC2=CC(OCC3CCN(C)CC3)=C(OC)C=C12,0
193002-24-3,O=C(OCN1C=NC=2C=C(OCC=3C=CC=CC3)C(OC)=CC2C1=O)C(C)(C)C,0
338992-12-4,FC1=CC(Br)=CC=C1NC=2N=CN=C3C=C(OCC4CCNCC4)C(OC)=CC32,0
264208-60-8,O=C(OCC)C1=CC=C(OCC2CCN(C)CC2)C(OC)=C1,0
264208-66-4,O=C(OCC)C1=CC(OC)=C(OCC2CCN(C)CC2)C=C1N,0
264208-63-1,O=C(OCC)C1=CC(OC)=C(OCC2CCN(C)CC2)C=C1N(=O)=O,0
264208-58-4,O=C(OCC)C1=CC=C(OCC2CCN(C(=O)OC(C)(C)C)CC2)C(OC)=C1,0
338992-20-4,O=C(OC(C)(C)C)N1CCC(COC2=CC3=NC=NC(NC4=CC=C(Br)C=C4F)=C3C=C2OC)CC1,0
193001-59-1,FC1=CC(Cl)=CC=C1NC=2N=CN=C3C=C(O)C(OC)=CC32,0
264208-86-8,O=C(OC(C)(C)C)N1CCC(COC2=CC=3N=CN(C(=O)C3C=C2OC)COC(=O)C(C)(C)C)CC1,0
288385-87-5,O=C(OCN1C=NC=2C=C(OCC3CCNCC3)C(OC)=CC2C1=O)C(C)(C)C,0
338991-92-7,FC1=CC(Cl)=CC=C1NC=2N=CN=C3C=C(OCC4CCN(C)CC4)C(OC)=CC32,0
338992-29-3,O=C(OCN1C=NC=2C=C(OCC3CCN(C)CC3)C(OC)=CC2C1=O)C(C)(C)C,0
338992-16-8,FC=1C=C(Br)C=C(F)C1NC=2N=CN=C3C=C(OCC4CCNCC4)C(OC)=CC32,0
338992-08-8,FC1=CC(Cl)=CC=C1NC=2N=CN=C3C=C(OCC4CCNCC4)C(OC)=CC32,0
338992-05-5,FC=1C=C(Br)C=C(F)C1NC=2N=CN=C3C=C(OCC4CCN(C)CC4)C(OC)=CC32,0
338991-97-2,FC1=CC(=CC=C1NC=2N=CN=C3C=C(OCC4CCN(C)CC4)C(OC)=CC32)C,0
338992-14-6,FC=1C=C(Cl)C=C(F)C1NC=2N=CN=C3C=C(OCC4CCNCC4)C(OC)=CC32,0
338992-10-2,FC1=CC(=CC=C1NC=2N=CN=C3C=C(OCC4CCNCC4)C(OC)=CC32)C,0
338992-03-3,FC=1C=C(Cl)C=C(F)C1NC=2N=CN=C3C=C(OCC4CCN(C)CC4)C(OC)=CC32,0
257938-40-2,FC=1C=C(Br)C=C(F)C1NC=2N=CN=C3C=C(O)C(OC)=CC32,0
338992-46-4,O=C(OC(C)(C)C)N1CCC(COC2=CC3=NC=NC(NC4=C(F)C=C(Cl)C=C4F)=C3C=C2OC)CC1,0
338992-44-2,FC=1C=C(Cl)C=C(F)C1NC=2N=CN=C3C=C(O)C(OC)=CC32,0
338992-42-0,FC1=CC(Cl)=CC(F)=C1NC=2N=CN=C3C=C(OCC=4C=CC=CC4)C(OC)=CC32,0
338992-40-8,O=C(OC(C)(C)C)N1CCC(COC2=CC3=NC=NC(NC4=C(F)C=C(Br)C=C4F)=C3C=C2OC)CC1,0
338992-35-1,O=C(OC(C)(C)C)N1CCC(COC2=CC3=NC=NC(NC4=CC=C(C=C4F)C)=C3C=C2OC)CC1,0
338992-33-9,FC1=CC(=CC=C1NC=2N=CN=C3C=C(O)C(OC)=CC32)C,0
338992-37-3,FC1=CC(Br)=CC(F)=C1NC=2N=CN=C3C=C(OCC=4C=CC=CC4)C(OC)=CC32,0
3473-63-0,O=C(O)C.N=CN,0
193001-44-4,Cl.ClC1=NC=NC=2C=C(OCC=3C=CC=CC3)C(OC)=CC12,0
193001-61-5,Cl.FC1=CC(Cl)=CC=C1NC=2N=CN=C3C=C(OCC=4C=CC=CC4)C(OC)=CC32,0
338992-53-3,O=C(O)C(F)(F)F.FC1=CC(Br)=CC=C1NC=2N=CN=C3C=C(OCC4CCN(C)CC4)C(OC)=CC32,0
196194-60-2,Cl.FC=1C=C(Cl)C=C(F)C1N,0
338992-19-1,Cl.FC1=CC(Br)=CC=C1NC=2N=CN=C3C=C(OCC=4C=CC=CC4)C(OC)=CC32,0
338992-65-7,Cl.FC1=CC(Cl)=CC=C1NC=2N=CN=C3C=C(OCC4CCNCC4)C(OC)=CC32,0
338992-62-4,Cl.FC1=CC(Cl)=CC=C1NC=2N=CN=C3C=C(OCC4CCN(C)CC4)C(OC)=CC32,0
338992-48-6,Cl.FC1=CC(Br)=CC=C1NC=2N=CN=C3C=C(OCC4CCN(C)CC4)C(OC)=CC32,0
338992-31-7,Cl.FC1=CC(=CC=C1NC=2N=CN=C3C=C(OCC=4C=CC=CC4)C(OC)=CC32)C,0
