CAS Registry Number,Canonical SMILES,key
75178-96-0,O=C(OC(C)(C)C)NCCCN,0
39637-99-5,O=C(Cl)C(OC)(C=1C=CC=CC1)C(F)(F)F,0
616-29-5,OC(CN)CN,0
40499-83-0,OC1CNCC1,0
872-53-7,O=CC1CCCC1,0
5813-64-9,NCC(C)(C)C,0
31469-15-5,O(C(O[Si](C)(C)C)=C(C)C)C,0
5452-35-7,NC1CCCCCC1,0
6651-36-1,O(C1=CCCCC1)[Si](C)(C)C,0
5029-67-4,IC1=NC=CC=C1,0
4318-37-0,N1CCN(C)CCC1,0
27489-62-9,OC1CCC(N)CC1,0
30433-91-1,S1C=CC=C1CCN,0
31230-17-8,N=1NC(=CC1N)C,0
616-24-0,NC(CC)CC,0
4897-50-1,N1CCC(N2CCCCC2)CC1,0
6553-96-4,O=S(=O)(Cl)C=1C(=CC(=CC1C(C)C)C(C)C)C(C)C,0
102-28-3,O=C(NC=1C=CC=C(N)C1)C,0
13258-63-4,N=1C=CC(=CC1)CCN,0
34698-41-4,NC1C=2C=CC=CC2CC1,0
934660-93-2,O=C(C1=CC=C(F)C(F)=C1NC2=CC=C(I)C=C2F)N3CC(O)(C3)C4NCCCC4,1
2975-41-9,NC1CC=2C=CC=CC2C1,0
130290-79-8,O1CCC(CN)CC1,0
107-45-9,NC(C)(C)CC(C)(C)C,0
1758-46-9,O(C=1C=CC=CC1)CCN,0
696-60-6,OC1=CC=C(C=C1)CN,0
23159-07-1,NCCCN1CCCC1,0
20173-24-4,N=1C=CC=C(C1)CCN,0
144222-22-0,O=C(OC(C)(C)C)N1CCC(CN)CC1,0
622-42-4,O=N(=O)CC=1C=CC=CC1,0
110-76-9,O(CC)CCN,0
63126-47-6,O(C)CC1NCCC1,0
5452-37-9,NC1CCCCCCC1,0
594-39-8,NC(C)(C)CC,0
7144-05-0,NCC1CCNCC1,0
398489-26-4,O=C(OC(C)(C)C)N1CC(=O)C1,0
6291-85-6,O(CC)CCCN,0
627-05-4,O=N(=O)CCCC,0
141699-55-0,O=C(OC(C)(C)C)N1CC(O)C1,0
18542-42-2,S(C)CCN,0
7720-39-0,N=1C=CNC1N,0
26116-12-1,NCC1N(CC)CCC1,0
2978-58-7,C#CC(N)(C)C,0
51387-90-7,NCCC1N(C)CCC1,0
3261-62-9,NCCC1=CC=C(C=C1)C,0
19980-43-9,O(C1=CCCC1)[Si](C)(C)C,0
63493-28-7,NC(C)CCC,0
121-05-1,NCCN(C(C)C)C(C)C,0
37143-54-7,O(C)CC(N)C,0
624-86-2,O(N)CC,0
932-30-9,OC=1C=CC=CC1CN,0
101711-78-8,O=C1OCC(N1C(=O)CC)CC=2C=CC=CC2,0
96-15-1,NCC(C)CC,0
6850-65-3,OC1CCC(N)CC1,0
598-74-3,NC(C)C(C)C,0
13623-94-4,O=N(=O)C=C(SC)SC,0
3529-10-0,NCCCCN(C)C,0
15673-00-4,NCCC(C)(C)C,0
