CAS Registry Number,Canonical SMILES,key
849217-57-8,O=C(NC1=CC=C(F)C=C1)C2(C(=O)NC3=CC=C(OCC=4C=CC=CC4)C(F)=C3)CC2,0
650578-72-6,O=C(OC(C)(C)C)N1C2CCC1CC(CCO)C2,0
650578-71-5,O=C(OC(C)(C)C)N1C2CCC1CC(CCOS(=O)(=O)C)C2,0
650577-74-5,ClCC1OCC2N(CCC2)C1,0
106014-87-3,O=C(O)C1(C(=O)O)CN(CC=2C=CC=CC2)C1,0
63190-57-8,O=C(OC)C1=CC(OC)=C(OC)C=C1NC(=O)C,0
849221-94-9,O=C(NC=1C=CC=CC1)C2(C(=O)NC3=CC=C(OC=4C=CN=C5C=C(OC)C(OC)=CC54)C=C3)CC2,0
650578-13-5,O=C(OC(C)(C)C)N1CC2CC(COS(=O)(=O)C)CC2C1,0
650577-85-8,OCC1OCC2N(CCC2)C1,0
650577-75-6,ClCC1OCC2N(CCC2)C1,0
650577-73-4,ClCC1OCC2N(CCC2)C1,0
650577-72-3,ClCC1OCC2N(CCC2)C1,0
650577-61-0,OC1COC2C(OC)C(OC)OC12,0
473837-14-8,O=C(OC(C)(C)C)N1CC2CC(OS(=O)(=O)C)CC2C1,0
112018-06-1,O=C(OC1COC2C(O)COC12)C=3C=CC=CC3,0
1018970-27-8,OC1COC2C1OC3OC(OC32)(C)C,0
849221-57-4,O=C(OC(C)(C)C)N1CCN(CC1)CCCOC2=CC3=NC=CC(OC4=CC=C(C=C4F)NC(=O)C5(C(=O)NC6=CC=C(F)C=C6)CC5)=C3C=C2OC,0
849221-41-6,O=C(NC1=CC=C(F)C=C1)C2(C(=O)NC3=CC=C(OC=4C=CN=C5C=C(OC)C(OC)=CC54)C(F)=C3)CC2,0
849221-14-3,O=C(NC1=CC=C(F)C=C1)CC(=O)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C=C2,0
849218-63-9,N=1C=CC(OC=2C=CC=3N=C(SC3C2)N)=C4C=C(OC)C(OC)=CC14,0
849217-99-8,O=C(NC1=CC=C(F)C=C1)C2(C(=O)NC3=CC=C(OC=4C=CN=C5C=C(OC)C(O)=CC54)C(F)=C3)CC2,0
849217-84-1,O=C(NC1=CC=C(OC=2C=CN=C3C=C(OC)C(OC)=CC32)C=C1)C4(C(=O)NC5=CC=CC(=C5)CN6CCCC6)CC4,0
849217-47-6,FC1=CC(N)=CC=C1OC=2C=CN=C3C=C(OCC4CCN(C)CC4)C(OC)=CC32,0
650578-47-5,O=C(OCC1OCC2N(CCOC2)C1)C,0
